driver_id,driver_modal,driver_type
5300,BIKER,FREELANCE
5303,BIKER,FREELANCE
5308,BIKER,FREELANCE
5315,MOTOBOY,FREELANCE
5339,MOTOBOY,FREELANCE
5349,MOTOBOY,FREELANCE
5353,BIKER,FREELANCE
5355,MOTOBOY,FREELANCE
5363,MOTOBOY,FREELANCE
5364,BIKER,FREELANCE
5367,BIKER,FREELANCE
5368,BIKER,FREELANCE
5380,BIKER,FREELANCE
5394,MOTOBOY,FREELANCE
5402,MOTOBOY,LOGISTIC OPERATOR
5403,MOTOBOY,FREELANCE
5410,BIKER,FREELANCE
5417,MOTOBOY,FREELANCE
5419,BIKER,FREELANCE
5435,MOTOBOY,FREELANCE
5437,MOTOBOY,FREELANCE
5445,BIKER,FREELANCE
5447,MOTOBOY,FREELANCE
5448,MOTOBOY,FREELANCE
5455,MOTOBOY,FREELANCE
5456,MOTOBOY,FREELANCE
5468,MOTOBOY,FREELANCE
5494,BIKER,FREELANCE
5501,BIKER,FREELANCE
5521,MOTOBOY,FREELANCE
5524,MOTOBOY,FREELANCE
5525,MOTOBOY,FREELANCE
5527,MOTOBOY,FREELANCE
5528,MOTOBOY,FREELANCE
5538,BIKER,FREELANCE
5539,BIKER,FREELANCE
5540,BIKER,FREELANCE
5555,MOTOBOY,FREELANCE
5567,MOTOBOY,FREELANCE
5574,MOTOBOY,LOGISTIC OPERATOR
5581,MOTOBOY,FREELANCE
5606,MOTOBOY,LOGISTIC OPERATOR
5607,MOTOBOY,LOGISTIC OPERATOR
5618,MOTOBOY,LOGISTIC OPERATOR
5623,MOTOBOY,FREELANCE
5628,MOTOBOY,FREELANCE
5630,BIKER,FREELANCE
5643,MOTOBOY,FREELANCE
5689,MOTOBOY,FREELANCE
5714,BIKER,FREELANCE
5715,BIKER,FREELANCE
5716,MOTOBOY,FREELANCE
5727,MOTOBOY,FREELANCE
5738,BIKER,FREELANCE
5748,BIKER,FREELANCE
5776,BIKER,FREELANCE
5777,BIKER,FREELANCE
5784,BIKER,FREELANCE
5785,BIKER,FREELANCE
5792,MOTOBOY,FREELANCE
5795,MOTOBOY,FREELANCE
5796,BIKER,FREELANCE
5798,BIKER,FREELANCE
5800,BIKER,FREELANCE
5801,MOTOBOY,FREELANCE
5810,MOTOBOY,FREELANCE
5813,BIKER,FREELANCE
5816,MOTOBOY,FREELANCE
5841,BIKER,FREELANCE
5846,BIKER,FREELANCE
5854,MOTOBOY,FREELANCE
5866,MOTOBOY,LOGISTIC OPERATOR
5868,BIKER,FREELANCE
5869,BIKER,FREELANCE
5884,BIKER,FREELANCE
5890,BIKER,FREELANCE
5907,MOTOBOY,FREELANCE
5913,BIKER,FREELANCE
5914,MOTOBOY,FREELANCE
5918,BIKER,FREELANCE
5919,BIKER,FREELANCE
5941,BIKER,FREELANCE
5942,BIKER,FREELANCE
5946,MOTOBOY,FREELANCE
5947,MOTOBOY,LOGISTIC OPERATOR
5953,MOTOBOY,FREELANCE
5956,BIKER,FREELANCE
5965,MOTOBOY,FREELANCE
5972,MOTOBOY,FREELANCE
5978,BIKER,FREELANCE
5985,BIKER,FREELANCE
5998,BIKER,FREELANCE
6002,MOTOBOY,FREELANCE
6013,BIKER,FREELANCE
6016,BIKER,FREELANCE
6017,BIKER,FREELANCE
6023,MOTOBOY,FREELANCE
6026,MOTOBOY,LOGISTIC OPERATOR
6038,BIKER,FREELANCE
6045,MOTOBOY,FREELANCE
6066,MOTOBOY,FREELANCE
6080,BIKER,FREELANCE
6081,MOTOBOY,LOGISTIC OPERATOR
6089,MOTOBOY,LOGISTIC OPERATOR
6106,MOTOBOY,LOGISTIC OPERATOR
6125,MOTOBOY,LOGISTIC OPERATOR
6128,MOTOBOY,FREELANCE
6131,MOTOBOY,FREELANCE
6136,MOTOBOY,FREELANCE
6140,MOTOBOY,FREELANCE
6144,MOTOBOY,LOGISTIC OPERATOR
6153,MOTOBOY,FREELANCE
6161,MOTOBOY,FREELANCE
6165,BIKER,FREELANCE
6170,MOTOBOY,FREELANCE
6172,MOTOBOY,LOGISTIC OPERATOR
6196,BIKER,FREELANCE
6201,MOTOBOY,LOGISTIC OPERATOR
6210,MOTOBOY,FREELANCE
6228,MOTOBOY,FREELANCE
6251,MOTOBOY,FREELANCE
6252,MOTOBOY,FREELANCE
6258,MOTOBOY,FREELANCE
6310,BIKER,FREELANCE
6312,MOTOBOY,FREELANCE
6326,BIKER,FREELANCE
6327,MOTOBOY,FREELANCE
6350,BIKER,FREELANCE
6361,MOTOBOY,LOGISTIC OPERATOR
6379,MOTOBOY,FREELANCE
6394,BIKER,FREELANCE
6397,MOTOBOY,FREELANCE
6436,BIKER,FREELANCE
6514,BIKER,FREELANCE
6516,MOTOBOY,FREELANCE
6536,BIKER,FREELANCE
6558,MOTOBOY,FREELANCE
6559,BIKER,FREELANCE
6562,MOTOBOY,FREELANCE
6571,BIKER,FREELANCE
6573,BIKER,FREELANCE
6616,MOTOBOY,FREELANCE
6624,BIKER,FREELANCE
6632,MOTOBOY,FREELANCE
6638,BIKER,FREELANCE
6646,MOTOBOY,FREELANCE
6656,MOTOBOY,FREELANCE
6657,MOTOBOY,FREELANCE
6662,MOTOBOY,LOGISTIC OPERATOR
6667,BIKER,FREELANCE
6675,BIKER,FREELANCE
6683,BIKER,FREELANCE
6687,BIKER,FREELANCE
6707,MOTOBOY,FREELANCE
6714,BIKER,FREELANCE
6718,BIKER,FREELANCE
6723,MOTOBOY,FREELANCE
6726,BIKER,FREELANCE
6735,BIKER,FREELANCE
6742,BIKER,FREELANCE
6748,BIKER,FREELANCE
6755,MOTOBOY,FREELANCE
6774,MOTOBOY,FREELANCE
6781,MOTOBOY,FREELANCE
6789,BIKER,FREELANCE
6790,BIKER,FREELANCE
6791,MOTOBOY,FREELANCE
6793,MOTOBOY,FREELANCE
6805,MOTOBOY,FREELANCE
6837,MOTOBOY,FREELANCE
6857,BIKER,FREELANCE
6863,MOTOBOY,FREELANCE
6864,MOTOBOY,FREELANCE
6878,BIKER,FREELANCE
6880,BIKER,FREELANCE
6881,BIKER,FREELANCE
6893,BIKER,FREELANCE
6904,MOTOBOY,LOGISTIC OPERATOR
6925,MOTOBOY,FREELANCE
6934,BIKER,FREELANCE
6949,BIKER,FREELANCE
6952,MOTOBOY,FREELANCE
6974,MOTOBOY,FREELANCE
6976,MOTOBOY,FREELANCE
6979,MOTOBOY,FREELANCE
6987,BIKER,FREELANCE
7033,MOTOBOY,FREELANCE
7045,BIKER,FREELANCE
7060,MOTOBOY,FREELANCE
7085,BIKER,FREELANCE
7090,MOTOBOY,FREELANCE
7096,MOTOBOY,LOGISTIC OPERATOR
7108,BIKER,FREELANCE
7111,BIKER,FREELANCE
7139,BIKER,FREELANCE
7170,BIKER,FREELANCE
7226,MOTOBOY,LOGISTIC OPERATOR
7235,MOTOBOY,LOGISTIC OPERATOR
7239,MOTOBOY,FREELANCE
7247,MOTOBOY,FREELANCE
7249,BIKER,FREELANCE
7258,BIKER,FREELANCE
7263,MOTOBOY,FREELANCE
7271,BIKER,FREELANCE
7280,BIKER,FREELANCE
7281,BIKER,FREELANCE
7284,BIKER,FREELANCE
7297,MOTOBOY,FREELANCE
7313,MOTOBOY,FREELANCE
7319,BIKER,FREELANCE
7322,BIKER,FREELANCE
7326,BIKER,FREELANCE
7335,BIKER,FREELANCE
7336,MOTOBOY,FREELANCE
7339,MOTOBOY,LOGISTIC OPERATOR
7349,MOTOBOY,FREELANCE
7362,MOTOBOY,FREELANCE
7364,MOTOBOY,FREELANCE
7381,MOTOBOY,LOGISTIC OPERATOR
7385,MOTOBOY,FREELANCE
7388,MOTOBOY,LOGISTIC OPERATOR
7396,MOTOBOY,LOGISTIC OPERATOR
7397,BIKER,FREELANCE
7399,MOTOBOY,FREELANCE
7419,BIKER,FREELANCE
7431,MOTOBOY,FREELANCE
7432,MOTOBOY,FREELANCE
7451,MOTOBOY,FREELANCE
7452,MOTOBOY,FREELANCE
7456,MOTOBOY,FREELANCE
7467,MOTOBOY,FREELANCE
7468,MOTOBOY,LOGISTIC OPERATOR
7472,BIKER,FREELANCE
7479,BIKER,FREELANCE
7480,MOTOBOY,FREELANCE
7492,BIKER,FREELANCE
7511,MOTOBOY,FREELANCE
7517,MOTOBOY,FREELANCE
7524,BIKER,FREELANCE
7528,MOTOBOY,FREELANCE
7542,MOTOBOY,FREELANCE
7549,MOTOBOY,LOGISTIC OPERATOR
7552,MOTOBOY,FREELANCE
7562,MOTOBOY,FREELANCE
7563,MOTOBOY,FREELANCE
7606,MOTOBOY,FREELANCE
7615,MOTOBOY,LOGISTIC OPERATOR
7638,BIKER,FREELANCE
7640,BIKER,FREELANCE
7641,MOTOBOY,FREELANCE
7650,MOTOBOY,FREELANCE
7654,MOTOBOY,FREELANCE
7655,MOTOBOY,FREELANCE
7661,BIKER,FREELANCE
7673,MOTOBOY,FREELANCE
7686,MOTOBOY,FREELANCE
7702,MOTOBOY,FREELANCE
7705,BIKER,FREELANCE
7716,MOTOBOY,FREELANCE
7727,BIKER,FREELANCE
7736,MOTOBOY,FREELANCE
7739,MOTOBOY,LOGISTIC OPERATOR
7741,MOTOBOY,FREELANCE
7754,MOTOBOY,FREELANCE
7761,MOTOBOY,FREELANCE
7763,MOTOBOY,FREELANCE
7765,MOTOBOY,FREELANCE
7767,MOTOBOY,FREELANCE
7773,BIKER,FREELANCE
7774,BIKER,FREELANCE
7780,MOTOBOY,FREELANCE
7783,MOTOBOY,LOGISTIC OPERATOR
7789,MOTOBOY,LOGISTIC OPERATOR
7790,MOTOBOY,FREELANCE
7798,MOTOBOY,FREELANCE
7799,MOTOBOY,FREELANCE
7835,MOTOBOY,FREELANCE
7844,MOTOBOY,FREELANCE
7847,BIKER,FREELANCE
7850,MOTOBOY,FREELANCE
