date_key,full_date,month,day,month_name,day_name,weekend
20160218,2016-02-18,2,18,February,Thursday,f
20160219,2016-02-19,2,19,February,Friday,f
20160220,2016-02-20,2,20,February,Saturday,t
20160221,2016-02-21,2,21,February,Sunday,t
20160222,2016-02-22,2,22,February,Monday,f
20160223,2016-02-23,2,23,February,Tuesday,f
20160224,2016-02-24,2,24,February,Wednesday,f
20160225,2016-02-25,2,25,February,Thursday,f
20160226,2016-02-26,2,26,February,Friday,f
20160227,2016-02-27,2,27,February,Saturday,t
20160228,2016-02-28,2,28,February,Sunday,t
20160229,2016-02-29,2,29,February,Monday,f
20160301,2016-03-01,3,1,March,Tuesday,f
20160302,2016-03-02,3,2,March,Wednesday,f
20160303,2016-03-03,3,3,March,Thursday,f
20160304,2016-03-04,3,4,March,Friday,f
20160305,2016-03-05,3,5,March,Saturday,t
20160306,2016-03-06,3,6,March,Sunday,t
20160307,2016-03-07,3,7,March,Monday,f
20160308,2016-03-08,3,8,March,Tuesday,f
20160309,2016-03-09,3,9,March,Wednesday,f
20160310,2016-03-10,3,10,March,Thursday,f
20160311,2016-03-11,3,11,March,Friday,f
20160312,2016-03-12,3,12,March,Saturday,t
20160313,2016-03-13,3,13,March,Sunday,t
20160314,2016-03-14,3,14,March,Monday,f
20160315,2016-03-15,3,15,March,Tuesday,f
20160316,2016-03-16,3,16,March,Wednesday,f
20160317,2016-03-17,3,17,March,Thursday,f
20160318,2016-03-18,3,18,March,Friday,f
20160319,2016-03-19,3,19,March,Saturday,t
20160320,2016-03-20,3,20,March,Sunday,t
20160321,2016-03-21,3,21,March,Monday,f
20160322,2016-03-22,3,22,March,Tuesday,f
20160323,2016-03-23,3,23,March,Wednesday,f
20160324,2016-03-24,3,24,March,Thursday,f
20160325,2016-03-25,3,25,March,Friday,f
20160326,2016-03-26,3,26,March,Saturday,t
20160327,2016-03-27,3,27,March,Sunday,t
20160328,2016-03-28,3,28,March,Monday,f
20160329,2016-03-29,3,29,March,Tuesday,f
20160330,2016-03-30,3,30,March,Wednesday,f
20160331,2016-03-31,3,31,March,Thursday,f
20160401,2016-04-01,4,1,April,Friday,f
20160402,2016-04-02,4,2,April,Saturday,t
20160403,2016-04-03,4,3,April,Sunday,t
20160404,2016-04-04,4,4,April,Monday,f
20160405,2016-04-05,4,5,April,Tuesday,f
20160406,2016-04-06,4,6,April,Wednesday,f
20160407,2016-04-07,4,7,April,Thursday,f
20160408,2016-04-08,4,8,April,Friday,f
20160409,2016-04-09,4,9,April,Saturday,t
20160410,2016-04-10,4,10,April,Sunday,t
20160411,2016-04-11,4,11,April,Monday,f
20160412,2016-04-12,4,12,April,Tuesday,f
20160413,2016-04-13,4,13,April,Wednesday,f
20160414,2016-04-14,4,14,April,Thursday,f
20160415,2016-04-15,4,15,April,Friday,f
20160416,2016-04-16,4,16,April,Saturday,t
20160417,2016-04-17,4,17,April,Sunday,t
20160418,2016-04-18,4,18,April,Monday,f
20160419,2016-04-19,4,19,April,Tuesday,f
20160420,2016-04-20,4,20,April,Wednesday,f
20160421,2016-04-21,4,21,April,Thursday,f
20160422,2016-04-22,4,22,April,Friday,f
20160423,2016-04-23,4,23,April,Saturday,t
20160424,2016-04-24,4,24,April,Sunday,t
20160425,2016-04-25,4,25,April,Monday,f
20160426,2016-04-26,4,26,April,Tuesday,f
20160427,2016-04-27,4,27,April,Wednesday,f
20160428,2016-04-28,4,28,April,Thursday,f
20160429,2016-04-29,4,29,April,Friday,f
20160430,2016-04-30,4,30,April,Saturday,t
20160501,2016-05-01,5,1,May,Sunday,t
20160502,2016-05-02,5,2,May,Monday,f
20160503,2016-05-03,5,3,May,Tuesday,f
20160504,2016-05-04,5,4,May,Wednesday,f
20160505,2016-05-05,5,5,May,Thursday,f
20160506,2016-05-06,5,6,May,Friday,f
20160507,2016-05-07,5,7,May,Saturday,t
20160508,2016-05-08,5,8,May,Sunday,t
20160509,2016-05-09,5,9,May,Monday,f
20160510,2016-05-10,5,10,May,Tuesday,f
20160511,2016-05-11,5,11,May,Wednesday,f
20160512,2016-05-12,5,12,May,Thursday,f
20160513,2016-05-13,5,13,May,Friday,f
20160514,2016-05-14,5,14,May,Saturday,t
20160515,2016-05-15,5,15,May,Sunday,t
20160516,2016-05-16,5,16,May,Monday,f
20160517,2016-05-17,5,17,May,Tuesday,f
20160518,2016-05-18,5,18,May,Wednesday,f
20160519,2016-05-19,5,19,May,Thursday,f
20160520,2016-05-20,5,20,May,Friday,f
20160521,2016-05-21,5,21,May,Saturday,t
20160522,2016-05-22,5,22,May,Sunday,t
20160523,2016-05-23,5,23,May,Monday,f
20160524,2016-05-24,5,24,May,Tuesday,f
20160525,2016-05-25,5,25,May,Wednesday,f
20160526,2016-05-26,5,26,May,Thursday,f
20160527,2016-05-27,5,27,May,Friday,f
20160528,2016-05-28,5,28,May,Saturday,t
20160529,2016-05-29,5,29,May,Sunday,t
20160530,2016-05-30,5,30,May,Monday,f
20160531,2016-05-31,5,31,May,Tuesday,f
20160601,2016-06-01,6,1,June,Wednesday,f
20160602,2016-06-02,6,2,June,Thursday,f
20160603,2016-06-03,6,3,June,Friday,f
20160604,2016-06-04,6,4,June,Saturday,t
20160605,2016-06-05,6,5,June,Sunday,t
20160606,2016-06-06,6,6,June,Monday,f
20160607,2016-06-07,6,7,June,Tuesday,f
20160608,2016-06-08,6,8,June,Wednesday,f
20160609,2016-06-09,6,9,June,Thursday,f
20160610,2016-06-10,6,10,June,Friday,f
20160611,2016-06-11,6,11,June,Saturday,t
20160612,2016-06-12,6,12,June,Sunday,t
20160613,2016-06-13,6,13,June,Monday,f
20160614,2016-06-14,6,14,June,Tuesday,f
20160615,2016-06-15,6,15,June,Wednesday,f
20160616,2016-06-16,6,16,June,Thursday,f
20160617,2016-06-17,6,17,June,Friday,f
20160618,2016-06-18,6,18,June,Saturday,t
20160619,2016-06-19,6,19,June,Sunday,t
20160620,2016-06-20,6,20,June,Monday,f
20160621,2016-06-21,6,21,June,Tuesday,f
20160622,2016-06-22,6,22,June,Wednesday,f
20160623,2016-06-23,6,23,June,Thursday,f
20160624,2016-06-24,6,24,June,Friday,f
20160625,2016-06-25,6,25,June,Saturday,t
20160626,2016-06-26,6,26,June,Sunday,t
20160627,2016-06-27,6,27,June,Monday,f
20160628,2016-06-28,6,28,June,Tuesday,f
20160629,2016-06-29,6,29,June,Wednesday,f
20160630,2016-06-30,6,30,June,Thursday,f
20160701,2016-07-01,7,1,July,Friday,f
20160702,2016-07-02,7,2,July,Saturday,t
20160703,2016-07-03,7,3,July,Sunday,t
20160704,2016-07-04,7,4,July,Monday,f
20160705,2016-07-05,7,5,July,Tuesday,f
20160706,2016-07-06,7,6,July,Wednesday,f
20160707,2016-07-07,7,7,July,Thursday,f
20160708,2016-07-08,7,8,July,Friday,f
20160709,2016-07-09,7,9,July,Saturday,t
20160710,2016-07-10,7,10,July,Sunday,t
20160711,2016-07-11,7,11,July,Monday,f
20160712,2016-07-12,7,12,July,Tuesday,f
20160713,2016-07-13,7,13,July,Wednesday,f
20160714,2016-07-14,7,14,July,Thursday,f
20160715,2016-07-15,7,15,July,Friday,f
20160716,2016-07-16,7,16,July,Saturday,t
20160717,2016-07-17,7,17,July,Sunday,t
20160718,2016-07-18,7,18,July,Monday,f
20160719,2016-07-19,7,19,July,Tuesday,f
20160720,2016-07-20,7,20,July,Wednesday,f
20160721,2016-07-21,7,21,July,Thursday,f
20160722,2016-07-22,7,22,July,Friday,f
20160723,2016-07-23,7,23,July,Saturday,t
20160724,2016-07-24,7,24,July,Sunday,t
20160725,2016-07-25,7,25,July,Monday,f
20160726,2016-07-26,7,26,July,Tuesday,f
20160727,2016-07-27,7,27,July,Wednesday,f
20160728,2016-07-28,7,28,July,Thursday,f
20160729,2016-07-29,7,29,July,Friday,f
20160730,2016-07-30,7,30,July,Saturday,t
20160731,2016-07-31,7,31,July,Sunday,t
20160801,2016-08-01,8,1,August,Monday,f
20160802,2016-08-02,8,2,August,Tuesday,f
20160803,2016-08-03,8,3,August,Wednesday,f
20160804,2016-08-04,8,4,August,Thursday,f
20160805,2016-08-05,8,5,August,Friday,f
20160806,2016-08-06,8,6,August,Saturday,t
20160807,2016-08-07,8,7,August,Sunday,t
20160808,2016-08-08,8,8,August,Monday,f
20160809,2016-08-09,8,9,August,Tuesday,f
20160810,2016-08-10,8,10,August,Wednesday,f
20160811,2016-08-11,8,11,August,Thursday,f
20160812,2016-08-12,8,12,August,Friday,f
20160813,2016-08-13,8,13,August,Saturday,t
20160814,2016-08-14,8,14,August,Sunday,t
20160815,2016-08-15,8,15,August,Monday,f
20160816,2016-08-16,8,16,August,Tuesday,f
20160817,2016-08-17,8,17,August,Wednesday,f
20160818,2016-08-18,8,18,August,Thursday,f
20160819,2016-08-19,8,19,August,Friday,f
20160820,2016-08-20,8,20,August,Saturday,t
20160821,2016-08-21,8,21,August,Sunday,t
20160822,2016-08-22,8,22,August,Monday,f
20160823,2016-08-23,8,23,August,Tuesday,f
20160824,2016-08-24,8,24,August,Wednesday,f
20160825,2016-08-25,8,25,August,Thursday,f
20160826,2016-08-26,8,26,August,Friday,f
20160827,2016-08-27,8,27,August,Saturday,t
20160828,2016-08-28,8,28,August,Sunday,t
20160829,2016-08-29,8,29,August,Monday,f
20160830,2016-08-30,8,30,August,Tuesday,f
20160831,2016-08-31,8,31,August,Wednesday,f
20160901,2016-09-01,9,1,September,Thursday,f
20160902,2016-09-02,9,2,September,Friday,f
20160903,2016-09-03,9,3,September,Saturday,t
20160904,2016-09-04,9,4,September,Sunday,t
20160905,2016-09-05,9,5,September,Monday,f
20160906,2016-09-06,9,6,September,Tuesday,f
20160907,2016-09-07,9,7,September,Wednesday,f
20160908,2016-09-08,9,8,September,Thursday,f
20160909,2016-09-09,9,9,September,Friday,f
20160910,2016-09-10,9,10,September,Saturday,t
20160911,2016-09-11,9,11,September,Sunday,t
20160912,2016-09-12,9,12,September,Monday,f
20160913,2016-09-13,9,13,September,Tuesday,f
20160914,2016-09-14,9,14,September,Wednesday,f
20160915,2016-09-15,9,15,September,Thursday,f
20160916,2016-09-16,9,16,September,Friday,f
20160917,2016-09-17,9,17,September,Saturday,t
20160918,2016-09-18,9,18,September,Sunday,t
20160919,2016-09-19,9,19,September,Monday,f
20160920,2016-09-20,9,20,September,Tuesday,f
20160921,2016-09-21,9,21,September,Wednesday,f
20160922,2016-09-22,9,22,September,Thursday,f
20160923,2016-09-23,9,23,September,Friday,f
20160924,2016-09-24,9,24,September,Saturday,t
20160925,2016-09-25,9,25,September,Sunday,t
20160926,2016-09-26,9,26,September,Monday,f
20160927,2016-09-27,9,27,September,Tuesday,f
20160928,2016-09-28,9,28,September,Wednesday,f
20160929,2016-09-29,9,29,September,Thursday,f
20160930,2016-09-30,9,30,September,Friday,f
20161001,2016-10-01,10,1,October,Saturday,t
20161002,2016-10-02,10,2,October,Sunday,t
20161003,2016-10-03,10,3,October,Monday,f
20161004,2016-10-04,10,4,October,Tuesday,f
20161005,2016-10-05,10,5,October,Wednesday,f
20161006,2016-10-06,10,6,October,Thursday,f
20161007,2016-10-07,10,7,October,Friday,f
20161008,2016-10-08,10,8,October,Saturday,t
20161009,2016-10-09,10,9,October,Sunday,t
20161010,2016-10-10,10,10,October,Monday,f
20161011,2016-10-11,10,11,October,Tuesday,f
20161012,2016-10-12,10,12,October,Wednesday,f
20161013,2016-10-13,10,13,October,Thursday,f
20161014,2016-10-14,10,14,October,Friday,f
20161015,2016-10-15,10,15,October,Saturday,t
20161016,2016-10-16,10,16,October,Sunday,t
20161017,2016-10-17,10,17,October,Monday,f
20161018,2016-10-18,10,18,October,Tuesday,f
20161019,2016-10-19,10,19,October,Wednesday,f
20161020,2016-10-20,10,20,October,Thursday,f
20161021,2016-10-21,10,21,October,Friday,f
20161022,2016-10-22,10,22,October,Saturday,t
20161023,2016-10-23,10,23,October,Sunday,t
20161024,2016-10-24,10,24,October,Monday,f
20161025,2016-10-25,10,25,October,Tuesday,f
20161026,2016-10-26,10,26,October,Wednesday,f
20161027,2016-10-27,10,27,October,Thursday,f
20161028,2016-10-28,10,28,October,Friday,f
20161029,2016-10-29,10,29,October,Saturday,t
20161030,2016-10-30,10,30,October,Sunday,t
20161031,2016-10-31,10,31,October,Monday,f
20161101,2016-11-01,11,1,November,Tuesday,f
20161102,2016-11-02,11,2,November,Wednesday,f
20161103,2016-11-03,11,3,November,Thursday,f
20161104,2016-11-04,11,4,November,Friday,f
20161105,2016-11-05,11,5,November,Saturday,t
20161106,2016-11-06,11,6,November,Sunday,t
20161107,2016-11-07,11,7,November,Monday,f
20161108,2016-11-08,11,8,November,Tuesday,f
20161109,2016-11-09,11,9,November,Wednesday,f
20161110,2016-11-10,11,10,November,Thursday,f
20161111,2016-11-11,11,11,November,Friday,f
20161112,2016-11-12,11,12,November,Saturday,t
20161113,2016-11-13,11,13,November,Sunday,t
20161114,2016-11-14,11,14,November,Monday,f
20161115,2016-11-15,11,15,November,Tuesday,f
20161116,2016-11-16,11,16,November,Wednesday,f
20161117,2016-11-17,11,17,November,Thursday,f
20161118,2016-11-18,11,18,November,Friday,f
20161119,2016-11-19,11,19,November,Saturday,t
20161120,2016-11-20,11,20,November,Sunday,t
20161121,2016-11-21,11,21,November,Monday,f
20161122,2016-11-22,11,22,November,Tuesday,f
20161123,2016-11-23,11,23,November,Wednesday,f
20161124,2016-11-24,11,24,November,Thursday,f
20161125,2016-11-25,11,25,November,Friday,f
20161126,2016-11-26,11,26,November,Saturday,t
20161127,2016-11-27,11,27,November,Sunday,t
20161128,2016-11-28,11,28,November,Monday,f
20161129,2016-11-29,11,29,November,Tuesday,f
20161130,2016-11-30,11,30,November,Wednesday,f
20161201,2016-12-01,12,1,December,Thursday,f
20161202,2016-12-02,12,2,December,Friday,f
20161203,2016-12-03,12,3,December,Saturday,t
20161204,2016-12-04,12,4,December,Sunday,t
20161205,2016-12-05,12,5,December,Monday,f
20161206,2016-12-06,12,6,December,Tuesday,f
20161207,2016-12-07,12,7,December,Wednesday,f
20161208,2016-12-08,12,8,December,Thursday,f
20161209,2016-12-09,12,9,December,Friday,f
20161210,2016-12-10,12,10,December,Saturday,t
20161211,2016-12-11,12,11,December,Sunday,t
20161212,2016-12-12,12,12,December,Monday,f
20161213,2016-12-13,12,13,December,Tuesday,f
20161214,2016-12-14,12,14,December,Wednesday,f
20161215,2016-12-15,12,15,December,Thursday,f
20161216,2016-12-16,12,16,December,Friday,f
20161217,2016-12-17,12,17,December,Saturday,t
20161218,2016-12-18,12,18,December,Sunday,t
20161219,2016-12-19,12,19,December,Monday,f
20161220,2016-12-20,12,20,December,Tuesday,f
20161221,2016-12-21,12,21,December,Wednesday,f
20161222,2016-12-22,12,22,December,Thursday,f
20161223,2016-12-23,12,23,December,Friday,f
20161224,2016-12-24,12,24,December,Saturday,t
20161225,2016-12-25,12,25,December,Sunday,t
20161226,2016-12-26,12,26,December,Monday,f
20161227,2016-12-27,12,27,December,Tuesday,f
20161228,2016-12-28,12,28,December,Wednesday,f
20161229,2016-12-29,12,29,December,Thursday,f
20161230,2016-12-30,12,30,December,Friday,f
20161231,2016-12-31,12,31,December,Saturday,t
