location_id,name
2321,"Rotterdam, South Holland"
2360,"Shelton, Connecticut"
2365,"Oshawa, Ontario"
2366,"Anchorage, Alaska"
2369,"Fairbanks, Alaska"
2372,"Sarasota, Florida"
2399,"London, Ontario"
2444,"St. John's, Newfoundland and Labrador"
2468,"Tempe, Arizona"
2514,"Savannah, Georgia"
2564,"Flint, Michigan"
2734,"Duluth, Minnesota"
2756,"Odessa, Texas"
2865,"Rochester, Minnesota"
2888,"Winston-Salem, North Carolina"
3017,"Pontiac, Michigan"
3101,"Foxboro, Massachusetts"
3127,"San Jose, Puerto Rico"
3211,"Riyadh, Riyadh"
3213,"Cardiff, Wales"
3224,"Laredo, Texas"
3225,"Edinburg, Texas"
3238,"Stateline, Nevada"
3241,"Ontario, California"
3244,"Thousand Palms, California"
3245,"Glendale, Arizona"
