,id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
186,9548,9847,73.0,Paris Saint-Germain,PSG
187,21292,10167,50.0,Parma,PAR
188,41673,8426,1754.0,Partick Thistle F.C.,PAR
189,23523,9878,200.0,Pescara,PES
190,31457,8028,111086.0,Piast Gliwice,PIG
191,32891,8033,111087.0,Podbeskidzie Bielsko-Biała,POD
192,33377,8023,110746.0,Pogoń Szczecin,POG
193,31444,8031,111429.0,Polonia Bytom,POB
194,31445,8020,111429.0,Polonia Bytom,GOR
195,36248,9765,,Portimonense,POR
196,3476,8462,1790.0,Portsmouth,POR
197,5747,10172,15.0,Queens Park Rangers,QPR
198,8,9998,1747.0,RAEC Mons,MON
199,46087,9910,450.0,RC Celta de Vigo,CEL
200,43039,9783,242.0,RC Deportivo de La Coruña,COR
201,10300,8588,64.0,RC Lens,LEN
202,43048,8479,571.0,RC Recreativo,HUE
203,43049,8558,452.0,RCD Espanyol,ESP
204,43036,8661,453.0,RCD Mallorca,MAL
205,27161,10219,1905.0,RKC Waalwijk,RKC
206,6,8635,229.0,RSC Anderlecht,AND
207,43043,8696,456.0,Racing Santander,SAN
208,39388,8548,86.0,Rangers,RAN
209,45333,8370,480.0,Rayo Vallecano,RAY
210,6509,9798,1793.0,Reading,REA
211,43047,8603,449.0,Real Betis Balompié,BET
212,43040,8633,243.0,Real Madrid CF,REA
213,44569,8560,457.0,Real Sociedad,SOC
214,43045,9869,459.0,Real Sporting de Gijón,SPG
215,43050,10281,462.0,Real Valladolid,VAL
216,43803,8394,244.0,Real Zaragoza,ZAR
217,20520,8690,203.0,Reggio Calabria,REG
218,35293,7841,744.0,Rio Ave FC,RA
219,26549,9803,1902.0,Roda JC Kerkrade,ROD
220,20525,8686,52.0,Roma,ROM
221,41217,8649,631.0,Ross County FC,ROS
222,16,9996,111560.0,Royal Excel Mouscron,MOU
223,2510,274581,111560.0,Royal Excel Mouscron,MOP
224,31446,1601,874.0,Ruch Chorzów,CHO
225,35774,2033,111540.0,S.C. Olhanense,OLH
226,12594,7794,58.0,SC Bastia,BAS
227,36253,10211,1897.0,SC Beira Mar,B-M
228,35290,10264,1896.0,SC Braga,BRA
229,29617,7788,647.0,SC Cambuur,CAM
230,16237,8358,25.0,SC Freiburg,FRE
231,26562,10228,1913.0,SC Heerenveen,HEE
232,19305,8460,10030.0,SC Paderborn 07,PAD
233,47605,8372,467.0,SD Eibar,EIB
234,35294,9772,234.0,SL Benfica,BEN
235,9540,7819,210.0,SM Caen,CAE
236,19917,8262,110502.0,SV Darmstadt 98,DAR
237,15628,8697,38.0,SV Werder Bremen,WBR
238,3,10000,15005.0,SV Zulte-Waregem,ZUL
239,20527,9882,1837.0,Sampdoria,SAM
240,24288,7943,111974.0,Sassuolo,SAS
241,50201,9777,324.0,Servette FC,SER
242,43044,8302,481.0,Sevilla FC,SEV
243,20514,8551,1838.0,Siena,SIE
244,614,9997,680.0,Sint-Truidense VV,STT
245,6504,8466,17.0,Southampton,SOU
246,18079,8357,165.0,SpVgg Greuther Fürth,GRF
247,26559,8614,100646.0,Sparta Rotterdam,SPA
248,35285,9768,237.0,Sporting CP,SCP
249,18,9986,670.0,Sporting Charleroi,CHA
250,4,9994,2007.0,Sporting Lokeren,LOK
251,39853,8467,100804.0,St. Johnstone FC,JOH
252,39396,9800,100805.0,St. Mirren,MIR
253,11076,8521,378.0,Stade Brestois 29,BRE
254,9551,9851,74.0,Stade Rennais FC,REN
255,12587,9837,379.0,Stade de Reims,REI
256,10,9985,232.0,Standard de Liège,STL
257,3472,10194,1806.0,Stoke City,STK
258,3461,8472,106.0,Sunderland,SUN
259,5744,10003,1960.0,Swansea City,SWA
260,15630,8226,10029.0,TSG 1899 Hoffenheim,HOF
261,34816,177361,,Termalica Bruk-Bet Nieciecza,TBN
262,38791,188163,,Tondela,TON
263,20529,9804,54.0,Torino,TOR
264,3470,8586,18.0,Tottenham Hotspur,TOT
265,9546,9941,1809.0,Toulouse FC,TOU
266,35286,7992,,Trofense,TRO
267,15,4049,,Tubize,TUB
268,43052,9865,1861.0,UD Almería,ALM
269,48358,8306,472.0,UD Las Palmas,LAS
270,10312,4170,111376.0,US Boulogne Cote D'Opale,BOU
271,20531,8600,55.0,Udinese,UDI
272,38789,6367,,Uniao da Madeira,MAD
273,35769,9771,1895.0,"União de Leiria, SAD",ULE
274,27168,9839,100651.0,VVV-Venlo,VEN
275,43035,10267,461.0,Valencia CF,VAL
276,9555,9873,110456.0,Valenciennes FC,VAL
277,15632,10269,36.0,VfB Stuttgart,STU
278,15634,9911,160.0,VfL Bochum,BOC
279,15623,8721,175.0,VfL Wolfsburg,WOL
280,43038,10205,483.0,Villarreal CF,VIL
281,26547,8277,1909.0,Vitesse,VIT
282,35287,7844,1887.0,Vitória Guimarães,GUI
283,35288,10238,665.0,Vitória Setúbal,SET
284,2004,8475,110913.0,Waasland-Beveren,WAA
285,8784,9817,1795.0,Watford,WAT
286,3460,8659,109.0,West Bromwich Albion,WBA
287,3463,8654,19.0,West Ham United,WHU
288,31451,8244,301.0,Widzew Łódź,LOD
289,32409,8024,301.0,Widzew Łódź,WID
290,3464,8528,1917.0,Wigan Athletic,WIG
291,26551,8525,1907.0,Willem II,WII
292,31443,10265,1873.0,Wisła Kraków,WIS
293,4225,8602,110.0,Wolverhampton Wanderers,WOL
294,43800,9868,1742.0,Xerez Club Deportivo,XER
295,31928,8021,110749.0,Zagłębie Lubin,ZAG
296,33855,8027,112512.0,Zawisza Bydgoszcz,ZAW
297,11822,4087,111271.0,Évian Thonon Gaillard FC,ETG
298,31449,8025,111092.0,Śląsk Wrocław,SLA
