job_title,tech_skills,education
INSTRUCTIONAL DESIGNER,Excel,Bachelor
PRODUCTION DESIGNER,Excel,Master
DIGITAL DESIGNER,Excel,Bachelor
ELECTRICAL CAD DESIGNER,Excel,Bachelor
"JOB CAPTAIN
DESIGNER",Excel,Master
MARKETING COORDINATOR,Excel,"Master, Bachelor"
SENIOR INTERIOR DESIGNER,Excel,Bachelor
PERSONAL STYLIST- WOMEN,Excel,Bachelor
PRE-PRESS GRAPHIC DESIGNER,Excel,Bachelor
PROGRAM MANAGER,R,Bachelor
SENIOR TECHNICAL DESIGNER,Excel,Bachelor
MARKETING SPECIALIST GRAPHIC DESIGNER,Excel,"Master, Bachelor"
SENIOR INTERIOR DESIGNER,R,"Master, Bachelor"
BRANCH MANAGER,Excel,Bachelor
WEB DESIGNER,Excel,Bachelor
PROJECT MANAGER,Excel,"Bachelor, Master"
SENIOR INDUSTRIAL DESIGNER,Excel,Master
LEAD INSTRUCTIONAL DESIGNER,Excel,"Master, Bachelor"
INFORMATION TECHNOLOGY INSTRUCTOR,Excel,Bachelor
INFORMATION TECHNOLOGY MANAGER,Sql,"Master, Bachelor"
INFORMATION TECHNOLOGY MANAGER,Sql,Bachelor
INFORMATION TECHNOLOGY SPECIALIST,Excel,"Master, Bachelor"
INFORMATION TECHNOLOGY COORDINATOR,Excel,Bachelor
VP OF INFORMATION TECHNOLOGY,Sql,Bachelor
INFORMATION TECHNOLOGY MANAGER,"Excel, Sql","Master, Bachelor"
ADMINISTRATOR OF INFORMATION TECHNOLOGY,Sql,"Master, Bachelor"
DIRECTOR OF INFORMATION TECHNOLOGY,Sql,"Master, Bachelor"
INFORMATION TECHNOLOGY COORDINATOR,"Sql, R",Bachelor
"SENIOR DIRECTOR, INFORMATION TECHNOLOGY",Sql,Bachelor
INFORMATION TECHNOLOGY,"Excel, Sql","Master, Bachelor"
INFORMATION TECHNOLOGY SPECIALIST,Sql,"Master, Bachelor"
INFORMATION TECHNOLOGY SPECIALIST,Sql,Bachelor
INFORMATION TECHNOLOGY STUDENT,"Sql, Excel",Bachelor
DIRECTOR OF INFORMATION TECHNOLOGY,"Python, Sql, Excel","Master, Bachelor"
INFORMATION TECHNOLOGY MANAGER,Sql,"Master, Bachelor"
DIRECTOR OF INFORMATION TECHNOLOGY,R,Bachelor
SENIOR INFORMATION TECHNOLOGY MANAGER,Sql,Bachelor
INFORMATION TECHNOLOGY SPECIALIST,Sql,"Master, Bachelor"
INFORMATION TECHNOLOGY COORDINATOR,Sql,Bachelor
INFORMATION TECHNOLOGY CONSULTANT,Sql,Bachelor
INFORMATION TECHNOLOGY TECHNICIAN I,Sql,Bachelor
INFORMATION TECHNOLOGY SPECIALIST,R,"Master, Bachelor"
INFORMATION TECHNOLOGY BUREAU DEPUTY DIRECTOR,Sql,Phd
EA         INFORMATION TECHNOLOGY SPECIALIST III,"Python, Sql",Bachelor
"HEAD, INFORMATION TECHNOLOGY AND INFORMATION CENTER",R,"Master, Bachelor"
INFORMATION TECHNOLOGY SPECIALIST INFORMATION SECURITY OFFICER,Sql,"Master, Bachelor"
INFORMATION TECHNOLOGY INTERN,Sql,"Master, Bachelor"
INFORMATION TECHNOLOGY AND AWS ADMIN INTERN,Python,"Master, Bachelor"
DIRECTOR OF INFORMATION TECHNOLOGY AND ANALYTICS,Sql,Bachelor
INFORMATION TECHNOLOGY PROJECT MANAGER SYSTEM ANALYSIS,Sql,"Master, Bachelor"
ADMINISTRATIVE ASSISTANT DIRECTOR HUMAN RESOURCES MANAGER PRODUCTION MANAGER ENGINEERING MANAGER,Excel,Master
DATABASE PROGRAMMER,"Sql, Excel","Master, Bachelor"
CONSULTANT,Sql,Bachelor
DATABASE PROGRAMMER,"Sql, Excel","Master, Bachelor"
ADJUNCT INSTRUCTOR,"Sql, Excel",Master
ASP.NET WEB DEVELOPER,Sql,Bachelor
PRACTICE MANAGER,Excel,"Master, Bachelor"
IT DIRECTOR,Sql,Bachelor
STAFF PHARMACIST,Excel,Master
IT TECHNOLOGY SPECIALIST,Python,Bachelor
SUBJECT MATTER EXPERT,"Excel, Sql",Bachelor
TEACHER,Excel,"Master, Bachelor"
TEACHER,R,Bachelor
TEACHER,Excel,Bachelor
TEACHER,Excel,Bachelor
TEACHER,Excel,"Master, Bachelor"
TEACHER,R,Master
TEACHER,Excel,Bachelor
TEACHER,Excel,Bachelor
TEACHER,Excel,"Master, Bachelor"
TEACHER,Excel,Bachelor
TEACHER,R,"Master, Bachelor"
TEACHER,Excel,Bachelor
TEACHER,Excel,"Master, Bachelor"
"MATH TEACHER  
MATH INTERVENTION TEACHER",Excel,Bachelor
ENGLISH TEACHER,Excel,Bachelor
SUBSTITUTE TEACHER,Excel,Bachelor
SUBSTITUTE TEACHER,Excel,Bachelor
GUEST TEACHER,R,Bachelor
SCIENCE TEACHER,Excel,Bachelor
HISTORY TEACHER,Excel,Bachelor
MATH TEACHER,Excel,"Master, Bachelor"
LEAD TEACHER,Excel,Bachelor
ENGINEERING TEACHER,Excel,"Master, Bachelor"
HEALTH ADVOCATE,R,Bachelor
CUSTOMER ADVOCATE,Excel,Bachelor
YOUTH ADVOCATE,Excel,"Master, Bachelor"
PATIENT ADVOCATE,Excel,Bachelor
VICTIM ADVOCATE,Excel,Bachelor
FAMILY ADVOCATE,Excel,"Master, Bachelor"
COMMUNITY ADVOCATE,Excel,"Master, Bachelor"
VOLUNTEER ADVOCATE,Excel,Bachelor
VETERAN ADVOCATE INTERN,Excel,"Master, Bachelor"
SENIOR CLIENT ADVOCATE II,Sql,Bachelor
BILINGUAL CLIENT ADVOCATE,Excel,Bachelor
CUSTOMER SUCCESS ADVOCATE,"Excel, Python",Bachelor
SENIOR MEMBER ADVOCATE,Excel,"Bachelor, Master"
CUSTOMER SERVICE ADVOCATE,Excel,Bachelor
COURT APPOINTED SPECIAL ADVOCATE,Excel,Bachelor
BENEFIT ADVOCATE SUPERVISOR,Excel,Bachelor
COMMUNITY RELATIONS ADVOCATE SUPERVISOR,Excel,Bachelor
REVENUE CYCLE ADVOCATE,Excel,Bachelor
BILINGUAL DOMESTIC VIOLENCE ADVOCATE,"Excel, R","Master, Bachelor"
CLINICAL SERVICE ADVOCATE,Excel,"Bachelor, Master"
PH INPATIENT,Excel,"Master, Bachelor"
SERVICE ADVOCATE RECRUITER,Excel,"Master, Bachelor"
DOMESTIC VIOLENCE AND SEXUAL ASSAULT ADVOCATE,Excel,Bachelor
"MANAGER, DIGITAL MARKETING AND COMMUNICATIONS","Excel, Sql",Bachelor
NURSE CLINICIAN II ON MEDICAL,Excel,Bachelor
HUMAN RESOURCES MANAGER,Excel,Bachelor
ADMINISTRATIVE ASSISTANT,Excel,"Master, Bachelor"
INTERN,Excel,Bachelor
LEVEL,Sql,Master
FINANCE DIRECTOR,Excel,Bachelor
PHLEBOTOMIST,Excel,Mcs
DRIVER,Excel,Bachelor
HEALTH COACH,Excel,"Master, Bachelor"
BUSINESS DEVELOPMENT,"Excel, Sql",Bachelor
BUSINESS DEVELOPMENT ANALYST,"Excel, Sql, Python",Bachelor
BUSINESS DEVELOPMENT MANAGER,Excel,Bachelor
BUSINESS DEVELOPMENT CONSULTANT				MAR,Excel,Bachelor
BUSINESS DEVELOPMENT MANAGER,Excel,Bachelor
"FOUNDER, BUSINESS DEVELOPMENT DIRECTOR",Excel,Bachelor
BUSINESS DEVELOPMENT MANAGER,"Excel, R, Python","Master, Bachelor"
DIRECTOR OF BUSINESS DEVELOPMENT,Excel,Bachelor
BUSINESS DEVELOPMENT MANAGER,"R, Excel",Bachelor
BUSINESS DEVELOPMENT MANAGER,Excel,Bachelor
BUSINESS DEVELOPMENT MANAGER,R,Bachelor
BUSINESS DEVELOPMENT MANAGER,Excel,Bachelor
BUSINESS DEVELOPMENT ASSOCIATE,"R, Excel",Master
SENIOR BUSINESS DEVELOPMENT MANAGER,Excel,Bachelor
DIRECTOR OF BUSINESS DEVELOPMENT,Excel,Bachelor
INTERNATIONAL BUSINESS DEVELOPMENT,Excel,Bachelor
VP OF BUSINESS DEVELOPMENT,R,"Master, Bachelor"
BUSINESS DEVELOPMENT EXECUTIVE,Excel,Master
BUSINESS DEVELOPMENT CONSULTANT,R,Bachelor
BUSINESS DEVELOPMENT EXECUTIVE,"Python, Sql, R, Excel","Master, Bachelor"
BUSINESS DEVELOPMENT INTERN,"R, Sql",Bachelor
HEALTHCARE ADMINISTRATOR,Excel,Bachelor
HEALTHCARE RECRUITER,Excel,"Master, Bachelor"
HIGHLY ACCOMPLISHED HEALTHCARE ANALYST,Sql,Master
HEALTHCARE INSTRUCTIONAL ASSISTANT,Excel,"Master, Bachelor"
HEALTHCARE CONSULTING PROJECT ASSOCIATE,Excel,Master
I        HEALTHCARE MARKETING SPECIALIST,Excel,Bachelor
HEALTHCARE ADMINISTRATOR,"R, Excel","Master, Bachelor"
"PLATFORM ARCHITECT, HEALTHCARE INCUBATION LAB",Sql,Bachelor
SENIOR ANALYST - BUSINESS INTELLIGENCE AND ANALYTICS - HEALTHCARE,"Excel, Sql",Bachelor
BEHAVIORAL HEALTHCARE HELP LINE AND PSYCHIATRIC EMERGENCY TEAM SUPERVISOR,Excel,"Master, Bachelor"
MEDICAL SUPPORT ASSISTANT,Excel,Bachelor
MEDICAL RECORD TECHNICIAN,Excel,Bachelor
ENUMERATOR,Excel,Bachelor
CORPORATE ADMINISTRATOR,"Excel, R",Master
DIRECTOR OF APPLICATIONS,Excel,Bachelor
OCCUPATIONAL THERAPIST,Excel,Bachelor
"DIRECTOR, QUALITY IMPROVEMENT NETWORK FACILITATION",Excel,Master
KEY ACCOUNT MANAGER,Excel,Bachelor
ADMINISTRATIVE ASSISTANT,Excel,Bachelor
SENIOR SPECIALTY SALES REPRESENTATIVE,Excel,Bachelor
EMERGENCY ROOM ADMITTING SPECIALIST,Excel,"Master, Bachelor"
STAFFING COORDINATOR,Excel,Bachelor
SR. PROJECT MANAGER,Sql,"Master, Bachelor"
HOSPITAL,Excel,Bachelor
SENIOR ANALYST DATA QUALITY,"Excel, Sql",Bachelor
MEDICAL SUPPORT ASSISTANT,Excel,Bachelor
ADMIN OPERATING ROOM ADMINISTRATIVE COORDINATOR,Excel,"Master, Bachelor"
FITNESS SPECIALIST,Excel,Bachelor
FITNESS ATTENDANT,"Excel, R","Master, Bachelor"
FITNESS COORDINATOR,Excel,"Master, Bachelor"
FITNESS TRAINEE,Excel,Bachelor
FITNESS INSTRUCTOR,Excel,Bachelor
GROUP FITNESS INSTRUCTOR,Excel,Bachelor
INTERN,Excel,"Bachelor, Master"
INTERN,Excel,Bachelor
CERTIFIED MASTER PERSONAL TRAINER,Excel,"Master, Bachelor"
SERVICE REPRESENTATIVE,Excel,Bachelor
REHABILITATION SPECIALIST,Excel,Bachelor
GENERAL MANAGER,Excel,Bachelor
MECHANICAL DESIGN ENGINEER INTERN,"Excel, Sql, Python","Master, Bachelor"
PROGRAM MANAGER,Excel,"Master, Bachelor"
YOGA INSTRUCTOR,Excel,"Master, Bachelor"
EXECUTIVE ASSISTANT,Excel,"Master, Bachelor"
ADVENTURE RUN COORDINATOR,Excel,Bachelor
PROGRAM MANAGER,Excel,"Bachelor, Master"
INTERIM MEMBERSHIP DIRECTOR,Excel,Bachelor
"REGISTERED NURSE, SUPERVISOR",Excel,Bachelor
SOCIAL MEDIA PRODUCER,Excel,Bachelor
FLIGHT ATTENDANT,Excel,Bachelor
FEMA VACCINE DISTRIBUTION,Excel,Bachelor
ADMINISTRATION OFFICE ASSISTANT,Excel,Bachelor
GRADUATE RESEARCH ASSISTANT,R,"Phd, Master, Bachelor"
CONSERVATION TECHNICIAN,Excel,Bachelor
SECURITY AIDE I,Excel,Bachelor
SOFTWARE DEVELOPER,"Python, Sql","Bachelor, Master"
SAFETY INTERN,Excel,Bachelor
"VP, PRINCIPAL","Sql, Python",Master
EDUCATION OFFICER,R,Master
DIRECTOR OF FINANCE,"R, Excel",Bachelor
RESEARCH SCIENTIST,"Excel, R",Bachelor
LOGISTICS TECHNICIAN,Sql,Bachelor
"DIRECTOR OF MARKETING, COMMUNICATIONS AND IT",Excel,Bachelor
LEAD TEACHER,Excel,Bachelor
PROJECT,"Excel, R","Master, Bachelor"
EXTENSION METHODOLOGIST,Excel,Bachelor
LEAD SENIOR SAP AUDITOR,"R, Excel",Master
RESEARCH ASSOCIATE,R,Phd
GIS COORDINATOR,Excel,"Master, Bachelor"
PATIENT ACCESS REP,Excel,Bachelor
CUSTOMER SERVICE SPECIALIST III,Excel,Master
NATURAL RESOURCE SPECIALIST GS-,Excel,Bachelor
SALES ASSOCIATE,"R, Excel","Master, Bachelor"
"VOLUNTEER FRONT DESK RECEPTIONIST,CANTEEN WORKER",Excel,Bachelor
TEAM LEAD SENIOR ANALYST,"Sql, Excel","Bachelor, Master"
TRANSACTION PROCESSING ANALYST,Excel,Bachelor
TEST ANALYST-INTERN,Sql,"Master, Bachelor"
BUYER,Excel,"Master, Bachelor"
RISK SPECIALIST,Excel,Bachelor
SALES,Excel,Bachelor
SALES,"Sql, Excel",Bachelor
SALES,Excel,Bachelor
SALES,Excel,Bachelor
SALES ASSOCIATE,Excel,Bachelor
SALES COORDINATOR,"R, Excel",Master
SALES DIRECTOR,Excel,Bachelor
SALES ASSOCIATE,Excel,Bachelor
SALES ASSOCIATE,Excel,Bachelor
SALES MANAGER,Excel,Bachelor
SALES ASSOCIATE,Excel,Bachelor
SALES ENGINEER,"R, Sql, Excel",Master
SALES ASSOCIATE,Excel,Bachelor
SALES MANAGER,Sql,"Master, Bachelor"
IT CONSULTANT,"Sql, Excel","Master, Bachelor"
CONSULTANT,"Excel, Sql",Master
CONSULTANT,Excel,Bachelor
CONSULTANT,Excel,"Master, Bachelor"
CONSULTANT,"R, Excel",Master
CONSULTANT,R,Bachelor
CONSULTANT,Sql,"Master, Bachelor"
CONSULTANT,Excel,"Master, Bachelor"
CONSULTANT,"Excel, Sql",Bachelor
CONSULTANT,Sql,Bachelor
CONSULTANT,"Excel, Sql","Master, Bachelor"
CONSULTANT,Sql,"Master, Bachelor"
IT CONSULTANT,Excel,"Master, Bachelor"
CONSULTANT,Excel,"Master, Bachelor"
IT CONSULTANT,"R, Python, Sql","Master, Bachelor"
IT CONSULTANT,"Sql, Excel",Bachelor
CONSULTANT,R,"Bachelor, Master"
CONSULTANT,Sql,Bachelor
CONSULTANT,Sql,Bachelor
CONSULTANT,Excel,Bachelor
CONSULTANT,"Sql, Excel","Master, Bachelor"
CONSULTANT,Excel,Bachelor
CONSULTANT,Excel,"Bachelor, Master"
CONSULTANT,"Excel, Sql","Bachelor, Master"
CONSULTANT,Sql,"Master, Bachelor"
IT CONSULTANT,Sql,Bachelor
CONSULTANT,"Excel, Sql","Master, Bachelor"
IT CONSULTANT,Sql,"Bachelor, Master"
CONSULTANT,Excel,Bachelor
CONSULTANT,Excel,Bachelor
CONSULTANT,R,"Master, Bachelor"
CONSULTANT,Excel,Bachelor
STAFF CONSULTANT,Excel,Bachelor
SR. CONSULTANT,Excel,"Bachelor, Master"
WMS CONSULTANT,Sql,"Master, Bachelor"
MANAGEMENT CONSULTANT,Excel,Bachelor
MARKETING CONSULTANT,"R, Excel",Master
DIGITAL MEDIA BUYER,Excel,Bachelor
DIRECTOR IT CLIENT SERVICES FILMS,Sql,"Master, Bachelor"
IMPLEMENTATION CONSULTANT,"Excel, Sql",Bachelor
SALES REPRESENTATIVE,Excel,Bachelor
DIRECTOR OF NEW BUSINESS DEVELOPMENT,Excel,Bachelor
"CO-CEO, THE","R, Excel",Bachelor
COMMUNICATIONS SPECIALIST,Excel,Bachelor
"SENIOR DIRECTOR, PRODUCT MANAGEMENT",R,Bachelor
GLOBAL DIGITAL SERVICING,Excel,Bachelor
DIGITAL MARKETING MANAGER,"Sql, Excel",Bachelor
DIGITAL M,Excel,Bachelor
DIGITAL MARKETING MANAGER,Excel,Bachelor
SOCIAL MEDIA COORDINATOR,Excel,Bachelor
DIGITAL MERCHANDISING ANALYST,Excel,Bachelor
SENIOR DIGITAL MARKETING ANALYST,"Excel, Sql, R, Python",Bachelor
DIGITAL MARKETING SPECIALIST,Excel,Bachelor
DIGITAL PREMEDIA SPECIALIST,Excel,Bachelor
DIGITAL PRODUCTION MANAGER,Excel,Bachelor
DIGITAL MARKETING INTERN,Excel,Bachelor
DATASTAGE ETL DEVELOPER,Sql,Bachelor
CLAIMS SERVICE MANGER,Excel,"Master, Bachelor"
PROPOSAL COORDINATOR,R,Bachelor
TAX EXAMINING CLERK,Excel,Bachelor
CLINICAL AND DATA OPERATIONS SUPPORT ANALYST,Excel,Bachelor
SR BUSINESS SYSTEMS ANALYST,"Sql, Excel",Bachelor
