VARIABLE,VARIABLE_NAME,SERIES_ID,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,SOURCE,GEO_NAME,COUNTERPARTY_GEO_NAME
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.G.JPY.A.5J.A.5A.A.KG.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Kyrgyzstan, All sectors (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), Yen, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Kyrgyzstan
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.TO1.A.5J.A.CH.A.HU.N","Switzerland - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Hungary, All sectors (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Switzerland,Hungary
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.G.TO1.A.5J.A.JP.A.NZ.N","Japan - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of New Zealand, All sectors (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Japan,New Zealand
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.G.GBP.A.5J.A.5A.B.GE.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Georgia, Banks, total (Break in stocks, Loans and deposits in All currencies (=D+F+U), Pound (sterling), All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Georgia
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.G.TO1.A.5J.A.FR.N.IR.N","France - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Iran, Non-banks, total (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,France,Iran
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.TO1.U.5J.A.5A.A.AE.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of United Arab Emirates, All sectors (FX and break adjusted change (BIS calculated), Loans and deposits in Unclassified currency, All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,United Arab Emirates
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.TO1.A.5J.A.FI.N.MA.N","Finland - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Morocco, Non-banks, total (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Finland,Morocco
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.A.UN9.A.5J.A.5A.X.TL.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of East Timor, Residual by sector (Break in stocks, All instruments in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,East Timor
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.G.TO1.A.5J.A.5A.N.GI.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Gibraltar, Non-banks, total (Break in stocks, Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Gibraltar
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.B.TO1.A.5J.A.5A.F.MK.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Macedonia [FYROM], Non-bank financial institutions (Break in stocks, Credit (loans & debt securities) in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Macedonia [FYROM]
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.A.GBP.A.5J.A.5A.N.IL.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Israel, Non-banks, total (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Pound (sterling), All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Israel
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.CHF.A.5J.A.5A.U.DZ.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Algeria, Unallocated by sector (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Swiss franc, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Algeria
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.A.UN9.A.5J.A.5A.I.2O.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Residual developing Asia and Pacific, Banks, related offices (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Residual developing Asia and Pacific
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.A.TO1.A.5J.A.PH.A.QA.N","Philippines - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Qatar, All sectors (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Philippines,Qatar
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.A.USD.A.5J.A.5A.U.IR.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Iran, Unallocated by sector (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Iran
"BIS,WS_TC,2.0,Q.BE.P.A.M.USD.A",Belgium - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,"BIS,WS_TC,2.0",Credit to private non-financial sector,USD,Quarterly,End of period,,Belgium,
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.UN9.A.5J.A.5A.I.4Y.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Developing Asia and Pacific, Banks, related offices (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Developing Asia and Pacific
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.TO1.A.5J.A.5A.I.LC.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Saint Lucia, Banks, related offices (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Saint Lucia
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.B.TO1.A.5J.A.5A.U.KZ.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Kazakhstan, Unallocated by sector (FX and break adjusted change (BIS calculated), Credit (loans & debt securities) in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Kazakhstan
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.A.TO1.A.5J.A.CA.A.BE.N","Canada - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Belgium, All sectors (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Canada,Belgium
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.I.TO1.A.5J.A.5A.A.KW.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Kuwait, All sectors (Break in stocks, Derivatives and Other instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Kuwait
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.CHF.A.5J.A.5A.H.BI.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Burundi, Households and NPISHs (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), Swiss franc, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Burundi
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.G.EUR.A.5J.A.5A.K.SN.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Senegal, Unallocated non-financial sectors (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Senegal
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.TO3.A.5J.A.5A.X.HK.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Hong Kong, Residual by sector (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies excl. core, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Hong Kong
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.G.TO1.A.5J.A.5A.B.SV.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of El Salvador, Banks, total (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,El Salvador
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.G.TO1.A.5J.A.5A.B.RU.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Russia, Banks, total (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Russia
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.A.TO1.A.5J.A.SE.N.BZ.N","Sweden - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Belize, Non-banks, total (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Sweden,Belize
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.A.TO1.A.5J.A.GR.A.GI.N","Greece - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Gibraltar, All sectors (Break in stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Greece,Gibraltar
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.B.TO1.A.5J.A.5A.X.FM.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Federated States of Micronesia, Residual by sector (FX and break adjusted change (BIS calculated), Credit (loans & debt securities) in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Federated States of Micronesia
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.GBP.A.5J.A.5A.K.AZ.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Azerbaijan, Unallocated non-financial sectors (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), Pound (sterling), All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Azerbaijan
"BIS,WS_CBS_PUB,1.0,Q.B.FR.4B.U.C.V.A.TO1.A.3P","Domestic banks from France - Consolidated Total claims in All currencies with residents of All countries excluding residents (Guarantor basis), All sectors (Break in stocks, Derivatives, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,Other data collection period,,France,All countries excluding residents
"BIS,WS_CBS_PUB,1.0,Q.B.5A.4B.U.W.A.A.TO1.A.2O","Domestic banks from All reporting countries - Consolidated Guarantees extended in All currencies with residents of Residual developing Asia and Pacific (Guarantor basis), All sectors (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Guarantees extended,USD,Quarterly,Other data collection period,,All reporting countries,Residual developing Asia and Pacific
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.TO1.A.5J.A.BE.U.5J.N","Belgium - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), Unallocated by sector (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Belgium,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.TO1.A.5J.S.ID.A.5J.R","Indonesia - Local Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), All sectors (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, Foreign subsidiaries","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Indonesia,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.G.JPY.A.5J.A.5A.I.YE.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Yemen, Banks, related offices (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), Yen, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Yemen
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.EUR.A.5J.A.5A.H.LA.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Laos, Households and NPISHs (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Laos
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.A.TO1.A.5J.A.5A.X.LY.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Libya, Residual by sector (Break in stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Libya
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.I.TO1.A.5J.A.5A.I.NL.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Netherlands, Banks, related offices (Annual growth (BIS calculated), Derivatives and Other instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Netherlands
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.A.CHF.A.5J.A.5A.G.GQ.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Equatorial Guinea, General government (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), Swiss franc, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Equatorial Guinea
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.A.TO1.A.5J.A.IM.P.5J.N","Isle of Man - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), Non-financial sectors (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Isle of Man,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.TO1.A.5J.A.GG.B.5J.A","Guernsey - All Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), Banks, total (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Guernsey,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.B.TO1.A.5J.A.5A.B.US.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of United States, Banks, total (Break in stocks, Credit (loans & debt securities) in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,United States
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.G.TO3.A.5J.A.5A.N.MS.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Montserrat, Non-banks, total (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), All currencies excl. core, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Montserrat
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.G.USD.A.5J.A.5A.C.SS.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of South Sudan, Non-financial corporations (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,South Sudan
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.TO1.A.5J.A.5A.P.2H.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Residual developing Latin America and Caribbean, Non-financial sectors (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Residual developing Latin America and Caribbean
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.A.UN9.A.5J.A.5A.K.2Z.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Residual West Indies UK, Unallocated non-financial sectors (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Residual West Indies UK
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.G.TO1.A.5J.A.5A.P.DZ.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Algeria, Non-financial sectors (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Algeria
"BIS,WS_CBS_PUB,1.0,Q.S.DE.4B.U.C.A.A.TO1.O.VG","Domestic banks from Germany - Consolidated Total claims in All currencies with residents of British Virgin Islands (Guarantor basis), Official sector (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Germany,British Virgin Islands
"BIS,WS_CBS_PUB,1.0,Q.S.5A.4B.U.C.A.A.TO1.R.VN","Domestic banks from All reporting countries - Consolidated Total claims in All currencies with residents of Vietnam (Guarantor basis), Non-bank private sector (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,All reporting countries,Vietnam
"BIS,WS_CBS_PUB,1.0,Q.S.DE.4R.F.I.A.U.TO1.A.MZ","Domestic banks(4B), excl. domestic positions from Germany - Consolidated International claims in All currencies with residents of Mozambique (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Up to and including 1 year","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,End of period,,Germany,Mozambique
"BIS,WS_CBS_PUB,1.0,Q.S.5A.4B.U.C.A.A.TO1.A.MG","Domestic banks from All reporting countries - Consolidated Total claims in All currencies with residents of Madagascar (Guarantor basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,All reporting countries,Madagascar
"BIS,WS_CBS_PUB,1.0,Q.S.DK.4B.F.B.A.A.LC1.A.RU","Domestic banks from Denmark - Consolidated Local claims in Local currency with residents of Russia (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Local claims,USD,Quarterly,End of period,,Denmark,Russia
"BIS,WS_CBS_PUB,1.0,Q.S.GB.4B.O.C.A.A.TO1.A.BF","Domestic banks from United Kingdom - Consolidated Total claims in All currencies with residents of Burkina Faso (Outward risk transfers), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,United Kingdom,Burkina Faso
