EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
446359,Shooting Permit,10/20/2018 12:01:00 AM,10/20/2018 12:00:00 PM,10/18/2018 09:57:16 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
203743,Shooting Permit,02/20/2015 06:00:00 AM,02/20/2015 07:00:00 PM,02/18/2015 01:56:01 PM,"Mayor's Office of Film, Theatre & Broadcasting","43 AVENUE between 22 STREET and 23 STREET,  BANK STREET between WEST    4 STREET and WAVERLY PLACE",Queens,2,"108, 6",Still Photography,Not Applicable,United States of America,"10014, 11101"
446069,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 09:00:00 PM,10/16/2018 01:49:38 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   37 STREET between FOSTER AVENUE and AVENUE D,  ARGYLE ROAD between CORTELYOU ROAD and BEVERLY ROAD",Brooklyn,"14, 17","67, 70",Commercial,Promo,United States of America,"11203, 11218"
445165,Theater Load in and Load Outs,10/20/2018 12:01:00 AM,10/21/2018 06:00:00 AM,10/09/2018 02:38:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
82397,Shooting Permit,01/07/2013 07:00:00 AM,01/07/2013 09:00:00 PM,01/02/2013 02:52:08 PM,"Mayor's Office of Film, Theatre & Broadcasting","13 AVENUE between 48 STREET and 50 STREET,  12 AVENUE between NEW UTRECHT AVENUE and 49 STREET,  49 STREET between 12 AVENUE and 13 AVENUE,  NEW UTRECHT AVENUE between 49 STREET and 45 STREET,  50 STREET between 12 AVENUE and 13 AVENUE,  13 AVENUE between 47 STREET and 48 STREET,  NEW UTRECHT AVENUE between 50 STREET and 51 STREET",Brooklyn,12,66,Television,Episodic series,United States of America,11219
137539,Shooting Permit,01/29/2014 12:01:00 AM,02/01/2014 06:00:00 AM,01/13/2014 01:08:41 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   27 STREET between 10 AVENUE and 11 AVENUE,Manhattan,4,10,Theater,Theater,United States of America,10001
446355,Shooting Permit,10/19/2018 04:30:00 PM,10/20/2018 08:00:00 AM,10/18/2018 09:47:54 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   47 STREET between 6 AVENUE and 5 AVENUE,  WEST   45 STREET between 6 AVENUE and 5 AVENUE,  WEST   43 STREET between 6 AVENUE and 5 AVENUE",Manhattan,5,"14, 18",Television,Episodic series,United States of America,10036
446372,DCAS Prep/Shoot/Wrap Permit,10/19/2018 06:30:00 PM,10/19/2018 11:59:00 PM,10/18/2018 10:33:34 AM,"Mayor's Office of Film, Theatre & Broadcasting","COURT STREET between MONTAGUE STREET and LIVINGSTON STREET,  COURT STREET between JORALEMON STREET and LIVINGSTON STREET,  LIVINGSTON STREET between COURT STREET and BOERUM PLACE,  BOERUM PLACE between JORALEMON STREET and LIVINGSTON STREET,  ADAMS STREET between JOHNSON STREET and JORALEMON STREET,  CADMAN PLAZA WEST between MIDDAGH STREET and TILLARY STREET",Brooklyn,2,84,Television,Episodic series,United States of America,11201
220618,Shooting Permit,05/08/2015 07:30:00 AM,05/08/2015 04:00:00 PM,05/07/2015 02:09:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",43 STREET between 43 AVENUE and QUEENS BOULEVARD,Queens,2,108,Television,Variety,United States of America,11104
446318,Shooting Permit,10/20/2018 07:00:00 AM,10/20/2018 07:00:00 PM,10/17/2018 05:17:25 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST   52 STREET and EAST   53 STREET,  PARK AVENUE between EAST   51 STREET and EAST   52 STREET,  PARK AVENUE between EAST   49 STREET and EAST   50 STREET,  PARK AVENUE between EAST   48 STREET and EAST   49 STREET",Manhattan,5,18,Still Photography,Not Applicable,United States of America,"10017, 10022, 10152, 10171"
446056,Shooting Permit,10/19/2018 09:00:00 PM,10/20/2018 05:00:00 AM,10/16/2018 01:15:56 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   29 STREET,  WEST   33 STREET between 6 AVENUE and 7 AVENUE",Manhattan,"4, 5",14,Television,Episodic series,United States of America,"10001, 10121"
444612,Theater Load in and Load Outs,10/20/2018 06:00:00 AM,10/23/2018 11:00:00 PM,10/03/2018 04:28:12 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST  122 STREET between RIVERSIDE DRIVE and CLAREMONT AVENUE,Manhattan,9,26,Theater,Theater,United States of America,10027
446007,Shooting Permit,10/19/2018 03:00:00 PM,10/20/2018 09:00:00 AM,10/16/2018 09:34:28 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   61 STREET between PARK AVENUE and MADISON AVENUE,  WEST   58 STREET between 5 AVENUE and 6 AVENUE,  6 AVENUE between WEST   57 STREET and WEST   59 STREET",Manhattan,"5, 8","18, 19",Television,Cable-episodic,United States of America,"10019, 10022, 10065"
254555,Shooting Permit,11/20/2015 04:00:00 PM,11/21/2015 06:00:00 AM,11/17/2015 10:42:29 AM,"Mayor's Office of Film, Theatre & Broadcasting","MANHATTAN AVENUE between ASH STREET and DEAD END,  COMMERCIAL STREET between BOX STREET and ASH STREET,  PROVOST STREET between PAIDGE AVENUE and GREEN STREET,  DUPONT STREET between MCGUINNESS BOULEVARD and PROVOST STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
239175,Shooting Permit,08/10/2015 06:00:00 AM,08/11/2015 02:00:00 AM,08/05/2015 10:15:35 AM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between JEWEL STREET and DIAMOND STREET,  DIAMOND STREET between MESEROLE AVENUE and CALYER STREET,  JEWEL STREET between MESEROLE AVENUE and CALYER STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
446506,DCAS Prep/Shoot/Wrap Permit,10/20/2018 01:00:00 AM,10/20/2018 08:00:00 PM,10/18/2018 06:14:56 PM,"Mayor's Office of Film, Theatre & Broadcasting","JORALEMON STREET between ADAMS STREET and COURT STREET,  REMSEN STREET between COURT STREET and CLINTON STREET",Brooklyn,2,84,Film,Feature,United States of America,11201
446135,Shooting Permit,10/19/2018 12:30:00 PM,10/19/2018 03:00:00 PM,10/16/2018 04:14:16 PM,"Mayor's Office of Film, Theatre & Broadcasting",MADISON AVENUE between EAST   25 STREET and EAST   26 STREET,Manhattan,5,13,Television,Episodic series,United States of America,10010
446345,DCAS Prep/Shoot/Wrap Permit,10/20/2018 10:00:00 AM,10/20/2018 11:00:00 PM,10/18/2018 07:57:26 AM,"Mayor's Office of Film, Theatre & Broadcasting",TARGEE STREET between FREAN STREET and PURROY PLACE,Staten Island,1,120,WEB,Not Applicable,United States of America,10304
241353,Shooting Permit,08/24/2015 06:00:00 AM,08/24/2015 10:00:00 PM,08/18/2015 06:25:59 PM,"Mayor's Office of Film, Theatre & Broadcasting","MINETTA LANE between 6 AVENUE and MACDOUGAL STREET,  BLEECKER STREET between LEROY STREET and 6TH AVENUE,  6TH AVENUE between W HOUSTON STREET and MINETTA LANE,  BLEECKER STREET between 6TH AVENUE and SULLIVAN STREET,  MACDOUGAL STREET between BLEECKER STREET and WEST    3 STREET,  MINETTA STREET between 6 AVENUE and MINETTA LANE",Manhattan,2,"1, 6",Television,Pilot,United States of America,"10012, 10014"
103691,Shooting Permit,05/24/2013 07:00:00 AM,05/24/2013 05:00:00 PM,05/22/2013 06:14:19 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   23 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,Manhattan,5,13,Film,Not Applicable,United States of America,10010
194860,Shooting Permit,01/08/2015 10:00:00 AM,01/09/2015 02:00:00 AM,12/17/2014 06:29:45 PM,"Mayor's Office of Film, Theatre & Broadcasting","33 STREET between 36 AVENUE and 37 AVENUE,  36 AVENUE between 32 STREET and 34 STREET,  34 STREET between 35 AVENUE and 36 AVENUE,  37 AVENUE between 33 STREET and 34 STREET",Queens,1,114,Television,Episodic series,United States of America,"11101, 11106"
148775,Shooting Permit,04/01/2014 07:00:00 AM,04/01/2014 09:00:00 PM,03/26/2014 01:37:04 PM,"Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,  NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE,  MESEROLE AVENUE between NORTH HENRY STREET and RUSSELL STREET,  MESEROLE AVENUE between RUSSELL STREET and HUMBOLDT STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
136405,Theater Load in and Load Outs,01/18/2014 10:00:00 AM,01/30/2014 10:00:00 PM,01/06/2014 12:48:36 PM,"Mayor's Office of Film, Theatre & Broadcasting",AMSTERDAM AVE. between WEST   62 STREET and WEST   65 STREET,Manhattan,7,20,Theater,Theater,United States of America,10023
182135,Shooting Permit,09/21/2014 07:00:00 AM,09/21/2014 10:00:00 PM,09/19/2014 11:29:36 AM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND AVENUE between GATES AVENUE and PUTNAM AVENUE,  GATES AVENUE between CAMBRIDGE PLACE and GRAND AVENUE,  GATES AVENUE between GRAND AVENUE and DOWNING STREET,  DOWNING STREET between GATES AVENUE and QUINCY STREET,  DOWNING STREET between GATES AVENUE and PUTNAM AVENUE,  DOWNING STREET between GATES AVENUE and QUINCY STREET,  GATES AVENUE between DOWNING STREET and GRAND AVENUE,  PACIFIC STREET between CLASSON AVENUE and WASHINGTON AVENUE,  GRAND AVENUE between ATLANTIC AVENUE and DEAN STREET",Brooklyn,"2, 8","77, 88",Film,Feature,United States of America,11238
144808,Shooting Permit,03/12/2014 10:00:00 AM,03/13/2014 01:00:00 AM,03/06/2014 07:34:07 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST  162 STREET between ST NICHOLAS AVENUE and EDGECOMBE AVENUE,  AMSTERDAM AVENUE between WEST  163 STREET and WEST  164 STREET",Manhattan,12,33,Film,Feature,United States of America,10032
124219,Shooting Permit,10/03/2013 10:00:00 AM,10/03/2013 11:59:00 PM,10/01/2013 09:39:36 AM,"Mayor's Office of Film, Theatre & Broadcasting","LAFAYETTE AVENUE between CARLTON AVENUE and VANDERBILT AVENUE,  CLERMONT AVENUE between LAFAYETTE AVENUE and GREENE AVENUE,  CLERMONT AVENUE between DEKALB AVENUE and LAFAYETTE AVENUE,  CLERMONT AVENUE between DEKALB AVENUE and LAFAYETTE AVENUE,  NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE,  MESEROLE AVENUE between NORTH HENRY STREET and RUSSELL STREET,  MESEROLE AVENUE between RUSSELL STREET and HUMBOLDT STREET",Brooklyn,"1, 2","88, 94",Television,Episodic series,United States of America,"11205, 11222, 11238"
75908,Shooting Permit,10/30/2012 08:00:00 AM,10/30/2012 10:00:00 PM,10/24/2012 08:41:30 AM,"Mayor's Office of Film, Theatre & Broadcasting",NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,Brooklyn,1,94,Television,Episodic series,United States of America,11222
207358,Shooting Permit,03/13/2015 06:00:00 AM,03/14/2015 02:00:00 AM,03/11/2015 01:24:29 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   35 STREET between 8 AVENUE and 7 AVENUE,Manhattan,"4, 5",14,Television,Cable-episodic,United States of America,10001
245037,Shooting Permit,09/16/2015 09:00:00 AM,09/17/2015 01:00:00 AM,09/11/2015 06:53:18 PM,"Mayor's Office of Film, Theatre & Broadcasting","MONTAGUE STREET between HENRY STREET and CLINTON STREET,  REMSEN STREET between CLINTON STREET and COURT STREET,  CLINTON ST between TILLARY STREET and REMSEN STREET,  PIERREPONT STREET between MONROE PLACE and CLINTON STREET,  CLARK STREET between HENRY STREET and CADMAN PLAZA WEST,  CADMAN PLAZA WEST between MIDDAGH STREET and CLARK STREET",Brooklyn,2,84,Television,Episodic series,United States of America,11201
446350,Shooting Permit,10/19/2018 04:00:00 PM,10/20/2018 06:00:00 AM,10/18/2018 09:32:25 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   26 STREET between MADISON AVENUE and 5 AVENUE,  PARK PLACE between 6 AVENUE and 7 AVENUE,  EAST   53 STREET between MADISON AVENUE and 5 AVENUE",Manhattan,"5, 6","13, 18, 78",Commercial,Commercial,United States of America,"10010, 10022, 11217"
446012,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 10:00:00 PM,10/16/2018 10:26:46 AM,"Mayor's Office of Film, Theatre & Broadcasting","SIXTH AVENUE between WEST   36 STREET and WEST   38 STREET,  WEST   39 STREET between SIXTH AVENUE and FIFTH AVENUE",Manhattan,5,14,Television,Cable-episodic,United States of America,10018
89512,Shooting Permit,03/08/2013 06:00:00 AM,03/08/2013 10:00:00 PM,03/06/2013 03:59:36 PM,"Mayor's Office of Film, Theatre & Broadcasting","HANSON PLACE between FORT GREENE PLACE and ASHLAND PLACE,  ASHLAND PLACE between HANSON PLACE and LAFAYETTE AVENUE",Brooklyn,2,"78, 84, 88",Commercial,Commercial,United States of America,"11201, 11217"
446414,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 09:00:00 PM,10/18/2018 01:19:25 PM,"Mayor's Office of Film, Theatre & Broadcasting",PLYMOUTH STREET between JAY STREET and BRIDGE STREET,Brooklyn,2,84,Film,Feature,United States of America,11201
55030,Rigging Permit,04/26/2012 05:00:00 AM,04/27/2012 11:00:00 PM,04/23/2012 05:46:46 PM,"Mayor's Office of Film, Theatre & Broadcasting",BORDEN AVENUE between 21 STREET and 23 STREET,Queens,2,108,Television,Episodic series,United States of America,11101
445825,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 07:00:00 PM,10/14/2018 11:24:29 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   24 STREET between 11 AVENUE and 10 AVENUE,Manhattan,4,10,Still Photography,Not Applicable,United States of America,10011
442468,Theater Load in and Load Outs,10/20/2018 12:01:00 AM,10/21/2018 06:00:00 AM,09/19/2018 01:20:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Brooklyn,1,94,Theater,Theater,United States of America,11222
253097,Shooting Permit,11/13/2015 05:00:00 PM,11/14/2015 02:00:00 AM,11/10/2015 01:59:46 PM,"Mayor's Office of Film, Theatre & Broadcasting",RIVER STREET between GRAND STREET and NORTH    1 STREET,Brooklyn,1,"90, 94",Film,Short,United States of America,11249
443037,Theater Load in and Load Outs,10/20/2018 12:01:00 AM,10/20/2018 11:59:00 PM,09/24/2018 09:42:01 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE",Manhattan,4,18,Theater,Theater,United States of America,10019
55306,Shooting Permit,04/27/2012 05:00:00 AM,04/27/2012 10:00:00 PM,04/25/2012 01:36:39 PM,"Mayor's Office of Film, Theatre & Broadcasting",UNION STREET between 7 AVENUE and 6 AVENUE,Brooklyn,6,78,Commercial,Promo,United States of America,"11215, 11217"
235029,Shooting Permit,07/15/2015 09:00:00 AM,07/15/2015 10:00:00 PM,07/14/2015 10:51:55 AM,"Mayor's Office of Film, Theatre & Broadcasting","JACKSON AVENUE between 51 AVENUE and 49 AVENUE,  50 AVENUE between VERNON BOULEVARD and JACKSON AVENUE,  FREEMAN STREET between MCGUINESS BOULEVARD and PROVOST STREET,  22 STREET between 43 AVENUE and QUEENS PLAZA SOUTH,  21 STREET between 43 AVENUE and QUEENS PLAZA SOUTH,  QUEENS PLAZA SOUTH between 21 STREET and 22 STREET",Brooklyn,"1, 2","108, 94",Television,Cable-episodic,United States of America,"11101, 11222"
255525,Shooting Permit,11/21/2015 09:00:00 AM,11/21/2015 10:00:00 PM,11/20/2015 12:22:56 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST 14TH ST between 9TH AVE and 10TH AVE,Manhattan,"2, 4","10, 6",Commercial,Commercial,United States of America,10014
258076,Shooting Permit,12/11/2015 09:30:00 AM,12/12/2015 01:00:00 AM,12/07/2015 09:16:01 AM,"Mayor's Office of Film, Theatre & Broadcasting","KENT AVENUE between BROADWAY and SOUTH    8 STREET,  BROADWAY between KENT AVENUE and DUNHAM PLACE",Brooklyn,1,90,Film,Feature,United States of America,11249
134744,Shooting Permit,12/19/2013 05:00:00 AM,12/19/2013 07:00:00 PM,12/17/2013 09:05:03 AM,"Mayor's Office of Film, Theatre & Broadcasting","SURF AVENUE between STILLWELL AVENUE and WEST   15 STREET,  STILLWELL AVENUE between SURF AVENUE and BOWERY STREET",Brooklyn,13,60,Still Photography,Not Applicable,United States of America,11224
250925,Shooting Permit,11/02/2015 07:00:00 AM,11/02/2015 08:00:00 PM,10/28/2015 01:19:57 PM,"Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE,  MESEROLE AVENUE between NORTH HENRY STREET and RUSSELL STREET,  MESEROLE AVENUE between RUSSELL STREET and HUMBOLDT STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
222524,Shooting Permit,05/20/2015 05:00:00 AM,05/20/2015 11:00:00 PM,05/15/2015 01:53:42 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   20 STREET between 11 AVENUE and 10 AVENUE,Manhattan,4,10,Television,Reality,United States of America,10011
384881,Theater Load in and Load Outs,12/07/2017 12:01:00 AM,12/08/2017 05:00:00 AM,11/20/2017 12:11:57 PM,"Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Brooklyn,1,94,Theater,Theater,United States of America,11222
279438,Shooting Permit,04/13/2016 08:00:00 AM,04/13/2016 11:00:00 PM,04/12/2016 07:50:11 AM,"Mayor's Office of Film, Theatre & Broadcasting","WYTHE AVENUE between SOUTH    1 STREET and SOUTH    2 STREET,  SOUTH    1 STREET between KENT AVENUE and WYTHE AVENUE,  GRAND STREET between BERRY STREET and BEDFORD AVENUE,  METROPOLITAN AVENUE between BERRY STREET and BEDFORD AVENUE",Brooklyn,1,"90, 94",Television,Episodic series,United States of America,11249
257858,Shooting Permit,12/10/2015 06:00:00 AM,12/10/2015 09:00:00 PM,12/04/2015 02:25:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","BOND STREET between LAFAYETTE STREET and BOWERY,  BOWERY between EAST    2 STREET and EAST    3 STREET,  BOND STREET between BOWERY and LAFAYETTE STREET",Manhattan,"2, 3",9,WEB,Not Applicable,United States of America,"10003, 10012"
172195,Shooting Permit,07/21/2014 07:00:00 AM,07/22/2014 10:00:00 PM,07/17/2014 01:01:45 PM,"Mayor's Office of Film, Theatre & Broadcasting",BELVIDERE STREET between BEAVER STREET and BROADWAY,Brooklyn,4,83,Still Photography,Not Applicable,United States of America,11206
239908,Shooting Permit,08/11/2015 06:00:00 AM,08/11/2015 09:00:00 PM,08/10/2015 09:31:12 AM,"Mayor's Office of Film, Theatre & Broadcasting",23 STREET between QUEENS PLAZA SOUTH and 44 ROAD,Queens,2,108,Television,Episodic series,United States of America,11101
80779,Shooting Permit,12/13/2012 06:00:00 AM,12/13/2012 11:59:00 PM,12/12/2012 09:16:49 AM,"Mayor's Office of Film, Theatre & Broadcasting","36 STREET between 34 AVENUE and 35 AVENUE,  34 AVENUE between 36 STREET and 35 STREET,  35 STREET between 35 AVENUE and 34 AVENUE",Queens,1,114,Television,Cable-episodic,United States of America,11106
184857,Shooting Permit,10/15/2014 06:00:00 AM,10/15/2014 11:59:00 PM,10/12/2014 04:59:22 PM,"Mayor's Office of Film, Theatre & Broadcasting",JOHN STREET between NASSAU STREET and WILLIAM STREET,Manhattan,1,1,Film,Feature,United States of America,10038
265789,Shooting Permit,02/03/2016 07:00:00 AM,02/03/2016 09:00:00 PM,02/01/2016 01:41:19 PM,"Mayor's Office of Film, Theatre & Broadcasting",NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,Brooklyn,1,94,Television,Episodic series,United States of America,11222
302049,Shooting Permit,07/26/2016 09:00:00 AM,07/26/2016 09:00:00 PM,07/22/2016 12:34:09 PM,"Mayor's Office of Film, Theatre & Broadcasting",HASTINGS STREET between HAMPTON AVENUE and ORIENTAL BOULEVARD,Brooklyn,15,61,Film,Feature,United States of America,11235
130915,Shooting Permit,11/21/2013 08:00:00 AM,11/21/2013 11:00:00 PM,11/20/2013 08:54:24 AM,"Mayor's Office of Film, Theatre & Broadcasting","FORSYTH STREET between DELANCEY STREET and GRAND STREET,  BROOME STREET between FORSYTH STREET and ALLEN STREET,  DELANCY STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between DELANCEY STREET and RIVINGTON STREET,  FORSYTH STREET between RIVINGTON STREET and STANTON STREET",Manhattan,3,5,Film,Feature,United States of America,10002
446495,Shooting Permit,10/21/2018 06:00:00 AM,10/21/2018 11:00:00 PM,10/18/2018 05:14:16 PM,"Mayor's Office of Film, Theatre & Broadcasting",PLYMOUTH STREET between JAY STREET and BRIDGE STREET,Brooklyn,2,84,Film,Feature,United States of America,11201
256015,Shooting Permit,11/30/2015 02:00:00 PM,12/01/2015 04:00:00 AM,11/24/2015 12:33:08 PM,"Mayor's Office of Film, Theatre & Broadcasting","85 AVENUE between METROPOLITAN AVENUE and 125 STREET,  85 AVENUE between METROPOLITAN AVENUE and 125 STREET,  85 AVENUE between 125 STREET and 124 STREET",Queens,9,102,Film,Feature,United States of America,11415
107528,Shooting Permit,06/17/2013 06:00:00 AM,06/17/2013 09:00:00 PM,06/12/2013 01:35:13 AM,"Mayor's Office of Film, Theatre & Broadcasting",EAST    3 STREET between 2 AVENUE and 1 AVENUE,Manhattan,3,9,Film,Feature,United States of America,"10003, 10009"
227207,Shooting Permit,06/09/2015 03:00:00 PM,06/10/2015 04:00:00 AM,06/04/2015 02:18:35 PM,"Mayor's Office of Film, Theatre & Broadcasting","BROADWAY between DONGAN PLACE and ARDEN STREET,  ARDEN STREET between BROADWAY and DONGAN PLACE,  ARDEN STREET between DONGAN PLACE and SHERMAN AVENUE,  BROADWAY between SHERMAN AVENUE and WEST  196 STREET,  BROADWAY between SHERMAN AVENUE and DONGAN PLACE,  BROADWAY between CUMMING STREET and DYCKMAN STREET",Manhattan,12,34,Television,Cable-episodic,United States of America,"10034, 10040"
43997,Theater Load in and Load Outs,01/19/2012 07:00:00 AM,02/20/2012 10:00:00 PM,01/09/2012 06:22:29 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   46 STREET between BROADWAY and 8 AVENUE,Manhattan,5,18,Theater,Theater,United States of America,10036
166027,Shooting Permit,06/17/2014 07:00:00 AM,06/17/2014 07:00:00 PM,06/13/2014 03:16:51 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   27 STREET between WEST SIDE HIGHWAY and 11 AVENUE,Manhattan,4,10,Still Photography,Not Applicable,United States of America,10001
