ID,CATEGORY
261110,e
222824,e
139157,m
37367,b
267363,b
272329,e
170306,m
252448,e
101795,b
281031,e
145404,t
121539,b
10599,e
421245,e
162954,m
142863,t
261781,e
168108,e
413611,t
341368,b
210083,e
46470,m
23193,e
34915,b
49120,e
283606,t
113936,t
33841,e
175283,e
154239,e
322210,b
234392,b
351639,e
396170,e
290773,b
241465,b
279770,e
331463,t
134495,e
371279,b
364227,b
186930,e
120142,m
17505,t
349822,t
185834,t
420091,t
284780,e
162973,m
227735,e
221197,e
259801,t
267983,b
204466,b
313253,e
28413,m
410433,b
176977,t
174656,t
101291,b
176396,b
318092,t
117698,t
14321,e
54748,e
30129,b
341312,t
234910,b
12878,b
7396,e
183044,e
202474,e
316634,e
115599,e
96325,b
284656,e
319761,e
96653,b
10328,t
79732,m
268620,t
57881,t
137245,t
222355,e
83669,b
129561,t
123824,e
37227,m
265025,e
323151,b
152743,b
99948,e
250338,b
408085,e
36370,e
184465,b
214053,t
114533,e
80786,b
22406,e
254907,m
321754,t
335068,b
155212,m
167081,b
93721,e
124210,e
101148,t
299891,e
159404,b
387323,b
143221,t
198638,e
11932,e
351440,e
14286,t
167837,t
144343,e
23565,e
283847,b
123795,e
419789,t
186837,e
317528,t
351230,e
54830,e
336499,e
16574,b
139956,t
97438,b
369187,e
32330,e
347769,m
408181,e
352857,m
136326,b
288437,b
230861,b
332592,t
134637,e
216646,m
211822,t
301932,t
4773,b
86316,e
336516,e
257095,t
415438,e
279903,e
4103,e
292545,e
313224,e
96417,b
385764,e
401492,b
264722,t
378494,t
166494,b
275530,m
412301,b
405994,b
171364,e
229108,e
415850,e
35788,t
205129,t
317273,e
124462,t
413187,t
236229,e
179158,e
54630,e
5780,t
277547,m
361385,e
157593,e
115896,e
415288,e
158235,e
31682,t
311131,b
24582,b
172231,t
116641,b
386749,m
91598,b
394509,e
205194,t
348325,b
53139,e
303,b
257522,e
415290,e
97118,t
112030,b
409080,e
316454,t
201052,t
199347,e
409731,m
14758,e
131131,e
247017,e
420756,e
103704,e
384238,t
47643,b
191292,m
121654,b
66912,e
82093,e
407934,e
202304,t
276311,b
199542,m
418228,b
58550,e
26937,e
120195,m
190944,e
347697,t
358330,e
103021,t
422804,m
287949,e
12873,b
305270,t
280889,e
292698,e
413920,t
152576,b
2167,t
114437,e
115589,e
333,b
362365,e
74135,t
228613,e
127035,e
43536,m
95257,m
388807,t
320690,e
355410,e
69717,e
143395,t
191785,b
192978,t
403375,e
12884,b
265944,e
153107,e
10550,e
163183,b
112070,b
185749,t
43673,m
271332,e
340228,t
1492,t
204833,b
69754,e
2494,e
297340,b
239411,t
32811,e
226358,b
259512,b
126874,e
387301,b
126579,e
411669,e
411532,e
233370,e
144750,b
236109,e
105600,t
403016,e
397452,e
199018,e
182939,e
390158,b
104867,b
355413,e
252554,b
367596,b
125191,b
357369,t
190797,e
285516,m
38572,t
179768,m
342259,e
227317,t
115812,b
224902,t
360087,t
337536,e
417635,b
344236,b
51060,b
220218,t
276451,b
110924,e
251567,e
74363,t
135881,m
333955,m
422506,m
342673,e
71339,b
58898,e
408829,e
253799,t
275162,e
122653,t
181469,t
302768,b
384451,t
323498,e
298601,t
212362,b
252696,b
259656,t
347043,e
254515,e
116447,b
57113,b
65758,e
240095,e
344218,b
291375,t
334427,b
380722,e
1012,t
303761,e
373776,e
39891,e
233622,t
270639,e
244653,m
71843,t
139576,t
10313,t
12029,m
366685,m
25402,t
266112,e
310606,b
329112,e
364353,b
419478,t
38002,b
112264,b
124440,e
52188,t
149933,t
115621,e
221980,e
101620,b
135606,e
252694,b
13733,t
38615,t
299989,e
380754,e
104511,m
335573,t
244464,m
319123,e
99976,b
212252,b
52290,t
36971,t
144834,b
68004,m
115522,e
183127,e
395408,e
274023,t
120286,m
167505,t
156700,t
174739,t
36754,e
360340,t
178685,e
93369,e
235655,t
107643,m
196109,b
6411,e
159892,t
54047,e
49540,e
349967,t
384108,t
349987,t
29469,b
381390,b
259886,t
280069,e
116482,b
421067,e
278792,t
22012,t
17692,t
270271,e
185199,b
147574,t
221070,e
162540,e
82711,e
395806,e
412537,b
36592,e
339180,b
243526,e
122791,t
355941,b
388017,t
229560,b
182482,e
144608,b
226803,t
271852,e
377465,b
208173,t
344626,b
390850,b
313416,e
121850,t
265373,e
41481,b
234948,b
112871,t
149791,b
17069,b
2265,e
315758,t
378153,t
11795,e
182142,e
205303,t
97582,t
163541,b
19728,e
370552,m
333788,m
102666,t
791,b
51857,b
3732,e
68416,t
227958,e
398231,b
40600,e
2998,e
230589,b
388108,t
237260,m
231594,t
2369,e
306299,b
101126,b
154091,t
153754,t
240912,b
374493,b
62867,e
199307,e
17197,t
216915,b
58496,e
29295,b
380860,e
179864,m
178408,e
157728,e
79520,m
370138,e
151077,e
127628,t
217498,t
332141,e
166878,b
317702,b
212117,e
345152,t
127577,m
55859,m
283883,b
227399,t
248160,b
322635,b
417832,b
230658,b
77766,t
139441,b
119588,e
103320,e
361803,b
73886,t
413869,t
347032,e
181115,b
295349,t
94361,e
7773,m
304280,e
404909,m
359201,m
330140,b
129094,t
30933,t
228405,e
213605,t
402626,t
347612,e
247731,m
274483,e
143042,m
128768,b
58366,e
246637,t
347777,m
292271,e
267358,b
407334,t
66316,b
39508,t
279170,e
293825,b
64102,t
258135,e
9181,b
413963,t
257680,e
196898,b
224498,t
113620,t
110279,t
36640,e
46066,e
204463,b
2946,e
108688,t
330268,b
396720,e
210953,e
319648,e
224059,b
169044,e
124256,e
128271,b
8252,m
167054,t
40960,m
315041,e
413927,t
221704,e
75594,e
87120,m
326085,m
301212,m
160032,t
74090,t
302576,b
320279,e
422497,m
266466,m
134691,e
376088,e
30541,b
6486,e
19813,e
245918,t
151317,e
101224,b
418324,b
358110,e
134424,m
259760,t
36597,e
300261,e
208481,b
302538,b
258628,b
131192,e
234432,b
164884,e
91857,t
7295,e
97914,t
381734,e
156192,b
341274,t
236424,e
158611,e
384726,t
134780,e
211453,m
145088,b
150310,t
378284,b
85324,t
42139,t
235846,t
294431,b
53946,e
233471,e
220143,t
10503,t
139520,b
417890,b
86050,e
418629,b
411799,e
24768,b
183267,e
234587,b
242048,t
299252,t
21480,t
298136,t
105447,t
349821,t
118460,e
105898,t
85049,t
306164,b
103500,e
331249,t
25286,b
343399,e
289420,e
32591,e
227174,t
230622,b
49066,e
75420,e
339848,t
80199,b
399626,t
106476,e
114203,e
186068,t
109096,e
378985,m
182044,t
392172,t
116554,b
81721,t
68951,t
53851,e
352886,m
212444,b
198414,e
141637,t
269867,e
363586,e
220125,t
284401,t
180884,t
150425,t
194513,e
72862,e
115201,e
200886,t
417965,b
301908,t
375821,e
262601,m
120493,t
103162,t
353582,b
83304,e
125657,t
57152,b
328775,e
368059,t
359954,b
393037,e
353151,b
31944,e
204569,b
192742,b
200454,b
323318,t
394121,b
302314,b
165056,t
102952,t
69434,e
48465,t
350282,b
365341,e
256203,b
344591,t
178037,e
206676,e
380747,e
356816,b
64166,t
349859,t
260054,t
120429,m
267532,b
111490,e
361788,b
304328,e
351587,e
223040,m
268862,b
154500,b
67322,e
377715,b
49884,m
126275,e
202668,e
151734,t
326285,m
118050,t
81687,t
308879,t
368015,t
278802,t
229308,e
386110,e
400205,m
124478,t
350410,t
152432,b
190272,e
315371,b
163632,b
16234,b
122381,t
395494,e
163745,b
40778,e
46034,e
186824,e
134681,b
411569,e
108847,e
125129,b
273173,b
270942,e
300607,e
375531,e
354861,e
101436,b
412923,b
283578,t
296247,t
4184,e
88224,t
233201,e
253517,t
209395,t
161299,e
212070,e
146587,b
1531,t
55752,m
7521,e
176398,b
318874,e
271100,e
265561,e
177863,e
270741,e
48526,t
103787,e
120543,t
413621,t
137564,b
122957,e
30514,t
238241,b
126422,e
185835,t
399567,t
407428,t
293297,e
30956,m
36659,e
409065,e
389755,e
3619,e
21720,t
177670,e
113710,t
384334,b
132862,t
155608,b
315643,b
400478,t
281057,e
288082,e
258180,e
298325,t
46555,m
118257,t
149492,b
277238,b
404452,e
389916,e
309475,t
55869,m
125528,t
349236,b
324497,e
379580,m
61177,b
388688,t
116899,t
243053,e
112536,b
140258,e
190414,e
68508,t
326896,b
422730,e
374464,b
270472,e
395382,e
7300,e
277886,t
115722,b
243033,e
258052,e
203390,m
28771,b
99671,e
9262,b
57441,t
84273,b
278062,t
68768,t
279700,e
323791,t
121787,t
244634,m
75233,e
247901,b
51910,t
50428,b
67024,t
330734,t
59466,e
296296,e
294884,t
186245,t
295878,e
229079,e
181911,t
399004,b
373563,e
202353,e
417785,b
9003,b
221776,e
12562,b
411602,e
238429,b
381399,e
183685,e
230444,b
308548,b
260232,t
89655,e
44707,t
89284,e
400942,b
66918,t
100683,m
416663,e
287725,e
400691,m
276156,b
399022,b
322274,b
206645,e
199431,e
67309,e
2300,e
226807,b
257444,e
201722,t
380300,t
89168,e
128990,b
409625,m
381937,e
117851,t
122117,t
102888,t
18949,e
217625,t
101369,b
346733,e
328448,e
339737,b
232312,t
100950,m
225634,b
418740,b
211164,e
338559,m
195203,e
418116,b
403296,e
201486,t
309548,t
39051,t
108929,e
96391,b
5483,t
305477,t
124322,e
414333,t
51374,b
181606,t
195027,e
393312,b
410569,b
172879,e
113539,t
82340,e
78783,e
368621,t
9848,t
278504,t
116254,b
281917,m
137695,e
255494,b
48208,b
135897,m
28128,m
336360,t
368319,t
185425,b
238140,b
153502,b
275365,e
167186,t
183131,e
396253,e
414195,t
203545,b
373468,e
347564,e
261457,e
119816,e
64748,t
197500,t
112014,b
347876,m
411726,e
129430,t
351638,e
405796,b
232125,t
161862,t
104606,m
390817,b
298823,t
225504,b
124334,e
126959,e
212113,b
253872,t
378386,t
398182,b
384160,t
211385,e
196642,t
65475,e
232527,e
394262,b
19314,e
53752,e
26284,t
124169,e
260937,t
11412,e
98843,e
399435,t
335370,t
98011,t
154705,e
363676,e
43250,e
237365,m
296094,e
238962,t
258192,e
27925,e
263783,b
277422,b
395233,t
161396,e
135271,e
322864,b
108747,e
41463,b
182782,e
400473,b
218815,e
250532,t
224094,t
351390,e
278105,t
159756,b
7047,e
291488,t
304786,m
71718,t
208782,t
18206,t
111535,e
125064,t
317370,b
201952,e
290270,b
187071,e
107000,e
260261,t
30513,b
364776,t
77905,t
418520,b
326355,m
271122,e
420865,e
183903,m
150027,t
94877,e
419853,t
74549,e
172577,t
119700,e
200779,b
81372,t
310001,e
240687,e
232349,e
48699,t
203666,b
70642,b
336076,t
74811,e
75038,e
409237,t
100047,b
240633,e
239409,t
44821,t
42342,t
200340,b
120234,m
290114,b
144675,b
316462,t
335595,t
2740,e
259861,t
408422,e
264989,e
351445,e
47623,b
306153,b
263936,b
250745,t
177353,t
170633,m
104401,e
117532,t
93118,e
407371,t
55646,m
311852,t
151711,t
324587,e
86801,e
409296,m
30247,b
378155,t
238556,b
335914,t
236704,e
204505,b
192960,t
118465,e
412407,b
177134,t
294341,b
304962,m
59099,e
119070,e
112908,t
237193,e
371241,b
145630,e
169012,e
23202,e
340573,b
373603,e
215181,b
117193,b
270073,e
119067,e
393047,e
150339,t
146713,b
120187,m
351692,e
300243,e
81759,t
53987,e
185578,b
170052,m
167634,t
7256,e
120735,b
363155,t
164749,t
78428,e
404166,e
170466,m
95102,m
344749,b
259131,m
248065,b
356253,m
421297,e
235527,t
318715,t
296521,e
413833,b
34285,b
182520,e
304428,e
310041,b
190381,e
210328,e
206172,e
325966,m
63661,m
192052,t
12492,b
70465,b
274588,e
355355,e
224923,t
15723,b
126067,t
280942,e
251319,e
337817,e
290417,b
378238,b
419583,t
65218,m
157849,e
107055,b
356710,b
399134,b
115724,e
137016,t
405458,b
120397,m
198026,b
225291,e
254201,e
357573,t
219957,b
384139,t
193924,t
371485,b
108279,t
318004,b
144985,b
267074,b
324350,t
129937,e
357932,e
235484,t
383524,b
110849,e
364684,b
400854,b
43852,b
150266,t
267637,b
204004,b
222909,e
84308,b
30852,t
58800,e
86854,e
34673,b
184605,b
422923,m
284882,e
392376,b
295922,e
385391,t
31610,t
9018,b
31159,t
175810,e
88549,t
258300,e
197816,t
133929,t
396738,e
257192,t
309982,b
145463,t
374392,b
418472,b
106563,e
307167,t
420014,t
259753,t
71721,t
107029,e
221708,e
163640,b
44307,b
55098,e
380211,t
215980,e
243423,e
334007,m
111699,m
281736,m
309339,t
161621,e
299083,t
67169,e
124536,b
113232,t
261133,e
344451,m
266071,e
299348,e
204201,e
139098,m
67918,m
357383,t
102182,t
82704,e
170423,m
141549,t
298277,t
314957,b
413757,t
232874,e
322888,e
179350,e
244068,e
56617,b
383656,b
168492,e
88366,b
199611,m
115541,e
115356,e
115223,e
87360,b
329128,e
269894,e
288605,b
404373,e
196515,b
385405,t
405419,b
82636,e
30463,t
271143,e
177105,t
274956,e
356235,m
189652,t
96129,b
339984,b
388753,t
314312,e
234635,b
122084,t
3076,e
93738,e
331765,t
73270,e
197457,b
10143,t
272594,b
233392,e
234212,m
398933,b
330644,t
19255,e
420788,e
182084,t
120697,b
281894,m
150605,b
182337,e
159169,b
312297,t
245360,m
206579,e
361561,m
200060,b
49907,m
18814,e
44264,b
103974,e
110885,e
107410,e
198238,t
190206,e
1745,t
69592,e
117918,t
420956,e
48965,e
314643,m
214382,t
220106,b
261812,e
165675,b
374390,b
209131,t
262411,m
40461,e
192482,b
164769,t
94996,m
133956,t
200928,t
110161,t
342206,e
369287,e
92566,t
194133,e
118740,e
41738,b
168365,e
60378,b
195057,e
318296,t
168924,t
184086,e
308498,b
90294,m
321014,e
237693,b
79001,e
339228,b
133780,t
111751,m
106613,e
404964,m
15032,e
324217,t
219715,b
346762,e
120114,m
329933,m
71938,t
92539,t
17029,b
264111,t
400638,m
34777,b
139152,m
401108,b
408068,e
4162,e
121055,b
92930,t
145486,b
370272,e
56453,t
134288,e
344525,b
164395,t
30872,t
275726,b
215209,b
102697,t
12170,m
193777,t
116812,b
238599,b
392153,t
97006,t
83769,b
111797,b
301163,m
274386,e
325257,e
140809,e
10121,t
2450,e
396771,e
98906,e
44164,b
241435,b
289770,m
281060,e
7183,e
53574,e
217816,t
277347,b
235339,t
338916,b
102035,b
85605,e
207831,b
355061,e
163952,b
46572,m
365134,t
185606,b
217070,b
218748,e
230473,b
99829,e
278200,t
354150,t
210875,e
182037,t
242274,t
364256,b
215255,t
321269,e
200444,b
366461,e
178322,e
27855,e
264461,t
180570,b
371724,b
207595,m
305734,b
9665,b
117165,b
13381,b
129611,t
374884,t
164197,t
400085,t
35603,b
52972,t
316035,t
404718,m
275002,e
215963,e
286119,b
207561,m
169851,e
399376,t
282324,b
354044,t
149353,b
42611,e
204785,b
363288,e
49121,e
144191,e
124012,e
14765,e
366196,e
250599,t
20520,m
86606,e
59432,e
230890,b
148418,e
253511,t
11873,e
173960,t
86704,e
217214,b
330218,b
377755,b
203268,m
69621,e
32608,b
68382,b
287975,e
305860,b
185970,t
353537,b
320444,e
226038,b
250036,b
166712,b
248814,t
165122,e
294253,b
258890,m
260653,t
222342,t
58372,e
419631,t
396593,e
129021,b
75581,e
202041,e
246824,e
181066,b
257257,t
377679,b
408243,e
181063,b
25833,t
234268,m
282334,b
333826,m
78260,t
111163,e
348653,b
84147,b
274942,e
352752,m
139316,m
85966,e
31338,t
401418,b
34432,m
151332,e
32278,e
360446,t
127144,e
202204,e
55335,b
271198,e
397656,m
222916,e
340216,t
38948,b
147135,t
27924,e
374303,e
413039,b
327177,b
134914,e
148667,m
161927,t
354666,e
148117,e
355086,e
18219,t
188617,b
111630,e
75531,e
82900,e
393002,t
152652,b
144646,b
150657,e
176764,b
43433,m
404352,e
484,b
25720,e
415872,e
369713,e
62623,e
296921,m
42389,t
64401,b
414666,m
190101,e
302098,e
6504,e
354519,e
120404,m
16488,b
73421,t
394364,b
269078,t
245416,b
290690,b
360568,b
14399,e
300713,b
95292,m
398801,b
409392,m
320447,e
251768,e
320355,e
391545,m
130801,e
333541,e
170321,m
238061,b
352376,e
214210,t
119029,e
173856,b
381757,e
300088,e
290676,b
157355,e
286988,t
24360,b
308506,b
113015,t
110847,e
92578,t
370863,b
235394,t
239550,t
119940,e
421238,e
389447,e
337950,e
19059,e
379511,m
421102,e
209312,b
234356,b
24610,b
164913,e
344885,b
141588,t
151223,e
338667,m
322234,b
3125,e
21852,t
31275,t
287575,e
120210,m
371157,b
294548,b
334003,m
125376,b
358470,e
173525,b
54330,e
141600,t
311100,b
157207,e
89074,e
353745,b
372185,e
193574,t
35597,b
205767,e
177123,t
236874,e
410764,b
172675,t
162452,e
328298,t
17877,t
260698,t
287554,e
418062,b
153979,e
282311,b
399690,t
230140,b
232599,e
288020,e
369670,e
306244,b
334319,b
366783,m
259658,t
120430,m
320630,e
127195,e
389618,e
305352,t
308785,b
263544,b
262027,e
367417,b
201036,t
321989,m
386480,m
31098,t
126191,t
388750,t
231046,b
78456,e
20140,m
2864,b
298431,t
177410,t
11405,e
216120,m
157448,e
327559,t
164133,t
244918,m
228193,e
20110,e
412578,b
404265,e
49960,m
342587,e
52510,t
367141,b
135017,e
301976,t
156236,b
2032,t
388274,t
372845,e
294071,b
44359,b
251167,e
113884,b
186252,t
208816,t
76375,e
6464,e
404067,e
242530,e
366472,e
65231,e
417869,b
313531,e
11670,e
188109,t
44672,t
278755,b
205516,t
141407,b
118153,t
47178,b
140566,e
140533,e
178127,e
274355,e
48580,t
313613,e
5762,t
207502,m
38670,t
99338,e
252894,b
111903,b
314075,e
129486,t
270958,e
149163,b
153132,t
368589,t
204369,b
229201,e
364211,b
15067,e
233722,e
215818,e
401824,t
378643,t
309976,e
281289,m
205049,t
128143,b
144319,e
226024,b
210007,e
98752,e
210343,e
697,b
189551,t
78383,e
280161,e
104055,e
239056,t
388401,t
328772,e
169809,e
163046,m
329186,e
277436,b
184881,b
288630,b
320303,e
371297,b
239833,e
12641,b
380769,e
218427,e
48047,b
188993,b
162202,e
328007,t
374549,b
132702,b
320406,e
214327,t
307417,b
355272,e
164685,t
21440,e
415997,e
378553,t
122489,t
361061,e
205811,e
49471,e
318526,t
192200,b
63707,m
279613,e
28426,m
236963,e
376514,m
172589,t
269718,t
165441,e
108188,t
14549,e
148752,m
255738,b
72720,e
87364,b
44299,b
421366,e
396226,e
84415,b
7723,m
371960,b
18115,t
369645,e
312439,t
224668,t
21283,b
3281,e
18145,t
410692,b
315917,t
180488,b
177818,e
232598,e
4827,b
375290,e
390481,m
98966,e
116142,b
213904,t
370993,m
49643,e
30601,b
396309,e
282695,b
189731,t
333415,e
401393,b
52236,t
377819,b
308302,b
218485,e
19606,e
241901,t
384814,b
293209,e
207373,m
168137,e
309575,b
81216,b
140676,e
15986,b
311076,b
276430,b
366162,b
238320,b
143005,b
117046,b
285213,e
83097,e
308285,b
322731,b
119349,e
287715,e
408971,e
193023,t
355170,e
363280,t
136357,e
318310,t
392594,t
40468,e
118732,e
39180,t
382208,e
167369,t
388726,t
78965,e
350310,t
270022,b
323770,t
264308,t
284546,e
21541,t
116333,b
382217,e
236664,e
286314,t
296041,e
86291,e
243280,e
345160,t
22522,e
260940,t
20786,b
48001,e
164661,t
23657,e
343787,m
59240,e
217460,t
211278,e
34102,m
95231,m
251720,e
223556,b
420118,t
325327,e
222303,b
328232,t
380054,b
296503,e
161746,e
56047,m
396899,e
259426,b
215499,e
376220,e
225629,b
119010,e
241537,b
130646,e
256210,b
44843,t
394148,b
150949,e
284190,t
146037,e
370132,e
204572,b
54033,e
88969,e
76740,b
275490,m
