Car_name,Num_of_reviews,General_rate,Comfort,Interior design,Performance,Value for the money,Exterior styling,Reliability,Year,Brand,Model
2018     Acura     RDX.,94.0,4.8,4.8,4.7,4.7,4.7,4.7,4.9,2018,Acura,RDX.
2018     Acura     MDX.,62.0,4.7,4.9,4.6,4.7,4.5,4.7,4.8,2018,Acura,MDX.
2018     Acura     ILX.,20.0,4.6,4.6,4.4,4.5,4.6,4.6,4.6,2018,Acura,ILX.
2018     Acura     MDX Sport Hybrid.,8.0,4.4,4.6,4.1,4.6,4.1,4.4,4.5,2018,Acura,MDX Sport Hybrid.
2018     Acura     RLX Sport Hybrid.,3.0,4.8,5.0,4.7,5.0,5.0,4.3,4.7,2018,Acura,RLX Sport Hybrid.
2018     Acura     NSX.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,2018,Acura,NSX.
2017     Acura     ILX.,38.0,4.7,4.7,4.7,4.6,4.7,4.8,4.8,2017,Acura,ILX.
2017     Acura     MDX.,133.0,4.6,4.7,4.5,4.5,4.5,4.8,4.7,2017,Acura,MDX.
2017     Acura     RDX.,102.0,4.7,4.7,4.6,4.8,4.6,4.7,4.9,2017,Acura,RDX.
2017     Acura     NSX.,17.0,4.8,4.8,4.6,4.9,4.6,4.9,5.0,2017,Acura,NSX.
2017     Acura     TLX.,40.0,4.7,4.8,4.6,4.4,4.6,4.7,4.8,2017,Acura,TLX.
2017     Acura     RLX.,3.0,4.7,5.0,4.3,4.3,4.7,4.7,4.5,2017,Acura,RLX.
2017     Acura     RLX Sport Hybrid.,3.0,4.6,4.7,4.3,5.0,4.0,4.3,5.0,2017,Acura,RLX Sport Hybrid.
2017     Acura     MDX Sport Hybrid.,10.0,4.7,4.6,4.6,5.0,4.4,4.7,4.9,2017,Acura,MDX Sport Hybrid.
2016     Acura     MDX.,114.0,4.6,4.7,4.5,4.5,4.5,4.5,4.6,2016,Acura,MDX.
2016     Acura     ILX.,44.0,4.4,4.4,4.2,4.3,4.4,4.5,4.7,2016,Acura,ILX.
2016     Acura     RDX.,61.0,4.8,4.8,4.7,4.9,4.6,4.8,4.8,2016,Acura,RDX.
2016     Acura     TLX.,54.0,4.5,4.6,4.4,4.5,4.3,4.6,4.5,2016,Acura,TLX.
2016     Acura     RLX.,9.0,4.2,4.2,4.2,4.6,4.2,4.2,3.7,2016,Acura,RLX.
2015     Acura     MDX.,63.0,4.7,4.8,4.7,4.8,4.7,4.6,4.8,2015,Acura,MDX.
2015     Acura     RLX.,2.0,4.8,5.0,4.5,5.0,4.0,5.0,5.0,2015,Acura,RLX.
2015     Acura     TLX.,125.0,4.5,4.7,4.5,4.4,4.4,4.6,4.5,2015,Acura,TLX.
2015     Acura     RDX.,69.0,4.6,4.7,4.4,4.6,4.4,4.5,4.8,2015,Acura,RDX.
2015     Acura     ILX.,23.0,4.7,4.7,4.5,4.6,4.7,4.6,4.8,2015,Acura,ILX.
2014     Acura     MDX.,113.0,4.6,4.8,4.6,4.7,4.3,4.6,4.6,2014,Acura,MDX.
2014     Acura     ILX.,32.0,4.7,4.7,4.6,4.6,4.7,4.7,4.8,2014,Acura,ILX.
2014     Acura     TL.,29.0,4.8,4.8,4.8,4.9,4.7,4.7,4.9,2014,Acura,TL.
2014     Acura     RLX.,33.0,4.3,4.5,4.5,4.4,4.1,4.5,3.9,2014,Acura,RLX.
2014     Acura     RDX.,79.0,4.7,4.8,4.6,4.8,4.6,4.7,4.8,2014,Acura,RDX.
2014     Acura     TSX.,15.0,4.7,4.7,4.6,4.7,4.7,4.6,4.9,2014,Acura,TSX.
2013     Acura     RDX.,84.0,4.4,4.5,4.4,4.4,4.4,4.5,4.4,2013,Acura,RDX.
2013     Acura     TSX.,27.0,4.8,4.7,4.8,4.7,4.6,4.8,4.9,2013,Acura,TSX.
2013     Acura     TL.,60.0,4.7,4.7,4.6,4.8,4.6,4.6,4.7,2013,Acura,TL.
2013     Acura     MDX.,46.0,4.6,4.7,4.6,4.7,4.4,4.7,4.7,2013,Acura,MDX.
2013     Acura     ILX Hybrid.,12.0,4.4,4.4,4.5,3.9,4.3,4.7,4.6,2013,Acura,ILX Hybrid.
2013     Acura     ILX.,47.0,4.6,4.5,4.6,4.5,4.5,4.6,4.7,2013,Acura,ILX.
2012     Acura     TSX.,51.0,4.7,4.8,4.6,4.6,4.5,4.8,4.9,2012,Acura,TSX.
2012     Acura     TL.,94.0,4.7,4.7,4.7,4.7,4.7,4.7,4.8,2012,Acura,TL.
2012     Acura     MDX.,65.0,4.6,4.8,4.6,4.6,4.5,4.6,4.7,2012,Acura,MDX.
2012     Acura     ZDX.,4.0,4.7,4.5,4.5,4.8,4.5,4.8,5.0,2012,Acura,ZDX.
2012     Acura     RDX.,14.0,4.6,4.6,4.5,4.8,4.6,4.7,4.7,2012,Acura,RDX.
2023     Audi     S4.,,,,,,,,,2023,Audi,S4.
2023     Audi     Q8.,,,,,,,,,2023,Audi,Q8.
2023     Audi     A4.,,,,,,,,,2023,Audi,A4.
2023     Audi     Q3.,,,,,,,,,2023,Audi,Q3.
2023     Audi     A5.,,,,,,,,,2023,Audi,A5.
2023     Audi     S3.,,,,,,,,,2023,Audi,S3.
2023     Audi     A8.,,,,,,,,,2023,Audi,A8.
2023     Audi     SQ5.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023,Audi,SQ5.
2023     Audi     Q5.,3.0,4.6,5.0,4.7,4.7,4.0,5.0,5.0,2023,Audi,Q5.
2023     Audi     Q5 e.,,,,,,,,,2023,Audi,Q5 e.
2023     Audi     Q7.,,,,,,,,,2023,Audi,Q7.
2023     Audi     R8.,,,,,,,,,2023,Audi,R8.
2023     Audi     SQ7.,,,,,,,,,2023,Audi,SQ7.
2023     Audi     RS 5.,,,,,,,,,2023,Audi,RS 5.
2023     Audi     Q4 e-tron.,,,,,,,,,2023,Audi,Q4 e-tron.
2023     Audi     Q5 Sportback.,,,,,,,,,2023,Audi,Q5 Sportback.
2023     Audi     A6.,,,,,,,,,2023,Audi,A6.
2023     Audi     S5.,,,,,,,,,2023,Audi,S5.
2023     Audi     A3.,,,,,,,,,2023,Audi,A3.
2023     Audi     S6.,,,,,,,,,2023,Audi,S6.
2023     Audi     S8.,,,,,,,,,2023,Audi,S8.
2023     Audi     A7.,,,,,,,,,2023,Audi,A7.
2023     Audi     A4 allroad.,,,,,,,,,2023,Audi,A4 allroad.
2023     Audi     RS 7.,,,,,,,,,2023,Audi,RS 7.
2023     Audi     TT.,,,,,,,,,2023,Audi,TT.
2023     Audi     RS 6 Avant.,,,,,,,,,2023,Audi,RS 6 Avant.
2023     Audi     SQ8.,,,,,,,,,2023,Audi,SQ8.
2023     Audi     SQ5 Sportback.,1.0,3.9,4.0,3.0,5.0,3.0,3.0,5.0,2023,Audi,SQ5 Sportback.
2023     Audi     TTS.,,,,,,,,,2023,Audi,TTS.
2023     Audi     RS 3.,,,,,,,,,2023,Audi,RS 3.
2023     Audi     A6 allroad.,,,,,,,,,2023,Audi,A6 allroad.
2023     Audi     S7.,,,,,,,,,2023,Audi,S7.
2022     Audi     Q3.,1.0,4.6,5.0,4.0,4.0,5.0,5.0,5.0,2022,Audi,Q3.
2022     Audi     S5.,,,,,,,,,2022,Audi,S5.
2022     Audi     S4.,,,,,,,,,2022,Audi,S4.
2022     Audi     Q7.,2.0,4.2,4.5,4.5,4.0,4.0,4.0,4.0,2022,Audi,Q7.
2022     Audi     RS 5.,,,,,,,,,2022,Audi,RS 5.
2022     Audi     SQ7.,,,,,,,,,2022,Audi,SQ7.
2022     Audi     SQ5.,,,,,,,,,2022,Audi,SQ5.
2022     Audi     Q8.,1.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2022,Audi,Q8.
2022     Audi     A6.,,,,,,,,,2022,Audi,A6.
2022     Audi     S6.,,,,,,,,,2022,Audi,S6.
2022     Audi     TT.,,,,,,,,,2022,Audi,TT.
2022     Audi     Q5.,2.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2022,Audi,Q5.
2022     Audi     R8.,,,,,,,,,2022,Audi,R8.
2022     Audi     A4.,1.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2022,Audi,A4.
2022     Audi     A8.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022,Audi,A8.
2022     Audi     A6 allroad.,,,,,,,,,2022,Audi,A6 allroad.
2022     Audi     RS Q8.,,,,,,,,,2022,Audi,RS Q8.
2022     Audi     A3.,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022,Audi,A3.
2022     Audi     A4 allroad.,,,,,,,,,2022,Audi,A4 allroad.
2022     Audi     e-tron GT.,,,,,,,,,2022,Audi,e-tron GT.
2022     Audi     A5.,,,,,,,,,2022,Audi,A5.
2022     Audi     S8.,,,,,,,,,2022,Audi,S8.
2022     Audi     TT RS.,,,,,,,,,2022,Audi,TT RS.
2022     Audi     S3.,,,,,,,,,2022,Audi,S3.
2022     Audi     RS e-tron GT.,,,,,,,,,2022,Audi,RS e-tron GT.
2022     Audi     A7.,,,,,,,,,2022,Audi,A7.
2022     Audi     RS 6 Avant.,,,,,,,,,2022,Audi,RS 6 Avant.
2022     Audi     RS 7.,2.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2022,Audi,RS 7.
2022     Audi     S7.,,,,,,,,,2022,Audi,S7.
2022     Audi     Q5 e.,2.0,4.8,5.0,5.0,5.0,4.5,5.0,4.5,2022,Audi,Q5 e.
2022     Audi     e-tron.,,,,,,,,,2022,Audi,e-tron.
2022     Audi     Q4 e-tron.,2.0,4.2,4.0,4.5,4.0,3.5,5.0,4.0,2022,Audi,Q4 e-tron.
2022     Audi     RS 3.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022,Audi,RS 3.
2021     Audi     S5.,3.0,4.9,5.0,5.0,5.0,4.3,5.0,5.0,2021,Audi,S5.
2021     Audi     RS 7.,3.0,5.0,5.0,5.0,5.0,4.7,5.0,5.0,2021,Audi,RS 7.
2021     Audi     SQ7.,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,SQ7.
2021     Audi     SQ5.,,,,,,,,,2021,Audi,SQ5.
2021     Audi     A6 allroad.,2.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,2021,Audi,A6 allroad.
2021     Audi     TTS.,,,,,,,,,2021,Audi,TTS.
2021     Audi     RS 5.,2.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2021,Audi,RS 5.
2021     Audi     SQ8.,,,,,,,,,2021,Audi,SQ8.
2021     Audi     Q5.,16.0,4.6,4.6,4.4,4.7,4.2,4.5,4.7,2021,Audi,Q5.
2021     Audi     A5.,7.0,4.8,5.0,4.7,5.0,4.7,4.9,4.4,2021,Audi,A5.
2021     Audi     S7.,,,,,,,,,2021,Audi,S7.
2021     Audi     Q3.,8.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,2021,Audi,Q3.
2021     Audi     A7.,,,,,,,,,2021,Audi,A7.
2021     Audi     RS Q8.,3.0,4.9,5.0,5.0,5.0,4.3,5.0,4.7,2021,Audi,RS Q8.
2021     Audi     Q8.,3.0,5.0,5.0,5.0,5.0,4.7,5.0,5.0,2021,Audi,Q8.
2021     Audi     TT.,,,,,,,,,2021,Audi,TT.
2021     Audi     A4.,4.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,2021,Audi,A4.
2021     Audi     S4.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,S4.
2021     Audi     A4 allroad.,2.0,4.0,4.0,4.5,3.5,4.0,4.0,4.0,2021,Audi,A4 allroad.
2021     Audi     Q7.,13.0,4.6,4.9,4.6,4.5,4.3,4.9,4.3,2021,Audi,Q7.
2021     Audi     RS 6 Avant.,1.0,4.7,5.0,5.0,5.0,3.0,5.0,5.0,2021,Audi,RS 6 Avant.
2021     Audi     S6.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,S6.
2021     Audi     A6.,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,A6.
2021     Audi     A8.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,A8.
2021     Audi     R8.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,R8.
2021     Audi     e-tron.,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Audi,e-tron.
2021     Audi     TT RS.,2.0,4.8,4.0,5.0,5.0,4.5,5.0,5.0,2021,Audi,TT RS.
2021     Audi     Q5 e.,3.0,5.0,5.0,5.0,5.0,4.7,5.0,5.0,2021,Audi,Q5 e.
2021     Audi     S8.,,,,,,,,,2021,Audi,S8.
2021     Audi     A7 e.,1.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2021,Audi,A7 e.
2020     Audi     SQ5.,5.0,4.7,4.8,4.6,4.8,4.4,4.8,4.6,2020,Audi,SQ5.
2020     Audi     A6.,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020,Audi,A6.
2020     Audi     Q3.,38.0,4.0,4.4,4.2,3.7,3.7,4.7,3.5,2020,Audi,Q3.
2020     Audi     S5.,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020,Audi,S5.
2020     Audi     A4 allroad.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,2020,Audi,A4 allroad.
2020     Audi     A3.,9.0,5.0,5.0,5.0,5.0,4.9,5.0,5.0,2020,Audi,A3.
2020     Audi     R8.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,2020,Audi,R8.
2020     Audi     A5.,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020,Audi,A5.
2020     Audi     SQ8.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020,Audi,SQ8.
2020     Audi     S6.,,,,,,,,,2020,Audi,S6.
2020     Audi     S3.,1.0,4.8,5.0,5.0,5.0,4.0,5.0,,2020,Audi,S3.
2020     Audi     Q8.,6.0,4.7,4.7,4.8,4.7,4.5,4.8,4.6,2020,Audi,Q8.
2020     Audi     A8 e.,,,,,,,,,2020,Audi,A8 e.
2020     Audi     Q5 e.,,,,,,,,,2020,Audi,Q5 e.
2020     Audi     S4.,5.0,4.8,5.0,5.0,4.8,4.6,4.8,5.0,2020,Audi,S4.
2020     Audi     RS Q8.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,2020,Audi,RS Q8.
2020     Audi     Q7.,6.0,5.0,5.0,4.8,5.0,4.8,5.0,5.0,2020,Audi,Q7.
2020     Audi     A4.,5.0,4.3,4.6,4.8,4.2,3.8,4.4,3.8,2020,Audi,A4.
2020     Audi     S8.,4.0,4.7,5.0,5.0,5.0,4.2,4.8,4.2,2020,Audi,S8.
2020     Audi     A8.,2.0,4.7,5.0,5.0,5.0,4.0,5.0,4.0,2020,Audi,A8.
2020     Audi     Q5.,31.0,4.7,4.7,4.6,4.8,4.6,4.7,4.6,2020,Audi,Q5.
2020     Audi     TT.,2.0,3.7,4.0,4.0,3.0,3.0,4.0,5.0,2020,Audi,TT.
2020     Audi     TT RS.,,,,,,,,,2020,Audi,TT RS.
2020     Audi     SQ7.,,,,,,,,,2020,Audi,SQ7.
2020     Audi     A7.,6.0,3.7,4.3,4.5,3.8,3.0,4.5,2.6,2020,Audi,A7.
2020     Audi     S7.,,,,,,,,,2020,Audi,S7.
2020     Audi     A6 allroad.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020,Audi,A6 allroad.
2019     Audi     A4 allroad.,2.0,4.6,5.0,4.5,5.0,4.0,5.0,4.0,2019,Audi,A4 allroad.
2019     Audi     A8.,6.0,4.7,5.0,4.3,4.8,4.7,4.7,4.8,2019,Audi,A8.
2019     Audi     RS 5.,11.0,4.8,4.6,4.7,4.8,4.5,5.0,4.9,2019,Audi,RS 5.
2019     Audi     A6.,26.0,4.5,4.7,4.7,4.4,4.1,4.8,4.2,2019,Audi,A6.
2019     Audi     A4.,21.0,4.8,5.0,4.9,4.7,4.5,4.7,4.8,2019,Audi,A4.
2019     Audi     S4.,4.0,4.8,5.0,4.8,5.0,4.8,4.8,4.8,2019,Audi,S4.
2019     Audi     Q3.,9.0,4.7,5.0,4.9,4.7,4.4,4.9,4.6,2019,Audi,Q3.
2019     Audi     S5.,11.0,4.7,4.7,5.0,4.6,4.4,4.5,4.8,2019,Audi,S5.
2019     Audi     Q5.,43.0,4.7,4.8,4.6,4.7,4.5,4.7,4.7,2019,Audi,Q5.
2019     Audi     SQ5.,7.0,4.8,4.6,4.9,4.9,4.9,4.6,4.9,2019,Audi,SQ5.
2019     Audi     Q8.,27.0,4.8,4.9,4.8,4.8,4.6,5.0,4.9,2019,Audi,Q8.
2019     Audi     A7.,8.0,4.8,5.0,5.0,4.9,4.4,4.9,4.8,2019,Audi,A7.
2019     Audi     A3.,6.0,4.8,5.0,4.7,5.0,4.5,4.8,4.8,2019,Audi,A3.
2019     Audi     A5.,16.0,4.9,4.9,4.9,4.8,4.8,4.9,4.9,2019,Audi,A5.
2019     Audi     Q7.,45.0,4.7,4.8,4.6,4.8,4.5,4.7,4.6,2019,Audi,Q7.
2019     Audi     RS 3.,,,,,,,,,2019,Audi,RS 3.
2019     Audi     TT RS.,1.0,4.9,5.0,5.0,5.0,5.0,5.0,4.0,2019,Audi,TT RS.
2019     Audi     TT.,4.0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,2019,Audi,TT.
2019     Audi     TTS.,2.0,4.8,4.0,5.0,5.0,5.0,5.0,5.0,2019,Audi,TTS.
2019     Audi     S3.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2019,Audi,S3.
2018     Audi     A4 allroad.,5.0,4.8,4.8,4.8,5.0,4.4,4.8,4.5,2018,Audi,A4 allroad.
2018     Audi     RS 5.,5.0,4.8,4.8,4.8,5.0,4.2,5.0,4.8,2018,Audi,RS 5.
2018     Audi     S5.,42.0,4.7,4.8,4.9,4.6,4.4,4.7,4.8,2018,Audi,S5.
2018     Audi     A4.,82.0,4.8,4.8,4.9,4.8,4.6,4.8,4.7,2018,Audi,A4.
2018     Audi     TT RS.,13.0,4.8,4.7,4.7,5.0,4.5,4.7,4.9,2018,Audi,TT RS.
2018     Audi     Q7.,63.0,4.7,4.9,4.8,4.8,4.5,4.7,4.7,2018,Audi,Q7.
2018     Audi     R8.,5.0,4.9,4.8,5.0,5.0,4.6,5.0,4.8,2018,Audi,R8.
2018     Audi     A3.,34.0,4.9,4.9,4.9,4.9,4.7,4.9,4.9,2018,Audi,A3.
2018     Audi     A7.,11.0,4.8,4.9,4.8,4.9,4.4,4.8,4.8,2018,Audi,A7.
2018     Audi     S3.,4.0,4.8,4.5,5.0,5.0,4.8,4.5,5.0,2018,Audi,S3.
2018     Audi     TT.,5.0,4.4,4.2,4.0,4.6,4.0,5.0,4.8,2018,Audi,TT.
2018     Audi     S4.,19.0,4.8,4.8,4.9,4.9,4.6,4.7,4.8,2018,Audi,S4.
2018     Audi     A6.,23.0,4.7,4.7,4.7,4.7,4.4,4.8,4.9,2018,Audi,A6.
2018     Audi     Q5.,181.0,4.7,4.7,4.7,4.7,4.4,4.7,4.6,2018,Audi,Q5.
2018     Audi     RS 3.,9.0,4.9,4.4,5.0,5.0,4.9,5.0,4.8,2018,Audi,RS 3.
2018     Audi     Q3.,52.0,4.8,4.8,4.8,4.7,4.6,4.9,4.8,2018,Audi,Q3.
2018     Audi     SQ5.,27.0,4.6,4.7,4.8,4.6,4.3,4.8,4.6,2018,Audi,SQ5.
2018     Audi     A5.,82.0,4.9,4.8,4.8,4.9,4.6,5.0,5.0,2018,Audi,A5.
2018     Audi     A8.,7.0,4.8,4.9,4.9,5.0,4.4,4.9,4.8,2018,Audi,A8.
2018     Audi     S7.,,,,,,,,,2018,Audi,S7.
2018     Audi     S6.,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2018,Audi,S6.
2018     Audi     RS 7.,1.0,4.7,5.0,5.0,4.0,4.0,5.0,5.0,2018,Audi,RS 7.
2018     Audi     A3 e-tron.,9.0,4.7,4.8,4.7,4.7,4.4,4.9,4.6,2018,Audi,A3 e-tron.
2018     Audi     TTS.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2018,Audi,TTS.
2017     Audi     Q5.,45.0,4.8,4.9,4.8,4.8,4.6,4.8,4.9,2017,Audi,Q5.
2017     Audi     RS 7.,5.0,4.9,4.8,4.8,5.0,4.6,5.0,4.8,2017,Audi,RS 7.
2017     Audi     A7.,9.0,4.6,4.8,4.7,4.8,4.4,4.8,4.7,2017,Audi,A7.
2017     Audi     A4 allroad.,16.0,4.7,4.8,4.6,4.8,4.2,4.8,4.8,2017,Audi,A4 allroad.
2017     Audi     A4.,90.0,4.8,4.8,4.9,4.8,4.6,4.7,4.8,2017,Audi,A4.
2017     Audi     S8.,1.0,4.9,5.0,5.0,5.0,4.0,5.0,5.0,2017,Audi,S8.
2017     Audi     S3.,10.0,4.6,4.2,5.0,4.9,4.1,5.0,4.2,2017,Audi,S3.
2017     Audi     A6.,30.0,4.8,4.8,4.9,4.9,4.5,4.9,4.8,2017,Audi,A6.
2017     Audi     A8.,12.0,4.8,4.8,5.0,4.8,4.7,4.8,4.7,2017,Audi,A8.
2017     Audi     TTS.,6.0,4.8,4.8,4.7,5.0,4.2,5.0,5.0,2017,Audi,TTS.
2017     Audi     A3.,32.0,4.6,4.7,4.7,4.6,4.3,4.7,4.6,2017,Audi,A3.
2017     Audi     A3 e-tron.,6.0,4.3,3.8,4.0,4.7,4.0,4.7,4.6,2017,Audi,A3 e-tron.
2017     Audi     TT.,7.0,4.8,4.7,4.9,4.9,4.4,5.0,4.7,2017,Audi,TT.
2017     Audi     Q7.,72.0,4.7,4.9,4.8,4.7,4.4,4.7,4.6,2017,Audi,Q7.
2017     Audi     S7.,7.0,4.8,5.0,4.9,5.0,4.4,5.0,4.5,2017,Audi,S7.
2017     Audi     SQ5.,6.0,4.9,4.8,5.0,5.0,4.5,5.0,4.8,2017,Audi,SQ5.
2017     Audi     R8.,8.0,4.9,4.9,5.0,5.0,4.4,5.0,4.9,2017,Audi,R8.
2017     Audi     Q3.,28.0,4.5,4.6,4.4,4.5,4.4,4.5,4.7,2017,Audi,Q3.
2017     Audi     S5.,3.0,4.9,4.3,5.0,5.0,4.7,5.0,5.0,2017,Audi,S5.
2017     Audi     S6.,4.0,4.6,5.0,4.8,4.5,4.5,4.5,5.0,2017,Audi,S6.
2017     Audi     A5.,5.0,4.7,4.8,4.6,5.0,4.2,4.8,4.8,2017,Audi,A5.
2017     Audi     RS 3.,3.0,4.8,4.7,4.7,5.0,4.3,5.0,5.0,2017,Audi,RS 3.
2016     Audi     S6.,7.0,4.8,4.9,4.9,5.0,4.6,4.4,4.9,2016,Audi,S6.
2016     Audi     Q5.,45.0,4.7,4.8,4.7,4.8,4.6,4.7,4.7,2016,Audi,Q5.
2016     Audi     S7.,7.0,4.9,5.0,4.9,5.0,4.9,4.9,5.0,2016,Audi,S7.
2016     Audi     RS 7.,8.0,4.8,4.6,4.6,5.0,4.5,5.0,4.8,2016,Audi,RS 7.
2016     Audi     S3.,22.0,4.8,4.5,4.8,4.9,4.5,5.0,4.7,2016,Audi,S3.
2016     Audi     S5.,15.0,4.8,4.8,4.7,4.8,4.4,4.9,4.7,2016,Audi,S5.
2016     Audi     A6.,45.0,4.8,4.9,4.9,4.8,4.6,4.8,4.8,2016,Audi,A6.
2016     Audi     A7.,27.0,4.7,4.7,4.6,4.9,4.3,4.9,4.7,2016,Audi,A7.
2016     Audi     A8.,14.0,4.8,4.9,4.8,4.9,4.7,4.8,4.9,2016,Audi,A8.
2016     Audi     TT.,14.0,4.9,4.9,5.0,4.7,4.6,4.9,4.9,2016,Audi,TT.
2016     Audi     SQ5.,16.0,4.8,4.6,4.8,4.9,4.6,4.9,4.6,2016,Audi,SQ5.
2016     Audi     A5.,25.0,4.8,4.8,4.9,4.7,4.6,5.0,4.7,2016,Audi,A5.
2016     Audi     A3 e-tron.,14.0,4.5,4.6,4.5,4.5,4.0,4.6,4.4,2016,Audi,A3 e-tron.
2016     Audi     S8.,3.0,4.7,5.0,4.3,5.0,4.7,4.3,4.7,2016,Audi,S8.
2016     Audi     allroad.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2016,Audi,allroad.
