district,stop_time,is_arrested,fine_grained_location,stop_date,county_name,out_of_state,search_type,id,driver_race_raw,driver_race,police_department,stop_outcome,driver_age,stop_duration,search_conducted,state,county_fips,search_type_raw,driver_age_raw,contraband_found,driver_gender,violation_raw,violation,drugs_related_stop,location_raw
Zone K2,15:02,False,,2005-10-22,,False,,RI-2005-03188,W,White,900,Citation,27.0,0-15 Min,False,RI,,,1978.0,False,F,Speeding,Speeding,False,Zone K2
Zone K2,16:30,True,,2005-11-20,,False,Incident to Arrest,RI-2005-08189,H,Hispanic,900,Arrest Driver,32.0,30+ Min,True,RI,,Incident to Arrest,1973.0,True,M,Speeding,Speeding,False,Zone K2
Zone X4,01:45,False,,2006-05-21,,False,,RI-2006-22674,W,White,500,Citation,21.0,0-15 Min,False,RI,,,1985.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone X4,07:50,True,,2005-10-05,,False,,RI-2005-00784,H,Hispanic,500,Arrest Driver,48.0,16-30 Min,False,RI,,,1957.0,False,M,Registration Violation,Registration/plates,False,Zone X4
Zone K3,14:00,False,,2006-02-09,,True,,RI-2006-06975,W,White,300,Citation,27.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone K3
Zone X3,12:55,False,,2005-10-24,,True,,RI-2005-03569,W,White,200,Citation,38.0,0-15 Min,False,RI,,,1967.0,False,M,Speeding,Speeding,False,Zone X3
Zone K3,10:20,False,,2006-04-21,,False,,RI-2006-18207,W,White,300,Citation,51.0,0-15 Min,False,RI,,,1955.0,False,F,Speeding,Speeding,False,Zone K3
Zone K3,01:26,False,,2006-01-26,,True,,RI-2006-04493,I,Asian,300,Citation,37.0,0-15 Min,False,RI,,,1969.0,False,M,Speeding,Speeding,False,Zone K3
Zone X3,10:15,False,,2006-03-20,,True,,RI-2006-12881,W,White,200,Citation,19.0,0-15 Min,False,RI,,,1987.0,False,F,Speeding,Speeding,False,Zone X3
Zone X4,23:55,False,,2005-10-15,,False,,RI-2005-02074,W,White,500,Citation,22.0,0-15 Min,False,RI,,,1983.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,17:05,False,,2005-11-23,,True,,RI-2005-08630,W,White,300,Citation,50.0,0-15 Min,False,RI,,,1955.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,22:35,False,,2005-10-09,,False,,RI-2005-01498,W,White,500,Citation,18.0,0-15 Min,False,RI,,,1987.0,False,M,Speeding,Speeding,False,Zone X4
Zone X4,00:40,False,,2006-06-12,,True,,RI-2006-26783,B,Black,500,Citation,50.0,0-15 Min,False,RI,,,1956.0,False,F,Speeding,Speeding,False,Zone X4
Zone X4,22:20,False,,2006-02-21,,False,,RI-2006-08786,W,White,500,Citation,23.0,0-15 Min,False,RI,,,1983.0,False,M,Speeding,Speeding,False,Zone X4
Zone K2,16:50,False,,2005-11-16,,False,,RI-2005-07617,W,White,900,Citation,30.0,0-15 Min,False,RI,,,1975.0,False,F,Speeding,Speeding,False,Zone K2
Zone K3,22:40,False,,2006-02-26,,False,,RI-2006-09456,W,White,300,Citation,45.0,0-15 Min,False,RI,,,1961.0,False,F,Speeding,Speeding,False,Zone K3
Zone X3,14:51,False,,2006-05-20,,True,,RI-2006-22586,W,White,500,Citation,58.0,0-15 Min,False,RI,,,1948.0,False,M,Speeding,Speeding,False,Zone X3
Zone K3,01:47,False,,2005-12-02,,True,,RI-2005-10020,W,White,300,Citation,18.0,0-15 Min,False,RI,,,1987.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,09:25,False,,2006-02-04,,False,,RI-2006-06160,W,White,500,Citation,23.0,0-15 Min,False,RI,,,1983.0,False,F,Speeding,Speeding,False,Zone X4
Zone K1,22:50,False,,2006-03-10,,False,,RI-2006-11315,L,Hispanic,600,Citation,38.0,16-30 Min,False,RI,,,1968.0,False,M,Call for Service,Other,False,Zone K1
Zone X3,19:15,False,,2005-11-08,,False,,RI-2005-06330,W,White,200,Citation,38.0,0-15 Min,False,RI,,,1967.0,False,M,Speeding,Speeding,False,Zone X3
Zone K2,17:25,False,,2006-01-02,,True,,RI-2006-00278,W,White,900,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone K2
Zone K3,09:50,False,,2006-01-28,,True,,RI-2006-04943,B,Black,300,Citation,41.0,16-30 Min,False,RI,,,1965.0,False,M,Speeding,Speeding,False,Zone K3
Zone K3,06:50,False,,2006-03-13,,True,,RI-2006-11707,W,White,300,Citation,26.0,0-15 Min,False,RI,,,1980.0,False,M,Speeding,Speeding,False,Zone K3
Zone K1,00:40,False,,2006-06-11,,False,,RI-2006-26563,W,White,600,Citation,27.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone K1
Zone K2,09:45,False,,2005-10-05,,False,,RI-2005-00801,W,White,900,Citation,24.0,0-15 Min,False,RI,,,1981.0,False,F,Speeding,Speeding,False,Zone K2
Zone X4,22:45,False,,2006-03-16,,False,,RI-2006-12339,W,White,500,Citation,21.0,0-15 Min,False,RI,,,1985.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone K1,22:30,False,,2006-05-25,,True,,RI-2006-23599,W,White,600,Citation,37.0,0-15 Min,False,RI,,,1969.0,False,M,Speeding,Speeding,False,Zone K1
Zone K2,10:32,False,,2005-10-10,,False,,RI-2005-01576,W,White,502,Citation,54.0,0-15 Min,False,RI,,,1951.0,False,M,Speeding,Speeding,False,Zone K2
Zone X3,07:55,False,,2005-11-09,,False,,RI-2005-06367,W,White,200,Citation,20.0,0-15 Min,False,RI,,,1985.0,False,M,Speeding,Speeding,False,Zone X3
Zone X4,23:35,False,,2005-12-12,,False,,RI-2005-11571,W,White,500,Citation,29.0,0-15 Min,False,RI,,,1976.0,False,M,Speeding,Speeding,False,Zone X4
Zone X3,11:30,False,,2005-10-21,,False,,RI-2005-02941,W,White,200,Citation,31.0,0-15 Min,False,RI,,,1974.0,False,F,Speeding,Speeding,False,Zone X3
Zone X4,09:45,False,,2006-05-03,,False,,RI-2006-20247,W,White,500,Citation,51.0,0-15 Min,False,RI,,,1955.0,False,M,Speeding,Speeding,False,Zone X4
Zone X4,08:25,False,,2006-02-07,,False,,RI-2006-06597,W,White,500,Citation,41.0,16-30 Min,False,RI,,,1965.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,08:58,False,,2005-10-07,,True,,RI-2005-01100,W,White,300,Citation,40.0,0-15 Min,False,RI,,,1965.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,18:00,False,,2006-06-10,,False,,RI-2006-26496,W,White,500,Citation,58.0,0-15 Min,False,RI,,,1948.0,False,M,Speeding,Speeding,False,Zone X4
Zone X1,18:45,False,,2005-10-03,,True,,RI-2005-00565,W,White,0,Warning,26.0,16-30 Min,False,RI,,,1979.0,False,M,Other Traffic Violation,Moving violation,False,Zone X1
Zone K3,14:20,False,,2005-12-13,,True,,RI-2005-11666,W,White,300,Citation,18.0,0-15 Min,False,RI,,,1987.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,17:00,False,,2005-10-05,,True,,RI-2005-00852,B,Black,500,Citation,35.0,16-30 Min,False,RI,,,1970.0,False,M,Other Traffic Violation,Moving violation,False,Zone X4
Zone X3,01:14,False,,2006-04-19,,False,,RI-2006-17830,W,White,200,Citation,34.0,0-15 Min,False,RI,,,1972.0,False,M,Speeding,Speeding,False,Zone X3
Zone X3,14:40,False,,2006-05-14,,True,,RI-2006-21732,W,White,500,Citation,20.0,0-15 Min,False,RI,,,1986.0,False,F,Equipment/Inspection Violation,Equipment,False,Zone X3
Zone X3,10:34,False,,2006-03-09,,False,,RI-2006-11014,W,White,200,Citation,27.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone X3
Zone X4,18:25,True,,2005-10-20,,False,,RI-2005-02823,B,Black,500,Arrest Driver,24.0,16-30 Min,False,RI,,,1981.0,False,M,Call for Service,Other,False,Zone X4
Zone X1,15:30,False,,2006-06-11,,False,,RI-2006-26720,W,White,000,Citation,19.0,0-15 Min,False,RI,,,1987.0,False,M,Speeding,Speeding,False,Zone X1
Zone K3,04:15,False,,2005-10-22,,False,,RI-2005-03066,B,Black,300,N/D,22.0,0-15 Min,False,RI,,,1983.0,False,F,Equipment/Inspection Violation,Equipment,False,Zone K3
Zone K1,22:24,False,,2005-11-15,,False,,RI-2005-07477,W,White,600,Citation,46.0,0-15 Min,False,RI,,,1959.0,False,F,Speeding,Speeding,False,Zone K1
Zone K2,11:00,False,,2005-11-04,,False,,RI-2005-05334,W,White,900,Citation,28.0,0-15 Min,False,RI,,,1977.0,False,M,Speeding,Speeding,False,Zone K2
Zone K1,08:15,False,,2005-10-03,,False,,RI-2005-00493,W,White,600,Citation,28.0,0-15 Min,False,RI,,,1977.0,False,F,Speeding,Speeding,False,Zone K1
Zone X3,12:30,False,,2005-11-06,,False,,RI-2005-05891,W,White,200,Citation,39.0,16-30 Min,False,RI,,,1966.0,False,M,Speeding,Speeding,False,Zone X3
Zone X4,07:05,False,,2006-05-25,,False,,RI-2006-23408,W,White,500,Citation,68.0,0-15 Min,False,RI,,,1938.0,False,M,Speeding,Speeding,False,Zone X4
Zone K2,03:00,False,,2005-11-11,,,,RI-2005-06672,W,White,900,Warning,,0-15 Min,False,RI,,,0.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone K2
Zone K3,15:05,False,,2006-05-26,,False,,RI-2006-23735,H,Hispanic,300,Citation,27.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone K3
Zone K2,02:15,False,,2006-05-20,,False,,RI-2006-22502,W,White,900,Citation,28.0,0-15 Min,False,RI,,,1978.0,False,M,Speeding,Speeding,False,Zone K2
Zone K2,09:00,False,,2005-12-17,,False,,RI-2005-12142,W,White,900,Citation,23.0,0-15 Min,False,RI,,,1982.0,False,F,Speeding,Speeding,False,Zone K2
Zone K3,12:09,False,,2006-04-04,,True,,RI-2006-15499,W,White,300,Citation,26.0,0-15 Min,False,RI,,,1980.0,False,M,Speeding,Speeding,False,Zone K3
Zone K3,06:30,False,,2006-04-21,,True,,RI-2006-18170,W,White,300,Citation,28.0,0-15 Min,False,RI,,,1978.0,False,M,Speeding,Speeding,False,Zone K3
Zone K3,19:30,False,,2005-11-18,,False,,RI-2005-07914,W,White,300,Citation,18.0,0-15 Min,False,RI,,,1987.0,False,M,Speeding,Speeding,False,Zone K3
Zone K3,21:30,True,,2005-11-25,,False,Incident to Arrest,RI-2005-08912,B,Black,300,Arrest Driver,30.0,30+ Min,True,RI,,Incident to Arrest,1975.0,True,M,Other Traffic Violation,Moving violation,False,Zone K3
Zone K1,09:05,False,,2005-11-27,,False,,RI-2005-09227,W,White,600,Citation,36.0,0-15 Min,False,RI,,,1969.0,False,M,Other Traffic Violation,Moving violation,False,Zone K1
Zone K2,02:05,False,,2006-05-19,,False,,RI-2006-22326,W,White,900,Citation,30.0,16-30 Min,False,RI,,,1976.0,False,M,Speeding,Speeding,False,Zone K2
Zone K3,20:50,False,,2006-03-11,,False,,RI-2006-11524,W,White,300,Citation,26.0,16-30 Min,False,RI,,,1980.0,False,M,Registration Violation,Registration/plates,False,Zone K3
Zone K1,13:35,False,,2006-02-13,,False,,RI-2006-07415,W,White,600,Citation,27.0,0-15 Min,False,RI,,,1979.0,False,F,Speeding,Speeding,False,Zone K1
Zone X4,20:45,False,,2006-01-08,,False,Protective Frisk,RI-2006-01242,B,Black,500,Citation,18.0,0-15 Min,True,RI,,Terry Frisk,1988.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone K2,12:11,False,,2006-04-28,,False,,RI-2006-19500,W,White,411,Citation,27.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone K2
Zone K3,06:45,False,,2005-10-30,,True,,RI-2005-04410,W,White,300,Citation,33.0,0-15 Min,False,RI,,,1972.0,False,M,Speeding,Speeding,False,Zone K3
Zone K2,01:05,False,,2006-05-14,,True,,RI-2006-21692,W,White,900,Citation,26.0,0-15 Min,False,RI,,,1980.0,False,M,Speeding,Speeding,False,Zone K2
Zone X4,10:30,False,,2005-12-12,,False,,RI-2005-11455,I,Asian,500,Citation,64.0,0-15 Min,False,RI,,,1941.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone X3,08:50,False,,2005-10-24,,False,,RI-2005-03502,W,White,200,Citation,59.0,0-15 Min,False,RI,,,1946.0,False,F,Other Traffic Violation,Moving violation,False,Zone X3
Zone K2,00:30,False,,2006-01-10,,True,,RI-2006-01539,W,White,900,Citation,21.0,0-15 Min,False,RI,,,1985.0,False,M,Speeding,Speeding,False,Zone K2
Zone X1,09:55,False,,2006-05-25,,False,,RI-2006-23472,W,White,000,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,M,Other Traffic Violation,Moving violation,False,Zone X1
Zone X4,00:00,True,,2005-11-16,,False,"Incident to Arrest,Protective Frisk",RI-2005-07491,L,Hispanic,500,Arrest Driver,26.0,16-30 Min,True,RI,,"Incident to Arrest,Terry Frisk",1979.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone X4,00:00,False,,2006-03-10,,False,,RI-2006-11128,W,White,500,Citation,18.0,0-15 Min,False,RI,,,1988.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,10:50,False,,2005-11-17,,False,,RI-2005-07721,W,White,300,Citation,51.0,0-15 Min,False,RI,,,1954.0,False,F,Speeding,Speeding,False,Zone K3
Zone K2,00:10,False,,2005-11-28,,False,,RI-2005-09412,B,Black,900,Citation,22.0,0-15 Min,False,RI,,,1983.0,False,M,Other Traffic Violation,Moving violation,False,Zone K2
Zone K3,00:40,False,,2005-12-21,,False,,RI-2005-12720,W,White,300,Citation,21.0,0-15 Min,False,RI,,,1984.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,00:30,False,,2006-05-12,,False,,RI-2006-21489,W,White,500,Citation,28.0,0-15 Min,False,RI,,,1978.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,12:15,False,,2006-02-09,,False,,RI-2006-06943,W,White,300,Citation,33.0,0-15 Min,False,RI,,,1973.0,False,M,Other Traffic Violation,Moving violation,False,Zone K3
Zone X4,23:18,False,,2006-01-06,,False,,RI-2006-00858,B,Black,500,Citation,22.0,0-15 Min,False,RI,,,1984.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,09:35,False,,2006-02-07,,False,,RI-2006-06613,W,White,300,Citation,49.0,0-15 Min,False,RI,,,1957.0,False,F,Speeding,Speeding,False,Zone K3
Zone K1,09:22,False,,2006-01-22,,False,,RI-2006-03940,W,White,600,Citation,48.0,0-15 Min,False,RI,,,1958.0,False,M,Speeding,Speeding,False,Zone K1
Zone X1,20:45,False,,2006-04-22,,False,,RI-2006-18461,W,White,0,Citation,48.0,0-15 Min,False,RI,,,1958.0,False,M,Other Traffic Violation,Moving violation,False,Zone X1
Zone K2,10:55,False,,2006-02-06,,False,,RI-2006-06475,W,White,900,Citation,38.0,0-15 Min,False,RI,,,1968.0,False,M,Speeding,Speeding,False,Zone K2
Zone K2,08:55,False,,2006-06-11,,True,,RI-2006-26608,W,White,900,Citation,47.0,0-15 Min,False,RI,,,1959.0,False,M,Speeding,Speeding,False,Zone K2
Zone K3,01:07,False,,2006-01-30,,True,,RI-2006-05327,B,Black,300,Citation,28.0,0-15 Min,False,RI,,,1978.0,False,M,Speeding,Speeding,False,Zone K3
Zone X3,19:05,False,,2006-05-27,,False,,RI-2006-24016,W,White,200,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone X3
Zone K3,10:35,False,,2006-06-12,,False,,RI-2006-26856,W,White,300,Citation,51.0,0-15 Min,False,RI,,,1955.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,09:03,False,,2006-05-04,,True,,RI-2006-20383,W,White,500,Citation,34.0,0-15 Min,False,RI,,,1972.0,False,M,Speeding,Speeding,False,Zone X4
Zone X3,10:55,False,,2006-02-24,,True,,RI-2006-09134,W,White,200,Citation,51.0,0-15 Min,False,RI,,,1955.0,False,F,Speeding,Speeding,False,Zone X3
Zone X4,15:20,False,,2005-11-05,,True,,RI-2005-05731,W,White,500,Citation,24.0,0-15 Min,False,RI,,,1981.0,False,F,Speeding,Speeding,False,Zone X4
Zone K3,11:35,False,,2006-01-30,,False,,RI-2006-05420,W,White,300,Citation,23.0,0-15 Min,False,RI,,,1983.0,False,F,Speeding,Speeding,False,Zone K3
Zone K3,22:30,False,,2006-05-30,,True,,RI-2006-24717,W,White,300,Citation,32.0,0-15 Min,False,RI,,,1974.0,False,F,Speeding,Speeding,False,Zone K3
Zone K3,11:23,False,,2005-10-15,,True,,RI-2005-02029,W,White,500,Citation,57.0,0-15 Min,False,RI,,,1948.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,23:35,False,,2006-03-07,,False,,RI-2006-10801,W,White,500,Citation,20.0,0-15 Min,False,RI,,,1986.0,False,M,Speeding,Speeding,False,Zone X4
Zone K2,13:00,False,,2006-05-10,,True,,RI-2006-21294,W,White,900,Citation,58.0,0-15 Min,False,RI,,,1948.0,False,M,Speeding,Speeding,False,Zone K2
Zone K2,10:50,False,,2006-05-16,,True,,RI-2006-21962,W,White,900,Citation,36.0,0-15 Min,False,RI,,,1970.0,False,M,Other Traffic Violation,Moving violation,False,Zone K2
Zone K2,11:25,False,,2006-01-06,,False,,RI-2006-00782,W,White,900,Citation,43.0,30+ Min,False,RI,,,1963.0,False,M,Registration Violation,Registration/plates,False,Zone K2
Zone X4,22:50,False,,2006-02-02,,False,,RI-2006-05963,W,White,500,Citation,22.0,0-15 Min,False,RI,,,1984.0,False,M,Speeding,Speeding,False,Zone X4
Zone K1,22:50,False,,2006-05-20,,False,,RI-2006-22641,W,White,600,Citation,31.0,0-15 Min,False,RI,,,1975.0,False,M,Speeding,Speeding,False,Zone K1
Zone K3,06:31,False,,2005-11-26,,False,,RI-2005-08981,W,White,500,Citation,53.0,0-15 Min,False,RI,,,1952.0,False,M,Speeding,Speeding,False,Zone K3
Zone K3,21:20,False,,2006-05-19,,True,,RI-2006-22455,W,White,300,Citation,45.0,0-15 Min,False,RI,,,1961.0,False,F,Call for Service,Other,False,Zone K3
Zone X4,02:30,False,,2005-11-07,,False,,RI-2005-05976,L,Hispanic,500,Citation,23.0,30+ Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone X4
Zone X3,16:30,False,,2006-05-21,,False,,RI-2006-22904,W,White,200,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone X3
Zone X4,22:40,False,,2006-04-10,,True,,RI-2006-16675,W,White,500,Citation,22.0,0-15 Min,False,RI,,,1984.0,False,M,Speeding,Speeding,False,Zone X4
Zone X4,20:15,False,,2005-10-26,,True,,RI-2005-03800,W,White,500,Citation,46.0,0-15 Min,False,RI,,,1959.0,False,M,Speeding,Speeding,False,Zone X4
Zone X4,22:55,True,,2006-05-25,,False,"Incident to Arrest,Inventory,Protective Frisk",RI-2006-23605,W,White,500,Arrest Driver,34.0,30+ Min,True,RI,,"Incident to Arrest,Inventory/Tow,Terry Frisk",1972.0,False,M,Other Traffic Violation,Moving violation,False,Zone X4
Zone K1,23:33,False,,2005-12-27,,False,,RI-2005-13457,W,White,600,Citation,39.0,0-15 Min,False,RI,,,1966.0,False,F,Speeding,Speeding,False,Zone K1
Zone K1,06:45,False,,2006-05-30,,False,,RI-2006-24568,W,White,600,Citation,38.0,0-15 Min,False,RI,,,1968.0,False,M,Other Traffic Violation,Moving violation,False,Zone K1
Zone X4,20:30,False,,2006-02-26,,False,,RI-2006-09447,W,White,500,Citation,60.0,16-30 Min,False,RI,,,1946.0,False,M,Other Traffic Violation,Moving violation,False,Zone X4
Zone X4,14:15,False,,2005-11-22,,False,,RI-2005-08401,W,White,500,Citation,21.0,0-15 Min,False,RI,,,1984.0,False,F,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone K3,21:15,True,,2005-12-08,,False,,RI-2005-11039,W,White,300,Arrest Driver,47.0,30+ Min,False,RI,,,1958.0,False,M,Call for Service,Other,False,Zone K3
Zone K2,00:15,False,,2006-03-15,,False,,RI-2006-12026,W,White,900,Citation,24.0,16-30 Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone K2
Zone X4,13:20,False,,2005-10-24,,True,,RI-2005-03575,H,Hispanic,500,Citation,29.0,0-15 Min,False,RI,,,1976.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,00:35,False,,2006-01-18,,True,,RI-2006-03126,W,White,300,Citation,25.0,0-15 Min,False,RI,,,1981.0,False,M,Speeding,Speeding,False,Zone K3
Zone X3,09:40,False,,2006-06-02,,False,,RI-2006-25154,W,White,200,Warning,37.0,0-15 Min,False,RI,,,1969.0,False,M,Speeding,Speeding,False,Zone X3
Zone X4,00:00,True,,2006-02-12,,True,,RI-2006-07331,B,Black,500,Arrest Driver,24.0,0-15 Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone X4
Zone K1,02:00,False,,2006-03-02,,False,,RI-2006-09942,B,Black,600,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone K1
Zone K1,18:00,False,,2005-10-19,,False,,RI-2005-02665,W,White,600,Citation,24.0,0-15 Min,False,RI,,,1981.0,False,F,Speeding,Speeding,False,Zone K1
Zone K2,13:30,False,,2005-12-20,,True,,RI-2005-12655,W,White,900,Citation,26.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone K2
Zone X4,16:25,False,,2005-11-22,,False,,RI-2005-08412,W,White,500,Citation,47.0,0-15 Min,False,RI,,,1958.0,False,M,Speeding,Speeding,False,Zone X4
Zone K3,09:10,False,,2006-02-15,,True,,RI-2006-07683,W,White,300,Citation,32.0,0-15 Min,False,RI,,,1974.0,False,M,Speeding,Speeding,False,Zone K3
Zone K2,08:30,False,,2005-10-08,,True,,RI-2005-01257,W,White,900,Citation,59.0,0-15 Min,False,RI,,,1946.0,False,M,Speeding,Speeding,False,Zone K2
Zone K1,01:35,False,,2005-12-09,,True,,RI-2005-11077,W,White,600,Citation,41.0,0-15 Min,False,RI,,,1964.0,False,F,Speeding,Speeding,False,Zone K1
Zone K3,06:30,False,,2005-11-28,,True,,RI-2005-09430,W,White,300,Citation,27.0,0-15 Min,False,RI,,,1978.0,False,M,Speeding,Speeding,False,Zone K3
Zone X4,16:50,False,,2005-10-26,,False,,RI-2005-03782,B,Black,500,Citation,39.0,16-30 Min,False,RI,,,1966.0,False,F,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone K2,00:10,False,,2005-10-17,,False,,RI-2005-02254,W,White,900,Citation,44.0,0-15 Min,False,RI,,,1961.0,False,M,Speeding,Speeding,False,Zone K2
Zone K3,20:35,False,,2006-01-07,,False,,RI-2006-01050,W,White,300,Citation,37.0,0-15 Min,False,RI,,,1969.0,False,F,Speeding,Speeding,False,Zone K3
Zone K2,12:45,False,,2006-05-29,,False,,RI-2006-24402,W,White,900,Citation,35.0,0-15 Min,False,RI,,,1971.0,False,M,Speeding,Speeding,False,Zone K2
Zone K3,14:35,False,,2006-06-10,,True,,RI-2006-26448,W,White,300,Citation,17.0,16-30 Min,False,RI,,,1989.0,False,F,Speeding,Speeding,False,Zone K3
Zone X4,17:50,False,,2006-06-12,,False,,RI-2006-26924,W,White,500,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,F,Speeding,Speeding,False,Zone X4
Zone X4,22:30,False,,2006-04-07,,False,,RI-2006-16072,W,White,500,Citation,21.0,0-15 Min,False,RI,,,1985.0,False,M,Equipment/Inspection Violation,Equipment,False,Zone X4
Zone X4,17:00,False,,2006-03-22,,False,,RI-2006-13430,W,White,500,Citation,26.0,0-15 Min,False,RI,,,1980.0,False,M,Speeding,Speeding,False,Zone X4
Zone X4,00:30,False,,2006-03-01,,False,,RI-2006-09793,B,Black,500,Citation,33.0,0-15 Min,False,RI,,,1973.0,False,M,Other Traffic Violation,Moving violation,False,Zone X4
Zone X3,21:22,False,,2005-11-09,,False,,RI-2005-06486,W,White,200,Citation,34.0,0-15 Min,False,RI,,,1971.0,False,M,Speeding,Speeding,False,Zone X3
Zone K1,14:00,False,,2006-06-08,,False,,RI-2006-26140,W,White,600,Citation,22.0,0-15 Min,False,RI,,,1984.0,False,F,Speeding,Speeding,False,Zone K1
Zone X1,00:20,False,,2006-04-11,,False,,RI-2006-16703,I,Asian,0,Citation,44.0,0-15 Min,False,RI,,,1962.0,False,M,Speeding,Speeding,False,Zone X1
Zone X4,13:05,False,,2005-10-29,,True,,RI-2005-04279,W,White,500,Citation,21.0,0-15 Min,False,RI,,,1984.0,False,M,Speeding,Speeding,False,Zone X4
Zone X4,06:55,False,,2006-01-19,,False,,RI-2006-03300,W,White,500,Citation,37.0,0-15 Min,False,RI,,,1969.0,False,F,Speeding,Speeding,False,Zone X4
Zone K2,16:50,False,,2006-02-02,,False,,RI-2006-05935,W,White,900,Citation,38.0,0-15 Min,False,RI,,,1968.0,False,M,Speeding,Speeding,False,Zone K2
Zone K2,12:30,False,,2006-04-23,,False,,RI-2006-18602,W,White,900,Citation,52.0,0-15 Min,False,RI,,,1954.0,False,F,Speeding,Speeding,False,Zone K2
Zone K3,07:05,False,,2005-10-05,,True,,RI-2005-00774,W,White,300,Citation,26.0,0-15 Min,False,RI,,,1979.0,False,M,Speeding,Speeding,False,Zone K3
Zone K3,12:50,False,,2006-05-02,,False,,RI-2006-20124,W,White,300,Citation,31.0,16-30 Min,False,RI,,,1975.0,False,F,Speeding,Speeding,False,Zone K3
