police_department,contraband_found,driver_gender,fine_grained_location,is_arrested,county_fips,driver_age,stop_duration,drugs_related_stop,stop_time,id,stop_outcome,driver_age_raw,violation_raw,state,driver_race_raw,search_conducted,driver_race,violation,location_raw,search_type,county_name,stop_date,search_type_raw,district,out_of_state
300,False,F,,False,,26.0,0-15 Min,False,10:35,RI-2006-15035,Citation,1980.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-04-02,,Zone K3,False
500,False,,,,,,,False,00:20,RI-2006-14240,,,,RI,,False,,,Zone X4,,,2006-03-28,,Zone X4,
500,False,F,,False,,29.0,0-15 Min,False,16:15,RI-2006-09172,Citation,1977.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-02-24,,Zone X4,False
900,False,M,,False,,29.0,0-15 Min,False,14:05,RI-2006-26442,Citation,1977.0,Speeding,RI,I,False,Asian,Speeding,Zone K2,,,2006-06-10,,Zone K2,True
300,False,,,,,,,False,13:05,RI-2005-12939,,,,RI,,False,,,Zone K3,,,2005-12-22,,Zone K3,
300,False,M,,False,,22.0,0-15 Min,False,00:55,RI-2005-08742,Citation,1983.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-11-25,,Zone K3,False
500,False,M,,False,,23.0,0-15 Min,False,00:05,RI-2006-18499,Citation,1983.0,Other Traffic Violation,RI,I,False,Asian,Moving violation,Zone X4,,,2006-04-23,,Zone X4,False
300,False,M,,False,,22.0,0-15 Min,False,09:00,RI-2005-11291,Citation,1983.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-12-11,,Zone K3,True
200,False,M,,False,,42.0,0-15 Min,False,14:45,RI-2005-07147,Citation,1963.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone X3,,,2005-11-13,,Zone X3,False
900,False,F,,False,,28.0,0-15 Min,False,00:00,RI-2006-12640,Citation,1978.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-03-19,,Zone K2,False
300,False,M,,False,,22.0,0-15 Min,False,14:15,RI-2006-18619,Citation,1984.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-04-23,,Zone K3,True
500,False,M,,False,,34.0,0-15 Min,False,08:00,RI-2006-16239,Citation,1972.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-04-09,,Zone X4,False
900,False,F,,False,,20.0,0-15 Min,False,14:45,RI-2006-16775,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-04-11,,Zone K2,False
300,False,M,,False,,23.0,0-15 Min,False,06:55,RI-2006-06433,Citation,1983.0,Equipment/Inspection Violation,RI,B,False,Black,Equipment,Zone K3,,,2006-02-06,,Zone K3,False
600,False,M,,False,,26.0,0-15 Min,False,03:30,RI-2005-12304,Citation,1979.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2005-12-18,,Zone K1,False
900,False,M,,False,,20.0,0-15 Min,False,08:40,RI-2006-02527,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-01-15,,Zone K2,False
300,False,F,,False,,58.0,0-15 Min,False,10:15,RI-2006-24827,Citation,1948.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-05-31,,Zone K3,True
500,False,M,,False,,28.0,0-15 Min,False,07:20,RI-2005-00776,Citation,1977.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2005-10-05,,Zone X4,True
600,False,F,,False,,30.0,0-15 Min,False,23:15,RI-2006-19370,Citation,1976.0,Speeding,RI,B,False,Black,Speeding,Zone K1,,,2006-04-27,,Zone K1,False
500,False,F,,False,,23.0,0-15 Min,False,13:30,RI-2005-13533,Citation,1982.0,Equipment/Inspection Violation,RI,B,False,Black,Equipment,Zone X4,,,2005-12-28,,Zone X4,False
200,True,M,,True,,50.0,16-30 Min,False,22:40,RI-2005-00723,Arrest Driver,1955.0,Call for Service,RI,W,True,White,Other,Zone X3,Incident to Arrest,,2005-10-04,Incident to Arrest,Zone X3,False
500,False,F,,False,,35.0,0-15 Min,False,08:32,RI-2006-04204,Citation,1971.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-01-24,,Zone X4,True
500,False,M,,False,,68.0,0-15 Min,False,12:15,RI-2006-20785,Citation,1938.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-05-06,,Zone X4,False
500,False,F,,False,,26.0,0-15 Min,False,13:35,RI-2006-06970,Citation,1980.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-02-09,,Zone X4,True
300,False,M,,False,,43.0,0-15 Min,False,16:15,RI-2006-26320,Citation,1963.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-06-09,,Zone K3,False
600,False,,,,,,,False,08:12,RI-2006-09834,,,,RI,,False,,,Zone K1,,,2006-03-01,,Zone K1,
500,False,M,,True,,50.0,30+ Min,False,02:09,RI-2005-00073,Arrest Driver,1955.0,Other Traffic Violation,RI,B,False,Black,Moving violation,Zone X4,,,2005-08-08,,Zone X4,False
200,False,F,,False,,22.0,0-15 Min,False,02:15,RI-2006-01792,Citation,1984.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2006-01-11,,Zone X3,False
300,False,M,,False,,51.0,0-15 Min,False,03:45,RI-2006-00717,Citation,1955.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-01-06,,Zone K3,True
900,False,F,,False,,56.0,0-15 Min,False,15:14,RI-2006-18778,Citation,1950.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-04-24,,Zone K2,True
500,False,F,,False,,30.0,0-15 Min,False,16:10,RI-2005-01346,Citation,1975.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2005-10-08,,Zone X4,False
300,False,M,,False,,38.0,0-15 Min,False,16:40,RI-2006-20512,Citation,1968.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-05-04,,Zone K3,True
900,False,F,,False,,23.0,30+ Min,False,09:50,RI-2006-08696,Citation,1983.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-02-21,,Zone K2,False
500,False,M,,False,,26.0,0-15 Min,False,00:00,RI-2006-21682,Citation,1980.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-05-14,,Zone X4,False
300,False,M,,False,,34.0,0-15 Min,False,13:45,RI-2006-18762,Citation,1972.0,Speeding,RI,I,False,Asian,Speeding,Zone K3,,,2006-04-24,,Zone K3,True
500,False,M,,False,,24.0,0-15 Min,False,07:55,RI-2006-26091,Citation,1982.0,Speeding,RI,B,False,Black,Speeding,Zone X4,,,2006-06-08,,Zone X4,True
500,False,M,,False,,23.0,0-15 Min,False,16:30,RI-2006-13428,Citation,1983.0,Registration Violation,RI,W,False,White,Registration/plates,Zone X4,,,2006-03-22,,Zone X4,False
500,False,M,,False,,22.0,0-15 Min,False,20:50,RI-2006-09048,Citation,1984.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-02-23,,Zone X4,True
300,False,F,,False,,59.0,0-15 Min,False,02:25,RI-2005-12431,Citation,1946.0,Speeding,RI,B,False,Black,Speeding,Zone K3,,,2005-12-19,,Zone K3,True
300,False,M,,False,,25.0,0-15 Min,False,23:20,RI-2006-22644,Citation,1981.0,Speeding,RI,B,False,Black,Speeding,Zone K3,,,2006-05-20,,Zone K3,False
300,False,F,,False,,51.0,30+ Min,False,19:10,RI-2005-04354,Citation,1954.0,Other Traffic Violation,RI,W,True,White,Moving violation,Zone K3,Inventory,,2005-10-29,Inventory/Tow,Zone K3,False
600,False,M,,False,,54.0,0-15 Min,False,09:06,RI-2005-02298,Citation,1951.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2005-10-17,,Zone K1,False
300,False,M,,False,,30.0,0-15 Min,False,03:00,RI-2006-20590,Citation,1976.0,Equipment/Inspection Violation,RI,B,False,Black,Equipment,Zone K3,,,2006-05-05,,Zone K3,False
200,False,M,,True,,29.0,30+ Min,False,02:50,RI-2005-02095,Arrest Driver,1976.0,Speeding,RI,W,True,White,Speeding,Zone X3,Incident to Arrest,,2005-10-16,Incident to Arrest,Zone X3,False
0,False,M,,False,,38.0,0-15 Min,False,13:40,RI-2006-17019,Citation,1968.0,Speeding,RI,W,False,White,Speeding,Zone X1,,,2006-04-13,,Zone X1,True
900,False,F,,False,,19.0,0-15 Min,False,23:40,RI-2005-11225,Citation,1986.0,Speeding,RI,B,False,Black,Speeding,Zone K2,,,2005-12-10,,Zone K2,True
900,False,M,,False,,35.0,0-15 Min,False,11:00,RI-2006-09248,Citation,1971.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-02-25,,Zone K2,True
600,False,M,,False,,46.0,0-15 Min,False,23:00,RI-2006-18124,N/D,1960.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2006-04-20,,Zone K1,False
900,True,M,,False,,27.0,16-30 Min,True,16:50,RI-2006-18798,Citation,1979.0,Speeding,RI,W,True,White,Speeding,Zone K2,Protective Frisk,,2006-04-24,Terry Frisk,Zone K2,True
500,False,M,,False,,29.0,0-15 Min,False,01:10,RI-2006-02723,Citation,1977.0,Other Traffic Violation,RI,B,False,Black,Moving violation,Zone X4,,,2006-01-16,,Zone X4,False
300,False,M,,True,,45.0,30+ Min,False,19:40,RI-2005-10879,Arrest Driver,1960.0,Other Traffic Violation,RI,W,True,White,Moving violation,Zone K3,Incident to Arrest,,2005-12-07,Incident to Arrest,Zone K3,False
300,False,F,,False,,47.0,0-15 Min,False,13:45,RI-2005-10660,Citation,1958.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-12-06,,Zone K3,False
300,False,M,,False,,40.0,0-15 Min,False,11:00,RI-2005-02769,Citation,1965.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-10-20,,Zone K3,False
300,False,F,,False,,18.0,0-15 Min,False,11:57,RI-2006-19694,Citation,1988.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-04-29,,Zone K3,True
300,False,F,,False,,50.0,0-15 Min,False,16:08,RI-2006-04292,Citation,1956.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-01-24,,Zone K3,False
500,False,M,,False,,20.0,0-15 Min,False,02:32,RI-2006-26224,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-06-09,,Zone X4,False
300,False,M,,False,,21.0,0-15 Min,False,00:13,RI-2006-01958,Citation,1985.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-01-12,,Zone K3,True
600,False,F,,False,,56.0,0-15 Min,False,10:07,RI-2006-12084,Citation,1950.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2006-03-15,,Zone K1,False
500,False,M,,False,,19.0,16-30 Min,False,11:55,RI-2006-23710,Citation,1987.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-05-26,,Zone X4,False
500,False,F,,False,,60.0,0-15 Min,False,19:10,RI-2006-19743,Citation,1946.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-04-29,,Zone X4,False
900,False,F,,False,,37.0,0-15 Min,False,10:50,RI-2006-06186,Warning,1969.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-02-04,,Zone K2,False
300,False,M,,False,,35.0,16-30 Min,False,08:15,RI-2006-09107,Citation,1971.0,Speeding,RI,B,False,Black,Speeding,Zone K3,,,2006-02-24,,Zone K3,True
300,False,M,,True,,22.0,16-30 Min,False,20:04,RI-2005-05195,Arrest Driver,1983.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-11-03,,Zone K3,True
600,False,M,,False,,31.0,0-15 Min,False,00:05,RI-2006-18498,Citation,1975.0,Speeding,RI,I,False,Asian,Speeding,Zone K1,,,2006-04-23,,Zone K1,False
500,False,M,,False,,20.0,0-15 Min,False,23:30,RI-2006-23612,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-05-25,,Zone X4,True
500,False,F,,False,,37.0,0-15 Min,False,10:10,RI-2006-24598,Citation,1969.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-05-30,,Zone X4,False
500,False,F,,False,,31.0,16-30 Min,False,06:44,RI-2006-21517,Citation,1975.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2006-05-12,,Zone X3,False
200,False,M,,False,,21.0,0-15 Min,False,07:40,RI-2006-20732,Citation,1985.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone X3,,,2006-05-06,,Zone X3,False
300,False,M,,False,,50.0,30+ Min,False,00:00,RI-2006-21482,Citation,1956.0,Equipment/Inspection Violation,RI,W,True,White,Equipment,Zone K3,Reasonable Suspicion,,2006-05-12,Reasonable Suspicion,Zone K3,True
300,False,M,,False,,20.0,0-15 Min,False,03:15,RI-2006-06584,Citation,1986.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K3,,,2006-02-07,,Zone K3,False
203,False,M,,False,,61.0,30+ Min,False,11:00,RI-2006-04234,Citation,1945.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K2,,,2006-01-24,,Zone K2,True
500,False,M,,False,,27.0,0-15 Min,False,10:24,RI-2006-18902,Citation,1979.0,Equipment/Inspection Violation,RI,B,False,Black,Equipment,Zone X4,,,2006-04-25,,Zone X4,False
900,False,M,,False,,32.0,0-15 Min,False,10:35,RI-2005-05319,Citation,1973.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2005-11-04,,Zone K2,False
900,False,M,,False,,36.0,0-15 Min,False,14:15,RI-2006-23991,Citation,1970.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-05-27,,Zone K2,True
300,False,M,,False,,36.0,0-15 Min,False,20:55,RI-2006-10392,Citation,1970.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-03-05,,Zone K3,True
600,False,M,,False,,29.0,0-15 Min,False,19:00,RI-2005-00425,Citation,1976.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2005-10-02,,Zone K1,False
500,False,M,,False,,23.0,0-15 Min,False,09:00,RI-2005-13248,Citation,1982.0,Equipment/Inspection Violation,RI,W,False,White,Equipment,Zone X4,,,2005-12-26,,Zone X4,False
300,False,M,,False,,37.0,16-30 Min,False,11:50,RI-2006-06931,Citation,1969.0,Speeding,RI,B,False,Black,Speeding,Zone K3,,,2006-02-09,,Zone K3,True
500,False,M,,False,,26.0,0-15 Min,False,14:21,RI-2006-16770,Citation,1980.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone X4,,,2006-04-11,,Zone X4,False
300,False,F,,False,,21.0,0-15 Min,False,15:35,RI-2006-26910,Citation,1985.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-06-12,,Zone K3,True
300,False,M,,False,,20.0,0-15 Min,False,21:36,RI-2006-14089,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-03-26,,Zone K3,False
500,False,M,,False,,28.0,0-15 Min,False,00:35,RI-2006-07336,Citation,1978.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-02-12,,Zone X4,False
200,False,M,,False,,42.0,0-15 Min,False,16:44,RI-2006-13159,Citation,1964.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2006-03-21,,Zone X3,False
600,False,M,,False,,27.0,0-15 Min,False,23:50,RI-2005-12709,Citation,1978.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2005-12-20,,Zone K1,True
200,False,M,,True,,20.0,30+ Min,False,00:30,RI-2006-22476,Arrest Passenger,1986.0,Equipment/Inspection Violation,RI,B,True,Black,Equipment,Zone X3,Incident to Arrest,,2006-05-20,Incident to Arrest,Zone X3,False
500,False,M,,False,,39.0,0-15 Min,False,22:40,RI-2006-08128,Citation,1967.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-02-17,,Zone X4,False
900,False,F,,False,,50.0,0-15 Min,False,19:35,RI-2006-13960,Citation,1956.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-03-25,,Zone K2,False
500,False,M,,False,,38.0,0-15 Min,False,06:40,RI-2006-04358,Citation,1968.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-01-25,,Zone X4,False
200,False,F,,False,,30.0,0-15 Min,False,01:36,RI-2006-20886,Citation,1976.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2006-05-07,,Zone X3,False
500,False,M,,False,,33.0,0-15 Min,False,11:00,RI-2006-16559,Citation,1973.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-04-10,,Zone X4,False
300,False,M,,False,,28.0,0-15 Min,False,14:40,RI-2006-20143,Citation,1978.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-05-02,,Zone K3,True
500,False,M,,False,,28.0,0-15 Min,False,02:00,RI-2006-12187,N/D,1978.0,Equipment/Inspection Violation,RI,B,False,Black,Equipment,Zone X4,,,2006-03-16,,Zone X4,False
500,False,M,,False,,19.0,0-15 Min,False,18:40,RI-2005-06121,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2005-11-07,,Zone X4,True
500,False,M,,False,,44.0,16-30 Min,False,15:25,RI-2006-18944,Citation,1962.0,Registration Violation,RI,I,False,Asian,Registration/plates,Zone X4,,,2006-04-25,,Zone X4,False
900,False,M,,True,,21.0,16-30 Min,False,23:05,RI-2006-23105,Arrest Driver,1985.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-05-22,,Zone K2,False
600,False,M,,False,,29.0,0-15 Min,False,15:45,RI-2006-00644,Citation,1977.0,Equipment/Inspection Violation,RI,W,False,White,Equipment,Zone K1,,,2006-01-05,,Zone K1,False
300,False,F,,False,,55.0,0-15 Min,False,10:00,RI-2006-07881,Citation,1951.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-02-16,,Zone K3,False
300,False,M,,False,,20.0,0-15 Min,False,13:55,RI-2005-07886,Citation,1985.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-11-18,,Zone K3,True
300,False,F,,False,,26.0,0-15 Min,False,06:48,RI-2006-21520,Citation,1980.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-05-12,,Zone K3,False
200,False,M,,False,,63.0,0-15 Min,False,13:30,RI-2006-06343,Citation,1943.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2006-02-05,,Zone X3,True
300,False,M,,False,,44.0,0-15 Min,False,17:25,RI-2005-06305,Citation,1961.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-11-08,,Zone K3,False
203,False,M,,False,,23.0,16-30 Min,False,15:00,RI-2006-15723,Citation,1983.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K2,,,2006-04-05,,Zone K2,True
900,False,F,,False,,21.0,0-15 Min,False,10:10,RI-2006-11919,Citation,1985.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-03-14,,Zone K2,True
900,False,M,,False,,20.0,0-15 Min,False,22:30,RI-2006-10271,Citation,1986.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K2,,,2006-03-04,,Zone K2,False
300,False,F,,False,,37.0,0-15 Min,False,11:25,RI-2006-09571,Citation,1969.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-02-27,,Zone K3,False
900,False,,,,,,,False,09:45,RI-2006-05186,,,,RI,,False,,,Zone K2,,,2006-01-29,,Zone K2,
600,False,M,,False,,61.0,0-15 Min,False,09:52,RI-2006-26623,Citation,1945.0,Speeding,RI,B,False,Black,Speeding,Zone K1,,,2006-06-11,,Zone K1,False
