is_arrested,search_type,stop_date,driver_race_raw,stop_time,fine_grained_location,driver_age_raw,state,stop_duration,stop_outcome,county_name,search_type_raw,county_fips,out_of_state,drugs_related_stop,contraband_found,driver_gender,location_raw,violation_raw,search_conducted,driver_race,district,violation,driver_age,id,police_department
False,,2005-11-04,W,15:55,,1963.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K3,Other Traffic Violation,False,White,Zone K3,Moving violation,42.0,RI-2005-05404,300
False,,2005-11-04,W,08:35,,1983.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Other Traffic Violation,False,White,Zone K3,Moving violation,22.0,RI-2005-05277,300
False,,2005-11-07,W,06:40,,1955.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Equipment/Inspection Violation,False,White,Zone X4,Equipment,50.0,RI-2005-05986,500
False,,2005-11-11,W,23:15,,1961.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,44.0,RI-2005-06849,300
False,,2005-10-22,H,16:40,,1977.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Equipment/Inspection Violation,False,Hispanic,Zone X4,Equipment,28.0,RI-2005-03204,500
False,,2006-03-07,W,09:30,,1970.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,36.0,RI-2006-10664,600
False,,2006-01-17,W,01:20,,1976.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,30.0,RI-2006-02942,300
False,,2006-06-10,B,03:15,,1982.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X4,Speeding,False,Black,Zone X4,Speeding,24.0,RI-2006-26400,500
False,,2006-05-28,W,07:28,,1963.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,43.0,RI-2006-24119,900
False,,2006-04-27,W,17:45,,1981.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,25.0,RI-2006-19342,900
False,,2006-04-01,W,23:30,,1975.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,31.0,RI-2006-14974,300
False,,2005-12-21,W,23:15,,1970.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,35.0,RI-2005-12842,500
False,,2006-05-18,W,16:00,,1984.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Equipment/Inspection Violation,False,White,Zone K3,Equipment,22.0,RI-2006-22262,300
False,,2006-02-17,W,14:06,,1984.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Registration Violation,False,White,Zone X3,Registration/plates,22.0,RI-2006-08071,200
False,,2006-05-10,W,14:19,,1985.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,21.0,RI-2006-21299,900
False,,2005-12-13,B,01:40,,1983.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X4,Speeding,False,Black,Zone X4,Speeding,22.0,RI-2005-11582,500
False,,2006-02-21,W,14:20,,1985.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,21.0,RI-2006-08747,500
False,Inventory,2006-01-15,W,20:15,,1976.0,RI,30+ Min,Citation,,Inventory/Tow,,False,False,False,M,Zone K3,Equipment/Inspection Violation,True,White,Zone K3,Equipment,30.0,RI-2006-02674,300
False,,2006-01-27,I,16:45,,1969.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,Asian,Zone K3,Speeding,37.0,RI-2006-04799,300
False,,2005-11-07,W,00:15,,1981.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X4,Speeding,False,White,Zone X4,Speeding,24.0,RI-2005-05964,500
False,,2006-02-25,B,23:50,,1976.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,Black,Zone K3,Speeding,30.0,RI-2006-09317,300
False,,2006-04-06,B,01:00,,1987.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone X3,Equipment/Inspection Violation,False,Black,Zone X3,Equipment,19.0,RI-2006-15802,200
False,,2006-06-09,B,10:55,,1981.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,Black,Zone K3,Speeding,25.0,RI-2006-26279,300
False,,2006-02-13,W,20:20,,1949.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K1,Other Traffic Violation,False,White,Zone K1,Moving violation,57.0,RI-2006-07442,600
False,,2006-01-10,W,14:07,,1969.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,37.0,RI-2006-01684,500
False,,2006-03-21,W,10:22,,1977.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,29.0,RI-2006-13064,900
False,,2006-01-16,W,10:05,,1984.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,22.0,RI-2006-02796,900
,,2006-04-13,,22:06,,,RI,,,,,,,False,False,,Zone X4,,False,,Zone X4,,,RI-2006-17053,500
False,,2005-12-21,W,11:25,,1951.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,54.0,RI-2005-12778,300
False,,2006-03-21,W,14:00,,1984.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,22.0,RI-2006-13128,300
False,,2005-10-10,W,12:25,,1947.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,58.0,RI-2005-01589,500
False,,2005-12-31,W,00:55,,1984.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,21.0,RI-2005-13882,500
False,,2005-10-20,W,16:50,,1979.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,26.0,RI-2005-02814,500
False,,2006-06-07,W,21:05,,1967.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X1,Other Traffic Violation,False,White,Zone X1,Moving violation,39.0,RI-2006-26021,000
False,,2006-05-21,W,11:40,,1971.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,35.0,RI-2006-22836,300
False,,2005-12-09,W,01:05,,1987.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Other Traffic Violation,False,White,Zone X3,Moving violation,18.0,RI-2005-11073,200
False,,2006-01-16,W,14:38,,1973.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,33.0,RI-2006-02858,600
False,,2006-06-07,B,03:05,,1978.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K2,Speeding,False,Black,Zone K2,Speeding,28.0,RI-2006-25955,900
True,,2006-05-06,W,08:45,,1987.0,RI,0-15 Min,Arrest Driver,,,,False,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,19.0,RI-2006-20743,900
False,,2005-11-20,W,18:15,,1949.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K1,Speeding,False,White,Zone K1,Speeding,56.0,RI-2005-08198,600
