id,rec_date,avg_wind,prcp,snow_amt,snow_depth,tavg,tmax,tmin,date_key,rain,snow
29,2016-01-30,8.28,0,0,7.9,32,39,25,20160130,f,f
30,2016-01-31,4.92,0,0,7.1,39,54,30,20160131,f,f
31,2016-02-01,8.05,0.02,0,3.9,45,58,36,20160201,t,f
32,2016-02-02,3.8,0,0,1.2,43,51,32,20160202,f,f
33,2016-02-03,6.49,0.61,0,0,48,58,39,20160203,t,f
34,2016-02-04,9.4,0.01,0,0,54,56,42,20160204,t,f
35,2016-02-05,12.53,0.48,2.8,1.2,38,43,31,20160205,t,t
36,2016-02-06,7.16,0,0,1.2,33,41,25,20160206,f,f
37,2016-02-07,4.7,0,0,0,37,47,28,20160207,f,f
38,2016-02-08,12.75,0.02,0.2,0,37,40,29,20160208,t,t
39,2016-02-09,6.04,0.02,0.2,0,31,36,27,20160209,t,t
40,2016-02-10,11.63,0.02,0.3,0,35,42,31,20160210,t,t
41,2016-02-11,19.91,0,0.2,0,27,31,19,20160211,f,t
42,2016-02-12,9.17,0,0,0,21,27,15,20160212,f,f
43,2016-02-13,19.69,0,0,0,21,24,7,20160213,f,f
44,2016-02-14,11.63,0,0,0,8,18,0,20160214,f,f
45,2016-02-15,6.93,0.42,1.5,0,18,33,10,20160215,t,t
46,2016-02-16,10.51,0.99,0,1.2,43,55,33,20160216,t,f
47,2016-02-17,9.62,0,0,0,39,41,32,20160217,f,f
48,2016-02-18,13.42,0,0,0,33,38,27,20160218,f,f
49,2016-02-19,6.93,0,0,0,29,38,19,20160219,f,f
50,2016-02-20,11.86,0,0,0,47,64,38,20160220,f,f
51,2016-02-21,5.59,0.08,0,0,51,56,38,20160221,t,f
52,2016-02-22,6.93,0,0,0,45,54,35,20160222,f,f
53,2016-02-23,12.75,0.27,0,0,39,42,34,20160223,t,f
54,2016-02-24,11.41,1.02,0,0,42,63,36,20160224,t,f
55,2016-02-25,18.57,0.05,0,0,54,64,35,20160225,t,f
56,2016-02-26,17.9,0,0,0,36,39,28,20160226,f,f
57,2016-02-27,9.62,0,0,0,33,43,24,20160227,f,f
58,2016-02-28,12.3,0,0,0,45,62,35,20160228,f,f
59,2016-02-29,13.65,0.03,0,0,51,62,42,20160229,t,f
60,2016-03-01,9.4,0,0,0,45,53,39,20160301,f,f
61,2016-03-02,19.01,0.12,0,0,47,57,29,20160302,t,f
62,2016-03-03,9.4,0,0,0,32,38,26,20160303,f,f
63,2016-03-04,11.18,0.12,1.4,1.2,33,40,29,20160304,t,t
64,2016-03-05,5.82,0,0,0,35,43,28,20160305,f,f
65,2016-03-06,4.92,0,0,0,36,47,27,20160306,f,f
66,2016-03-07,10.51,0,0,0,43,63,31,20160307,f,f
67,2016-03-08,3.8,0,0,0,54,65,45,20160308,f,f
68,2016-03-09,6.93,0,0,0,58,82,42,20160309,f,f
69,2016-03-10,8.5,0,0,0,70,81,59,20160310,f,f
70,2016-03-11,11.41,0.03,0,0,64,69,48,20160311,t,f
71,2016-03-12,8.05,0,0,0,50,60,38,20160312,f,f
72,2016-03-13,6.49,0,0,0,56,62,49,20160313,f,f
73,2016-03-14,14.32,0.52,0,0,48,52,41,20160314,t,f
74,2016-03-15,9.4,0,0,0,48,57,45,20160315,f,f
75,2016-03-16,3.58,0.03,0,0,54,64,46,20160316,t,f
76,2016-03-17,7.83,0,0,0,53,66,44,20160317,f,f
77,2016-03-18,14.76,0,0,0,52,62,41,20160318,f,f
78,2016-03-19,6.71,0,0,0,43,47,35,20160319,f,f
79,2016-03-20,10.96,0.07,0.2,0,39,44,33,20160320,t,t
80,2016-03-21,14.32,0,0,0,40,53,33,20160321,f,f
81,2016-03-22,12.08,0,0,0,44,58,34,20160322,f,f
82,2016-03-23,10.29,0,0,0,57,74,45,20160323,f,f
83,2016-03-24,9.62,0,0,0,52,56,44,20160324,f,f
84,2016-03-25,11.41,0.11,0,0,57,74,46,20160325,t,f
85,2016-03-26,9.17,0,0,0,47,54,38,20160326,f,f
86,2016-03-27,6.93,0,0,0,46,51,44,20160327,f,f
87,2016-03-28,15.21,0.38,0,0,48,65,43,20160328,t,f
88,2016-03-29,21.03,0,0,0,51,56,40,20160329,f,f
89,2016-03-30,8.5,0,0,0,45,55,33,20160330,f,f
90,2016-03-31,13.87,0,0,0,58,74,46,20160331,f,f
91,2016-04-01,13.42,0,0,0,70,80,62,20160401,f,f
92,2016-04-02,9.84,0.16,0,0,58,64,42,20160402,t,f
93,2016-04-03,19.91,0.03,0,0,43,45,35,20160403,t,f
94,2016-04-04,10.51,0.44,0,0,41,44,30,20160404,t,f
95,2016-04-05,16.33,0,0,0,34,44,26,20160405,f,f
96,2016-04-06,8.5,0,0,0,38,49,27,20160406,f,f
97,2016-04-07,12.53,0.09,0,0,53,61,46,20160407,t,f
98,2016-04-08,14.09,0,0,0,48,50,38,20160408,f,f
99,2016-04-09,10.74,0.09,0,0,40,44,32,20160409,t,f
100,2016-04-10,11.18,0,0,0,40,52,31,20160410,f,f
101,2016-04-11,10.29,0.01,0,0,51,68,42,20160411,t,f
102,2016-04-12,12.3,0.13,0,0,56,61,44,20160412,t,f
103,2016-04-13,7.38,0,0,0,48,58,39,20160413,f,f
104,2016-04-14,7.16,0,0,0,50,62,41,20160414,f,f
105,2016-04-15,4.7,0,0,0,51,65,39,20160415,f,f
106,2016-04-16,6.93,0,0,0,54,68,41,20160416,f,f
107,2016-04-17,3.8,0,0,0,56,73,42,20160417,f,f
108,2016-04-18,6.49,0,0,0,64,81,47,20160418,f,f
109,2016-04-19,14.32,0,0,0,67,74,54,20160419,f,f
110,2016-04-20,9.84,0,0,0,60,69,50,20160420,f,f
111,2016-04-21,11.86,0,0,0,60,77,44,20160421,f,f
112,2016-04-22,8.5,0,0,0,71,83,61,20160422,f,f
113,2016-04-23,12.75,0.04,0,0,67,73,54,20160423,t,f
114,2016-04-24,8.28,0,0,0,58,72,45,20160424,f,f
115,2016-04-25,5.37,0,0,0,58,68,48,20160425,f,f
116,2016-04-26,8.05,0.1,0,0,58,68,46,20160426,t,f
117,2016-04-27,8.05,0,0,0,51,67,46,20160427,f,f
118,2016-04-28,6.71,0,0,0,52,58,47,20160428,f,f
119,2016-04-29,7.83,0.03,0,0,51,57,47,20160429,t,f
120,2016-04-30,7.16,0,0,0,52,63,44,20160430,f,f
121,2016-05-01,6.93,0.21,0,0,49,51,43,20160501,t,f
122,2016-05-02,4.47,0.14,0,0,50,61,45,20160502,t,f
123,2016-05-03,6.49,0.59,0,0,54,55,51,20160503,t,f
124,2016-05-04,9.62,0.01,0,0,52,58,49,20160504,t,f
125,2016-05-05,12.97,0,0,0,51,59,46,20160505,f,f
126,2016-05-06,10.51,0.62,0,0,52,54,49,20160506,t,f
127,2016-05-07,5.14,0.1,0,0,52,59,48,20160507,t,f
128,2016-05-08,10.29,0.11,0,0,56,68,47,20160508,t,f
129,2016-05-09,12.75,0,0,0,61,75,45,20160509,f,f
130,2016-05-10,8.72,0,0,0,57,62,46,20160510,f,f
131,2016-05-11,6.04,0,0,0,61,74,49,20160511,f,f
132,2016-05-12,5.37,0,0,0,67,77,54,20160512,f,f
133,2016-05-13,4.25,0.29,0,0,62,66,58,20160513,t,f
134,2016-05-14,9.62,0,0,0,66,76,56,20160514,f,f
135,2016-05-15,16.11,0,0,0,54,59,44,20160515,f,f
136,2016-05-16,15.43,0,0,0,52,69,40,20160516,f,f
137,2016-05-17,9.4,0,0,0,59,66,52,20160517,f,f
138,2016-05-18,7.16,0,0,0,57,67,50,20160518,f,f
139,2016-05-19,3.8,0,0,0,61,72,54,20160519,f,f
140,2016-05-20,5.59,0,0,0,64,76,52,20160520,f,f
141,2016-05-21,4.7,0.08,0,0,62,64,54,20160521,t,f
142,2016-05-22,6.49,0.04,0,0,60,70,52,20160522,t,f
143,2016-05-23,5.82,0.01,0,0,65,76,53,20160523,t,f
144,2016-05-24,4.7,0.05,0,0,65,77,58,20160524,t,f
145,2016-05-25,8.05,0,0,0,74,91,57,20160525,f,f
146,2016-05-26,6.93,0,0,0,80,93,64,20160526,f,f
147,2016-05-27,7.38,0,0,0,79,89,70,20160527,f,f
148,2016-05-28,10.51,0,0,0,82,96,71,20160528,f,f
149,2016-05-29,8.28,0.03,0,0,80,88,69,20160529,t,f
150,2016-05-30,6.49,1.57,0,0,75,83,69,20160530,t,f
151,2016-05-31,6.04,0,0,0,77,85,71,20160531,f,f
152,2016-06-01,7.16,0,0,0,76,84,67,20160601,f,f
153,2016-06-02,6.71,0,0,0,68,72,63,20160602,f,f
154,2016-06-03,4.25,0.03,0,0,65,70,63,20160603,t,f
155,2016-06-04,5.59,0.01,0,0,72,85,65,20160604,t,f
156,2016-06-05,6.93,0.94,0,0,69,74,66,20160605,t,f
157,2016-06-06,11.63,0,0,0,74,86,66,20160606,f,f
158,2016-06-07,11.41,0.14,0,0,77,87,64,20160607,t,f
159,2016-06-08,12.53,0.51,0,0,63,69,54,20160608,t,f
160,2016-06-09,15.21,0,0,0,63,75,53,20160609,f,f
161,2016-06-10,11.63,0,0,0,67,80,56,20160610,f,f
162,2016-06-11,10.07,0,0,0,72,91,55,20160611,f,f
163,2016-06-12,19.91,0,0,0,82,88,63,20160612,f,f
164,2016-06-13,15.43,0,0,0,67,76,57,20160613,f,f
165,2016-06-14,10.51,0,0,0,69,82,59,20160614,f,f
166,2016-06-15,6.93,0,0,0,75,87,59,20160615,f,f
167,2016-06-16,4.47,0,0,0,73,77,67,20160616,f,f
168,2016-06-17,7.83,0,0,0,71,79,63,20160617,f,f
169,2016-06-18,5.59,0,0,0,72,86,58,20160618,f,f
170,2016-06-19,6.71,0,0,0,75,88,63,20160619,f,f
171,2016-06-20,6.49,0,0,0,74,85,65,20160620,f,f
172,2016-06-21,10.74,0,0,0,82,91,73,20160621,f,f
173,2016-06-22,8.28,0,0,0,79,90,67,20160622,f,f
174,2016-06-23,4.47,0,0,0,76,83,69,20160623,f,f
175,2016-06-24,8.28,0,0,0,75,83,68,20160624,f,f
176,2016-06-25,7.38,0,0,0,73,82,64,20160625,f,f
177,2016-06-26,7.38,0,0,0,75,86,65,20160626,f,f
178,2016-06-27,9.17,0.37,0,0,75,87,64,20160627,t,f
179,2016-06-28,5.82,0.39,0,0,73,78,69,20160628,t,f
180,2016-06-29,8.28,0.01,0,0,75,87,68,20160629,t,f
181,2016-06-30,7.16,0,0,0,77,88,67,20160630,f,f
182,2016-07-01,7.38,0.2,0,0,75,80,70,20160701,t,f
183,2016-07-02,13.42,0,0,0,73,80,66,20160702,f,f
184,2016-07-03,7.38,0,0,0,74,83,63,20160703,f,f
185,2016-07-04,8.28,0.46,0,0,74,84,62,20160704,t,f
186,2016-07-05,7.16,0.17,0,0,77,89,70,20160705,t,f
187,2016-07-06,5.14,0,0,0,84,95,74,20160706,f,f
188,2016-07-07,7.61,0.01,0,0,85,95,77,20160707,t,f
189,2016-07-08,9.62,0.05,0,0,81,90,69,20160708,t,f
190,2016-07-09,7.61,0.49,0,0,69,71,66,20160709,t,f
191,2016-07-10,9.17,0,0,0,74,84,67,20160710,f,f
192,2016-07-11,6.71,0,0,0,74,84,65,20160711,f,f
193,2016-07-12,7.38,0,0,0,75,84,67,20160712,f,f
194,2016-07-13,6.71,0,0,0,78,88,69,20160713,f,f
195,2016-07-14,6.49,0.12,0,0,81,91,76,20160714,t,f
196,2016-07-15,9.4,0,0,0,86,94,78,20160715,f,f
197,2016-07-16,6.93,0.57,0,0,82,91,75,20160716,t,f
198,2016-07-17,6.04,0,0,0,81,93,73,20160717,f,f
199,2016-07-18,10.96,0.23,0,0,83,95,72,20160718,t,f
200,2016-07-19,11.86,0,0,0,79,85,72,20160719,f,f
201,2016-07-20,7.61,0,0,0,76,86,66,20160720,f,f
202,2016-07-21,9.62,0,0,0,80,92,69,20160721,f,f
203,2016-07-22,14.76,0,0,0,84,97,73,20160722,f,f
204,2016-07-23,11.63,0,0,0,89,98,80,20160723,f,f
205,2016-07-24,8.05,0,0,0,87,96,73,20160724,f,f
206,2016-07-25,9.17,1.84,0,0,84,99,73,20160725,t,f
207,2016-07-26,10.51,0,0,0,81,93,72,20160726,f,f
208,2016-07-27,6.26,0,0,0,84,93,73,20160727,f,f
209,2016-07-28,6.49,0,0,0,83,93,75,20160728,f,f
210,2016-07-29,8.95,0.87,0,0,77,86,70,20160729,t,f
211,2016-07-30,5.82,0.36,0,0,78,86,73,20160730,t,f
212,2016-07-31,7.83,0.71,0,0,76,80,72,20160731,t,f
213,2016-08-01,6.71,0,0,0,74,79,71,20160801,f,f
214,2016-08-02,6.93,0,0,0,74,80,67,20160802,f,f
215,2016-08-03,6.71,0,0,0,73,80,65,20160803,f,f
216,2016-08-04,6.49,0,0,0,74,81,64,20160804,f,f
217,2016-08-05,8.5,0,0,0,75,84,67,20160805,f,f
218,2016-08-06,9.4,0.09,0,0,79,91,72,20160806,t,f
219,2016-08-07,8.5,0,0,0,81,89,71,20160807,f,f
220,2016-08-08,6.26,0,0,0,80,87,69,20160808,f,f
221,2016-08-09,7.38,0,0,0,79,87,68,20160809,f,f
222,2016-08-10,10.07,0.11,0,0,81,90,75,20160810,t,f
223,2016-08-11,10.07,0.11,0,0,86,96,75,20160811,t,f
224,2016-08-12,10.74,0.17,0,0,84,97,74,20160812,t,f
225,2016-08-13,8.5,0,0,0,87,98,79,20160813,f,f
226,2016-08-14,10.74,0,0,0,89,97,80,20160814,f,f
227,2016-08-15,7.16,0,0,0,85,94,77,20160815,f,f
228,2016-08-16,10.51,0.01,0,0,85,93,77,20160816,t,f
229,2016-08-17,10.74,0.2,0,0,82,88,76,20160817,t,f
230,2016-08-18,5.59,0.1,0,0,80,87,73,20160818,t,f
231,2016-08-19,6.93,0,0,0,81,90,74,20160819,f,f
232,2016-08-20,7.61,0,0,0,80,87,72,20160820,f,f
233,2016-08-21,9.17,0.13,0,0,80,87,74,20160821,t,f
234,2016-08-22,13.87,0,0,0,76,81,67,20160822,f,f
235,2016-08-23,6.26,0,0,0,73,84,59,20160823,f,f
236,2016-08-24,7.38,0,0,0,76,90,63,20160824,f,f
237,2016-08-25,10.07,0.01,0,0,78,88,67,20160825,t,f
238,2016-08-26,11.41,0,0,0,83,95,75,20160826,f,f
239,2016-08-27,7.16,0,0,0,80,88,71,20160827,f,f
240,2016-08-28,6.71,0,0,0,79,87,72,20160828,f,f
241,2016-08-29,10.96,0,0,0,81,93,72,20160829,f,f
242,2016-08-30,7.83,0,0,0,77,85,68,20160830,f,f
243,2016-08-31,7.61,0,0,0,79,92,74,20160831,f,f
244,2016-09-01,6.71,0.21,0,0,75,81,66,20160901,t,f
245,2016-09-02,10.74,0,0,0,73,82,65,20160902,f,f
246,2016-09-03,10.96,0,0,0,71,77,65,20160903,f,f
247,2016-09-04,10.51,0,0,0,71,82,62,20160904,f,f
248,2016-09-05,14.32,0,0,0,73,86,58,20160905,f,f
249,2016-09-06,19.69,0,0,0,78,82,69,20160906,f,f
250,2016-09-07,11.86,0,0,0,76,87,69,20160907,f,f
251,2016-09-08,6.04,0,0,0,80,92,71,20160908,f,f
252,2016-09-09,7.38,0,0,0,87,93,78,20160909,f,f
253,2016-09-10,7.61,0.01,0,0,83,92,76,20160910,t,f
254,2016-09-11,13.42,0,0,0,81,86,66,20160911,f,f
255,2016-09-12,6.71,0,0,0,69,78,57,20160912,f,f
256,2016-09-13,7.61,0,0,0,71,84,60,20160913,f,f
257,2016-09-14,10.96,0,0,0,77,94,66,20160914,f,f
258,2016-09-15,9.62,0,0,0,69,75,60,20160915,f,f
259,2016-09-16,6.04,0,0,0,67,73,57,20160916,f,f
260,2016-09-17,7.61,0,0,0,68,77,59,20160917,f,f
261,2016-09-18,8.95,0,0,0,75,87,68,20160918,f,f
262,2016-09-19,4.92,1.03,0,0,74,76,70,20160919,t,f
263,2016-09-20,5.14,0,0,0,75,84,69,20160920,f,f
264,2016-09-21,7.61,0,0,0,76,86,67,20160921,f,f
265,2016-09-22,5.59,0,0,0,73,84,61,20160922,f,f
266,2016-09-23,5.37,0.01,0,0,75,90,60,20160923,t,f
267,2016-09-24,11.41,0.44,0,0,68,72,58,20160924,t,f
268,2016-09-25,6.49,0,0,0,62,71,52,20160925,f,f
269,2016-09-26,8.95,0,0,0,63,73,51,20160926,f,f
270,2016-09-27,5.82,0.12,0,0,69,76,62,20160927,t,f
271,2016-09-28,12.3,0,0,0,65,73,56,20160928,f,f
272,2016-09-29,14.32,0.04,0,0,61,65,58,20160929,t,f
273,2016-09-30,16.33,0.31,0,0,59,60,56,20160930,t,f
274,2016-10-01,11.41,0,0,0,59,63,56,20161001,f,f
275,2016-10-02,5.59,0,0,0,60,65,57,20161002,f,f
276,2016-10-03,4.92,0,0,0,65,74,60,20161003,f,f
277,2016-10-04,10.29,0,0,0,65,71,61,20161004,f,f
278,2016-10-05,7.16,0,0,0,61,68,52,20161005,f,f
279,2016-10-06,5.14,0,0,0,62,75,51,20161006,f,f
280,2016-10-07,4.47,0,0,0,63,74,53,20161007,f,f
281,2016-10-08,5.37,0.17,0,0,63,69,55,20161008,t,f
282,2016-10-09,17,0.48,0,0,60,66,52,20161009,t,f
283,2016-10-10,12.97,0,0,0,56,66,47,20161010,f,f
284,2016-10-11,5.37,0,0,0,53,64,43,20161011,f,f
285,2016-10-12,4.47,0,0,0,58,67,47,20161012,f,f
286,2016-10-13,7.83,0.01,0,0,60,68,52,20161013,t,f
287,2016-10-14,8.05,0,0,0,56,64,46,20161014,f,f
288,2016-10-15,6.71,0,0,0,53,64,42,20161015,f,f
289,2016-10-16,8.5,0,0,0,58,73,45,20161016,f,f
290,2016-10-17,6.49,0,0,0,70,83,60,20161017,f,f
291,2016-10-18,9.62,0,0,0,72,85,62,20161018,f,f
292,2016-10-19,9.84,0,0,0,76,87,64,20161019,f,f
293,2016-10-20,9.4,0,0,0,67,71,60,20161020,f,f
294,2016-10-21,4.47,0.22,0,0,68,71,58,20161021,t,f
295,2016-10-22,16.11,0.55,0,0,54,58,47,20161022,t,f
296,2016-10-23,14.32,0,0,0,53,65,44,20161023,f,f
297,2016-10-24,12.75,0,0,0,57,66,47,20161024,f,f
298,2016-10-25,11.63,0,0,0,49,54,42,20161025,f,f
299,2016-10-26,10.96,0,0,0,45,52,37,20161026,f,f
300,2016-10-27,8.05,0.65,0,0,45,56,42,20161027,t,f
301,2016-10-28,13.87,0,0,0,48,51,42,20161028,f,f
302,2016-10-29,8.95,0,0,0,49,66,37,20161029,f,f
303,2016-10-30,9.4,0.92,0,0,65,78,54,20161030,t,f
304,2016-10-31,10.96,0,0,0,52,57,43,20161031,f,f
305,2016-11-01,7.38,0,0,0,48,60,37,20161101,f,f
306,2016-11-02,8.05,0,0,0,59,73,51,20161102,f,f
307,2016-11-03,11.63,0,0,0,63,74,57,20161103,f,f
308,2016-11-04,11.63,0,0,0,58,62,47,20161104,f,f
309,2016-11-05,8.5,0,0,0,52,65,40,20161105,f,f
310,2016-11-06,13.2,0,0,0,54,60,43,20161106,f,f
311,2016-11-07,7.61,0,0,0,47,56,36,20161107,f,f
312,2016-11-08,4.03,0,0,0,51,69,38,20161108,f,f
313,2016-11-09,7.83,0.2,0,0,55,58,48,20161109,t,f
314,2016-11-10,10.96,0,0,0,49,58,41,20161110,f,f
315,2016-11-11,17.22,0,0,0,53,64,42,20161111,f,f
316,2016-11-12,9.84,0,0,0,44,53,37,20161112,f,f
317,2016-11-13,9.17,0,0,0,46,63,34,20161113,f,f
318,2016-11-14,5.82,0,0,0,49,63,37,20161114,f,f
319,2016-11-15,10.74,2.79,0,0,52,54,46,20161115,t,f
320,2016-11-16,9.17,0,0,0,51,64,41,20161116,f,f
321,2016-11-17,9.84,0,0,0,55,63,48,20161117,f,f
322,2016-11-18,4.25,0,0,0,54,67,44,20161118,f,f
323,2016-11-19,9.17,0.2,0,0,53,61,36,20161119,t,f
324,2016-11-20,21.47,0.23,0,0,42,43,34,20161120,t,f
325,2016-11-21,21.03,0,0,0,39,42,37,20161121,f,f
326,2016-11-22,18.12,0,0,0,39,44,37,20161122,f,f
327,2016-11-23,9.17,0,0,0,40,48,33,20161123,f,f
328,2016-11-24,6.93,0,0,0,43,50,35,20161124,f,f
329,2016-11-25,4.7,0.01,0,0,48,55,45,20161125,t,f
330,2016-11-26,8.95,0,0,0,48,53,41,20161126,f,f
331,2016-11-27,8.72,0,0,0,43,52,35,20161127,f,f
332,2016-11-28,4.92,0,0,0,44,54,32,20161128,f,f
333,2016-11-29,8.05,2.02,0,0,53,60,49,20161129,t,f
334,2016-11-30,6.93,1.07,0,0,56,58,52,20161130,t,f
335,2016-12-01,13.87,0.11,0,0,52,55,41,20161201,t,f
336,2016-12-02,14.76,0,0,0,45,53,38,20161202,f,f
337,2016-12-03,17,0,0,0,45,50,41,20161203,f,f
338,2016-12-04,9.62,0,0,0,43,48,39,20161204,f,f
339,2016-12-05,8.28,0.16,0,0,43,50,37,20161205,t,f
340,2016-12-06,7.61,0.44,0,0,42,46,34,20161206,t,f
341,2016-12-07,6.93,0.05,0,0,42,48,37,20161207,t,f
342,2016-12-08,10.74,0,0,0,40,44,33,20161208,f,f
343,2016-12-09,15.66,0,0,0,35,41,29,20161209,f,f
344,2016-12-10,9.4,0,0,0,31,37,23,20161210,f,f
345,2016-12-11,5.14,0.01,0.3,0,30,34,25,20161211,t,t
346,2016-12-12,8.72,0.5,0,0,38,46,32,20161212,t,f
347,2016-12-13,5.59,0,0,0,38,44,33,20161213,f,f
348,2016-12-14,9.62,0,0,0,39,44,32,20161214,f,f
349,2016-12-15,20.58,0,0.1,0,28,32,18,20161215,f,t
350,2016-12-16,11.41,0,0,0,20,28,16,20161216,f,f
351,2016-12-17,4.92,0.71,3,2,29,36,24,20161217,t,t
352,2016-12-18,10.51,0.07,0,1.2,42,59,31,20161218,t,f
353,2016-12-19,11.86,0,0,0,29,31,22,20161219,f,f
354,2016-12-20,6.49,0,0,0,25,34,18,20161220,f,f
355,2016-12-21,6.26,0,0,0,32,42,24,20161221,f,f
356,2016-12-22,9.84,0,0,0,40,51,32,20161222,f,f
357,2016-12-23,9.17,0,0,0,42,48,34,20161223,f,f
358,2016-12-24,7.61,0.49,0,0,41,46,37,20161224,t,f
359,2016-12-25,8.5,0,0,0,43,52,34,20161225,f,f
360,2016-12-26,7.38,0,0,0,35,47,29,20161226,f,f
361,2016-12-27,13.65,0.01,0,0,53,62,40,20161227,t,f
362,2016-12-28,8.28,0,0,0,41,43,31,20161228,f,f
363,2016-12-29,8.05,0.36,0,0,38,45,31,20161229,t,f
364,2016-12-30,14.99,0,0,0,37,42,32,20161230,f,f
365,2016-12-31,12.3,0,0,0,35,44,29,20161231,f,f
