item_no,length,width,height,operator,rolling_mean,rolling_std,upper_control_limit,lower_control_limit,out_of_control
36,101.86,50.45,18.05,Op-2,21.096,1.8738142917589236,26.71744287527677,15.47455712472323,False
37,105.22,54.61,20.64,Op-2,20.970000000000002,1.8803590082747488,26.611077024824247,15.328922975175756,False
38,101.86,49.85,19.15,Op-2,20.178000000000004,1.560406998189896,24.859220994569693,15.496779005430316,False
39,97.19,49.9,19.04,Op-2,19.759999999999998,1.5210687032478196,24.323206109743456,15.19679389025654,False
40,103.0,48.81,19.39,Op-2,19.253999999999998,0.9281325336394601,22.03839760091838,16.469602399081616,False
41,100.57,53.52,19.98,Op-2,19.64,0.6667458286333734,21.640237485900123,17.63976251409988,False
42,110.54,51.07,21.95,Op-2,19.901999999999997,1.201153612157913,23.505460836473738,16.298539163526257,False
43,109.22,45.24,20.05,Op-2,20.082,1.1253310623989727,23.45799318719692,16.706006812803082,False
44,92.52,49.04,19.92,Op-2,20.258000000000003,0.9812084386102669,23.201625315830803,17.314374684169202,False
45,107.05,49.01,18.97,Op-2,20.174,1.0864299333136942,23.433289799941083,16.914710200058916,False
46,106.53,48.55,19.2,Op-2,20.018,1.1737418796311216,23.539225638893367,16.496774361106635,False
47,101.21,47.61,21.39,Op-2,19.906,0.9483828340918032,22.75114850227541,17.060851497724588,False
48,101.09,48.28,20.04,Op-2,19.904,0.9480137129809889,22.748041138942966,17.059958861057034,False
49,95.61,46.3,20.31,Op-2,19.982,0.9655412989613656,22.878623896884097,17.0853761031159,False
50,104.45,48.71,19.51,Op-2,20.089999999999996,0.8469651704763316,22.630895511428992,17.549104488571,False
51,93.28,48.08,19.64,Op-2,20.178000000000004,0.7485118569535166,22.423535570860555,17.932464429139454,False
52,107.67,52.03,20.69,Op-3,20.038,0.4838078130828407,21.489423439248522,18.586576560751478,False
53,107.5,53.92,20.63,Op-3,20.156,0.5516158083304014,21.810847424991202,18.501152575008796,False
54,100.37,54.75,22.51,Op-3,20.596,1.2006997959523484,24.198099387857045,16.993900612142955,False
55,99.77,51.74,19.6,Op-3,20.613999999999997,1.1808598562064898,24.156579568619467,17.071420431380528,False
56,109.26,50.4,20.46,Op-3,20.778000000000002,1.0628123070420357,23.96643692112611,17.589563078873894,False
57,110.18,51.89,21.36,Op-3,20.912,1.090811624433851,24.18443487330155,17.639565126698447,False
58,102.35,50.55,21.22,Op-3,21.03,1.0845736489515219,24.283720946854565,17.776279053145437,False
59,104.35,47.09,22.03,Op-3,20.934,0.9312249996644295,23.72767499899329,18.140325001006712,False
60,95.62,49.79,20.78,Op-3,21.17,0.5988321968632128,22.96649659058964,19.373503409410365,False
61,102.22,54.64,21.71,Op-3,21.419999999999998,0.47681233205531237,22.850436996165936,19.98956300383406,False
62,105.0,57.26,21.62,Op-3,21.472,0.48277323869496536,22.920319716084897,20.023680283915105,False
63,102.23,50.76,20.51,Op-3,21.330000000000002,0.65065351762672,23.28196055288016,19.378039447119843,False
64,110.72,52.54,21.06,Op-3,21.136000000000003,0.5215649528103121,22.70069485843094,19.571305141569066,False
65,94.82,48.48,21.3,Op-3,21.240000000000002,0.48327011080763493,22.68981033242291,19.790189667577096,False
66,104.17,56.04,21.25,Op-3,21.148000000000003,0.40959736327279156,22.376792089818377,19.91920791018163,False
67,100.51,47.86,21.52,Op-3,21.128,0.38232185393987456,22.274965561819624,19.981034438180377,False
68,112.69,50.68,20.33,Op-3,21.092,0.45636608112350296,22.461098243370508,19.72290175662949,False
69,111.83,53.31,20.12,Op-3,20.904000000000003,0.6324792486714665,22.801437746014404,19.006562253985603,False
70,103.73,58.26,20.37,Op-3,20.718,0.6235944194747276,22.588783258424183,18.847216741575817,False
71,99.31,51.24,19.8,Op-3,20.428,0.6508993777843259,22.38069813335298,18.475301866647023,False
72,109.87,52.23,20.94,Op-3,20.312,0.41745658456901064,21.564369753707034,19.05963024629297,False
73,103.06,50.89,20.79,Op-3,20.404000000000003,0.46981911412800487,21.81345734238402,18.994542657615987,False
74,113.45,46.96,23.31,Op-3,21.041999999999998,1.3427471839479015,25.0702415518437,17.013758448156295,False
75,100.34,48.53,21.17,Op-3,21.202,1.2892517209606584,25.069755162881975,17.334244837118028,False
76,102.66,53.19,20.54,Op-3,21.35,1.1193524913984958,24.70805747419549,17.991942525804514,False
77,104.17,47.09,19.51,Op-3,21.064,1.3982417530598987,25.2587252591797,16.869274740820302,False
78,100.51,51.24,21.17,Op-3,21.140000000000004,1.389928055692099,25.3097841670763,16.970215832923707,False
79,100.37,48.53,21.39,Op-3,20.756,0.7654933050001292,23.052479915000387,18.459520084999614,False
80,98.38,54.76,20.64,Op-3,20.65,0.7296917157265941,22.83907514717978,18.460924852820217,False
81,102.67,49.53,19.69,Op-4,20.48,0.8507055894961663,23.0321167684885,17.9278832315115,False
82,92.19,47.4,18.04,Op-4,20.186,1.3670515718143268,24.28715471544298,16.08484528455702,False
83,98.0,46.31,18.39,Op-4,19.63,1.430646706912653,23.921940120737958,15.33805987926204,False
84,95.57,51.02,18.98,Op-4,19.148,1.0428662426217545,22.276598727865263,16.019401272134736,False
85,105.54,48.57,20.95,Op-4,19.21,1.156741111917449,22.68022333575235,15.739776664247653,False
86,104.22,42.74,19.05,Op-4,19.082,1.1253310623989792,22.457993187196937,15.706006812803064,False
87,87.52,46.54,18.92,Op-4,19.258000000000003,0.9812084386102758,22.20162531583083,16.314374684169174,False
88,102.05,46.51,17.97,Op-4,19.174,1.0864299333137026,22.433289799941107,15.914710200058892,False
89,101.53,46.05,18.2,Op-4,19.018,1.1737418796311294,22.539225638893388,15.496774361106613,False
90,96.21,45.11,20.39,Op-4,18.906,0.9483828340918128,21.751148502275438,16.06085149772456,False
91,96.09,45.78,19.04,Op-4,18.904,0.9480137129809985,21.748041138942995,16.059958861057005,False
92,90.61,43.8,19.31,Op-4,18.982,0.9655412989613751,21.878623896884125,16.085376103115873,False
93,99.45,46.21,18.51,Op-4,19.09,0.8469651704763423,21.630895511429028,16.549104488570972,False
94,88.28,45.58,18.64,Op-4,19.178,0.7485118569535287,21.423535570860587,16.932464429139415,False
95,102.67,49.53,19.69,Op-4,19.038,0.48380781308285953,20.48942343924858,17.58657656075142,False
96,102.5,51.42,19.63,Op-4,19.156,0.5516158083304178,20.810847424991252,17.501152575008746,False
97,95.37,52.25,21.51,Op-4,19.596,1.200699795952356,23.19809938785707,15.993900612142932,False
98,94.77,49.24,18.6,Op-4,19.613999999999997,1.1808598562064974,23.156579568619488,16.071420431380506,False
99,104.26,47.9,19.46,Op-4,19.778,1.0628123070420443,22.96643692112613,16.589563078873866,False
100,105.18,49.39,20.36,Op-4,19.912,1.0908116244338595,23.184434873301576,16.63956512669842,False
101,97.35,48.05,20.22,Op-4,20.03,1.08457364895153,23.28372094685459,16.776279053145412,False
102,108.2,52.15,20.91,Op-5,19.91,0.8968277426574371,22.600483227972312,17.21951677202769,False
103,97.72,50.02,19.26,Op-5,20.041999999999998,0.6775839431391778,22.074751829417533,18.009248170582463,False
104,103.53,48.93,19.61,Op-5,20.072,0.6480509239249936,22.01615277177498,18.12784722822502,False
105,101.1,53.64,20.2,Op-5,20.04,0.6340741281585595,21.942222384475677,18.13777761552432,False
106,111.07,51.19,22.17,Op-5,20.43,1.156741111917462,23.900223335752386,16.959776664247613,False
107,109.75,45.36,20.27,Op-5,20.302,1.125331062398992,23.677993187196975,16.926006812803024,False
108,93.05,49.16,20.14,Op-5,20.478,0.9812084386102926,23.42162531583088,17.534374684169123,False
109,107.58,49.13,19.19,Op-5,20.394,1.086429933313716,23.653289799941145,17.13471020005885,False
110,107.06,48.67,19.42,Op-5,20.238,1.1737418796311399,23.75922563889342,16.71677436110658,False
111,101.74,47.73,21.61,Op-5,20.125999999999998,0.9483828340918226,22.971148502275465,17.28085149772453,False
112,101.62,48.4,20.26,Op-5,20.124000000000002,0.9480137129810083,22.96804113894303,17.279958861056976,False
113,96.14,46.42,20.53,Op-5,20.202,0.9655412989613854,23.098623896884156,17.305376103115847,False
114,104.98,48.83,19.73,Op-5,20.310000000000002,0.8469651704763559,22.85089551142907,17.769104488570935,False
115,93.81,48.2,19.86,Op-5,20.398000000000003,0.7485118569535456,22.64353557086064,18.152464429139368,False
116,108.2,52.15,20.91,Op-5,20.258000000000003,0.48380781308288273,21.709423439248653,18.806576560751353,False
117,108.03,54.04,20.85,Op-5,20.375999999999998,0.5516158083304402,22.030847424991318,18.721152575008677,False
118,100.9,54.87,22.73,Op-5,20.816,1.2006997959523666,24.418099387857097,17.2139006121429,False
119,100.3,51.86,19.82,Op-5,20.834,1.1808598562065085,24.376579568619526,17.291420431380473,False
120,109.79,50.52,20.68,Op-5,20.997999999999998,1.0628123070420563,24.186436921126166,17.80956307887383,False
121,110.71,52.01,21.58,Op-5,21.131999999999998,1.0908116244338713,24.40443487330161,17.859565126698385,False
122,102.88,50.67,21.44,Op-5,21.25,1.084573648951543,24.503720946854628,17.996279053145372,False
123,113.73,54.77,22.13,Op-5,21.130000000000003,0.8968277426574514,23.820483227972357,18.43951677202765,False
124,103.25,52.64,20.48,Op-5,21.262,0.6775839431391967,23.294751829417592,19.22924817058241,False
125,109.06,51.55,20.83,Op-5,21.292,0.6480509239250133,23.236152771775043,19.34784722822496,False
126,106.63,56.26,21.42,Op-5,21.26,0.6340741281585798,23.16222238447574,19.357777615524263,False
127,116.6,53.81,23.39,Op-5,21.65,1.156741111917473,25.120223335752417,18.17977666424758,False
128,115.28,47.98,21.49,Op-5,21.522,1.1253310623990034,24.89799318719701,18.146006812802987,False
129,98.58,51.78,21.36,Op-5,21.698,0.9812084386103056,24.641625315830918,18.754374684169083,False
130,113.11,51.75,20.41,Op-5,21.613999999999997,1.0864299333137277,24.87328979994118,18.354710200058815,False
131,112.59,51.29,20.64,Op-5,21.458000000000002,1.173741879631151,24.979225638893453,17.93677436110655,False
132,107.27,50.35,22.83,Op-5,21.346,0.9483828340918363,24.19114850227551,18.50085149772449,False
133,107.15,51.02,21.48,Op-5,21.344,0.948013712981022,24.188041138943067,18.499958861056935,False
134,101.67,49.04,21.75,Op-5,21.422,0.9655412989613988,24.318623896884198,18.525376103115804,False
135,100.23,50.03,20.02,Op-6,21.344,1.0770468884872486,24.575140665461745,18.112859334538257,False
136,100.08,48.8,20.45,Op-6,21.306,1.1109140380785831,24.63874211423575,17.97325788576425,False
137,100.67,48.35,20.16,Op-6,20.772,0.7908033889659637,23.144410166897888,18.39958983310211,False
138,99.49,48.44,20.68,Op-6,20.612000000000002,0.6856894340735094,22.66906830222053,18.554931697779473,False
139,99.79,49.88,20.79,Op-6,20.419999999999998,0.3290136775273108,21.40704103258193,19.432958967418067,False
140,99.66,49.72,20.3,Op-6,20.476,0.26063384277573476,21.257901528327203,19.694098471672795,False
141,100.08,50.55,20.02,Op-6,20.389999999999997,0.33241540277196097,21.38724620831588,19.392753791684115,False
142,101.14,50.16,20.28,Op-6,20.413999999999998,0.31556298895790275,21.360688966873706,19.46731103312629,False
143,101.59,49.66,20.23,Op-6,20.323999999999998,0.2832490070592379,21.17374702117771,19.474252978822285,False
144,100.58,48.99,20.32,Op-6,20.23,0.12206555615751369,20.59619666847254,19.86380333152746,False
145,100.65,48.19,20.81,Op-6,20.332,0.2911528808032722,21.205458642409816,19.458541357590185,False
146,100.49,48.36,20.27,Op-6,20.381999999999998,0.2413917977066436,21.10617539311993,19.657824606880066,False
147,99.99,48.87,20.38,Op-6,20.401999999999997,0.23488294957285752,21.10664884871857,19.697351151281424,False
148,99.53,48.55,20.71,Op-6,20.498,0.24488772937827458,21.232663188134826,19.763336811865177,False
149,100.98,48.74,20.96,Op-6,20.625999999999998,0.2914275210065944,21.50028256301978,19.751717436980215,False
150,100.61,49.69,20.98,Op-6,20.66,0.32611347718248307,21.638340431547448,19.681659568452552,False
151,99.53,48.54,20.21,Op-6,20.648,0.3446302366305804,21.68189070989174,19.61410929010826,False
152,99.08,48.88,20.43,Op-6,20.658,0.33551453023684374,21.664543590710533,19.65145640928947,False
153,96.38,48.45,19.51,Op-7,20.418,0.6077581755929301,22.24127452677879,18.59472547322121,False
154,98.27,52.28,20.24,Op-7,20.274,0.5271906675957431,21.85557200278723,18.69242799721277,False
155,99.07,52.07,19.08,Op-7,19.894,0.5737856742722351,21.615357022816703,18.172642977183294,False
156,95.72,48.36,19.58,Op-7,19.768,0.5559406443137999,21.4358219329414,18.1001780670586,False
157,99.65,52.61,18.66,Op-7,19.413999999999998,0.5914220151465791,21.188266045439736,17.63973395456026,False
158,102.3,47.13,21.19,Op-7,19.75,0.9974467404328132,22.74234022129844,16.75765977870156,False
159,94.47,50.04,20.76,Op-7,19.854,1.0846105291762775,23.107831587528832,16.600168412471167,False
160,98.32,48.32,21.43,Op-7,20.324,1.1710806974756458,23.83724209242694,16.810757907573063,False
161,98.68,51.72,19.29,Op-7,20.266,1.223163930141845,23.935491790425534,16.596508209574463,False
162,95.02,52.87,21.98,Op-7,20.93,1.017177467308458,23.981532401925374,17.878467598074625,False
163,101.41,51.4,21.32,Op-7,20.956,1.0270978531766335,24.0372935595299,17.8747064404701,False
164,95.32,50.53,19.2,Op-7,20.644,1.3017411417021614,24.549223425106483,16.738776574893514,False
165,99.11,48.15,19.87,Op-7,20.332,1.2522659461951535,24.08879783858546,16.57520216141454,False
166,94.52,51.11,18.63,Op-7,20.2,1.4139130100540285,24.441739030162083,15.958260969837914,False
167,102.7,47.06,21.06,Op-7,20.016,1.1617357703023705,23.50120731090711,16.530792689092888,False
168,98.62,49.4,19.75,Op-7,19.702,0.9049696127495336,22.416908838248602,16.9870911617514,False
169,101.05,50.61,19.44,Op-7,19.75,0.877638877899128,22.382916633697384,17.117083366302616,False
170,97.0,51.93,18.61,Op-7,19.497999999999998,1.0060665981932004,22.5161997945796,16.479800205420396,False
171,100.5,50.0,19.0,Op-7,19.572,0.9375339993835095,22.38460199815053,16.75939800184947,False
172,98.51,49.94,20.6,Op-7,19.48,0.7609533494242856,21.762860048272856,17.197139951727145,False
173,95.33,47.09,21.47,Op-7,19.824,1.1844534604618462,23.37736038138554,16.270639618614464,False
174,97.65,51.93,21.66,Op-7,20.268,1.4008461728541244,24.470538518562375,16.065461481437627,False
175,100.03,52.76,20.45,Op-7,20.636000000000003,1.0555235667667724,23.802570700300322,17.469429299699684,False
176,96.89,50.69,20.42,Op-7,20.919999999999998,0.5965316420778105,22.70959492623343,19.130405073766568,False
177,95.55,47.13,21.1,Op-7,21.020000000000003,0.570832725060547,22.732498175181643,19.307501824818363,False
178,97.13,49.06,21.21,Op-7,20.968,0.5299716973575569,22.55791509207267,19.37808490792733,False
179,96.4,47.71,18.72,Op-7,20.380000000000003,0.9961676565719471,23.368502969715845,17.39149703028416,False
180,94.33,48.89,20.2,Op-7,20.330000000000002,0.998048095033523,23.32414428510057,17.335855714899434,False
181,98.95,50.45,18.64,Op-7,19.973999999999997,1.2448614380725431,23.708584314217624,16.23941568578237,False
182,94.64,47.1,21.63,Op-7,20.080000000000002,1.3799456511037091,24.21983695331113,15.940163046688873,False
183,100.44,50.84,20.57,Op-7,19.951999999999998,1.274586207363016,23.775758622089047,16.12824137791095,False
184,102.13,52.5,19.3,Op-7,20.067999999999998,1.155235906644196,23.533707719932586,16.60229228006741,False
185,103.63,50.62,20.0,Op-7,20.028,1.1529830874735487,23.486949262420644,16.569050737579353,False
186,100.65,52.62,19.32,Op-8,20.164,0.974643524577083,23.08793057373125,17.240069426268754,False
187,96.66,50.58,21.63,Op-8,20.163999999999998,0.974643524577083,23.087930573731246,17.24006942626875,False
188,102.78,52.22,21.71,Op-8,20.392000000000003,1.2005290500442054,23.99358715013262,16.790412849867387,False
189,97.79,47.34,20.73,Op-8,20.678,1.034151826377561,23.780455479132684,17.575544520867318,False
190,100.26,51.19,18.55,Op-8,20.387999999999998,1.4076647328110636,24.61099419843319,16.165005801566807,False
191,102.45,48.01,18.7,Op-8,20.264,1.5457942942060707,24.90138288261821,15.626617117381787,False
192,103.24,51.5,21.02,Op-8,20.142000000000003,1.4308284313641677,24.434485294092507,15.849514705907499,False
193,100.81,50.17,20.08,Op-8,19.815999999999995,1.1404955063480273,23.237486519044076,16.394513480955915,False
194,99.77,50.97,20.08,Op-8,19.686,1.043158664825271,22.81547599447581,16.55652400552419,False
195,100.76,49.91,20.97,Op-8,20.169999999999998,0.9406912352095363,22.992073705628606,17.34792629437139,False
196,95.49,51.51,19.12,Op-8,20.253999999999998,0.7819718665016295,22.599915599504886,17.90808440049511,False
197,103.01,50.76,20.57,Op-8,20.164,0.6925532470503925,22.241659741151178,18.086340258848825,False
198,99.55,48.08,19.28,Op-8,20.004,0.8007683809941804,22.406305142982543,17.60169485701746,False
199,101.83,50.46,18.79,Op-8,19.746,0.9617847992144817,22.63135439764344,16.860645602356556,False
200,101.82,49.56,21.7,Op-8,19.892,1.2158823956288047,23.539647186886413,16.244352813113586,False
201,101.47,50.82,18.79,Op-8,19.826,1.2757468400901655,23.653240520270497,15.998759479729504,False
202,99.86,48.4,19.0,Op-8,19.512,1.2395442710932283,23.230632813279684,15.793367186720316,False
203,100.67,51.11,21.56,Op-8,19.967999999999996,1.5204177057637949,24.529253117291383,15.406746882708612,False
204,101.12,47.64,21.4,Op-8,20.490000000000002,1.4617797371697425,24.875339211509228,16.104660788490776,False
205,96.46,48.73,19.36,Op-8,20.022,1.347672066936182,24.065016200808543,15.978983799191454,False
206,99.98,52.6,20.36,Op-9,20.336,1.1584817650701462,23.811445295210437,16.86055470478956,False
207,99.1,48.34,21.4,Op-9,20.816,0.9438643970401908,23.64759319112057,17.984406808879427,False
208,94.0,52.64,19.68,Op-9,20.44,0.9478396488858453,23.283518946657537,17.596481053342465,False
209,103.39,50.29,21.9,Op-9,20.54,1.0901376059929517,23.810412817978854,17.269587182021144,False
210,102.19,49.57,19.19,Op-9,20.506,1.1377521698507294,23.919256509552188,17.092743490447813,False
211,99.57,51.09,20.48,Op-9,20.529999999999998,1.1351651862174257,23.935495558652274,17.12450444134772,False
212,96.92,52.94,18.56,Op-9,19.962,1.2908601783307285,23.834580534992185,16.089419465007815,False
213,97.82,50.44,20.71,Op-9,20.168,1.3165371244290995,24.117611373287296,16.218388626712702,False
214,97.27,52.03,20.0,Op-9,19.788,0.8999277748797623,22.487783324639288,17.088216675360712,False
215,97.07,52.54,21.33,Op-9,20.216,1.0420796514662602,23.34223895439878,17.08976104560122,False
216,94.09,48.89,18.63,Op-9,19.846,1.235406815587498,23.552220446762494,16.139779553237506,False
217,98.7,52.57,20.04,Op-9,20.142,1.0063150600085649,23.160945180025692,17.123054819974307,False
218,99.42,48.71,19.94,Op-9,19.988,0.9552852976990911,22.853855893097272,17.122144106902727,False
219,95.9,49.08,19.46,Op-9,19.880000000000003,0.9836920249753175,22.831076074925956,16.92892392507405,False
220,99.72,47.48,20.65,Op-9,19.744,0.7530803409995781,22.003241022998733,17.484758977001267,False
221,95.2,49.69,18.78,Op-9,19.774,0.698627225349857,21.869881676049573,17.67811832395043,False
222,101.27,48.46,20.68,Op-9,19.902,0.8093948356643,22.3301845069929,17.473815493007102,False
223,102.24,47.75,19.45,Op-9,19.804,0.8329645850815266,22.30289375524458,17.305106244755418,False
224,95.31,52.09,19.93,Op-9,19.898,0.8106602247551311,22.329980674265393,17.466019325734607,False
225,100.92,52.01,20.98,Op-9,19.964000000000002,0.8961194116857639,22.652358235057292,17.275641764942712,False
226,96.07,52.25,20.29,Op-9,20.266,0.6042598778671633,22.07877963360149,18.453220366398508,False
227,98.84,51.99,21.14,Op-9,20.357999999999997,0.7089922425527936,22.484976727658378,18.231023272341616,False
228,95.78,51.33,19.19,Op-9,20.306,0.7963855850026659,22.695156755008,17.916843244992002,False
229,102.03,48.0,20.93,Op-9,20.506,0.8038843200361839,22.91765296010855,18.09434703989145,False
230,98.69,47.05,20.74,Op-9,20.458,0.7751580484004779,22.78347414520143,18.132525854798565,False
231,96.14,47.96,21.97,Op-9,20.794,1.0120424892266315,23.830127467679894,17.757872532320107,False
232,99.34,48.43,18.77,Op-9,20.32,1.3181805642627404,24.274541692788222,16.365458307211778,False
233,102.81,51.4,18.9,Op-9,20.261999999999997,1.3850162453921033,24.417048736176305,16.10695126382369,False
234,97.97,48.91,19.18,Op-9,19.912,1.3950878108563771,24.09726343256913,15.726736567430867,False
235,102.75,52.4,18.66,Op-9,19.496,1.3965779605879645,23.68573388176389,15.306266118236106,False
236,100.25,47.87,19.01,Op-9,18.904,0.20305171755007947,19.51315515265024,18.29484484734976,False
237,103.28,49.15,18.57,Op-9,18.863999999999997,0.2502598649404999,19.614779594821496,18.1132204051785,False
238,94.42,50.85,20.91,Op-9,19.266000000000002,0.9522762204318852,22.122828661295657,16.409171338704347,False
239,96.41,48.91,21.24,Op-9,19.678,1.2911119238857776,23.551335771657335,15.804664228342668,False
240,100.79,52.39,21.66,Op-9,20.278,1.3928280583044097,24.45648417491323,16.09951582508677,False
241,95.82,48.23,20.02,Op-10,20.479999999999997,1.226234072271698,24.15870221681509,16.801297783184904,False
242,96.74,50.7,21.66,Op-10,21.098000000000003,0.6799411739261216,23.137823521778365,19.05817647822164,False
243,103.68,51.96,20.19,Op-10,20.954,0.7960401999899452,23.342120599969835,18.565879400030166,False
244,102.73,52.35,19.03,Op-10,20.512,1.1377477752120775,23.92524332563623,17.09875667436377,False
245,103.06,51.33,20.31,Op-10,20.242,0.9402499667641749,23.062749900292527,17.421250099707475,False
246,95.83,48.45,20.91,Op-10,20.42,0.9714422267947963,23.33432668038439,17.505673319615614,False
247,99.96,52.55,19.15,Op-10,19.918,0.8046862742709309,22.33205882281279,17.503941177187208,False
248,100.84,48.86,20.35,Op-10,19.95,0.8212186067059319,22.413655820117796,17.486344179882202,False
249,96.28,50.02,19.9,Op-10,20.124,0.6523649285484567,22.08109478564537,18.166905214354628,False
250,97.09,51.34,21.38,Op-10,20.338,0.8683720400842211,22.943116120252665,17.732883879747337,False
251,98.93,52.66,21.13,Op-10,20.381999999999998,0.9092139462194975,23.10964183865849,17.654358161341506,False
252,102.7,52.01,21.42,Op-10,20.836000000000002,0.6774437246000803,22.868331173800243,18.80366882619976,False
253,98.19,49.37,18.58,Op-10,20.482,1.2311051945305218,24.175315583591566,16.788684416408433,False
254,97.05,48.22,20.47,Op-10,20.596,1.1894242304577594,24.164272691373277,17.027727308626723,False
255,94.76,49.77,19.28,Op-10,20.176,1.21389043986681,23.81767131960043,16.534328680399568,False
256,99.96,47.8,19.06,Op-10,19.762,1.1589305414907503,23.238791624472253,16.28520837552775,False
257,94.07,52.74,19.44,Op-10,19.366,0.6969791962462336,21.4569375887387,17.2750624112613,False
258,95.77,47.24,21.86,Op-10,20.022,1.1612148810620886,23.505644643186265,16.53835535681373,False
259,97.63,52.96,21.08,Op-10,20.144,1.2487914157296403,23.89037424718892,16.397625752811077,False
260,95.22,48.81,20.66,Op-10,20.419999999999998,1.159396394681318,23.89818918404395,16.941810815956046,False
261,97.85,49.65,19.04,Op-10,20.415999999999997,1.1652810819712287,23.911843245913683,16.92015675408631,False
262,99.07,48.91,20.17,Op-10,20.562,1.0527202857359772,23.720160857207933,17.40383914279207,False
263,98.38,47.39,20.3,Op-10,20.25,0.7632168761237127,22.539650628371138,17.960349371628862,False
264,94.29,50.49,21.48,Op-10,20.330000000000002,0.8834591105422135,22.98037733162664,17.679622668373362,False
265,95.86,50.08,20.12,Op-10,20.222,0.8658637306181842,22.819591191854553,17.62440880814545,False
266,99.69,50.98,21.57,Op-10,20.728,0.7312113237635459,22.92163397129064,18.534366028709364,False
267,100.59,47.46,19.7,Op-10,20.633999999999997,0.842603109417499,23.161809328252495,18.1061906717475,False
268,103.02,52.04,20.43,Op-10,20.66,0.8316549765377695,23.154964929613307,18.165035070386693,False
269,101.31,52.53,21.53,Op-10,20.669999999999998,0.8441859984624472,23.20255799538734,18.137442004612655,False
270,98.86,47.46,18.64,Op-10,20.374000000000002,1.2480905415874433,24.118271624762333,16.629728375237672,False
271,103.54,47.85,20.01,Op-11,20.062,1.054310201031953,23.22493060309586,16.899069396904142,False
272,99.46,51.89,19.77,Op-11,20.076,1.0487516388545177,23.222254916563553,16.929745083436448,False
273,97.98,50.05,21.39,Op-11,20.268,1.2058689812745145,23.885606943823543,16.65039305617646,False
274,96.14,52.13,20.78,Op-11,20.118000000000002,1.045643342636502,23.25493002790951,16.981069972090495,False
