id,case_id,party_number,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,direction_of_travel,party_safety_equipment_1,party_safety_equipment_2,financial_responsibility,hazardous_materials,cellphone_in_use,cellphone_use_type,school_bus_related,oaf_violation_code,oaf_violation_category,oaf_violation_section,oaf_violation_suffix,other_associate_factor_1,other_associate_factor_2,party_number_killed,party_number_injured,movement_preceding_collision,vehicle_year,vehicle_make,statewide_vehicle_type,chp_vehicle_type_towing,chp_vehicle_type_towed,party_race
47,3899485,2,driver,1,,,impairment unknown,G,north,,unknown,,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,,,,unknown hit and run vehicle involvement,00,
48,3899486,1,driver,1,male,23,had not been drinking,,north,air bag deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2000,chevrolet,passenger car,"passenger car, station",00,hispanic
49,3899486,2,driver,0,female,46,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2003,chevrolet,passenger car,sport utility vehicle,00,hispanic
50,3899489,1,driver,1,male,31,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1992,toyota,pickup or panel truck,pickups & panels,00,hispanic
51,3899489,2,driver,0,male,30,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2009,ford,passenger car,"passenger car, station",00,white
52,3899489,3,driver,0,male,18,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,1994,acura,passenger car,"passenger car, station",00,hispanic
53,3899489,4,driver,0,male,46,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2006,toyota,pickup or panel truck,pickups & panels,00,white
54,3899490,1,driver,1,male,49,"had been drinking, under influence",,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,failure to heed stop signal,21453,A,violation,none apparent,0,0,proceeding straight,1990,plymouth,passenger car,mini-vans,00,hispanic
55,3899490,2,driver,0,female,64,had not been drinking,,west,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2004,nissan,passenger car,sport utility vehicle,00,white
56,3899490,3,driver,0,male,46,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2001,ford,passenger car,"passenger car, station",00,white
57,3899490,4,driver,0,male,45,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2007,toyota,passenger car,"passenger car, station",00,hispanic
58,3899493,1,driver,1,male,54,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1997,acura,passenger car,"passenger car, station",00,other
59,3899493,2,driver,0,female,39,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2007,chevrolet,passenger car,"passenger car, station",00,black
60,3899493,3,driver,0,male,24,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2000,toyota,pickup or panel truck,pickups & panels,00,hispanic
61,3899494,1,driver,1,male,21,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,toyota,passenger car,"passenger car, station",00,asian
62,3899494,2,driver,0,male,25,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2006,jeep,passenger car,sport utility vehicle,00,hispanic
63,3899497,1,driver,1,male,23,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,inattention,stop and go traffic,0,0,proceeding straight,2008,lexus,passenger car,"passenger car, station",00,white
64,3899497,2,driver,0,male,43,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,stopped,2003,mercedes-benz,passenger car,"passenger car, station",00,white
65,3899497,3,driver,0,male,55,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,1,slowing/stopping,2003,mercedes-benz,passenger car,"passenger car, station",00,hispanic
66,3899498,1,driver,1,female,23,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2001,hyundai,passenger car,"passenger car, station",00,hispanic
67,3899498,2,driver,0,male,53,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2003,honda,passenger car,sport utility vehicle,00,white
68,3899501,1,driver,1,male,48,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,2,proceeding straight,1999,ford,passenger car,sport utility vehicle,00,hispanic
69,3899502,1,driver,1,male,23,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,2005,toyota,passenger car,"passenger car, station",00,black
70,3899502,2,driver,0,male,49,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,buick,passenger car,"passenger car, station",00,black
71,3899505,1,driver,1,male,55,"had been drinking, not under influence",impairment - physical,south,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,other unsafe turning,1996,ford,passenger car,"passenger car, station",00,hispanic
72,3899505,2,parked vehicle,0,,,not applicable,not applicable,south,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,2002,ford,pickup or panel truck,pickups & panels,00,
73,3899505,3,parked vehicle,0,,,not applicable,not applicable,north,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,1989,honda,passenger car,"passenger car, station",00,
74,3899506,1,driver,0,female,47,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2000,ford,passenger car,sport utility vehicle,00,black
75,3899506,2,driver,1,male,28,had not been drinking,,west,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1999,honda,passenger car,"passenger car, station",00,other
76,3899509,1,parked vehicle,0,,,had not been drinking,,east,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,2003,ford,pickup or panel truck,pickups & panels,00,
77,3899509,2,driver,1,female,60,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1998,volvo,passenger car,"passenger car, station",00,white
78,3899510,1,driver,1,male,58,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,2007,audi,passenger car,sport utility vehicle,00,asian
79,3899510,2,driver,0,male,49,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,ford,emergency vehicle,police car,00,black
80,3899513,1,driver,0,male,27,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,1997,bmw,passenger car,"passenger car, station",00,hispanic
81,3899513,2,driver,0,female,27,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,infiniti,passenger car,"passenger car, station",00,hispanic
82,3899514,1,driver,1,male,26,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1995,plymouth,passenger car,mini-vans,00,hispanic
83,3899514,2,driver,0,male,32,had not been drinking,,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,1988,ford,passenger car,"passenger car, station",00,hispanic
84,3899514,3,driver,0,male,23,had not been drinking,,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,2001,ford,pickup or panel truck with trailer,pickups & panels,utility,black
85,3899517,1,driver,1,,,impairment unknown,G,north,unknown,,,,0,cellphone not in use,,,,,,none apparent,,0,0,other unsafe turning,,,,unknown hit and run vehicle involvement,00,
86,3899518,1,driver,1,male,25,"had been drinking, under influence",,west,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,unsafe lane change,21658,A,violation,none apparent,0,0,changing lanes,1994,honda,passenger car,"passenger car, station",00,hispanic
87,3899518,2,driver,0,male,45,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2000,toyota,passenger car,"passenger car, station",00,hispanic
88,3918943,1,driver,1,male,55,not applicable,not applicable,south,,,no proof of insurance obtained,,,,,,,,,none apparent,,0,0,proceeding straight,1994,ford,,,00,black
89,3918943,2,driver,0,male,25,not applicable,not applicable,south,,lap/shoulder harness used,proof of insurance obtained,,,,,,,,,none apparent,,0,1,stopped,2007,nissan,,,00,black
90,3981284,1,driver,0,male,,impairment unknown,G,north,,,proof of insurance obtained,,,no cellphone/unknown,,,,,,other,,0,0,making right turn,,,,,,
91,3981284,2,driver,0,female,24,had not been drinking,,east,lap/shoulder harness used,,proof of insurance obtained,,0,cellphone not in use,,,,,,inattention,,0,0,stopped,2005,,,,,black
92,3981292,1,driver,1,male,52,had not been drinking,,west,air bag not deployed,,proof of insurance obtained,,,,,,,,,none apparent,,0,0,backing,2004,peterbilt,other vehicle,,,
93,3981292,2,parked vehicle,0,,,had not been drinking,,east,,,not applicable,,,,,,,,,none apparent,,0,0,parked,2004,ford,pickup or panel truck,,,
94,3981302,1,driver,1,male,42,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,proceeding straight,2003,chevrolet,passenger car,"passenger car, station",00,hispanic
95,3981302,2,driver,0,male,36,had not been drinking,,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,stopped,2000,isuzu,truck or truck tractor,two axle truck,00,black
96,3981306,1,driver,1,male,58,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,2007,international harvester,truck or truck tractor,two axle truck,00,hispanic
97,3981306,2,driver,0,male,26,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,international harvester,truck or truck tractor,two axle truck,00,hispanic
98,3981318,1,driver,1,male,26,had not been drinking,,south,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,defective vehicle equipment,,0,0,crossed into opposing lane,1989,honda,passenger car,"passenger car, station",00,white
99,3981318,2,driver,0,female,54,had not been drinking,,north,not required,lap belt used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,5,proceeding straight,2001,bluebird,schoolbus,school bus public type i,00,white
100,3981333,1,driver,1,,,impairment unknown,G,west,,,,,0,cellphone not in use,,,,,,entering/leaving ramp,,0,0,other,,dodge,passenger car,mini-vans,00,
101,3981333,2,driver,0,male,63,had not been drinking,,west,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,kenworth,truck or truck tractor with trailer,truck tractor,semi,white
102,3981342,1,driver,1,male,63,had not been drinking,,west,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,1,cellphone in use (hands-free),,,,,,none apparent,,0,0,slowing/stopping,2005,toyota,pickup or panel truck,pickups & panels,00,hispanic
103,3981342,2,driver,0,male,27,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,1,cellphone in use (hands-free),,,,,,none apparent,,0,0,proceeding straight,1998,gmc,pickup or panel truck,pickups & panels,00,other
104,3981348,1,driver,1,male,18,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making right turn,2000,ford,pickup or panel truck,pickups & panels,00,white
105,3981348,2,driver,0,female,58,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2002,ford,other bus,public transit authority,00,white
106,3982060,1,driver,1,male,57,"had been drinking, not under influence",,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making right turn,1997,ford,passenger car,"passenger car, station",00,black
107,3982060,2,driver,0,male,56,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,volvo,truck or truck tractor with trailer,three or more axle truck,semi,white
108,3982060,3,driver,0,male,55,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2006,cadillac,passenger car,"passenger car, station",00,black
109,3982064,1,driver,0,male,57,had not been drinking,,west,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,international harvester,truck or truck tractor with trailer,truck tractor,semi,asian
110,3982068,1,driver,0,female,22,impairment unknown,G,east,lap/shoulder harness used,,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1999,jeep,passenger car,"passenger car, station",00,white
111,3982068,2,parked vehicle,0,,,not applicable,not applicable,east,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,1989,isuzu,truck or truck tractor,two axle truck,00,
112,3982072,1,driver,1,male,24,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,backing,2004,isuzu,truck or truck tractor,two axle truck,00,
113,3982072,2,driver,0,female,50,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,1999,chevrolet,passenger car,sport utility vehicle,00,
114,3982076,1,driver,1,male,57,had not been drinking,,south,not required,unknown,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,backing,1998,peterbilt,truck or truck tractor,three or more axle truck,00,
115,3982076,2,parked vehicle,0,,,,,north,,,not applicable,,,,,,,,,,,0,0,parked,2001,chevrolet,pickup or panel truck,pickups & panels,00,
116,3982882,1,driver,1,male,36,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,toyota,passenger car,"passenger car, station",00,white
117,3982882,2,driver,0,female,51,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,2,proceeding straight,1992,nissan,passenger car,"passenger car, station",00,hispanic
118,3982882,3,driver,0,male,41,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,2,stopped,1999,chevrolet,passenger car,"passenger car, station",00,hispanic
119,3982883,1,driver,1,male,20,"had been drinking, under influence",,west,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,unsafe lane change,21658,A,violation,,0,0,changing lanes,2005,dodge,pickup or panel truck,pickups & panels,00,hispanic
120,3982883,2,driver,0,female,41,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,,,0,1,slowing/stopping,2006,kia,passenger car,"passenger car, station",00,white
121,3982883,3,driver,0,female,38,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,,,0,1,slowing/stopping,2008,pontiac,passenger car,"passenger car, station",00,hispanic
122,3982884,1,driver,1,,,impairment unknown,G,north,,unknown,,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,1993,volkswagen,passenger car,"passenger car, station",00,
123,3982884,2,driver,0,male,62,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2006,mercedes-benz,passenger car,"passenger car, station",00,white
124,3982886,1,driver,0,female,51,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2000,toyota,passenger car,sport utility vehicle,00,black
