case_id,db_year
3984857,2021
3984861,2021
3984865,2021
3984869,2021
3984873,2021
3984928,2021
3984932,2021
3985078,2021
3985105,2021
3986468,2021
3986472,2021
3986476,2021
3986480,2021
3987521,2021
3987522,2021
3987525,2021
3987526,2021
3987530,2021
3987534,2021
3987538,2021
3987542,2021
3987546,2021
3987550,2021
3987554,2021
3987558,2021
3987562,2021
3987565,2021
3987570,2021
3987602,2021
3987606,2021
3987612,2021
3987614,2021
3987616,2021
3987618,2021
3987620,2021
3987622,2021
3987624,2021
3987626,2021
3987628,2021
3987632,2021
3987634,2021
3987636,2021
3987640,2021
3987644,2021
3987648,2021
3987656,2021
3987660,2021
3987664,2021
3987668,2021
3987672,2021
3987673,2021
3987677,2021
3987680,2021
3987681,2021
3987682,2021
3987683,2021
3987684,2021
3987685,2021
3987689,2021
3987694,2021
3987697,2021
3987701,2021
3987703,2021
3987706,2021
3987708,2021
3987709,2021
3987710,2021
3987711,2021
3987713,2021
3987719,2021
3987721,2021
3987723,2021
3987725,2021
3987727,2021
3987733,2021
3987736,2021
3987737,2021
3987741,2021
3987747,2021
3987749,2021
3987751,2021
3987753,2021
3987757,2021
3987798,2021
3987802,2021
3987806,2021
3987842,2021
3987884,2021
3987901,2021
3987909,2021
3987913,2021
3987917,2021
3988002,2021
3988006,2021
3988069,2021
3988073,2021
3988077,2021
3989688,2021
3989692,2021
3989696,2021
3989700,2021
3989704,2021
3989708,2021
3989712,2021
3989716,2021
3989720,2021
3989724,2021
3989728,2021
3989732,2021
3989809,2021
3989813,2021
3989817,2021
3989821,2021
3989825,2021
3989829,2021
3989833,2021
3990161,2021
3990175,2021
3990179,2021
3990183,2021
3990187,2021
3990191,2021
3990195,2021
3990199,2021
3990203,2021
3990207,2021
3990211,2021
3990215,2021
3990219,2021
3990223,2021
3990227,2021
3990243,2021
3990247,2021
3990251,2021
3990253,2021
3990255,2021
3990259,2021
3990261,2021
3990265,2021
3990267,2021
3990269,2021
3990271,2021
3990273,2021
3990275,2021
3990277,2021
3990285,2021
3990293,2021
3990297,2021
3990301,2021
3990305,2021
3990309,2021
3990313,2021
3990317,2021
3990318,2021
3990483,2021
3990484,2021
3990488,2021
3990491,2021
3990496,2021
3990500,2021
3990503,2021
3990504,2021
3990507,2021
3990508,2021
3990511,2021
3990512,2021
3990516,2021
3990527,2021
3990531,2021
3990535,2021
3990539,2021
3990556,2021
3990581,2021
3990585,2021
3990589,2021
3990593,2021
3990597,2021
3990601,2021
3990609,2021
3990613,2021
3990621,2021
3990629,2021
3990633,2021
3990637,2021
3990643,2021
3990644,2021
3990646,2021
3990647,2021
3990649,2021
3990651,2021
3990653,2021
3990654,2021
3990655,2021
3990656,2021
3990657,2021
3990659,2021
3990660,2021
3990668,2021
3990669,2021
3990671,2021
3990672,2021
3990673,2021
3990676,2021
3990678,2021
3990683,2021
3990686,2021
3990687,2021
3990689,2021
3990692,2021
3990693,2021
3990696,2021
3990698,2021
3990701,2021
3990702,2021
3990703,2021
3990704,2021
3990705,2021
3990706,2021
3990707,2021
3990710,2021
3990714,2021
3990717,2021
3990719,2021
3993844,2021
3993848,2021
3993852,2021
3993860,2021
3993876,2021
3993880,2021
3993884,2021
3993887,2021
3993888,2021
3993891,2021
3993892,2021
3993895,2021
3993896,2021
3993899,2021
3993900,2021
3993904,2021
3993907,2021
3993908,2021
3993911,2021
3993912,2021
3993916,2021
3993919,2021
3995202,2021
3995203,2021
3995206,2021
3995207,2021
3995210,2021
3995211,2021
3995214,2021
3995218,2021
3995219,2021
3995222,2021
3995223,2021
3995226,2021
3995227,2021
3995230,2021
3995231,2021
3995234,2021
3995235,2021
3995238,2021
3995242,2021
3995246,2021
3995250,2021
3995254,2021
3995257,2021
3995258,2021
3995261,2021
3995262,2021
3995265,2021
3995269,2021
3995273,2021
3995277,2021
3995921,2021
3995925,2021
3995929,2021
3995933,2021
3995937,2021
3995941,2021
3995945,2021
3995949,2021
3995953,2021
3995961,2021
3995965,2021
3995969,2021
3995973,2021
3996570,2021
3996582,2021
3996586,2021
3996590,2021
3996594,2021
3996598,2021
3996602,2021
3996606,2021
3996610,2021
3996614,2021
3996626,2021
3996630,2021
3996634,2021
3996638,2021
4000502,2021
4000503,2021
4000504,2021
4000505,2021
4000506,2021
4000507,2021
4000508,2021
4000509,2021
4000510,2021
4000511,2021
4000513,2021
4000515,2021
4000516,2021
4000517,2021
4000518,2021
4000519,2021
4000520,2021
4000521,2021
4000522,2021
4000523,2021
4000524,2021
4000525,2021
4000526,2021
4000528,2021
4000529,2021
4000530,2021
4000531,2021
4000532,2021
4000533,2021
4000534,2021
4000535,2021
4000536,2021
4000537,2021
4000538,2021
4000539,2021
4000540,2021
4000541,2021
4000543,2021
4000544,2021
4000545,2021
4000546,2021
4000547,2021
4000548,2021
4000644,2021
4000648,2021
4000652,2021
4000656,2021
4000660,2021
4000664,2021
4000667,2021
4000668,2021
4000671,2021
4000672,2021
4000675,2021
4000676,2021
4000679,2021
4000680,2021
4000683,2021
4000684,2021
4000687,2021
4000688,2021
4000691,2021
4000692,2021
4000695,2021
4000696,2021
4000699,2021
4000700,2021
4000703,2021
4000704,2021
4000707,2021
4000708,2021
4000711,2021
4000715,2021
4000716,2021
4000719,2021
4000720,2021
4000722,2021
4000726,2021
4000730,2021
4000734,2021
4000738,2021
4000742,2021
4000750,2021
4000753,2021
4000754,2021
4000757,2021
4000758,2021
4000762,2021
4000766,2021
4000770,2021
4000774,2021
4000778,2021
4000782,2021
4000786,2021
4000789,2021
4000790,2021
4000793,2021
4000794,2021
4000798,2021
4001488,2021
4001492,2021
4001496,2021
4001504,2021
4001508,2021
4001511,2021
4001512,2021
4001515,2021
4001516,2021
4001519,2021
4001520,2021
4001761,2021
4001762,2021
4001763,2021
4001764,2021
4001765,2021
4001766,2021
4001767,2021
4001768,2021
4001770,2021
4001772,2021
4001773,2021
4001776,2021
4001777,2021
4001778,2021
4001780,2021
4001781,2021
4001782,2021
4001784,2021
4001785,2021
4001786,2021
4001788,2021
4001789,2021
4001790,2021
4001792,2021
4001793,2021
4001794,2021
4001796,2021
4001797,2021
4001798,2021
4001800,2021
4001802,2021
4001804,2021
4001805,2021
4001806,2021
4001808,2021
4001809,2021
4001810,2021
4001812,2021
4001813,2021
4001814,2021
4001816,2021
4001817,2021
4001818,2021
4001819,2021
4001820,2021
4001821,2021
4001822,2021
4001823,2021
4001824,2021
4001825,2021
4001826,2021
4001827,2021
4001828,2021
4001829,2021
4001830,2021
4001831,2021
4001832,2021
4001833,2021
4001834,2021
4001835,2021
4001836,2021
4001837,2021
4001838,2021
4001839,2021
4001840,2021
4003283,2021
4003284,2021
4003287,2021
4003288,2021
4003291,2021
4003292,2021
4003295,2021
4003299,2021
4003300,2021
4003303,2021
4003304,2021
4003307,2021
4003308,2021
4003311,2021
4003319,2021
4003320,2021
4003323,2021
4003324,2021
4003327,2021
4003328,2021
4003332,2021
4003359,2021
4003362,2021
4003364,2021
4003365,2021
4003366,2021
4003368,2021
4003369,2021
4003370,2021
4003372,2021
4003373,2021
4003374,2021
4003376,2021
4003377,2021
4003378,2021
4003379,2021
4003380,2021
4003381,2021
4003382,2021
4003383,2021
4003384,2021
4003385,2021
4003387,2021
4003388,2021
4003389,2021
4003391,2021
4003392,2021
4003393,2021
4003395,2021
4003396,2021
4003397,2021
4003399,2021
4003400,2021
4003401,2021
4003404,2021
4003405,2021
4003408,2021
4003409,2021
4003411,2021
4003412,2021
4003413,2021
4003415,2021
4003416,2021
4003419,2021
4003420,2021
4003421,2021
4003423,2021
4003424,2021
4003427,2021
4003428,2021
4003429,2021
4003431,2021
4003432,2021
4003433,2021
4003435,2021
4003436,2021
4003437,2021
4003439,2021
4003440,2021
4003441,2021
4003442,2021
4003443,2021
4003445,2021
4003446,2021
4003447,2021
4003449,2021
4003450,2021
4003451,2021
4003453,2021
4003454,2021
4003455,2021
4003458,2021
4003459,2021
4003462,2021
4003463,2021
4003466,2021
4003467,2021
4003470,2021
4003471,2021
4003474,2021
4003475,2021
4003478,2021
4003479,2021
4003482,2021
4003483,2021
4003486,2021
4003487,2021
4003490,2021
4003491,2021
4003494,2021
4003495,2021
4003498,2021
4003499,2021
4003502,2021
4003503,2021
4003506,2021
4003507,2021
4003510,2021
4003513,2021
4003514,2021
4003517,2021
4003518,2021
4004161,2021
4004162,2021
4004163,2021
4004164,2021
4004165,2021
4004166,2021
4004168,2021
4004169,2021
4004170,2021
4004171,2021
4004172,2021
4004174,2021
4004175,2021
4004176,2021
4004177,2021
4004178,2021
4004179,2021
4004180,2021
4004181,2021
4004182,2021
4004183,2021
4004184,2021
4004185,2021
4004186,2021
4004187,2021
4004188,2021
4004189,2021
4004190,2021
4004191,2021
4004192,2021
4004193,2021
4004194,2021
4004195,2021
4004196,2021
4004197,2021
4004198,2021
4004199,2021
4004200,2021
4004201,2021
4004202,2021
4004203,2021
4004204,2021
4004205,2021
4004209,2021
4004210,2021
4004211,2021
4004212,2021
4004213,2021
4004214,2021
4004215,2021
4004217,2021
4004218,2021
4004219,2021
4004221,2021
4004222,2021
4004223,2021
4004225,2021
4004226,2021
4004227,2021
4004230,2021
4004231,2021
4004233,2021
4004234,2021
4004237,2021
4004238,2021
4004239,2021
4004244,2021
4004256,2021
4004264,2021
4004268,2021
4004272,2021
4004276,2021
4004280,2021
4004284,2021
4004291,2021
4004292,2021
4004295,2021
4004296,2021
4004299,2021
4004300,2021
4004303,2021
4004304,2021
4004308,2021
4004311,2021
4004312,2021
4004315,2021
4004316,2021
4004319,2021
4004320,2021
4004481,2021
4004482,2021
4004485,2021
4004486,2021
4004489,2021
4004490,2021
4004493,2021
4004497,2021
4004501,2021
4004505,2021
4004509,2021
4004513,2021
4004517,2021
4004521,2021
4004525,2021
4004529,2021
4004533,2021
4004537,2021
4004541,2021
4004549,2021
4004553,2021
4004557,2021
4004562,2021
4004563,2021
4004564,2021
4004566,2021
4004570,2021
4004571,2021
4004572,2021
4004574,2021
4004575,2021
4004576,2021
4004578,2021
4004579,2021
4004580,2021
4004583,2021
4004584,2021
4004586,2021
4004587,2021
4004588,2021
4004590,2021
4004591,2021
4004592,2021
4004594,2021
4004595,2021
4004596,2021
4004597,2021
4004599,2021
4004600,2021
4004601,2021
4004602,2021
4004603,2021
4004604,2021
4004605,2021
4004606,2021
4004607,2021
4004608,2021
4004609,2021
4004610,2021
4004611,2021
4004612,2021
4004613,2021
4004614,2021
4004615,2021
4004616,2021
4004617,2021
4004618,2021
4004619,2021
4004620,2021
4004621,2021
4004622,2021
4004623,2021
4004624,2021
4004625,2021
4004626,2021
4004627,2021
4004628,2021
4004629,2021
4004630,2021
4004631,2021
4004632,2021
4004633,2021
4004634,2021
4004635,2021
4004636,2021
4004637,2021
4004638,2021
4004639,2021
4004640,2021
4005021,2021
4005025,2021
4005033,2021
4005037,2021
4006082,2021
4006083,2021
4006086,2021
4006087,2021
4006091,2021
4006094,2021
4006095,2021
4006098,2021
4006099,2021
4006102,2021
4006103,2021
4006106,2021
4006107,2021
4006110,2021
4006111,2021
4006113,2021
4006114,2021
4006117,2021
4006118,2021
4006119,2021
4006121,2021
4006122,2021
4006123,2021
4006125,2021
4006127,2021
4006128,2021
4006129,2021
4006130,2021
4006131,2021
4006133,2021
4006134,2021
4006135,2021
4006137,2021
4006138,2021
4006141,2021
4006142,2021
4006145,2021
4006146,2021
4006150,2021
4006153,2021
4006154,2021
4006155,2021
4006157,2021
4006158,2021
4006159,2021
4007602,2021
4007603,2021
4007604,2021
4007606,2021
4007607,2021
4007608,2021
4007610,2021
4007611,2021
4007612,2021
4007614,2021
4007615,2021
4007616,2021
4007618,2021
4007620,2021
4007623,2021
4007624,2021
4007627,2021
4007628,2021
4007630,2021
