id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_safety_equipment_1,victim_safety_equipment_2,victim_ejected
54,3982882,2,passenger,female,51,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
55,3982882,3,passenger,female,45,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
56,3982882,3,passenger,male,13,complaint of pain,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
57,3982882,3,passenger,female,7,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
58,3982883,1,passenger,male,19,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
59,3982883,2,passenger,female,16,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
60,3982883,2,passenger,male,13,no injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
61,3982883,2,driver,female,41,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
62,3982883,3,passenger,female,28,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
63,3982886,1,passenger,female,77,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
64,3982888,2,passenger,male,53,no injury,passenger seat 3,lap/shoulder harness used,,not ejected
65,3982888,2,passenger,male,19,no injury,passenger seat 4,lap/shoulder harness used,,not ejected
66,3982890,2,driver,male,78,complaint of pain,driver,other,lap/shoulder harness used,not ejected
67,3982896,1,passenger,male,20,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
68,3982896,2,passenger,female,23,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
69,3982898,1,driver,female,18,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
70,3982899,1,passenger,female,74,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
71,3982899,1,passenger,female,83,no injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
72,3982899,2,passenger,male,19,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
73,3982899,3,passenger,female,7,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
74,3982900,1,passenger,female,31,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
75,3982900,1,passenger,male,5,no injury,passenger seat 6,not required,child restraint in vehicle used,not ejected
76,3982900,1,passenger,female,1,no injury,passenger seat 5,not required,child restraint in vehicle used,not ejected
77,3982900,1,passenger,male,10,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
78,3982902,1,driver,female,20,complaint of pain,driver,,lap/shoulder harness used,unknown
79,3982903,1,passenger,female,27,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
80,3982903,2,driver,male,18,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
81,3982903,2,passenger,male,14,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
82,3982903,2,passenger,male,15,no injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
83,3982904,2,passenger,female,33,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
84,3982904,2,passenger,female,5,no injury,passenger seat 6,not required,child restraint in vehicle used,not ejected
85,3982904,2,passenger,female,9,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
86,3982904,2,passenger,female,0,no injury,passenger seat 5,not required,child restraint in vehicle used,not ejected
87,3982904,3,passenger,female,3,no injury,passenger seat 6,not required,child restraint in vehicle used,not ejected
88,3982906,2,driver,male,25,severe injury,driver,not required,"driver, motorcycle helmet used",fully ejected
89,3982907,2,passenger,male,39,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
90,3982908,1,passenger,male,10,no injury,passenger seat 4,lap/shoulder harness used,,not ejected
91,3982908,1,passenger,male,8,no injury,passenger seat 6,lap/shoulder harness used,,not ejected
92,3982908,2,passenger,female,34,no injury,passenger seat 3,lap/shoulder harness used,,not ejected
93,3982908,3,passenger,female,51,no injury,passenger seat 3,lap/shoulder harness used,,not ejected
94,3982908,3,passenger,female,9,no injury,passenger seat 4,lap/shoulder harness used,,not ejected
95,3982908,3,passenger,female,8,no injury,passenger seat 5,lap/shoulder harness used,,not ejected
96,3982908,3,passenger,male,12,no injury,passenger seat 6,lap/shoulder harness used,,not ejected
97,3982908,4,passenger,female,39,no injury,passenger seat 3,lap/shoulder harness used,,not ejected
98,3982910,1,bicyclist,male,15,complaint of pain,driver,"driver, motorcycle helmet not used",,fully ejected
99,3982911,1,passenger,female,10,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
100,3982911,3,passenger,male,52,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
101,3982914,1,bicyclist,male,19,other visible injury,position unknown,,,unknown
102,3982915,1,driver,female,19,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
103,3982916,2,passenger,female,66,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
104,3982916,2,passenger,female,4,no injury,passenger seat 4,air bag not deployed,child restraint in vehicle used,not ejected
105,3982916,2,passenger,male,2,no injury,passenger seat 6,air bag not deployed,child restraint in vehicle used,not ejected
106,3982916,2,passenger,female,2,no injury,station wagon rear,air bag not deployed,child restraint in vehicle used,not ejected
107,3982918,1,bicyclist,male,59,complaint of pain,position unknown,,,not ejected
108,3982919,2,driver,,20,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,unknown
109,3982920,1,passenger,female,21,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
110,3982920,1,passenger,male,21,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
111,3982920,1,passenger,female,22,no injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
112,3982922,2,driver,female,84,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
113,3982922,2,passenger,male,86,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
114,3982924,2,passenger,female,18,no injury,passenger seat 3,lap/shoulder harness used,,not ejected
115,3982926,1,driver,female,46,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
116,3982926,2,driver,female,64,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
117,3982927,1,passenger,male,15,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
118,3982928,1,driver,female,18,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
119,3982928,2,passenger,female,45,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
120,3982928,2,passenger,female,40,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
121,3982928,2,passenger,female,48,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
122,3982930,1,driver,female,24,complaint of pain,driver,,lap/shoulder harness used,not ejected
123,3982930,2,driver,female,35,complaint of pain,driver,lap/shoulder harness used,,not ejected
124,3982932,1,driver,female,62,complaint of pain,driver,lap/shoulder harness used,,not ejected
125,3982932,2,driver,male,24,complaint of pain,driver,lap/shoulder harness used,,not ejected
126,3982932,2,passenger,female,23,no injury,passenger seat 3,lap/shoulder harness used,,not ejected
127,3982934,1,passenger,female,,complaint of pain,passenger seat 3,not required,lap/shoulder harness used,not ejected
128,3982934,1,passenger,female,,complaint of pain,passenger seat 6,not required,unknown,not ejected
129,3982934,2,driver,female,34,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
130,3982937,1,driver,female,49,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
131,3982937,2,driver,male,74,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
132,3982937,2,passenger,female,72,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
133,3982938,1,passenger,female,45,complaint of pain,passenger seat 3,,lap/shoulder harness used,not ejected
134,3982938,2,passenger,female,54,complaint of pain,passenger seat 3,,lap/shoulder harness used,not ejected
135,3982940,1,driver,male,21,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
136,3982941,1,driver,female,24,complaint of pain,driver,lap/shoulder harness used,,not ejected
137,3982942,2,driver,female,46,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
138,3982946,2,bicyclist,male,62,other visible injury,driver,"driver, motorcycle helmet used",,not ejected
139,3982948,1,passenger,male,22,no injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
140,3982951,2,passenger,female,31,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
141,3982951,2,passenger,male,1,no injury,passenger seat 6,not required,child restraint in vehicle used,not ejected
142,3982952,1,passenger,female,24,no injury,passenger seat 3,not required,lap/shoulder harness used,not ejected
143,3982953,1,driver,male,32,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
144,3982953,2,driver,female,77,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
145,3982955,1,passenger,female,23,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
146,3982955,1,passenger,female,1,no injury,passenger seat 5,not required,child restraint in vehicle used,not ejected
147,3982957,1,passenger,male,,no injury,passenger seat 3,air bag not deployed,unknown,not ejected
148,3982957,1,passenger,male,,no injury,passenger seat 4,not required,unknown,not ejected
149,3982957,2,passenger,female,26,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
150,3982957,2,passenger,male,2,no injury,passenger seat 6,not required,child restraint in vehicle used,not ejected
151,3982958,1,driver,male,84,complaint of pain,driver,lap/shoulder harness used,,not ejected
152,3982958,1,passenger,female,85,complaint of pain,passenger seat 3,lap/shoulder harness used,,not ejected
153,3982958,2,driver,female,44,complaint of pain,driver,lap/shoulder harness used,,not ejected
154,3982959,3,passenger,male,19,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
155,3982959,3,passenger,male,25,no injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
156,3982959,3,passenger,male,28,no injury,passenger seat 5,air bag not deployed,lap/shoulder harness used,not ejected
157,3982960,1,passenger,male,33,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
158,3984218,1,driver,male,23,killed,driver,,,not ejected
159,3984219,1,driver,male,19,killed,driver,air bag deployed,lap/shoulder harness used,not ejected
160,3984244,1,driver,female,35,killed,driver,air bag not deployed,lap/shoulder harness used,fully ejected
161,3984244,1,passenger,male,40,other visible injury,passenger seat 3,air bag not deployed,shoulder harness used,fully ejected
162,3984245,2,pedestrian,female,73,killed,position unknown,,,unknown
163,3984246,1,driver,male,28,killed,driver,not required,"driver, motorcycle helmet used",fully ejected
164,3984274,2,pedestrian,female,58,killed,position unknown,,,not ejected
165,3984278,1,pedestrian,male,82,killed,position unknown,,,not ejected
166,3984278,2,passenger,male,56,no injury,rear occupant of truck or van,not required,,not ejected
167,3984278,2,passenger,female,55,no injury,rear occupant of truck or van,not required,,not ejected
168,3984278,2,passenger,female,16,no injury,rear occupant of truck or van,not required,,not ejected
169,3984278,2,passenger,female,27,no injury,rear occupant of truck or van,not required,,not ejected
170,3984278,2,passenger,male,30,no injury,rear occupant of truck or van,not required,,not ejected
171,3984278,2,passenger,female,60,no injury,rear occupant of truck or van,not required,,not ejected
172,3984278,2,passenger,male,25,no injury,rear occupant of truck or van,not required,,not ejected
173,3984278,2,passenger,male,40,no injury,rear occupant of truck or van,not required,,not ejected
174,3984278,2,passenger,male,59,no injury,rear occupant of truck or van,not required,,not ejected
175,3984280,1,driver,female,18,killed,driver,not required,lap/shoulder harness used,not ejected
176,3984281,1,driver,male,29,killed,driver,air bag deployed,lap/shoulder harness not used,not ejected
177,3984282,2,bicyclist,male,55,killed,driver,"driver, motorcycle helmet used",,fully ejected
178,3984283,2,driver,male,49,killed,driver,air bag not deployed,lap/shoulder harness used,not ejected
179,3984283,2,passenger,female,49,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
180,3984283,2,passenger,female,30,complaint of pain,passenger seat 4,air bag not deployed,lap/shoulder harness not used,fully ejected
181,3984284,1,driver,female,67,killed,driver,air bag not deployed,lap/shoulder harness used,not ejected
182,3984285,1,driver,male,87,killed,driver,air bag deployed,lap/shoulder harness used,not ejected
183,3984313,1,driver,male,41,killed,driver,air bag not deployed,lap/shoulder harness used,not ejected
184,3984313,1,passenger,female,27,killed,passenger seat 2,air bag not deployed,lap belt not used,not ejected
185,3984313,1,passenger,male,38,severe injury,passenger seat 3,air bag not deployed,lap/shoulder harness not used,not ejected
186,3984314,1,driver,male,42,killed,driver,unknown,,not ejected
187,3984314,1,passenger,female,27,killed,passenger seat 3,unknown,,not ejected
188,3984314,1,other,,999,killed,other occupants,unknown,not required,not ejected
189,3984314,2,driver,male,21,killed,driver,air bag not deployed,lap/shoulder harness not used,fully ejected
190,3984319,1,pedestrian,female,24,killed,other occupants,not required,,not ejected
191,3984324,1,driver,male,74,killed,driver,air bag deployed,,not ejected
192,3984328,1,passenger,male,82,killed,passenger seat 3,not required,lap/shoulder harness used,not ejected
193,3984328,1,passenger,female,9,other visible injury,rear occupant of truck or van,not required,,not ejected
194,3984328,1,driver,female,80,other visible injury,driver,,,not ejected
195,3984329,1,driver,female,38,killed,driver,not required,"driver, motorcycle helmet used",not ejected
196,3984329,2,passenger,male,73,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
197,3984333,1,driver,female,31,killed,driver,air bag deployed,lap/shoulder harness used,not ejected
198,3984333,1,passenger,male,5,killed,passenger seat 4,not required,child restraint in vehicle used,fully ejected
199,3984333,1,passenger,female,11,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
200,3984348,1,pedestrian,male,24,killed,other occupants,not required,,not ejected
201,3984348,3,passenger,female,21,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
202,3984348,4,passenger,male,58,no injury,passenger seat 3,air bag not deployed,shoulder harness used,not ejected
203,3984348,4,passenger,female,31,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
204,3984348,4,passenger,male,10,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
205,3984348,4,passenger,female,13,no injury,passenger seat 2,not required,lap/shoulder harness used,not ejected
206,3984348,4,passenger,male,4,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
207,3984351,1,passenger,male,18,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
208,3984351,1,passenger,female,18,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
209,3984351,2,bicyclist,male,53,killed,driver,"driver, motorcycle helmet not used",,fully ejected
210,3984352,1,passenger,female,,no injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
211,3984352,1,passenger,male,2,no injury,passenger seat 5,air bag not deployed,child restraint in vehicle used,not ejected
212,3984352,2,driver,male,20,killed,driver,air bag deployed,"driver, motorcycle helmet used",fully ejected
213,3984353,1,pedestrian,male,27,killed,position unknown,,,unknown
214,3984353,2,driver,male,43,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
215,3984358,1,driver,female,26,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
216,3984358,2,passenger,female,47,killed,passenger seat 3,not required,passive restraint not used,fully ejected
217,3984358,2,driver,female,55,severe injury,driver,not required,lap/shoulder harness used,not ejected
218,3984359,1,driver,male,63,killed,driver,air bag not deployed,lap/shoulder harness used,not ejected
219,3984361,1,passenger,male,,severe injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
220,3984361,1,passenger,male,,killed,passenger seat 4,not required,lap/shoulder harness not used,not ejected
221,3984361,1,driver,male,24,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
222,3984369,2,pedestrian,male,34,killed,position unknown,,,unknown
223,3984376,1,driver,male,40,killed,driver,not required,lap/shoulder harness used,not ejected
224,3984381,1,driver,male,78,killed,driver,air bag deployed,lap/shoulder harness used,not ejected
225,3984383,1,driver,male,21,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
226,3984383,3,pedestrian,male,29,killed,position unknown,,,not ejected
227,3984389,1,driver,male,48,killed,driver,air bag not deployed,lap/shoulder harness used,not ejected
228,3984398,1,driver,male,20,killed,driver,not required,"driver, motorcycle helmet used",fully ejected
229,3984398,2,passenger,female,12,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
230,3984869,2,driver,male,53,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
231,3984928,2,passenger,male,26,no injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
232,3985078,2,passenger,male,34,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
233,3986476,2,passenger,female,29,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
234,3986476,2,passenger,female,,no injury,passenger seat 5,air bag not deployed,child restraint in vehicle used,not ejected
235,3987521,2,passenger,male,50,no injury,other occupants,unknown,none in vehicle,not ejected
236,3987526,1,passenger,male,32,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
237,3987530,1,driver,male,54,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
238,3987530,2,driver,male,42,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
239,3987530,2,passenger,female,12,other visible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
240,3987534,2,passenger,male,45,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
241,3987534,2,passenger,male,14,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
242,3987534,2,passenger,female,16,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
243,3987538,3,passenger,male,28,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
244,3987542,3,driver,male,52,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
245,3987542,3,passenger,female,77,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
246,3987542,4,passenger,male,23,no injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
247,3987554,1,passenger,female,23,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
248,3987554,2,passenger,female,48,no injury,passenger seat 3,not required,lap/shoulder harness used,not ejected
249,3987554,2,passenger,female,15,no injury,rear occupant of truck or van,not required,,not ejected
250,3987565,2,passenger,male,15,no injury,position unknown,not required,,not ejected
251,3987565,2,passenger,female,52,no injury,position unknown,not required,,not ejected
252,3987565,2,passenger,male,36,no injury,position unknown,not required,,not ejected
253,3987565,2,passenger,male,34,no injury,position unknown,not required,,not ejected
254,3987565,2,passenger,male,44,no injury,position unknown,not required,,not ejected
255,3987565,2,passenger,female,22,no injury,position unknown,not required,,not ejected
256,3987570,2,passenger,female,,no injury,other occupants,not required,none in vehicle,not ejected
257,3987570,2,passenger,male,,no injury,other occupants,not required,none in vehicle,not ejected
258,3987570,2,passenger,female,,no injury,other occupants,not required,none in vehicle,not ejected
259,3987570,2,passenger,,,no injury,other occupants,not required,none in vehicle,not ejected
260,3987570,2,passenger,male,,no injury,other occupants,not required,none in vehicle,not ejected
261,3987570,2,passenger,male,,no injury,other occupants,not required,none in vehicle,not ejected
262,3987570,2,passenger,male,,no injury,other occupants,not required,none in vehicle,not ejected
263,3987570,2,passenger,female,,no injury,other occupants,not required,none in vehicle,not ejected
264,3987570,2,passenger,male,,no injury,other occupants,not required,none in vehicle,not ejected
265,3987612,1,driver,male,37,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
266,3987614,1,passenger,male,46,no injury,passenger seat 3,not required,lap/shoulder harness used,not ejected
267,3987614,2,passenger,female,55,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
268,3987614,3,driver,male,35,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
269,3987614,3,passenger,female,33,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
270,3987614,3,passenger,female,3,no injury,passenger seat 5,not required,child restraint in vehicle used,not ejected
271,3987614,3,passenger,female,74,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
272,3987618,1,passenger,male,42,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
273,3987622,1,passenger,male,30,no injury,passenger seat 3,air bag not deployed,unknown,not ejected
274,3987626,1,passenger,male,49,no injury,passenger seat 2,air bag not deployed,lap/shoulder harness used,not ejected
275,3987632,1,passenger,female,26,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
276,3987634,1,passenger,female,17,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
277,3987634,1,passenger,male,12,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
278,3987634,2,passenger,male,15,no injury,passenger seat 5,not required,lap belt used,not ejected
279,3987636,1,passenger,female,76,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
280,3987644,1,passenger,female,78,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
281,3987660,1,driver,male,48,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
282,3987664,2,passenger,male,30,no injury,passenger seat 3,not required,lap/shoulder harness used,not ejected
283,3987664,2,passenger,male,67,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
284,3987680,1,pedestrian,male,14,other visible injury,other occupants,not required,,not ejected
285,3987682,2,passenger,female,48,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
286,3987682,2,passenger,female,21,complaint of pain,passenger seat 6,not required,lap/shoulder harness used,not ejected
287,3987685,1,passenger,male,52,no injury,passenger seat 3,not required,lap/shoulder harness used,not ejected
288,3987685,1,passenger,male,29,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
289,3987685,2,passenger,female,30,complaint of pain,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
290,3987685,2,passenger,female,15,complaint of pain,passenger seat 5,air bag not deployed,lap/shoulder harness used,not ejected
291,3987685,2,passenger,female,14,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
292,3987685,2,passenger,female,17,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
293,3987706,2,passenger,male,56,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
294,3987708,1,passenger,,22,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
295,3987711,2,passenger,male,29,complaint of pain,position unknown,lap/shoulder harness used,,not ejected
296,3987713,1,passenger,female,19,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
