dt,Autumn,Spring,Summer,Winter
1875,15.029666666666666,14.896333333333333,16.55966666666667,13.201999999999998
1876,14.946666666666667,14.855666666666666,16.572333333333336,13.263
1877,15.512333333333332,15.146333333333333,16.891333333333336,13.580666666666666
1878,15.320666666666668,15.490333333333332,16.87166666666667,13.747
1879,15.153333333333334,15.044666666666666,16.627333333333336,13.432333333333332
1880,15.058333333333332,15.043666666666667,16.594,13.338666666666667
1881,15.038666666666666,15.207,16.592333333333332,13.510666666666665
1882,15.054333333333332,15.062,16.556,13.554
1883,14.984333333333334,14.992333333333335,16.57133333333333,13.305
1884,14.869,14.738666666666667,16.342333333333332,13.383000000000001
1885,15.006,14.777666666666667,16.381333333333334,13.252666666666665
1886,14.895666666666665,14.855333333333334,16.425666666666668,13.164333333333332
1887,14.978666666666667,14.845999999999998,16.405333333333335,13.033999999999999
1888,15.190666666666667,14.88,16.552333333333337,13.353333333333333
1889,15.008333333333333,15.222,16.632666666666665,13.590666666666666
1890,14.888333333333334,14.796666666666667,16.401666666666667,13.276333333333334
1891,15.004333333333333,14.984333333333334,16.488666666666667,13.298
1892,14.951999999999998,14.812666666666665,16.389666666666667,13.375666666666667
1893,15.054333333333332,14.881333333333336,16.60666666666667,13.106666666666667
1894,15.042666666666667,14.843333333333334,16.49266666666667,13.280333333333333
1895,15.116999999999999,14.899000000000001,16.56,13.299999999999999
1896,15.200000000000001,14.919666666666666,16.714333333333332,13.528333333333334
1897,15.094333333333333,15.129666666666665,16.65466666666667,13.422666666666666
1898,14.920666666666667,14.746,16.510666666666665,13.370333333333335
1899,15.306666666666667,14.955,16.559333333333335,13.372333333333332
1900,15.228666666666667,15.174999999999999,16.666333333333334,13.505666666666665
1901,15.063,15.179666666666668,16.607333333333333,13.443333333333333
1902,14.975,14.925666666666666,16.521666666666665,13.411000000000001
1903,14.811333333333332,14.831999999999999,16.320333333333334,13.382666666666665
1904,14.953000000000001,14.729000000000001,16.378333333333334,13.181333333333335
1905,15.109,14.893333333333333,16.529333333333334,13.286999999999999
1906,15.052,15.081333333333333,16.563666666666666,13.430666666666667
1907,14.977666666666666,14.89,16.435,13.196666666666667
1908,14.885,14.780333333333331,16.424000000000003,13.263333333333334
1909,14.927666666666667,14.723666666666666,16.37466666666667,13.135333333333334
1910,14.881333333333332,14.809666666666667,16.428,13.157333333333332
1911,14.974666666666666,14.655000000000001,16.308666666666667,13.165666666666667
1912,14.788000000000002,14.957666666666666,16.405,13.357999999999999
1913,15.006,14.863,16.421333333333333,13.344666666666667
1914,15.151000000000002,14.992666666666667,16.58866666666667,13.572666666666668
1915,15.149666666666667,15.226333333333335,16.688,13.511000000000001
1916,14.886666666666665,14.958333333333334,16.46666666666667,13.293666666666667
1917,15.000666666666667,14.717666666666666,16.508333333333336,13.012333333333332
1918,15.207666666666668,14.853666666666667,16.484666666666666,13.293333333333331
1919,15.018666666666666,15.106666666666667,16.485,13.416666666666666
1920,15.160666666666666,15.061333333333332,16.578,13.305
1921,15.229,14.986333333333334,16.630333333333336,13.562666666666667
1922,15.046999999999999,15.063666666666668,16.561000000000003,13.377666666666665
1923,15.215000000000002,14.910666666666666,16.540000000000003,13.445666666666668
1924,15.059,15.107999999999999,16.580333333333332,13.410000000000002
1925,15.259666666666666,15.007,16.623,13.471666666666666
1926,15.315,15.227333333333334,16.715666666666667,13.706333333333333
1927,15.333666666666668,15.000666666666666,16.666,13.488666666666667
1928,15.191333333333333,15.078333333333333,16.617,13.642333333333333
1929,15.217666666666666,14.927333333333332,16.529666666666667,13.195
1930,15.37,15.106,16.706000000000003,13.508000000000001
1931,15.353,15.111666666666666,16.828000000000003,13.620333333333335
1932,15.239333333333333,15.201666666666668,16.676666666666666,13.634333333333332
1933,15.099333333333334,14.999,16.58066666666667,13.372666666666666
1934,15.290666666666667,15.014333333333333,16.723000000000003,13.549999999999999
1935,15.174333333333335,15.043333333333335,16.689,13.568666666666667
1936,15.313666666666668,15.076666666666668,16.754333333333335,13.520000000000001
1937,15.457333333333333,15.185,16.891333333333336,13.668333333333335
1938,15.433666666666667,15.284999999999998,16.794,13.659666666666666
1939,15.303666666666667,15.247666666666666,16.864,13.793999999999999
1940,15.397,15.337333333333333,16.93133333333333,13.822666666666668
1941,15.431333333333333,15.328000000000001,16.933,13.846333333333334
1942,15.349666666666666,15.330666666666668,16.799000000000003,13.822000000000001
1943,15.478333333333333,15.276333333333334,16.819333333333333,13.806
1944,15.498666666666667,15.425333333333333,17.002666666666666,13.869666666666667
1945,15.461666666666668,15.319,16.892666666666667,13.649666666666667
1946,15.349333333333334,15.316333333333333,16.724666666666668,13.660666666666666
1947,15.395333333333333,15.334000000000001,16.826,13.685333333333332
1948,15.310333333333332,15.241,16.860666666666667,13.632666666666665
1949,15.294333333333332,15.232333333333331,16.69,13.674333333333331
1950,15.143,15.140666666666666,16.790666666666667,13.483666666666666
1951,15.460333333333333,15.211333333333334,16.965,13.607999999999999
1952,15.387666666666666,15.288333333333334,16.923666666666666,13.852666666666666
1953,15.406999999999998,15.448333333333332,16.987666666666666,13.841333333333333
1954,15.375333333333332,15.194,16.758666666666667,13.594333333333333
1955,15.230666666666666,15.06,16.754333333333335,13.652333333333333
1956,15.169333333333334,15.027666666666667,16.63566666666667,13.591333333333333
1957,15.452999999999998,15.307,16.987,13.749333333333333
1958,15.409333333333334,15.362,16.830000000000002,13.927
1959,15.318333333333333,15.391,16.895333333333333,13.757333333333333
1960,15.383666666666668,15.097,16.874666666666666,13.812333333333333
1961,15.382333333333333,15.431333333333335,16.904666666666667,13.801333333333332
1962,15.365333333333332,15.305333333333332,16.820333333333334,13.811333333333332
1963,15.549,15.207666666666666,16.941666666666666,13.808333333333332
1964,15.125,15.058,16.669666666666668,13.615666666666668
1965,15.282333333333334,15.129,16.699,13.672666666666666
1966,15.316666666666668,15.228666666666667,16.850666666666665,13.662666666666667
1967,15.355333333333334,15.347999999999999,16.825000000000003,13.648333333333333
1968,15.351333333333335,15.277333333333333,16.792333333333332,13.634666666666666
1969,15.435333333333332,15.474333333333334,16.899666666666665,13.752666666666668
1970,15.391,15.348999999999998,16.777333333333335,13.813333333333333
1971,15.305666666666667,15.148000000000001,16.712333333333333,13.634
1972,15.375666666666667,15.277333333333333,16.887666666666668,13.631
1973,15.355666666666666,15.493,16.895333333333333,13.875
1974,15.263666666666666,15.135333333333334,16.79133333333333,13.482
1975,15.211333333333334,15.323666666666668,16.741333333333333,13.678333333333333
1976,15.216999999999999,15.012333333333332,16.661,13.634
1977,15.414333333333333,15.464999999999998,16.957333333333334,13.796333333333331
1978,15.38,15.342666666666666,16.71966666666667,13.761333333333333
1979,15.538666666666666,15.344,16.914,13.86
1980,15.507333333333333,15.512666666666666,17.008666666666667,13.938666666666668
1981,15.463,15.466333333333333,17.090666666666667,14.044666666666666
1982,15.431,15.270333333333333,16.83066666666667,13.835666666666667
1983,15.573,15.497,16.999666666666666,14.011333333333333
1984,15.357666666666667,15.424333333333331,16.867000000000004,13.727666666666666
1985,15.407000000000002,15.339333333333334,16.877333333333333,13.738999999999999
1986,15.382333333333333,15.407666666666666,16.875,13.871
1987,15.583666666666668,15.412333333333331,17.08566666666667,14.016333333333334
1988,15.552333333333332,15.573,17.109333333333336,13.988333333333335
1989,15.540333333333331,15.383333333333333,16.975333333333335,13.867333333333335
1990,15.660666666666666,15.695,17.117,14.044666666666666
1991,15.599333333333334,15.591666666666667,17.18766666666667,14.013333333333335
1992,15.334999999999999,15.533333333333333,16.929000000000002,14.014666666666665
1993,15.444666666666668,15.479333333333331,16.98,13.961666666666668
1994,15.665000000000001,15.548333333333332,17.08,13.846666666666666
1995,15.680333333333332,15.549666666666667,17.22666666666667,14.094666666666667
1996,15.522333333333334,15.490333333333334,17.092333333333332,13.993666666666668
1997,15.884333333333336,15.631666666666666,17.24366666666667,14.095666666666666
1998,15.707333333333333,15.837666666666665,17.463,14.296000000000001
1999,15.651000000000002,15.51533333333333,17.09166666666667,14.143333333333333
2000,15.610999999999999,15.667666666666667,17.161666666666665,14.002333333333333
2001,15.866666666666665,15.786333333333333,17.298333333333332,14.118666666666668
2002,15.838000000000001,15.873666666666667,17.308333333333337,14.296666666666667
2003,15.891333333333334,15.771333333333333,17.30966666666667,14.334000000000001
2004,15.885333333333334,15.728666666666667,17.166333333333334,14.248666666666665
2005,15.977666666666666,15.904333333333334,17.375333333333334,14.259666666666666
2006,15.886000000000001,15.719333333333333,17.371333333333332,14.277333333333333
2007,15.808333333333335,15.858666666666666,17.33066666666667,14.311666666666667
2008,15.869,15.769666666666666,17.269333333333336,13.976999999999999
2009,15.914000000000001,15.754333333333333,17.421666666666667,14.218666666666666
2010,15.898333333333333,15.998,17.405,14.280666666666667
2011,15.811333333333332,15.745,17.415333333333336,14.106333333333334
2012,15.967333333333334,15.814333333333332,17.374,14.053666666666667
2013,15.968666666666666,15.770000000000001,17.407333333333334,14.271666666666668
2014,15.967666666666666,15.977333333333334,17.472666666666665,14.234333333333334
2015,16.197,15.976333333333335,17.53,14.531
