"donor_id","donor_name","donor_type"
199,"Donor_199","Individual"
200,"Donor_200","Organization"
201,"Donor_201","Individual"
202,"Donor_202","Corporate"
203,"Donor_203","Corporate"
204,"Donor_204","Individual"
205,"Donor_205","Corporate"
206,"Donor_206","Corporate"
207,"Donor_207","Corporate"
208,"Donor_208","Organization"
209,"Donor_209","Organization"
210,"Donor_210","Individual"
211,"Donor_211","Individual"
212,"Donor_212","Individual"
213,"Donor_213","Corporate"
214,"Donor_214","Corporate"
215,"Donor_215","Organization"
216,"Donor_216","Organization"
217,"Donor_217","Individual"
218,"Donor_218","Individual"
219,"Donor_219","Corporate"
220,"Donor_220","Organization"
221,"Donor_221","Organization"
222,"Donor_222","Corporate"
223,"Donor_223","Individual"
224,"Donor_224","Organization"
225,"Donor_225","Organization"
226,"Donor_226","Organization"
227,"Donor_227","Organization"
228,"Donor_228","Organization"
229,"Donor_229","Corporate"
230,"Donor_230","Corporate"
231,"Donor_231","Corporate"
232,"Donor_232","Individual"
233,"Donor_233","Organization"
234,"Donor_234","Corporate"
235,"Donor_235","Organization"
236,"Donor_236","Organization"
237,"Donor_237","Organization"
238,"Donor_238","Organization"
239,"Donor_239","Individual"
240,"Donor_240","Corporate"
241,"Donor_241","Corporate"
242,"Donor_242","Individual"
243,"Donor_243","Organization"
244,"Donor_244","Organization"
245,"Donor_245","Individual"
246,"Donor_246","Individual"
247,"Donor_247","Individual"
248,"Donor_248","Corporate"
249,"Donor_249","Organization"
250,"Donor_250","Corporate"
251,"Donor_251","Organization"
252,"Donor_252","Corporate"
253,"Donor_253","Individual"
254,"Donor_254","Corporate"
255,"Donor_255","Individual"
256,"Donor_256","Organization"
257,"Donor_257","Organization"
258,"Donor_258","Organization"
259,"Donor_259","Individual"
260,"Donor_260","Individual"
261,"Donor_261","Individual"
262,"Donor_262","Individual"
263,"Donor_263","Individual"
264,"Donor_264","Individual"
265,"Donor_265","Organization"
266,"Donor_266","Individual"
267,"Donor_267","Corporate"
268,"Donor_268","Corporate"
269,"Donor_269","Organization"
270,"Donor_270","Organization"
271,"Donor_271","Organization"
272,"Donor_272","Corporate"
273,"Donor_273","Organization"
274,"Donor_274","Organization"
275,"Donor_275","Individual"
276,"Donor_276","Organization"
277,"Donor_277","Corporate"
278,"Donor_278","Organization"
279,"Donor_279","Organization"
280,"Donor_280","Individual"
281,"Donor_281","Individual"
282,"Donor_282","Organization"
283,"Donor_283","Organization"
284,"Donor_284","Corporate"
285,"Donor_285","Organization"
286,"Donor_286","Corporate"
287,"Donor_287","Corporate"
288,"Donor_288","Organization"
289,"Donor_289","Corporate"
290,"Donor_290","Corporate"
291,"Donor_291","Individual"
292,"Donor_292","Organization"
293,"Donor_293","Organization"
294,"Donor_294","Organization"
295,"Donor_295","Corporate"
296,"Donor_296","Organization"
297,"Donor_297","Organization"
298,"Donor_298","Organization"
299,"Donor_299","Corporate"
300,"Donor_300","Individual"
301,"Donor_301","Organization"
302,"Donor_302","Individual"
303,"Donor_303","Organization"
304,"Donor_304","Organization"
305,"Donor_305","Corporate"
306,"Donor_306","Individual"
307,"Donor_307","Corporate"
308,"Donor_308","Individual"
309,"Donor_309","Corporate"
310,"Donor_310","Individual"
311,"Donor_311","Corporate"
312,"Donor_312","Individual"
313,"Donor_313","Individual"
314,"Donor_314","Individual"
315,"Donor_315","Individual"
316,"Donor_316","Organization"
317,"Donor_317","Corporate"
318,"Donor_318","Individual"
319,"Donor_319","Individual"
320,"Donor_320","Organization"
321,"Donor_321","Corporate"
322,"Donor_322","Organization"
323,"Donor_323","Individual"
324,"Donor_324","Individual"
325,"Donor_325","Individual"
326,"Donor_326","Individual"
327,"Donor_327","Individual"
328,"Donor_328","Organization"
329,"Donor_329","Individual"
330,"Donor_330","Corporate"
331,"Donor_331","Corporate"
332,"Donor_332","Corporate"
333,"Donor_333","Individual"
334,"Donor_334","Individual"
335,"Donor_335","Corporate"
336,"Donor_336","Individual"
337,"Donor_337","Corporate"
338,"Donor_338","Corporate"
339,"Donor_339","Individual"
340,"Donor_340","Organization"
341,"Donor_341","Organization"
342,"Donor_342","Organization"
343,"Donor_343","Individual"
344,"Donor_344","Individual"
345,"Donor_345","Organization"
346,"Donor_346","Individual"
347,"Donor_347","Individual"
348,"Donor_348","Organization"
349,"Donor_349","Corporate"
350,"Donor_350","Corporate"
351,"Donor_351","Individual"
352,"Donor_352","Corporate"
353,"Donor_353","Organization"
354,"Donor_354","Organization"
355,"Donor_355","Corporate"
356,"Donor_356","Organization"
357,"Donor_357","Corporate"
358,"Donor_358","Corporate"
359,"Donor_359","Organization"
360,"Donor_360","Corporate"
361,"Donor_361","Individual"
362,"Donor_362","Individual"
363,"Donor_363","Corporate"
364,"Donor_364","Organization"
365,"Donor_365","Organization"
366,"Donor_366","Corporate"
367,"Donor_367","Corporate"
368,"Donor_368","Organization"
369,"Donor_369","Individual"
370,"Donor_370","Corporate"
371,"Donor_371","Individual"
372,"Donor_372","Corporate"
373,"Donor_373","Individual"
374,"Donor_374","Corporate"
375,"Donor_375","Organization"
376,"Donor_376","Corporate"
377,"Donor_377","Organization"
378,"Donor_378","Individual"
379,"Donor_379","Organization"
380,"Donor_380","Organization"
381,"Donor_381","Corporate"
382,"Donor_382","Corporate"
383,"Donor_383","Individual"
384,"Donor_384","Organization"
385,"Donor_385","Individual"
386,"Donor_386","Individual"
387,"Donor_387","Individual"
388,"Donor_388","Corporate"
389,"Donor_389","Individual"
390,"Donor_390","Organization"
391,"Donor_391","Individual"
392,"Donor_392","Corporate"
393,"Donor_393","Organization"
394,"Donor_394","Individual"
395,"Donor_395","Organization"
396,"Donor_396","Corporate"
397,"Donor_397","Individual"
398,"Donor_398","Individual"
399,"Donor_399","Individual"
400,"Donor_400","Corporate"
401,"Donor_401","Organization"
402,"Donor_402","Individual"
403,"Donor_403","Individual"
404,"Donor_404","Individual"
405,"Donor_405","Individual"
406,"Donor_406","Organization"
407,"Donor_407","Corporate"
408,"Donor_408","Corporate"
409,"Donor_409","Organization"
410,"Donor_410","Individual"
411,"Donor_411","Organization"
412,"Donor_412","Organization"
413,"Donor_413","Organization"
414,"Donor_414","Organization"
415,"Donor_415","Organization"
416,"Donor_416","Organization"
417,"Donor_417","Corporate"
418,"Donor_418","Corporate"
419,"Donor_419","Organization"
420,"Donor_420","Organization"
421,"Donor_421","Organization"
422,"Donor_422","Corporate"
423,"Donor_423","Individual"
424,"Donor_424","Individual"
425,"Donor_425","Individual"
426,"Donor_426","Organization"
427,"Donor_427","Individual"
428,"Donor_428","Organization"
429,"Donor_429","Individual"
430,"Donor_430","Corporate"
431,"Donor_431","Corporate"
432,"Donor_432","Organization"
433,"Donor_433","Individual"
434,"Donor_434","Individual"
435,"Donor_435","Individual"
436,"Donor_436","Individual"
437,"Donor_437","Individual"
438,"Donor_438","Corporate"
439,"Donor_439","Organization"
440,"Donor_440","Individual"
441,"Donor_441","Corporate"
442,"Donor_442","Individual"
443,"Donor_443","Corporate"
444,"Donor_444","Organization"
445,"Donor_445","Individual"
446,"Donor_446","Individual"
447,"Donor_447","Corporate"
448,"Donor_448","Organization"
449,"Donor_449","Corporate"
450,"Donor_450","Corporate"
451,"Donor_451","Organization"
452,"Donor_452","Individual"
453,"Donor_453","Individual"
454,"Donor_454","Corporate"
455,"Donor_455","Organization"
456,"Donor_456","Organization"
457,"Donor_457","Individual"
458,"Donor_458","Individual"
459,"Donor_459","Corporate"
460,"Donor_460","Individual"
461,"Donor_461","Organization"
462,"Donor_462","Corporate"
463,"Donor_463","Corporate"
464,"Donor_464","Organization"
465,"Donor_465","Individual"
466,"Donor_466","Individual"
467,"Donor_467","Organization"
468,"Donor_468","Individual"
469,"Donor_469","Individual"
470,"Donor_470","Corporate"
471,"Donor_471","Individual"
472,"Donor_472","Individual"
473,"Donor_473","Organization"
474,"Donor_474","Organization"
475,"Donor_475","Organization"
476,"Donor_476","Organization"
477,"Donor_477","Organization"
478,"Donor_478","Organization"
479,"Donor_479","Corporate"
480,"Donor_480","Individual"
481,"Donor_481","Corporate"
482,"Donor_482","Individual"
483,"Donor_483","Organization"
484,"Donor_484","Individual"
485,"Donor_485","Corporate"
486,"Donor_486","Individual"
487,"Donor_487","Individual"
488,"Donor_488","Organization"
489,"Donor_489","Corporate"
490,"Donor_490","Organization"
491,"Donor_491","Organization"
492,"Donor_492","Organization"
493,"Donor_493","Individual"
494,"Donor_494","Individual"
495,"Donor_495","Corporate"
496,"Donor_496","Individual"
497,"Donor_497","Individual"
498,"Donor_498","Corporate"
499,"Donor_499","Organization"
500,"Donor_500","Corporate"
501,"Donor_501","Corporate"
502,"Donor_502","Individual"
503,"Donor_503","Corporate"
504,"Donor_504","Corporate"
505,"Donor_505","Individual"
506,"Donor_506","Corporate"
507,"Donor_507","Organization"
508,"Donor_508","Individual"
509,"Donor_509","Organization"
510,"Donor_510","Corporate"
511,"Donor_511","Organization"
512,"Donor_512","Organization"
513,"Donor_513","Individual"
514,"Donor_514","Organization"
515,"Donor_515","Organization"
516,"Donor_516","Organization"
517,"Donor_517","Corporate"
518,"Donor_518","Individual"
519,"Donor_519","Organization"
520,"Donor_520","Organization"
521,"Donor_521","Individual"
522,"Donor_522","Organization"
523,"Donor_523","Corporate"
524,"Donor_524","Individual"
525,"Donor_525","Organization"
526,"Donor_526","Corporate"
527,"Donor_527","Organization"
528,"Donor_528","Corporate"
529,"Donor_529","Organization"
530,"Donor_530","Corporate"
531,"Donor_531","Organization"
532,"Donor_532","Corporate"
533,"Donor_533","Corporate"
534,"Donor_534","Corporate"
535,"Donor_535","Corporate"
536,"Donor_536","Individual"
537,"Donor_537","Corporate"
538,"Donor_538","Corporate"
539,"Donor_539","Corporate"
540,"Donor_540","Corporate"
541,"Donor_541","Individual"
542,"Donor_542","Organization"
543,"Donor_543","Individual"
544,"Donor_544","Corporate"
545,"Donor_545","Individual"
546,"Donor_546","Individual"
547,"Donor_547","Corporate"
548,"Donor_548","Organization"
549,"Donor_549","Corporate"
550,"Donor_550","Corporate"
551,"Donor_551","Organization"
552,"Donor_552","Organization"
553,"Donor_553","Corporate"
554,"Donor_554","Organization"
555,"Donor_555","Corporate"
556,"Donor_556","Organization"
557,"Donor_557","Corporate"
558,"Donor_558","Individual"
559,"Donor_559","Organization"
560,"Donor_560","Organization"
561,"Donor_561","Corporate"
562,"Donor_562","Corporate"
563,"Donor_563","Individual"
564,"Donor_564","Corporate"
565,"Donor_565","Organization"
566,"Donor_566","Corporate"
567,"Donor_567","Individual"
568,"Donor_568","Organization"
569,"Donor_569","Corporate"
570,"Donor_570","Individual"
571,"Donor_571","Corporate"
572,"Donor_572","Organization"
573,"Donor_573","Corporate"
574,"Donor_574","Organization"
575,"Donor_575","Individual"
576,"Donor_576","Individual"
577,"Donor_577","Organization"
578,"Donor_578","Individual"
579,"Donor_579","Corporate"
580,"Donor_580","Individual"
581,"Donor_581","Organization"
582,"Donor_582","Corporate"
583,"Donor_583","Individual"
584,"Donor_584","Corporate"
585,"Donor_585","Individual"
586,"Donor_586","Individual"
587,"Donor_587","Organization"
588,"Donor_588","Individual"
589,"Donor_589","Organization"
590,"Donor_590","Individual"
591,"Donor_591","Corporate"
592,"Donor_592","Individual"
593,"Donor_593","Corporate"
594,"Donor_594","Organization"
595,"Donor_595","Individual"
596,"Donor_596","Corporate"
597,"Donor_597","Individual"
598,"Donor_598","Corporate"
599,"Donor_599","Individual"
600,"Donor_600","Corporate"
601,"Donor_601","Corporate"
602,"Donor_602","Individual"
603,"Donor_603","Individual"
604,"Donor_604","Corporate"
605,"Donor_605","Organization"
606,"Donor_606","Organization"
607,"Donor_607","Organization"
608,"Donor_608","Organization"
609,"Donor_609","Individual"
610,"Donor_610","Corporate"
611,"Donor_611","Organization"
612,"Donor_612","Organization"
613,"Donor_613","Organization"
614,"Donor_614","Organization"
615,"Donor_615","Corporate"
616,"Donor_616","Individual"
617,"Donor_617","Corporate"
618,"Donor_618","Organization"
619,"Donor_619","Organization"
620,"Donor_620","Organization"
621,"Donor_621","Organization"
622,"Donor_622","Corporate"
623,"Donor_623","Individual"
624,"Donor_624","Organization"
625,"Donor_625","Corporate"
626,"Donor_626","Organization"
627,"Donor_627","Organization"
628,"Donor_628","Organization"
629,"Donor_629","Corporate"
630,"Donor_630","Individual"
631,"Donor_631","Corporate"
632,"Donor_632","Corporate"
633,"Donor_633","Corporate"
634,"Donor_634","Corporate"
635,"Donor_635","Corporate"
636,"Donor_636","Individual"
637,"Donor_637","Organization"
638,"Donor_638","Organization"
639,"Donor_639","Corporate"
640,"Donor_640","Corporate"
641,"Donor_641","Corporate"
642,"Donor_642","Organization"
643,"Donor_643","Organization"
644,"Donor_644","Organization"
645,"Donor_645","Corporate"
646,"Donor_646","Corporate"
647,"Donor_647","Organization"
648,"Donor_648","Corporate"
649,"Donor_649","Individual"
650,"Donor_650","Organization"
651,"Donor_651","Organization"
652,"Donor_652","Corporate"
653,"Donor_653","Individual"
654,"Donor_654","Organization"
655,"Donor_655","Individual"
656,"Donor_656","Individual"
657,"Donor_657","Corporate"
658,"Donor_658","Organization"
659,"Donor_659","Individual"
660,"Donor_660","Organization"
661,"Donor_661","Corporate"
662,"Donor_662","Organization"
663,"Donor_663","Corporate"
664,"Donor_664","Organization"
665,"Donor_665","Organization"
666,"Donor_666","Corporate"
667,"Donor_667","Individual"
668,"Donor_668","Individual"
669,"Donor_669","Organization"
670,"Donor_670","Organization"
671,"Donor_671","Organization"
672,"Donor_672","Individual"
673,"Donor_673","Corporate"
674,"Donor_674","Corporate"
675,"Donor_675","Corporate"
676,"Donor_676","Individual"
677,"Donor_677","Corporate"
678,"Donor_678","Individual"
679,"Donor_679","Organization"
680,"Donor_680","Corporate"
681,"Donor_681","Corporate"
682,"Donor_682","Individual"
683,"Donor_683","Organization"
684,"Donor_684","Corporate"
685,"Donor_685","Individual"
686,"Donor_686","Individual"
687,"Donor_687","Corporate"
688,"Donor_688","Organization"
689,"Donor_689","Corporate"
690,"Donor_690","Individual"
691,"Donor_691","Individual"
692,"Donor_692","Individual"
693,"Donor_693","Organization"
694,"Donor_694","Individual"
695,"Donor_695","Organization"
696,"Donor_696","Individual"
697,"Donor_697","Organization"
698,"Donor_698","Corporate"
699,"Donor_699","Organization"
700,"Donor_700","Corporate"
701,"Donor_701","Organization"
702,"Donor_702","Corporate"
703,"Donor_703","Organization"
704,"Donor_704","Corporate"
705,"Donor_705","Individual"
706,"Donor_706","Corporate"
707,"Donor_707","Organization"
708,"Donor_708","Individual"
709,"Donor_709","Individual"
710,"Donor_710","Corporate"
711,"Donor_711","Corporate"
712,"Donor_712","Individual"
713,"Donor_713","Corporate"
714,"Donor_714","Individual"
715,"Donor_715","Individual"
716,"Donor_716","Corporate"
717,"Donor_717","Corporate"
718,"Donor_718","Organization"
719,"Donor_719","Corporate"
720,"Donor_720","Individual"
721,"Donor_721","Individual"
722,"Donor_722","Organization"
723,"Donor_723","Organization"
724,"Donor_724","Individual"
725,"Donor_725","Organization"
726,"Donor_726","Individual"
727,"Donor_727","Corporate"
728,"Donor_728","Individual"
729,"Donor_729","Organization"
730,"Donor_730","Corporate"
731,"Donor_731","Individual"
732,"Donor_732","Individual"
733,"Donor_733","Organization"
734,"Donor_734","Organization"
735,"Donor_735","Individual"
736,"Donor_736","Corporate"
737,"Donor_737","Organization"
738,"Donor_738","Corporate"
739,"Donor_739","Organization"
740,"Donor_740","Corporate"
741,"Donor_741","Individual"
742,"Donor_742","Corporate"
743,"Donor_743","Individual"
744,"Donor_744","Corporate"
745,"Donor_745","Individual"
746,"Donor_746","Individual"
747,"Donor_747","Corporate"
748,"Donor_748","Organization"
749,"Donor_749","Individual"
750,"Donor_750","Corporate"
751,"Donor_751","Individual"
752,"Donor_752","Individual"
753,"Donor_753","Corporate"
754,"Donor_754","Individual"
755,"Donor_755","Organization"
756,"Donor_756","Corporate"
757,"Donor_757","Individual"
758,"Donor_758","Corporate"
759,"Donor_759","Corporate"
760,"Donor_760","Organization"
761,"Donor_761","Corporate"
762,"Donor_762","Corporate"
763,"Donor_763","Corporate"
764,"Donor_764","Corporate"
765,"Donor_765","Corporate"
766,"Donor_766","Individual"
767,"Donor_767","Corporate"
768,"Donor_768","Individual"
769,"Donor_769","Individual"
770,"Donor_770","Organization"
771,"Donor_771","Organization"
772,"Donor_772","Corporate"
773,"Donor_773","Organization"
774,"Donor_774","Individual"
775,"Donor_775","Corporate"
776,"Donor_776","Organization"
777,"Donor_777","Individual"
778,"Donor_778","Organization"
779,"Donor_779","Corporate"
780,"Donor_780","Organization"
781,"Donor_781","Corporate"
782,"Donor_782","Corporate"
783,"Donor_783","Organization"
784,"Donor_784","Corporate"
785,"Donor_785","Corporate"
786,"Donor_786","Corporate"
787,"Donor_787","Corporate"
788,"Donor_788","Organization"
789,"Donor_789","Corporate"
790,"Donor_790","Corporate"
791,"Donor_791","Corporate"
792,"Donor_792","Corporate"
793,"Donor_793","Individual"
794,"Donor_794","Organization"
795,"Donor_795","Organization"
796,"Donor_796","Individual"
797,"Donor_797","Organization"
798,"Donor_798","Individual"
799,"Donor_799","Organization"
800,"Donor_800","Organization"
801,"Donor_801","Corporate"
802,"Donor_802","Individual"
803,"Donor_803","Individual"
804,"Donor_804","Organization"
805,"Donor_805","Individual"
806,"Donor_806","Corporate"
807,"Donor_807","Organization"
808,"Donor_808","Organization"
809,"Donor_809","Corporate"
810,"Donor_810","Individual"
811,"Donor_811","Individual"
812,"Donor_812","Organization"
813,"Donor_813","Organization"
814,"Donor_814","Corporate"
815,"Donor_815","Individual"
816,"Donor_816","Individual"
817,"Donor_817","Individual"
818,"Donor_818","Corporate"
819,"Donor_819","Corporate"
820,"Donor_820","Organization"
821,"Donor_821","Organization"
822,"Donor_822","Organization"
823,"Donor_823","Organization"
824,"Donor_824","Individual"
825,"Donor_825","Individual"
826,"Donor_826","Individual"
827,"Donor_827","Individual"
828,"Donor_828","Corporate"
829,"Donor_829","Corporate"
830,"Donor_830","Individual"
831,"Donor_831","Organization"
832,"Donor_832","Individual"
833,"Donor_833","Organization"
834,"Donor_834","Corporate"
835,"Donor_835","Corporate"
836,"Donor_836","Organization"
837,"Donor_837","Individual"
838,"Donor_838","Individual"
839,"Donor_839","Organization"
840,"Donor_840","Individual"
841,"Donor_841","Individual"
842,"Donor_842","Corporate"
843,"Donor_843","Organization"
844,"Donor_844","Individual"
845,"Donor_845","Corporate"
846,"Donor_846","Individual"
847,"Donor_847","Individual"
848,"Donor_848","Organization"
849,"Donor_849","Individual"
850,"Donor_850","Corporate"
851,"Donor_851","Individual"
852,"Donor_852","Organization"
853,"Donor_853","Individual"
854,"Donor_854","Individual"
855,"Donor_855","Organization"
856,"Donor_856","Individual"
857,"Donor_857","Individual"
858,"Donor_858","Organization"
859,"Donor_859","Individual"
860,"Donor_860","Corporate"
861,"Donor_861","Individual"
862,"Donor_862","Individual"
863,"Donor_863","Organization"
864,"Donor_864","Organization"
865,"Donor_865","Organization"
866,"Donor_866","Organization"
867,"Donor_867","Individual"
868,"Donor_868","Corporate"
869,"Donor_869","Corporate"
870,"Donor_870","Corporate"
871,"Donor_871","Organization"
872,"Donor_872","Individual"
873,"Donor_873","Individual"
874,"Donor_874","Individual"
875,"Donor_875","Corporate"
876,"Donor_876","Corporate"
877,"Donor_877","Organization"
878,"Donor_878","Corporate"
879,"Donor_879","Corporate"
880,"Donor_880","Corporate"
881,"Donor_881","Corporate"
882,"Donor_882","Individual"
883,"Donor_883","Corporate"
884,"Donor_884","Corporate"
885,"Donor_885","Corporate"
886,"Donor_886","Corporate"
887,"Donor_887","Corporate"
888,"Donor_888","Corporate"
889,"Donor_889","Organization"
890,"Donor_890","Organization"
891,"Donor_891","Individual"
892,"Donor_892","Organization"
893,"Donor_893","Individual"
894,"Donor_894","Organization"
895,"Donor_895","Organization"
896,"Donor_896","Organization"
897,"Donor_897","Individual"
898,"Donor_898","Individual"
899,"Donor_899","Organization"
900,"Donor_900","Organization"
901,"Donor_901","Individual"
902,"Donor_902","Individual"
903,"Donor_903","Organization"
904,"Donor_904","Organization"
905,"Donor_905","Organization"
906,"Donor_906","Organization"
907,"Donor_907","Individual"
908,"Donor_908","Corporate"
909,"Donor_909","Individual"
910,"Donor_910","Individual"
911,"Donor_911","Corporate"
912,"Donor_912","Corporate"
913,"Donor_913","Individual"
914,"Donor_914","Individual"
915,"Donor_915","Corporate"
916,"Donor_916","Corporate"
917,"Donor_917","Corporate"
918,"Donor_918","Individual"
919,"Donor_919","Organization"
920,"Donor_920","Corporate"
921,"Donor_921","Organization"
922,"Donor_922","Organization"
923,"Donor_923","Individual"
924,"Donor_924","Individual"
925,"Donor_925","Organization"
926,"Donor_926","Individual"
927,"Donor_927","Corporate"
928,"Donor_928","Corporate"
929,"Donor_929","Organization"
930,"Donor_930","Organization"
931,"Donor_931","Corporate"
932,"Donor_932","Corporate"
933,"Donor_933","Organization"
934,"Donor_934","Corporate"
935,"Donor_935","Individual"
936,"Donor_936","Individual"
937,"Donor_937","Organization"
938,"Donor_938","Individual"
939,"Donor_939","Organization"
940,"Donor_940","Individual"
941,"Donor_941","Individual"
942,"Donor_942","Organization"
943,"Donor_943","Corporate"
944,"Donor_944","Organization"
945,"Donor_945","Organization"
946,"Donor_946","Corporate"
947,"Donor_947","Individual"
948,"Donor_948","Organization"
949,"Donor_949","Organization"
950,"Donor_950","Organization"
951,"Donor_951","Individual"
952,"Donor_952","Individual"
953,"Donor_953","Corporate"
954,"Donor_954","Organization"
955,"Donor_955","Corporate"
956,"Donor_956","Corporate"
957,"Donor_957","Organization"
958,"Donor_958","Organization"
959,"Donor_959","Corporate"
960,"Donor_960","Individual"
961,"Donor_961","Corporate"
962,"Donor_962","Individual"
963,"Donor_963","Individual"
964,"Donor_964","Corporate"
965,"Donor_965","Organization"
966,"Donor_966","Corporate"
967,"Donor_967","Corporate"
968,"Donor_968","Individual"
969,"Donor_969","Corporate"
970,"Donor_970","Organization"
971,"Donor_971","Corporate"
972,"Donor_972","Corporate"
973,"Donor_973","Individual"
974,"Donor_974","Organization"
