weight,id,name,gender,height,age
53.0,5127,Alina Armas,F,166.0,32
155.0,5191,Tsanko Rosenov Arnaudov,M,198.0,24
64.0,5309,Andrs Arroyo,M,177.0,21
63.0,5311,Antonio Arroyo Prez,M,170.0,22
60.0,5335,Heather Ann Arseth,F,170.0,22
55.0,5340,Andreea Arsine,F,159.0,27
68.0,5358,Mauricio Jos Arteaga Snchez,M,177.0,27
83.0,5378,Natalia Artic-Stratulat,F,178.0,29
62.0,5393,Eleni Artymata,F,177.0,30
74.0,5431,Skinnar Per Tobias Arwidson,M,170.0,25
58.0,5443,Marina Aleksandrovna Arzamasova (Katovich-),F,173.0,28
77.0,5444,Mohammad Arzandeh,M,180.0,28
58.0,5475,Nataliya Asanova,F,177.0,26
90.0,5508,Sabina Asenjo lvarez,F,178.0,30
,5517,Erla sgeirsdttir,F,174.0,20
95.0,5523,Ronnie Ash,M,188.0,28
92.0,5528,Bradlee Logan Taylor Ashby,M,200.0,20
55.0,5542,"Geraldina Rachel ""Dina"" Asher-Smith",F,164.0,20
91.0,5560,Whitney Jordan Ashley,F,178.0,27
77.0,5561,Nickel Ashmeade,M,183.0,26
64.0,5577,Jessica Ashwood,F,173.0,23
53.0,5677,Jeanine Assani Issouf,F,170.0,23
52.0,5687,Sofia Assefa Abebe,F,167.0,28
53.0,5688,Tigist Assefa,F,168.0,19
64.0,5723,Gloria Asumnu,F,168.0,31
80.0,5781,Merdan Ataew,M,196.0,21
63.0,5783,Sarah Atcho,F,180.0,21
75.0,5801,Soule Soilihi Athoumane,M,180.0,25
77.0,5808,Teddy H. Atine-Venel,M,184.0,31
71.0,5817,Alia Shanee Atkinson,F,172.0,27
70.0,5835,Mert Atl,M,191.0,23
52.0,5848,Sarah Amer Attar,F,165.0,23
,5853,Ahmad Mohamed Attellesey,M,,21
56.0,5886,"Hoi Shun ""Stephanie"" Au",F,172.0,24
85.0,5901,Felix Aubck,M,198.0,19
68.0,5933,"Franziska Christine ""Frnzi"" Aufdenblatten",F,173.0,32
53.0,5947,Jordan Augier,M,171.0,21
71.0,5948,Axel Louis Augis,M,172.0,25
65.0,5965,"Dionisio Augustine, II",M,153.0,24
44.0,5967,Jssica de Barros Augusto,F,162.0,34
82.0,5975,Rafa Augustyn,M,180.0,32
89.0,6050,Bastien Auzeil,M,195.0,26
68.0,6140,Ekaterina Ivanova Avramova,F,180.0,24
75.0,6196,Derlis Ramn Ayala Snchez,M,178.0,26
53.0,6202,Hiwot Ayalew Yeder,F,173.0,26
47.0,6204,Almaz Ayana Eba,F,166.0,24
60.0,6218,Ventsislav Vasilev Aydarski,M,168.0,25
48.0,6219,Esma Aydemir,F,160.0,24
54.0,6224,Kelime Aydn-etinkaya,F,160.0,31
50.0,6226,Diana Aydosova,F,158.0,20
56.0,6258,Clia Aymonier,F,161.0,22
65.0,6309,Ned Justeen Azemia,M,177.0,18
50.0,6311,Ctia Isabel da Silva Azevedo,F,170.0,22
55.0,6377,Houleye Ba,F,170.0,24
60.0,6385,Nooran Ahmed Ali Ba Matraf,F,166.0,16
86.0,6406,Jaroslav Bba,M,199.0,31
50.0,6427,Lalita Shivaji Babar,F,166.0,27
74.0,6433,Nazim Tahir olu Babayev,M,187.0,18
69.0,6460,Ivan Sergeyevich Babikov,M,172.0,33
82.0,6579,Axel Erik Bck,M,180.0,26
73.0,6608,Adrien Backscheider,M,178.0,21
70.0,6660,Joel Baden,M,190.0,20
90.0,6663,Ahmed Bader Magour,M,190.0,20
61.0,6739,Baek Su-Yeon,F,173.0,25
63.0,6778,Jos Alessandro Bernardo Baggio,M,172.0,35
52.0,6843,Meraf Bahta Ogbagaber,F,176.0,27
68.0,6888,Daniel Everton Bailey,M,179.0,29
77.0,6899,Lowell Conrad Bailey,M,185.0,32
125.0,6911,Tavis Bailey,M,191.0,24
84.0,6912,Kemar Bailey-Cole,M,193.0,24
70.0,6966,Martin Bajik,M,169.0,37
85.0,6969,Balzs Baji,M,192.0,27
80.0,7014,"Christopher Edwin ""Chris"" Baker",M,194.0,25
68.0,7020,Kathleen Baker,F,173.0,19
59.0,7048,Amina Barsham Bakhit,F,175.0,25
85.0,7133,Dmitry Igorevich Balandin,M,195.0,21
63.0,7187,Egl Balinait,F,176.0,27
74.0,7226,Hugo Balduino de Sousa,M,187.0,29
,7246,Birhanu Yemataw Balew,M,,20
67.0,7347,Coralie Balmy,F,180.0,29
80.0,7348,Michal Balner,M,191.0,33
80.0,7354,Gbor Balog,M,186.0,25
66.0,7379,Bernardo Baloyes Navas,M,168.0,22
51.0,7387,Ksenija Balta,F,169.0,29
64.0,7433,Emily Bamford,F,169.0,21
63.0,7435,Margaret Bamgbose,F,171.0,22
59.0,7439,Abdoullah Bamoussa,M,170.0,30
,7464,Salom Bncora,F,,20
79.0,7475,Haris Bandey,M,167.0,17
80.0,7532,"Konstantinos ""Kostas"" Baniotis",M,201.0,29
85.0,7536,Ondej Bank,M,175.0,33
70.0,7593,Ivan Mykolaiyovych Banzeruk,M,180.0,26
54.0,7604,Kelly-Ann Kaylene Baptiste,F,167.0,29
80.0,7608,Khader Ghetrich Baqlah,M,184.0,17
62.0,7609,Talita Baqlah,F,172.0,20
65.0,7640,Noelle Barahona Neder,F,171.0,23
72.0,7678,"Katarzyna ""Kasia"" Baranowska",F,184.0,28
85.0,7707,Azad Al-Barazi,M,195.0,28
100.0,7715,Anthony John Barbar,M,201.0,23
52.0,7728,Alana Barber,F,163.0,29
82.0,7740,"Shawnacy Campbell ""Shawn"" Barber",M,187.0,22
45.0,7769,Jade Fernandes Barbosa,F,151.0,25
58.0,7775,Vera Lcia Mendes Barbosa,F,168.0,27
70.0,7778,Alexandru George Barbu,M,177.0,26
57.0,7810,Virginia Bardach Martn,F,174.0,24
73.0,7952,Emre Zafer (Winston-) Barnes,M,178.0,27
50.0,7962,Lanny L. Barnes,F,163.0,31
81.0,7989,Tarasue Barnett,F,178.0,22
73.0,8036,Thomas Barr,M,183.0,24
59.0,8051,Bronte Amelia Arnold Barratt,F,171.0,27
72.0,8114,Francisco Carlos Barretto Jnior,M,175.0,26
53.0,8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,166.0,29
60.0,8152,Erick Bernab Barrondo Garca,M,178.0,25
77.0,8198,Trevor George Barry,M,190.0,33
65.0,8204,Mutaz Essa Barshim,M,190.0,25
71.0,8274,Anne-Sophie Barthet,F,170.0,25
82.0,8380,Adam Barwood,M,185.0,21
80.0,8417,Dimitri David Bascou,M,181.0,29
,8475,Gina Bass,F,,21
61.0,8526,Bat-Ochiryn Ser-Od,M,169.0,34
72.0,8606,Batsaikhanyn Dlgn,M,179.0,29
74.0,8661,Martin Bau,M,182.0,21
56.0,8668,Adeline Baud (-Mugnier),F,162.0,21
72.0,8709,Klemen Bauer,M,183.0,28
73.0,8712,Luk Bauer,M,181.0,36
74.0,8750,Ashton Baumann,M,191.0,23
60.0,8751,Christian Baumann,M,163.0,21
58.0,8764,Jackie Baumann,F,173.0,20
71.0,8767,Jonas Baumann,M,175.0,23
91.0,8771,Romed Baumann,M,184.0,28
54.0,8775,Anne Sofie Holm Baumeister (Jrgensen-),F,168.0,28
58.0,8785,Iga Baumgart,F,178.0,27
68.0,8803,Simona Baumrtov,F,176.0,24
43.0,8877,Bayartsogtyn Mnkhzayaa,F,160.0,22
61.0,8878,Bayaryn Yosi,F,176.0,16
64.0,8945,Hamdan Iqbal Ahmed Bayusuf,M,182.0,21
60.0,8979,Lorne Dorcas Bazolo,F,170.0,33
,9048,Jean-Guillaume Batrix,M,172.0,25
70.0,9099,"Joshua ""Josh"" Beaver",M,175.0,23
62.0,9176,Leonie Antonia Beck,F,184.0,19
54.0,9244,Kierre Beckles,F,169.0,26
70.0,9279,Mariya Andreyevna Bedaryova,F,170.0,21
74.0,9285,Alex Beddoes,M,181.0,21
78.0,9310,Sylwester Bednarek,M,194.0,27
65.0,9392,Kieran Philip Behan,M,163.0,27
68.0,9460,Elizabeth Lyon Beisel,F,168.0,23
72.0,9464,Ruth Beita Vila,F,191.0,37
59.0,9486,Alemu Bekele Gebre,M,162.0,26
62.0,9497,Maryna Oleksandrivna Bekh,F,174.0,21
48.0,9537,Teja Belak,F,157.0,22
64.0,9549,Yekaterina Vladimirovna Belanovich (Artyukh-),F,173.0,24
56.0,9582,Mimi Belete Gebregeiorges,F,169.0,28
52.0,9583,Yehualeye Beletew,F,165.0,18
65.0,9589,Mohammed El-Amine Belferar,M,175.0,25
64.0,9603,Maria Belimpasaki,F,175.0,25
59.0,9635,Florence Elizabeth Bell,F,156.0,17
59.0,9677,Tia-Adana Belle,F,178.0,20
59.0,9692,Janeil Bellille,F,163.0,27
84.0,9697,"Phillip ""Phil"" Bellingham",M,185.0,22
52.0,9749,Dailn Belmonte Torres,F,158.0,30
59.0,9750,Mireia Belmonte Garca,F,170.0,25
78.0,9753,Wilhem Belocian,M,178.0,21
76.0,9773,Marco Belotti,M,185.0,27
78.0,9785,Yevgeny Nikolayevich Belov,M,185.0,23
55.0,9829,David Sagitovich Belyavsky,M,165.0,24
63.0,9931,Amor Ben Yahia,M,175.0,31
84.0,9953,"Christopher Anthony ""Chris"" Benard",M,191.0,26
95.0,9994,Martin Bendk,M,187.0,20
67.0,10017,Giordano Benedetti,M,189.0,27
52.0,10059,Angelica Therese Bengtsson,F,163.0,23
80.0,10101,Aleksi Benianidze,M,184.0,22
115.0,10162,"Christopher ""Chris"" Bennett",M,188.0,26
80.0,10217,Craig Harry Benson,M,183.0,22
84.0,10257,"Joseph ""Gunnar"" Bentz",M,196.0,20
73.0,10324,Anna Berecz,F,174.0,25
49.0,10351,Katarna Bereov,F,162.0,28
56.0,10467,Tora Berger (-Tveldal),F,166.0,32
69.0,10511,Carl Johan Lennart Bergman,M,174.0,35
53.0,10582,Lemi Berhanu Hayle,M,168.0,21
70.0,10585,Boris Berian,M,183.0,23
53.0,10691,Maria Bernard,F,165.0,23
83.0,10737,Pter Bernek,M,193.0,24
89.0,10802,Gwen Berry,F,175.0,27
45.0,10900,Catherine Bertone,F,160.0,44
58.0,10924,Marion Bertrand,F,163.0,29
67.0,10962,Anas Bescond,F,170.0,26
,10969,Anas Beshr,M,,23
85.0,10980,Jules Yao Bessan,M,183.0,37
78.0,10994,Aleksandr Andreyevich Bessmertnykh,M,182.0,27
90.0,11006,Jahvid Andre Best,M,178.0,27
75.0,11055,Nicholas Kiplagat Bett,M,190.0,26
55.0,11065,Amina Bettiche,F,165.0,28
62.0,11106,Brinn John Bevan,M,165.0,19
58.0,11151,Chala Beyo Techo,M,176.0,20
,11181,Luke Bezzina,M,,21
46.0,11203,Saraswati Bhattarai,F,163.0,22
115.0,11238,Bian Ka,F,182.0,23
65.0,11254,Ilaria Bianchi,F,170.0,26
64.0,11295,Olha Anatolivna Bibik,F,178.0,26
93.0,11351,Paul Biedermann,M,193.0,29
62.0,11364,Yiech Pur Biel,M,178.0,21
47.0,11495,Simone Arianne Biles,F,143.0,19
84.0,11510,Simonas Bilis,M,196.0,22
59.0,11516,Cindy Billaud,F,167.0,30
74.0,11538,Mathieu Bilodeau,M,185.0,32
70.0,11610,Thomas Bing,M,177.0,23
80.0,11611,Wilfried Bingangoye,M,172.0,31
61.0,11615,Khamica Bingham,F,160.0,22
72.0,11673,Dane Alex Bird-Smith,M,187.0,24
,11677,Svar Birgisson,M,175.0,25
140.0,11699,Damien Birkinhead,M,190.0,23
,11705,Jorge Francisco Birkner Ketelhohn,M,,23
72.0,11715,"Andreas ""Andi"" Birnbacher",M,179.0,32
56.0,11787,Melissa Corrine Bishop,F,173.0,27
61.0,11866,Stanley Kipleting Biwott,M,152.0,30
84.0,11929,Erik Bjornsen,M,185.0,22
66.0,11930,Sadie Bjornsen,F,175.0,24
64.0,11943,Marit Bjrgen,F,168.0,33
65.0,11951,Ole Einar Bjrndalen,M,178.0,40
72.0,11954,Susann Jakobsen Bjrnsen,F,182.0,23
56.0,11978,"Elsabeth ""Ellie"" Black",F,155.0,20
80.0,12086,Yohan Blake,M,180.0,26
64.0,12164,"Benjamin Floyd ""Ben"" Blankenship",M,178.0,27
73.0,12225,Marko Blaevski,M,183.0,23
67.0,12233,Holly Bethan Bleasdale-Bradshaw,F,175.0,24
88.0,12244,Keston Bledman,M,180.0,28
82.0,12305,Jason Block,M,182.0,26
62.0,12378,Olga Yevgenyevna Bludova-Safronova,F,171.0,24
58.0,12399,Pernille Blume,F,170.0,22
49.0,12410,"Jennifer ""Jenny"" Blundell",F,163.0,22
62.0,12435,Adrian Bocki,M,174.0,26
53.0,12486,Claudia Mihaela Bobocea,F,176.0,24
49.0,12487,Ancua Bobocel,F,167.0,28
93.0,12516,Federico Bocchia,M,197.0,29
72.0,12558,Solomon Bockarie-Bayoh,M,171.0,29
76.0,12566,Claudio Bckli,M,179.0,29
66.0,12599,Lauren Boden-Wells,F,178.0,28
77.0,12646,Ihor Valeriyovych Bodrov,M,184.0,29
87.0,12662,Melissa Boekelman,F,176.0,27
62.0,12701,Alexis Boeuf,M,172.0,27
57.0,12747,Anastasia Katerina Bogdanovski,F,174.0,23
54.0,12808,Georgia Bohl,F,167.0,19
54.0,12813,Stefanie Bhler,F,170.0,32
72.0,12820,Daniel Bhm,M,178.0,27
81.0,12846,Richrd Bohus,M,187.0,23
62.0,12909,Aauri Lorena Bokesa Abia,F,180.0,27
63.0,12925,Peter Bol,M,177.0,22
66.0,12956,Boldyn Byambadorj,M,170.0,22
53.0,12972,Cynthia Maduengele Bolingo Mbongo,F,165.0,23
52.0,12997,Marine Bolliet,F,163.0,26
95.0,13029,Usain St. Leo Bolt,M,196.0,29
78.0,13130,Artyom Yuryevich Bondarenko,M,187.0,25
77.0,13131,Bohdan Viktorovych Bondarenko,M,198.0,26
55.0,13165,Seraina Boner,F,168.0,31
74.0,13173,Liemarvin Bonevacia,M,185.0,27
60.0,13182,Caio Oliveira de Sena Bonfim,M,174.0,25
58.0,13183,Celma da Graa Soares Bonfim,F,165.0,38
54.0,13213,Magaly Bonilla Sols,F,152.0,24
60.0,13240,Daisurami Bonne Rousseau,F,171.0,28
64.0,13251,Charlotte Bonnet,F,175.0,21
52.0,13379,Hillary Bor,M,168.0,26
89.0,13437,Cleopatra Ayesha Borel-Brown,F,172.0,37
120.0,13445,Pavel Gennadyevich Boreysha,M,193.0,25
87.0,13496,Konstantin Igorevich Borichevsky,M,191.0,26
78.0,13541,Dylan Borle,M,190.0,23
69.0,13543,Jonathan Borle,M,180.0,28
67.0,13544,Kvin Borle,M,180.0,28
57.0,13545,Olivia Borle,F,172.0,30
77.0,13549,Brittany Borman,F,183.0,27
75.0,13716,Dylan Bosch,M,178.0,23
57.0,13754,Vanessa Boslak,F,170.0,34
68.0,13770,Pierre-Ambroise Bosse,M,185.0,24
48.0,13791,Teona Bostashvili,F,159.0,18
54.0,13805,"Thomas Stewart ""Tom"" Bosworth",M,178.0,26
65.0,13855,Christine Botlogetswe,F,170.0,20
58.0,13883,Esther Bottomley,F,167.0,30
61.0,13923,Dominique Bouchard,F,175.0,25
64.0,13947,Hicham Bouchicha,M,182.0,27
60.0,13981,Marcelle Cecilia Bouele Bondo,F,166.0,23
55.0,13985,Farah Boufadene,F,155.0,17
45.0,14022,Kawtar Boulaid,F,159.0,26
54.0,14077,Soufiyan Bouqantar,M,173.0,22
69.0,14105,Lorys Bourelly,M,184.0,24
50.0,14119,Mohamed Abdeldjalil Bourguieg,M,164.0,19
88.0,14143,Larbi Bourrada,M,188.0,28
86.0,14159,"Frdric Thierry Roger ""Frd"" Bousquet",M,188.0,35
74.0,14227,George Richard Lycott Bovell,M,196.0,33
58.0,14266,"Frentorish ""Tori"" Bowie",F,175.0,25
76.0,14316,Brendan Boyce,M,183.0,29
59.0,14325,Alana Boyd,F,171.0,32
52.0,14359,Marine Clmence Boyer,F,162.0,16
67.0,14373,Lauren Marie Boyle,F,183.0,28
80.0,14434,Johannes Thingnes B,M,187.0,20
77.0,14435,Tarjei B,M,185.0,25
82.0,14479,Patrick Brachner,M,184.0,22
78.0,14489,Marvin Bracy,M,175.0,22
64.0,14547,Pablo Dominic Brgger,M,169.0,23
64.0,14599,Mario Alfonso Bran Granillo,M,168.0,26
82.0,14645,David Karl Brandl,M,187.0,29
,14655,Eirik Brandsdal,M,181.0,27
70.0,14666,Dorothea Brandt,F,178.0,32
58.0,14687,"Nathan ""Nate"" Brannen",M,174.0,33
83.0,14768,Pieter Braun,M,186.0,23
88.0,14786,Albert Idel Bravo Morales,M,199.0,28
75.0,14810,Thiago Braz da Silva,M,183.0,22
65.0,14865,Melissa Breen,F,174.0,25
70.0,14908,Nils Brembach,M,184.0,23
70.0,14940,Nery Antonio Brenes Crdenas,M,175.0,30
60.0,14983,Andreas Bretschneider,M,167.0,26
52.0,15000,Marine Grace Brevet,F,162.0,21
57.0,15104,Federica Brignone,F,168.0,23
81.0,15107,Sebastian Brigovi,M,181.0,21
72.0,15179,Stefan Brits,M,183.0,24
46.0,15192,Fionnuala Britton-McCormack,F,159.0,31
64.0,15210,Sarah Bro,F,177.0,20
51.0,15220,Elisa Brocard,F,162.0,29
62.0,15299,Nadine Martina Broersen,F,171.0,26
70.0,15325,Trayvon Jaquez Bromell,M,175.0,21
87.0,15326,Viktor Bregner Bromer,M,194.0,23
75.0,15374,"Christopher Dean ""Chris"" Brooks",M,173.0,29
