CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
13061,4654,1,62.1,3,4,3,343,3Lost
13062,4773,1,32.4,4,4,4,444,444
13064,4594,4,152.28,1,2,2,122,High Value2
13066,4606,2,94.10000000000001,2,3,3,233,2Lost
13067,4664,1,21.44,3,4,4,344,344
13069,4596,18,627.53,1,1,1,111,High Value1
13070,4774,1,41.6,4,4,4,444,444
13072,4848,1,29.700000000000003,4,4,4,444,444
13075,4711,1,136.79999999999998,3,4,2,342,3Low Value
13077,4583,2,75.79,1,3,3,133,1Lost
13078,4585,20,1763.46,1,1,1,111,High Value1
13080,4761,1,19.68,4,4,4,444,444
13081,4593,8,5180.06,1,1,1,111,High Value1
13082,4739,5,216.8,4,1,2,412,4High Value
13083,4586,2,136.0,1,3,3,133,1Lost
13085,4877,1,12.600000000000001,4,4,4,444,444
13089,4586,66,10490.39,1,1,1,111,High Value1
13090,4590,9,661.3199999999998,1,1,1,111,High Value1
13091,4610,1,105.41999999999999,2,4,3,243,2Lost
13092,4652,4,70.32,3,2,3,323,Medium Value3
13093,4857,7,1185.8400000000001,4,1,1,411,4High Value
13094,4711,2,152.64000000000001,3,3,2,332,3Medium Value
13095,4652,1,9.36,3,4,4,344,344
13097,4614,10,1281.7599999999998,2,1,1,211,2High Value
13098,4583,25,4994.410000000001,1,1,1,111,High Value1
13101,4816,1,25.5,4,4,4,444,444
13102,4583,21,1424.96,1,1,1,111,High Value1
13104,4585,4,243.96,1,2,2,122,High Value2
13106,4715,1,76.5,3,4,3,343,3Lost
13107,4667,3,357.0799999999999,3,2,1,321,Medium Value1
13109,4641,2,153.73,3,3,2,332,3Medium Value
13110,4613,6,297.79,2,1,2,212,2High Value
13113,4582,20,2387.2400000000002,1,1,1,111,High Value1
13115,4593,4,503.76,1,2,1,121,High Value1
13116,4720,1,77.74,3,4,3,343,3Lost
13117,4603,6,121.55999999999999,2,1,3,213,Medium Value3
13118,4601,4,126.64000000000001,2,2,3,223,Medium Value3
13120,4820,1,30.599999999999998,4,4,4,444,444
13121,4851,1,51.32,4,4,4,444,444
13122,4822,1,157.83,4,4,2,442,4Low Value
13124,4671,3,831.0999999999999,3,2,1,321,Medium Value1
13126,4586,6,384.42999999999995,1,1,1,111,High Value1
13127,4659,1,68.7,3,4,3,343,3Lost
13131,4605,3,213.5,2,2,2,222,Medium Value2
13132,4843,1,62.0,4,4,3,443,4Lost
13133,4855,2,39.7,4,3,4,434,Lost4
13134,4667,3,344.53999999999996,3,2,1,321,Medium Value1
13135,4778,1,3096.0,4,4,1,441,4Low Value
13136,4638,5,556.96,3,1,1,311,3High Value
13137,4592,8,681.69,1,1,1,111,High Value1
13138,4604,5,114.02000000000001,2,1,3,213,Medium Value3
13139,4598,7,1109.8300000000002,1,1,1,111,High Value1
13140,4690,2,78.56,3,3,3,333,Lost3
13141,4666,5,480.93,3,1,1,311,3High Value
13142,4601,1,91.14,2,4,3,243,2Lost
13144,4914,1,23.6,4,4,4,444,444
13145,4673,1,45.0,3,4,4,344,344
13146,4608,1,41.980000000000004,2,4,4,244,244
13147,4681,1,118.80000000000001,3,4,3,343,3Lost
13148,4611,10,943.1800000000001,2,1,1,211,2High Value
13149,4596,4,309.8,1,2,2,122,High Value2
13151,4877,1,184.60000000000002,4,4,2,442,4Low Value
13153,4587,1,37.44,1,4,4,144,144
13155,4615,3,127.39999999999999,2,2,3,223,Medium Value3
13157,4631,4,169.2,2,2,2,222,Medium Value2
13158,4676,4,226.27,3,2,2,322,Medium Value2
13159,4590,4,360.20000000000005,1,2,1,121,High Value1
13160,4604,1,34.8,2,4,4,244,244
13161,4895,1,27.0,4,4,4,444,444
13162,4704,3,397.61,3,2,1,321,Medium Value1
13165,4628,2,195.6,2,3,2,232,2Medium Value
13166,4865,1,38.65,4,4,4,444,444
13167,4600,4,122.05999999999999,1,2,3,123,High Value3
13168,4618,4,190.65999999999997,2,2,2,222,Medium Value2
13169,4834,1,23.4,4,4,4,444,444
13170,4608,1,32.6,2,4,4,244,244
13171,4631,2,46.94,2,3,4,234,234
13173,4586,1,14.600000000000001,1,4,4,144,144
13174,4598,2,244.97000000000003,1,3,2,132,1Medium Value
13176,4628,1,86.25,2,4,3,243,2Lost
13177,4646,1,67.35,3,4,3,343,3Lost
13178,4608,11,1231.36,2,1,1,211,2High Value
13182,4627,1,20.04,2,4,4,244,244
13183,4589,8,823.3,1,1,1,111,High Value1
13184,4596,9,263.4199999999999,1,1,2,112,High Value2
13186,4621,3,383.7,2,2,1,221,Medium Value1
13187,4919,1,69.6,4,4,3,443,4Lost
13189,4600,2,64.2,1,3,3,133,1Lost
13192,4677,2,233.55999999999997,3,3,2,332,3Medium Value
13193,4643,1,40.45,3,4,4,344,344
13194,4717,1,9.0,3,4,4,344,344
13196,4593,4,336.48,1,2,1,121,High Value1
13198,4592,6,604.7800000000001,1,1,1,111,High Value1
13199,4585,21,2043.44,1,1,1,111,High Value1
13200,4601,4,133.14999999999998,2,2,3,223,Medium Value3
13203,4591,4,158.55999999999997,1,2,2,122,High Value2
13208,4640,6,221.76999999999998,3,1,2,312,3High Value
13209,4612,6,1076.3899999999999,2,1,1,211,2High Value
13210,4675,1,95.84,3,4,3,343,3Lost
13211,4677,1,164.14999999999998,3,4,2,342,3Low Value
13212,4601,3,145.27,2,2,2,222,Medium Value2
13213,4638,4,294.8,3,2,2,322,Medium Value2
13216,4849,1,92.5,4,4,3,443,4Lost
13220,4801,1,19.689999999999998,4,4,4,444,444
13221,4822,2,133.72,4,3,3,433,Lost3
13223,4782,2,115.80000000000001,4,3,3,433,Lost3
13224,4642,2,578.0699999999999,3,3,1,331,3Medium Value
13225,4585,4,1288.98,1,2,1,121,High Value1
13226,4855,1,8.4,4,4,4,444,444
13228,4663,1,179.0,3,4,2,342,3Low Value
13229,4807,1,36.75,4,4,4,444,444
13230,4586,12,597.5300000000001,1,1,1,111,High Value1
13232,4594,7,225.14000000000001,1,1,2,112,High Value2
13233,4656,2,131.76,3,3,3,333,Lost3
13235,4794,1,185.15000000000003,4,4,2,442,4Low Value
13236,4606,2,233.62000000000003,2,3,2,232,2Medium Value
13238,4605,3,165.10000000000002,2,2,2,222,Medium Value2
13239,4843,1,109.83000000000001,4,4,3,443,4Lost
13240,4678,3,89.69,3,2,3,323,Medium Value3
13242,4694,1,20.8,3,4,4,344,344
13243,4785,1,142.89000000000001,4,4,2,442,4Low Value
13244,4674,1,17.9,3,4,4,344,344
13245,4632,1,61.3,2,4,3,243,2Lost
13246,4600,6,905.29,1,1,1,111,High Value1
13247,4633,2,69.0,3,3,3,333,Lost3
13248,4706,2,72.44,3,3,3,333,Lost3
13249,4675,2,310.86,3,3,2,332,3Medium Value
13253,4738,2,223.44,4,3,2,432,4Medium Value
13255,4591,1,49.800000000000004,1,4,4,144,144
13258,4605,2,119.79,2,3,3,233,2Lost
13259,4643,1,95.30999999999999,3,4,3,343,3Lost
13260,4643,1,26.0,3,4,4,344,344
13261,4867,1,441.6,4,4,1,441,4Low Value
13262,4845,1,6.959999999999999,4,4,4,444,444
13263,4583,33,1467.11,1,1,1,111,High Value1
13265,4635,5,263.15999999999997,3,1,2,312,3High Value
13266,4593,12,944.27,1,1,1,111,High Value1
13267,4584,15,930.5900000000001,1,1,1,111,High Value1
13268,4599,11,802.2999999999998,1,1,1,111,High Value1
13269,4583,12,1112.7200000000003,1,1,1,111,High Value1
13271,4619,1,64.17,2,4,3,243,2Lost
13272,4671,1,60.45,3,4,3,343,3Lost
13273,4695,1,14.05,3,4,4,344,344
13276,4645,2,160.60000000000002,3,3,2,332,3Medium Value
13277,4698,1,25.0,3,4,4,344,344
13278,4622,1,82.53999999999999,2,4,3,243,2Lost
13280,4704,3,130.21,3,2,3,323,Medium Value3
13282,4600,3,309.2,1,2,2,122,High Value2
13283,4767,1,17.0,4,4,4,444,444
13285,4605,4,697.8100000000001,2,2,1,221,Medium Value1
13291,4737,1,36.0,4,4,4,444,444
13292,4620,2,86.9,2,3,3,233,2Lost
13294,4771,2,151.7,4,3,2,432,4Medium Value
13296,4719,1,15.0,3,4,4,344,344
13297,4589,2,525.18,1,3,1,131,1Medium Value
13300,4751,1,19.8,4,4,4,444,444
13301,4685,4,138.05,3,2,2,322,Medium Value2
13302,4737,1,63.75,4,4,3,443,4Lost
13304,4933,1,57.21,4,4,4,444,444
13305,4586,8,264.49,1,1,2,112,High Value2
13308,4604,2,143.56,2,3,2,232,2Medium Value
13309,4589,5,365.0,1,1,1,111,High Value1
13310,4610,3,243.12000000000003,2,2,2,222,Medium Value2
13311,4586,2,127.68,1,3,3,133,1Lost
13313,4604,5,242.56,2,1,2,212,2High Value
13314,4583,3,133.71,1,2,3,123,High Value3
13316,4619,4,1141.8600000000001,2,2,1,221,Medium Value1
13317,4648,5,362.76,3,1,1,311,3High Value
13318,4619,1,42.96,2,4,4,244,244
13319,4587,21,1906.0000000000002,1,1,1,111,High Value1
13320,4660,4,259.0,3,2,2,322,Medium Value2
13321,4668,1,130.84,3,4,3,343,3Lost
13322,4599,1,89.49000000000001,1,4,3,143,1Lost
13323,4585,2,270.5,1,3,2,132,1Medium Value
13324,4618,7,1218.6599999999999,2,1,1,211,2High Value
13325,4663,1,268.0,3,4,2,342,3Low Value
13327,4620,5,343.40000000000003,2,1,1,211,2High Value
13328,4898,1,356.99999999999994,4,4,1,441,4Low Value
13329,4613,1,110.28,2,4,3,243,2Lost
13330,4674,3,251.0,3,2,2,322,Medium Value2
13332,4596,1,80.2,1,4,3,143,1Lost
13334,4664,3,687.3199999999999,3,2,1,321,Medium Value1
13336,4659,1,105.68,3,4,3,343,3Lost
13338,4739,1,166.39999999999998,4,4,2,442,4Low Value
13339,4782,1,192.0,4,4,2,442,4Low Value
13340,4627,7,2007.9599999999998,2,1,1,211,2High Value
13341,4842,1,248.75,4,4,2,442,4Low Value
13343,4759,1,94.3,4,4,3,443,4Lost
13344,4649,3,379.3,3,2,1,321,Medium Value1
13345,4869,1,102.25,4,4,3,443,4Lost
13347,4652,1,168.6,3,4,2,342,3Low Value
13348,4646,1,10.2,3,4,4,344,344
13349,4592,1,41.68,1,4,4,144,144
13350,4598,2,124.4,1,3,3,133,1Lost
13351,4648,1,67.44,3,4,3,343,3Lost
13352,4642,1,111.06,3,4,3,343,3Lost
13354,4653,1,108.53999999999999,3,4,3,343,3Lost
13355,4704,1,125.0,3,4,3,343,3Lost
13356,4662,1,226.71,3,4,2,342,3Low Value
13357,4839,1,115.99,4,4,3,443,4Lost
13358,4850,1,64.74000000000001,4,4,3,443,4Lost
13359,4645,1,42.60000000000001,3,4,4,344,344
13362,4591,4,690.9000000000001,1,2,1,121,High Value1
13363,4599,2,145.31,1,3,2,132,1Medium Value
13364,4653,1,17.4,3,4,4,344,344
13365,4615,2,544.6400000000001,2,3,1,231,2Medium Value
13368,4838,2,211.35000000000002,4,3,2,432,4Medium Value
13372,4671,1,89.51,3,4,3,343,3Lost
13373,4642,3,698.2499999999999,3,2,1,321,Medium Value1
13375,4670,1,136.1,3,4,3,343,3Lost
13376,4681,3,236.85000000000002,3,2,2,322,Medium Value2
13379,4608,3,83.59,2,2,3,223,Medium Value3
13381,4613,6,800.7900000000001,2,1,1,211,2High Value
13382,4862,1,62.7,4,4,3,443,4Lost
13384,4612,7,896.95,2,1,1,211,2High Value
13385,4911,1,110.6,4,4,3,443,4Lost
13388,4713,2,210.77,3,3,2,332,3Medium Value
13389,4593,3,167.97,1,2,2,122,High Value2
13394,4583,8,665.89,1,1,1,111,High Value1
13395,4767,1,41.76,4,4,4,444,444
13396,4611,2,342.54,2,3,1,231,2Medium Value
13397,4654,4,362.79999999999995,3,2,1,321,Medium Value1
13398,4774,1,103.42999999999999,4,4,3,443,4Lost
13402,4709,1,123.50999999999999,3,4,3,343,3Lost
13403,4599,1,15.0,1,4,4,144,144
13404,4794,1,41.6,4,4,4,444,444
13405,4786,2,113.99000000000001,4,3,3,433,Lost3
13408,4583,38,5686.88,1,1,1,111,High Value1
13410,4656,3,125.84,3,2,3,323,Medium Value3
13411,4689,1,94.65,3,4,3,343,3Lost
13414,4715,2,168.45,3,3,2,332,3Medium Value
13416,4625,2,59.400000000000006,2,3,3,233,2Lost
13417,4586,2,222.10000000000002,1,3,2,132,1Medium Value
13418,4593,12,1296.3500000000004,1,1,1,111,High Value1
13419,4645,1,14.399999999999999,3,4,4,344,344
13420,4752,1,10.5,4,4,4,444,444
13421,4622,2,389.92,2,3,1,231,2Medium Value
13422,4646,1,670.34,3,4,1,341,3Low Value
13425,4690,3,245.07,3,2,2,322,Medium Value2
13426,4582,9,676.5999999999999,1,1,1,111,High Value1
13427,4601,3,148.04,2,2,2,222,Medium Value2
13428,4592,1,40.92999999999999,1,4,4,144,144
13429,4592,4,291.15999999999997,1,2,2,122,High Value2
13430,4600,2,76.55999999999999,1,3,3,133,1Lost
13431,4649,2,228.42,3,3,2,332,3Medium Value
13435,4587,7,759.0000000000001,1,1,1,111,High Value1
13436,4583,1,28.2,1,4,4,144,144
13437,4596,7,666.3600000000001,1,1,1,111,High Value1
13439,4837,1,83.85,4,4,3,443,4Lost
13441,4673,1,10.2,3,4,4,344,344
13447,4605,3,175.69,2,2,2,222,Medium Value2
13448,4598,4,491.29,1,2,1,121,High Value1
13449,4605,1,41.650000000000006,2,4,4,244,244
13450,4608,6,411.05999999999995,2,1,1,211,2High Value
13451,4608,5,570.73,2,1,1,211,2High Value
13452,4841,2,590.0,4,3,1,431,4Medium Value
13453,4747,2,111.58,4,3,3,433,Lost3
13455,4606,1,73.8,2,4,3,243,2Lost
13456,4599,5,314.09000000000003,1,1,2,112,High Value2
13458,4589,14,1738.1999999999998,1,1,1,111,High Value1
13460,4611,1,17.0,2,4,4,244,244
13461,4620,3,197.7,2,2,2,222,Medium Value2
13462,4834,1,37.8,4,4,4,444,444
13464,4640,1,84.9,3,4,3,343,3Lost
13466,4766,1,78.39999999999999,4,4,3,443,4Lost
13467,4592,2,242.27000000000004,1,3,2,132,1Medium Value
13468,4583,27,1044.42,1,1,1,111,High Value1
13470,4681,2,49.5,3,3,4,334,Lost4
13471,4583,4,693.96,1,2,1,121,High Value1
13473,4642,2,142.29000000000002,3,3,2,332,3Medium Value
13474,4818,1,46.1,4,4,4,444,444
13475,4799,3,219.20999999999998,4,2,2,422,4Medium Value
13476,4760,2,214.49999999999997,4,3,2,432,4Medium Value
13477,4639,4,152.32,3,2,2,322,Medium Value2
13479,4782,2,72.3,4,3,3,433,Lost3
13481,4627,5,333.21000000000004,2,1,2,212,2High Value
13482,4814,1,52.980000000000004,4,4,4,444,444
13483,4647,1,59.7,3,4,3,343,3Lost
13484,4823,1,63.6,4,4,3,443,4Lost
13485,4815,1,73.3,4,4,3,443,4Lost
13486,4660,3,217.46,3,2,2,322,Medium Value2
13487,4639,3,149.2,3,2,2,322,Medium Value2
13488,4599,11,1595.5799999999997,1,1,1,111,High Value1
13489,4687,3,142.07999999999998,3,2,2,322,Medium Value2
13491,4633,9,192.63000000000002,3,1,2,312,3High Value
13494,4893,1,70.80000000000001,4,4,3,443,4Lost
13495,4589,4,376.2,1,2,1,121,High Value1
13496,4592,2,45.0,1,3,4,134,134
13497,4864,1,54.3,4,4,4,444,444
13499,4599,4,286.45000000000005,1,2,2,122,High Value2
13500,4605,3,189.5,2,2,2,222,Medium Value2
13502,4598,2,16.8,1,3,4,134,134
13503,4653,1,10.5,3,4,4,344,344
13504,4646,1,72.12,3,4,3,343,3Lost
13506,4898,1,20.4,4,4,4,444,444
13507,4585,4,492.86,1,2,1,121,High Value1
13508,4825,1,27.630000000000003,4,4,4,444,444
13509,4590,4,121.22,1,2,3,123,High Value3
13510,4583,4,329.31999999999994,1,2,2,122,High Value2
13512,4842,1,89.3,4,4,3,443,4Lost
13513,4708,1,37.65,3,4,4,344,344
13515,4654,4,103.2,3,2,3,323,Medium Value3
13516,4603,2,370.66,2,3,1,231,2Medium Value
13517,4641,3,450.99,3,2,1,321,Medium Value1
13518,4667,1,121.39999999999999,3,4,3,343,3Lost
13519,4660,1,11.9,3,4,4,344,344
13521,4583,3,263.28,1,2,2,122,High Value2
13523,4615,4,893.3699999999999,2,2,1,221,Medium Value1
13524,4622,3,53.78,2,2,4,224,Medium Value4
13525,4596,1,23.9,1,4,4,144,144
13527,4615,6,538.8299999999999,2,1,1,211,2High Value
13529,4660,2,51.050000000000004,3,3,4,334,Lost4
13531,4787,1,79.85,4,4,3,443,4Lost
13532,4615,1,29.61,2,4,4,244,244
13533,4764,3,63.29,4,2,3,423,Low Value3
13534,4584,23,1242.0499999999997,1,1,1,111,High Value1
13536,4583,7,723.07,1,1,1,111,High Value1
13538,4625,4,283.65,2,2,2,222,Medium Value2
13539,4667,2,161.39999999999998,3,3,2,332,3Medium Value
13544,4621,2,66.33,2,3,3,233,2Lost
13546,4594,3,84.90000000000002,1,2,3,123,High Value3
13548,4678,2,127.1,3,3,3,333,Lost3
13549,4646,5,173.60000000000002,3,1,2,312,3High Value
13551,4901,1,17.85,4,4,4,444,444
13552,4648,11,1059.26,3,1,1,311,3High Value
13555,4655,4,764.9599999999999,3,2,1,321,Medium Value1
13557,4610,2,148.07999999999998,2,3,2,232,2Medium Value
13558,4587,4,181.14999999999998,1,2,2,122,High Value2
13560,4589,1,45.1,1,4,4,144,144
13562,4663,3,249.4,3,2,2,322,Medium Value2
13563,4666,2,222.28,3,3,2,332,3Medium Value
13564,4726,2,644.7399999999999,4,3,1,431,4Medium Value
13565,4601,2,78.23,2,3,3,233,2Lost
13566,4622,2,201.26000000000005,2,3,2,232,2Medium Value
13568,4755,1,19.45,4,4,4,444,444
13569,4599,1,55.1,1,4,4,144,144
13570,4825,1,55.910000000000004,4,4,4,444,444
13571,4594,12,511.29999999999995,1,1,1,111,High Value1
13572,4787,1,182.52999999999997,4,4,2,442,4Low Value
13573,4632,2,73.75,2,3,3,233,2Lost
13575,4605,5,194.5,2,1,2,212,2High Value
13576,4592,13,1211.14,1,1,1,111,High Value1
13577,4607,4,439.85,2,2,1,221,Medium Value1
13581,4891,1,2.95,4,4,4,444,444
13583,4737,1,151.9,4,4,2,442,4Low Value
13584,4888,1,43.199999999999996,4,4,4,444,444
13587,4645,1,357.59999999999997,3,4,1,341,3Low Value
13588,4597,8,454.97999999999996,1,1,1,111,High Value1
13589,4596,1,67.35,1,4,3,143,1Lost
13590,4593,6,373.42999999999995,1,1,1,111,High Value1
13591,4646,3,324.4,3,2,2,322,Medium Value2
13592,4787,3,58.97,4,2,3,423,Low Value3
13593,4690,4,507.46999999999997,3,2,1,321,Medium Value1
13594,4634,1,56.51,3,4,4,344,344
13596,4587,2,147.43,1,3,2,132,1Medium Value
13598,4629,1,15.649999999999999,2,4,4,244,244
13599,4583,15,1139.82,1,1,1,111,High Value1
13600,4894,1,48.57,4,4,4,444,444
13601,4627,2,134.25,2,3,3,233,2Lost
13602,4646,1,101.1,3,4,3,343,3Lost
13603,4608,1,62.19,2,4,3,243,2Lost
13606,4611,2,25.32,2,3,4,234,234
13607,4622,1,179.72,2,4,2,242,2Low Value
13610,4594,7,284.66999999999996,1,1,2,112,High Value2
13611,4671,3,234.79999999999998,3,2,2,322,Medium Value2
13614,4606,3,327.68,2,2,2,222,Medium Value2
13615,4900,1,103.8,4,4,3,443,4Lost
13617,4622,3,136.47,2,2,2,222,Medium Value2
13618,4755,1,38.26,4,4,4,444,444
13621,4698,1,32.4,3,4,4,344,344
13623,4612,5,183.04999999999998,2,1,2,212,2High Value
13626,4834,1,45.199999999999996,4,4,4,444,444
13627,4641,5,298.43,3,1,2,312,3High Value
