sport,event,year,athlete_id,country_id,medal
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,4322,71,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,4540,146,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,4540,146,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,4605,193,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,4605,193,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,4605,193,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,4605,193,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,4953,108,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,4953,108,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,5431,178,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,5431,178,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,5431,178,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,5431,178,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,5517,85,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,5517,85,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,5933,179,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,6224,189,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,6224,189,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,6224,189,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,6258,67,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,6258,67,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,6258,67,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,6258,67,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,6258,67,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,6460,34,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,6460,34,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,6460,34,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,6460,34,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,6579,178,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,6608,67,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,6899,195,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,6899,195,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,6899,195,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,6899,195,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,6899,195,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,6899,195,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,6966,166,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,6966,166,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,6966,166,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,6966,166,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,7433,11,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,7433,11,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,7464,8,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,7464,8,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,7536,52,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,7536,52,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,7536,52,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,7536,52,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,7640,39,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,7640,39,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,7640,39,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,7640,39,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,7778,151,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,7778,151,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,7962,195,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,8274,67,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,8274,67,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,8380,131,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,8380,131,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,8668,67,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,8668,67,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,8709,167,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,8709,167,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,8709,167,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,8709,167,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,8712,52,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,8712,52,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,8712,52,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,8767,179,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,8767,179,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,8767,179,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,8771,12,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,9048,67,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,9048,67,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,9048,67,Bronze
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,9048,67,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,9048,67,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,9048,67,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,9279,152,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,9279,152,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,9279,152,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,9635,90,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,9635,90,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,9697,11,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,9697,11,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,9697,11,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,9785,152,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,9785,152,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,9994,166,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,9994,166,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,9994,166,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,10101,70,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,10101,70,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,10324,84,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,10324,84,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,10324,84,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,10324,84,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,10324,84,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,10467,136,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,10467,136,Gold
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,10467,136,Silver
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,10467,136,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,10467,136,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,10467,136,Bronze
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,10511,178,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,10511,178,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,10511,178,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,10511,178,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,10924,67,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,10962,67,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,10962,67,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,10962,67,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,10962,67,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,10962,67,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,10962,67,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,10994,152,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,10994,152,Silver
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,11610,71,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,11610,71,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,11610,71,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,11677,85,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,11677,85,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,11705,8,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,11705,8,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,11705,8,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,11705,8,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,11715,71,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,11929,195,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,11929,195,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,11929,195,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,11929,195,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,11929,195,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,11930,195,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,11930,195,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,11930,195,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,11943,136,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,11943,136,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,11943,136,Gold
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,11943,136,Gold
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,11943,136,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,11943,136,Gold
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,11951,136,Gold
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,11951,136,Gold
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,11951,136,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,11951,136,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,11951,136,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,11951,136,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,12566,179,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,12566,179,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,12701,67,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,12701,67,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,12813,71,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,12813,71,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,12813,71,Bronze
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,12813,71,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,12820,71,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,12820,71,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,12820,71,Silver
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,12956,123,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,12997,67,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,13165,179,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,13165,179,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,13883,11,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,13883,11,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,14434,136,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,14434,136,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,14434,136,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,14434,136,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,14434,136,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,14435,136,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,14435,136,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,14435,136,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,14435,136,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,14479,13,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,14479,13,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,14655,136,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,15104,92,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,15104,92,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,15104,92,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,15107,49,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,15220,92,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,15220,92,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,15220,92,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,15220,92,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,15382,195,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,15382,195,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,15382,195,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,15570,34,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,15570,34,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,15771,67,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,15771,67,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,15771,67,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,16258,67,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,16331,124,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,16498,193,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,16615,195,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,16615,195,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,16615,195,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,16615,195,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,16615,195,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,17036,146,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,17036,146,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,17036,146,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,17243,179,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,17243,179,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,17306,151,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,17306,151,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,17306,151,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,17306,151,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,17420,195,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,17420,195,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,17420,195,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,17611,121,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,17611,121,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,17714,196,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,17714,196,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,18163,144,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,18538,173,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,18538,173,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,19161,179,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,19162,179,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,19162,179,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,19215,167,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,19215,167,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,19215,167,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,19215,167,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,19655,103,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,20086,96,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,20086,96,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,20086,96,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,20121,152,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,20121,152,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,20121,152,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,20121,152,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,20407,18,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,20407,18,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,20407,18,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,20407,18,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,20407,18,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,20429,96,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,20429,96,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,20429,96,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,20478,152,Bronze
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,20478,152,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,20580,67,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,20580,67,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,20580,67,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,20785,123,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,20955,195,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,21128,29,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,21128,29,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,21128,29,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,21128,29,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,21205,166,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,21205,166,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,21205,166,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,21206,146,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,21206,146,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,21206,146,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,21206,146,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,21206,146,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,21347,11,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,21347,11,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,21524,8,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,21762,92,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,21762,92,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,21762,92,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,21769,67,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,21769,67,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,21894,39,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,21894,39,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,21894,39,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,22182,34,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,22182,34,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,22182,34,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,22368,122,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,22368,122,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,22496,179,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,22496,179,Gold
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,22496,179,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,22496,179,Gold
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,22496,179,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,22497,179,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,22837,195,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,22837,195,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,22837,195,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,22863,195,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,22863,195,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,22863,195,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,23330,92,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,23707,34,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,23721,34,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,23721,34,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,23721,34,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,23721,34,
