sector,profits
Technology,1553.0
Technology,3595.0
Financials,1192.0
Household Products,527.8
"Food, Beverages & Tobacco",244.9
Financials,1768.0
Chemicals,1229.6
Transportation,513.4
Financials,654.0
Financials,572.0
Energy,708.0
"Food, Beverages & Tobacco",694.0
Technology,242.0
Financials,263.9
Retailing,1117.7
Retailing,1158.1
Retailing,1.0
Financials,-147.9
"Food, Beverages & Tobacco",6073.0
Media,1438.0
Health Care,976.0
Technology,-276.0
Financials,1316.5
Aerospace & Defense,-941.0
Energy,-774.0
Apparel,1074.1
Energy,-3302.0
Engineering & Construction,886.3
Retailing,841.5
Energy,1245.0
Energy,1311.0
Chemicals,1132.7
Energy,-198.9
Energy,2123.0
Financials,1314.0
Business Services,1492.5
"Hotels, Restaurants & Leisure",348.0
Business Services,420.0
Wholesalers,506.8
Retailing,-36.0
Financials,2426.0
Financials,701.4
Wholesalers,54.2
Health Care,3702.8
"Hotels, Restaurants & Leisure",1670.0
Household Products,965.3
Industrials,806.8
Health Care,1647.0
Household Products,1114.6
Health Care,1999.2
Financials,3172.0
Energy,1123.4
Transportation,1714.0
Financials,931.4
Engineering & Construction,210.5
Engineering & Construction,911.8
Retailing,147.1
Financials,130.0
Energy,-583.6
Business Services,1401.0
Technology,1721.0
Financials,-428.0
Business Services,4059.0
Technology,2135.0
Retailing,1235.0
Retailing,1241.0
Financials,2143.0
Energy,868.0
Aerospace & Defense,710.0
Energy,-260.5
Chemicals,1500.0
Health Care,702.4
Financials,2393.0
Energy,-574.0
Materials,-440.0
Energy,1370.0
Health Care,4965.0
Wholesalers,605.9
Motor Vehicles & Parts,567.1
Transportation,1668.0
Energy,-2738.0
Financials,1067.0
Retailing,93.2
Wholesalers,108.8
Chemicals,326.0
Health Care,732.1
Retailing,221.5
Retailing,459.6
Financials,650.0
Chemicals,631.1
"Food, Beverages & Tobacco",890.1
Retailing,-491.0
"Hotels, Restaurants & Leisure",1101.4
Industrials,3695.0
Business Services,612.6
Materials,-400.0
Business Services,568.0
Financials,824.0
Financials,1878.0
Wholesalers,464.0
Motor Vehicles & Parts,118.5
Materials,263.0
Retailing,324.0
Energy,887.0
Chemicals,854.0
Technology,7266.0
Household Products,930.4
Energy,352.0
Telecommunications,-373.0
Technology,186.7
Financials,325.6
Financials,587.8
Technology,281.8
Retailing,197.1
Retailing,163.0
Materials,304.3
Retailing,353.2
Motor Vehicles & Parts,363.0
Retailing,1037.7
Engineering & Construction,396.0
Wholesalers,125.8
Technology,179.6
Health Care,347.0
Energy,-627.0
Financials,-277.0
Media,2.9
Wholesalers,21.0
Media,179.0
Materials,496.0
Wholesalers,-199.4
Apparel,549.0
Telecommunications,677.0
Industrials,-97.0
Wholesalers,-68.4
"Food, Beverages & Tobacco",563.0
Retailing,287.4
Materials,1027.0
Financials,356.6
Energy,-4401.0
Energy,-3071.0
Business Services,608.5
"Food, Beverages & Tobacco",688.7
Materials,382.1
Retailing,664.0
Energy,124.9
Wholesalers,56.8
"Food, Beverages & Tobacco",119.9
Health Care,305.9
Engineering & Construction,602.7
Financials,601.9
Engineering & Construction,198.4
Energy,-1096.7
Financials,1889.0
Energy,942.3
Wholesalers,120.5
Engineering & Construction,181.9
Financials,565.4
Energy,432.0
Technology,324.0
Wholesalers,196.0
Energy,1902.0
Health Care,645.0
Energy,-424.0
Energy,939.0
"Food, Beverages & Tobacco",720.0
Industrials,160.1
Apparel,396.0
Household Products,491.0
Wholesalers,101.6
Health Care,121.9
Energy,-2412.0
Health Care,-664.2
Chemicals,297.8
Business Services,515.8
Technology,251.0
Aerospace & Defense,573.0
Technology,244.0
Financials,741.9
Motor Vehicles & Parts,-674.9
Retailing,-11.9
"Hotels, Restaurants & Leisure",375.0
Industrials,361.7
Technology,1666.0
Media,-495.9
Financials,1564.0
Health Care,115.0
Financials,318.2
Industrials,508.9
Aerospace & Defense,469.7
Transportation,262.5
Materials,9.3
Retailing,437.1
Materials,486.4
Financials,706.3
"Hotels, Restaurants & Leisure",502.0
Energy,92.0
Materials,209.0
Energy,-187.3
Financials,746.0
Transportation,759.0
Financials,1726.7
Technology,966.0
Transportation,432.1
"Food, Beverages & Tobacco",1054.9
Technology,270.0
Retailing,167.2
Financials,649.0
Media,1194.0
Materials,236.0
Technology,187.8
Engineering & Construction,484.7
"Food, Beverages & Tobacco",847.0
Retailing,169.2
Household Products,-198.8
Energy,551.0
Wholesalers,93.1
Materials,144.3
"Hotels, Restaurants & Leisure",1619.0
Retailing,226.0
Technology,822.9
Industrials,216.4
Media,-296.3
"Food, Beverages & Tobacco",-228.6
Financials,456.9
Transportation,430.8
Materials,320.7
Energy,653.0
Apparel,539.4
Technology,560.0
Health Care,734.0
Transportation,692.2
Financials,1163.0
Financials,1422.0
Transportation,814.0
Financials,466.9
Technology,914.0
Materials,-7.8
Industrials,729.7
Technology,1168.8
Household Products,-107.6
Industrials,-176.1
Engineering & Construction,425.3
Motor Vehicles & Parts,640.0
Financials,213.0
Telecommunications,956.4
Materials,449.6
Financials,1045.0
Business Services,566.0
Household Products,648.0
Health Care,-64.0
Financials,1315.1
"Food, Beverages & Tobacco",484.9
Energy,364.7
Materials,393.0
Business Services,2106.0
Financials,455.7
"Hotels, Restaurants & Leisure",611.0
Financials,414.4
Retailing,215.9
Financials,343.0
Technology,2488.0
Wholesalers,187.2
Chemicals,-3.9
Technology,229.0
Financials,529.4
Retailing,-2.0
Business Services,930.0
Financials,762.0
Wholesalers,84.7
Household Products,318.0
Financials,411.0
Financials,590.7
Financials,1838.9
Business Services,253.2
Financials,791.0
Energy,-153.7
Technology,294.1
Chemicals,7.0
Financials,241.2
Chemicals,900.0
Telecommunications,-383.5
"Food, Beverages & Tobacco",312.0
Wholesalers,63.9
Energy,-1405.0
Wholesalers,337.5
Business Services,120.8
Media,680.0
Aerospace & Defense,728.0
Business Services,343.4
Engineering & Construction,15.0
Retailing,152.8
Retailing,378.2
Engineering & Construction,382.1
Technology,-214.3
Energy,NA
Business Services,57.2
