generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead
317.0,600.0,0.0,4446.0,6423.0,284.0,0.0,0.0,0.0,885.0,687.0,780.0,0.0,7105.0,60.0,95.0,32.0,237.0,0.0,10668.0,11.0,10756.0,28369.0,28663.0,63.1
462.0,0.0,0.0,2726.0,961.0,200.0,0.0,0.0,0.0,1922.0,1410.0,2320.0,0.0,5756.0,89.0,54.0,586.0,201.0,0.0,8847.0,831.0,8954.0,22651.0,22051.0,13.69
386.0,376.0,0.0,4606.0,4618.0,349.0,0.0,0.0,0.0,48.0,1267.0,2952.0,0.0,7102.0,42.0,59.0,31.0,148.0,0.0,4925.0,41.0,4958.0,28012.0,28109.0,59.2
388.0,0.0,0.0,3515.0,1512.0,286.0,0.0,0.0,0.0,3367.0,425.0,457.0,0.0,6821.0,53.0,101.0,3501.0,326.0,0.0,9875.0,3061.0,9917.0,27847.0,26193.0,33.59
492.0,0.0,0.0,3961.0,1761.0,249.0,0.0,0.0,0.0,890.0,710.0,951.0,0.0,6085.0,88.0,60.0,2540.0,263.0,0.0,8037.0,3092.0,7605.0,26651.0,26578.0,39.0
554.0,936.0,0.0,4913.0,6471.0,308.0,0.0,0.0,0.0,1101.0,548.0,639.0,0.0,6562.0,87.0,66.0,588.0,264.0,0.0,2610.0,471.0,2561.0,23788.0,23500.0,50.7
399.0,608.0,0.0,10037.0,4585.0,350.0,0.0,0.0,0.0,0.0,718.0,1818.0,0.0,5952.0,19.0,97.0,3636.0,281.0,0.0,1876.0,3781.0,1850.0,34069.0,33664.0,51.87
331.0,570.0,0.0,4641.0,3381.0,237.0,0.0,0.0,0.0,0.0,843.0,973.0,0.0,6952.0,57.0,96.0,98.0,326.0,0.0,2422.0,289.0,2939.0,21851.0,22406.0,63.9
319.0,916.0,0.0,4508.0,5834.0,200.0,0.0,0.0,0.0,6.0,616.0,2809.0,0.0,7102.0,55.0,87.0,34.0,271.0,0.0,1135.0,0.0,1142.0,25593.0,24985.0,64.88
340.0,662.0,0.0,5461.0,4510.0,284.0,0.0,0.0,0.0,0.0,1117.0,2761.0,0.0,6013.0,69.0,89.0,3943.0,283.0,0.0,7509.0,3965.0,6256.0,33941.0,33569.0,62.86
352.0,0.0,0.0,4038.0,1464.0,321.0,0.0,0.0,0.0,1417.0,1497.0,2598.0,0.0,6071.0,55.0,99.0,14.0,297.0,0.0,10118.0,10.0,9366.0,27334.0,27565.0,37.93
227.0,0.0,0.0,3418.0,1399.0,218.0,0.0,0.0,0.0,836.0,846.0,987.0,0.0,7050.0,6.0,88.0,4978.0,320.0,0.0,4939.0,4954.0,4940.0,22421.0,24305.0,36.48
231.0,0.0,0.0,3526.0,1450.0,192.0,0.0,0.0,0.0,695.0,1818.0,5171.0,0.0,5049.0,11.0,88.0,1280.0,293.0,0.0,4289.0,1404.0,3762.0,24049.0,23583.0,38.0
346.0,974.0,0.0,10932.0,5354.0,285.0,0.0,0.0,0.0,0.0,360.0,1412.0,0.0,5663.0,67.0,98.0,3874.0,233.0,0.0,2085.0,3756.0,2036.0,31910.0,31181.0,63.35
561.0,897.0,0.0,5395.0,7403.0,420.0,0.0,0.0,0.0,72.0,500.0,2074.0,0.0,6005.0,88.0,76.0,4463.0,241.0,0.0,3146.0,4585.0,3109.0,29284.0,29836.0,53.6
388.0,442.0,0.0,5962.0,2796.0,273.0,0.0,0.0,0.0,202.0,888.0,1713.0,0.0,6005.0,48.0,89.0,714.0,315.0,0.0,5100.0,652.0,5336.0,26523.0,26247.0,62.21
222.0,0.0,0.0,3064.0,1168.0,282.0,0.0,0.0,0.0,1337.0,1923.0,4828.0,0.0,7088.0,51.0,76.0,3437.0,241.0,0.0,9616.0,3614.0,9588.0,30383.0,30293.0,21.74
553.0,95.0,0.0,4740.0,3652.0,234.0,0.0,0.0,0.0,645.0,542.0,573.0,0.0,5357.0,79.0,72.0,61.0,242.0,0.0,2696.0,34.0,2822.0,20351.0,20517.0,41.0
345.0,897.0,0.0,4026.0,6425.0,255.0,0.0,0.0,0.0,2798.0,614.0,413.0,0.0,7102.0,48.0,99.0,41.0,332.0,0.0,7039.0,10.0,6899.0,23746.0,24220.0,55.25
460.0,0.0,0.0,4188.0,3606.0,384.0,0.0,0.0,0.0,70.0,1331.0,2539.0,0.0,7093.0,80.0,69.0,111.0,151.0,0.0,11113.0,20.0,10551.0,30115.0,29825.0,46.09
294.0,0.0,0.0,4101.0,683.0,207.0,0.0,0.0,0.0,1076.0,1686.0,5198.0,0.0,5101.0,12.0,59.0,123.0,200.0,0.0,4245.0,140.0,4284.0,22235.0,22162.0,17.69
428.0,801.0,0.0,4310.0,4885.0,377.0,0.0,0.0,0.0,950.0,1235.0,3459.0,0.0,4045.0,86.0,74.0,408.0,148.0,0.0,4034.0,351.0,3800.0,22566.0,22412.0,44.02
326.0,901.0,0.0,6324.0,6291.0,324.0,0.0,0.0,0.0,0.0,820.0,1973.0,0.0,6962.0,55.0,77.0,43.0,324.0,0.0,4794.0,262.0,4846.0,30987.0,31154.0,42.0
517.0,906.0,0.0,5354.0,8002.0,414.0,0.0,0.0,0.0,0.0,651.0,1123.0,0.0,6761.0,81.0,71.0,713.0,265.0,0.0,6615.0,666.0,6678.0,31182.0,30300.0,57.1
521.0,978.0,0.0,10599.0,7645.0,351.0,0.0,0.0,0.0,0.0,1210.0,8182.0,0.0,7097.0,42.0,77.0,71.0,225.0,0.0,822.0,66.0,885.0,38557.0,38014.0,75.0
546.0,927.0,0.0,6814.0,7798.0,397.0,0.0,0.0,0.0,0.0,709.0,3463.0,0.0,6831.0,85.0,75.0,4851.0,260.0,0.0,3716.0,4864.0,3725.0,37511.0,37353.0,69.1
371.0,762.0,0.0,7569.0,5368.0,323.0,0.0,0.0,0.0,0.0,582.0,2376.0,0.0,7025.0,58.0,112.0,13.0,317.0,0.0,3442.0,36.0,4181.0,28841.0,28587.0,75.36
217.0,328.0,0.0,7439.0,2482.0,318.0,0.0,0.0,0.0,51.0,1177.0,5082.0,0.0,7109.0,60.0,100.0,111.0,286.0,0.0,789.0,179.0,790.0,30030.0,30233.0,54.44
560.0,891.0,0.0,5185.0,6390.0,292.0,0.0,0.0,0.0,0.0,517.0,1307.0,0.0,5900.0,84.0,70.0,2425.0,266.0,0.0,2865.0,2902.0,2793.0,26521.0,27197.0,48.1
557.0,918.0,0.0,5822.0,7341.0,399.0,0.0,0.0,0.0,1.0,676.0,2156.0,0.0,6090.0,85.0,78.0,19.0,237.0,0.0,5531.0,0.0,5558.0,29959.0,30713.0,62.69
478.0,794.0,0.0,3973.0,5233.0,287.0,0.0,0.0,0.0,105.0,769.0,1114.0,0.0,5012.0,84.0,71.0,731.0,276.0,0.0,8034.0,669.0,8044.0,26035.0,26493.0,41.4
352.0,642.0,0.0,5792.0,2397.0,232.0,0.0,0.0,0.0,934.0,1230.0,1170.0,0.0,5057.0,56.0,103.0,14.0,302.0,0.0,2966.0,14.0,2743.0,20839.0,20744.0,54.71
301.0,880.0,0.0,5221.0,5732.0,226.0,0.0,0.0,0.0,725.0,550.0,597.0,0.0,4953.0,55.0,79.0,60.0,326.0,0.0,2855.0,0.0,2857.0,22843.0,23127.0,57.06
387.0,0.0,0.0,7923.0,3684.0,343.0,0.0,0.0,0.0,0.0,907.0,1631.0,0.0,6957.0,58.0,97.0,1163.0,309.0,0.0,6706.0,1162.0,4959.0,31898.0,30119.0,66.51
458.0,392.0,0.0,3423.0,3728.0,311.0,0.0,0.0,0.0,1565.0,1225.0,2533.0,0.0,7107.0,82.0,73.0,32.0,204.0,0.0,10026.0,7.0,9953.0,27975.0,27955.0,39.1
364.0,971.0,0.0,7751.0,6667.0,292.0,0.0,0.0,0.0,5.0,606.0,2949.0,0.0,6749.0,56.0,81.0,58.0,313.0,0.0,1978.0,215.0,1963.0,28522.0,29036.0,48.69
392.0,937.0,0.0,7362.0,5682.0,313.0,0.0,0.0,0.0,75.0,587.0,1363.0,0.0,6841.0,55.0,101.0,720.0,302.0,0.0,4800.0,573.0,4924.0,27211.0,28551.0,69.94
388.0,674.0,0.0,8117.0,3717.0,285.0,0.0,0.0,0.0,0.0,1439.0,5311.0,0.0,5968.0,65.0,94.0,3782.0,294.0,0.0,404.0,3747.0,748.0,34509.0,34486.0,63.49
329.0,0.0,0.0,3977.0,2099.0,281.0,0.0,0.0,0.0,160.0,1514.0,4708.0,0.0,5081.0,13.0,94.0,4132.0,232.0,0.0,3550.0,4067.0,3591.0,29124.0,29916.0,35.45
410.0,328.0,0.0,4618.0,4519.0,390.0,0.0,0.0,0.0,3.0,720.0,3105.0,0.0,7095.0,46.0,77.0,35.0,174.0,0.0,5403.0,12.0,5387.0,30389.0,29125.0,50.85
512.0,204.0,0.0,4777.0,4939.0,297.0,0.0,0.0,0.0,1074.0,610.0,749.0,0.0,6923.0,82.0,68.0,528.0,262.0,0.0,3919.0,526.0,3833.0,21585.0,21607.0,41.0
497.0,372.0,0.0,3477.0,5271.0,293.0,0.0,0.0,0.0,1539.0,531.0,524.0,0.0,6750.0,84.0,67.0,47.0,196.0,0.0,5254.0,74.0,4997.0,21469.0,21429.0,40.13
382.0,513.0,0.0,4174.0,5511.0,317.0,0.0,0.0,0.0,49.0,936.0,1377.0,0.0,5065.0,57.0,107.0,413.0,311.0,0.0,4166.0,478.0,4334.0,27810.0,27817.0,45.98
322.0,0.0,0.0,4198.0,1738.0,244.0,0.0,0.0,0.0,785.0,1193.0,2565.0,0.0,7048.0,58.0,75.0,3835.0,241.0,0.0,2454.0,3386.0,2376.0,24499.0,24201.0,33.51
343.0,647.0,0.0,8627.0,6241.0,322.0,0.0,0.0,0.0,0.0,504.0,2443.0,0.0,6966.0,55.0,90.0,2793.0,289.0,0.0,2503.0,3395.0,2553.0,29948.0,30115.0,59.9
341.0,0.0,0.0,4666.0,1836.0,318.0,0.0,0.0,0.0,0.0,1718.0,6189.0,0.0,5062.0,61.0,101.0,2221.0,303.0,0.0,4911.0,1932.0,5005.0,31274.0,30227.0,51.73
334.0,0.0,0.0,4390.0,2573.0,308.0,0.0,0.0,0.0,2067.0,982.0,2531.0,0.0,4030.0,38.0,71.0,570.0,155.0,0.0,8348.0,386.0,8397.0,21369.0,20778.0,30.6
237.0,0.0,0.0,6500.0,1606.0,270.0,0.0,0.0,0.0,0.0,1889.0,7507.0,0.0,7090.0,54.0,96.0,263.0,226.0,0.0,1250.0,235.0,1146.0,31668.0,30948.0,41.0
364.0,664.0,0.0,9549.0,5065.0,276.0,0.0,0.0,0.0,1.0,1166.0,3351.0,0.0,6048.0,66.0,95.0,659.0,260.0,0.0,2908.0,551.0,2898.0,33248.0,33164.0,68.03
311.0,0.0,0.0,4960.0,4764.0,329.0,0.0,0.0,0.0,0.0,1181.0,5264.0,0.0,6964.0,61.0,94.0,1666.0,230.0,0.0,4754.0,1847.0,4672.0,31672.0,31902.0,40.01
387.0,0.0,0.0,3934.0,4052.0,369.0,0.0,0.0,0.0,87.0,1036.0,1681.0,0.0,5026.0,86.0,74.0,2501.0,139.0,0.0,11013.0,2334.0,11030.0,29289.0,29291.0,43.18
345.0,0.0,0.0,4085.0,3548.0,247.0,0.0,0.0,0.0,225.0,784.0,1188.0,0.0,7000.0,54.0,63.0,5150.0,318.0,0.0,2596.0,5192.0,2615.0,27216.0,26484.0,41.5
216.0,0.0,0.0,3318.0,1400.0,260.0,0.0,0.0,0.0,910.0,1850.0,6225.0,0.0,7088.0,53.0,71.0,4373.0,253.0,0.0,6047.0,4166.0,5980.0,30508.0,30175.0,21.8
324.0,0.0,0.0,4556.0,3591.0,219.0,0.0,0.0,0.0,40.0,1015.0,2202.0,0.0,6969.0,49.0,85.0,657.0,279.0,0.0,8209.0,562.0,8203.0,28059.0,27972.0,46.69
277.0,0.0,0.0,5044.0,1480.0,230.0,0.0,0.0,0.0,205.0,1035.0,1995.0,0.0,6070.0,59.0,96.0,2824.0,309.0,0.0,3856.0,2578.0,4208.0,25478.0,25313.0,59.59
501.0,827.0,0.0,8241.0,7172.0,409.0,0.0,0.0,0.0,161.0,711.0,2025.0,0.0,5896.0,88.0,69.0,997.0,256.0,0.0,8302.0,865.0,8287.0,35006.0,35091.0,61.57
372.0,902.0,0.0,6898.0,5124.0,297.0,0.0,0.0,0.0,0.0,824.0,1493.0,0.0,6941.0,49.0,81.0,1828.0,314.0,0.0,7234.0,1963.0,7116.0,33837.0,34264.0,42.5
315.0,0.0,0.0,3266.0,1762.0,213.0,0.0,0.0,0.0,0.0,1805.0,3481.0,0.0,5060.0,54.0,115.0,4106.0,304.0,0.0,4918.0,4747.0,4954.0,28429.0,28177.0,47.64
339.0,0.0,0.0,4557.0,1664.0,220.0,0.0,0.0,0.0,0.0,1383.0,5765.0,0.0,6060.0,57.0,79.0,723.0,289.0,0.0,2170.0,717.0,2151.0,27231.0,27528.0,45.5
219.0,419.0,0.0,4813.0,3026.0,240.0,0.0,0.0,0.0,91.0,931.0,1649.0,0.0,7086.0,17.0,95.0,26.0,284.0,0.0,2712.0,15.0,2822.0,24890.0,24937.0,51.23
393.0,0.0,0.0,4471.0,3587.0,278.0,0.0,0.0,0.0,0.0,887.0,1675.0,0.0,6925.0,58.0,95.0,4321.0,313.0,0.0,2445.0,4411.0,2284.0,26156.0,27632.0,64.0
326.0,411.0,0.0,5027.0,3048.0,218.0,0.0,0.0,0.0,1298.0,347.0,247.0,0.0,5914.0,54.0,86.0,37.0,286.0,0.0,3147.0,11.0,3191.0,20031.0,19824.0,47.59
335.0,613.0,0.0,7620.0,3131.0,338.0,0.0,0.0,0.0,149.0,519.0,682.0,0.0,6823.0,65.0,90.0,3606.0,308.0,0.0,6163.0,3771.0,6240.0,33049.0,33483.0,46.22
543.0,0.0,0.0,3332.0,1823.0,296.0,0.0,0.0,0.0,2411.0,1136.0,4619.0,0.0,6091.0,87.0,77.0,3813.0,188.0,0.0,7207.0,3152.0,7302.0,29775.0,29402.0,32.1
397.0,810.0,0.0,6765.0,5212.0,327.0,0.0,0.0,0.0,26.0,1429.0,2322.0,0.0,7112.0,68.0,97.0,2891.0,299.0,0.0,4169.0,2166.0,4125.0,33827.0,33620.0,60.18
466.0,0.0,0.0,2317.0,910.0,221.0,0.0,0.0,0.0,1941.0,1502.0,2717.0,0.0,5759.0,88.0,55.0,2514.0,205.0,0.0,9918.0,2575.0,9828.0,25095.0,24571.0,15.0
358.0,598.0,0.0,4640.0,4635.0,217.0,0.0,0.0,0.0,2145.0,446.0,363.0,0.0,7104.0,57.0,86.0,38.0,327.0,0.0,3665.0,9.0,3591.0,21682.0,21624.0,48.0
517.0,0.0,0.0,5672.0,2465.0,362.0,0.0,0.0,0.0,0.0,1522.0,6737.0,0.0,7103.0,43.0,83.0,111.0,193.0,0.0,10222.0,74.0,10260.0,35803.0,35306.0,48.82
352.0,619.0,0.0,7062.0,6100.0,286.0,0.0,0.0,0.0,0.0,1069.0,2546.0,0.0,6192.0,15.0,104.0,853.0,338.0,0.0,4662.0,1070.0,4409.0,33092.0,34051.0,59.07
373.0,765.0,0.0,5257.0,5205.0,334.0,0.0,0.0,0.0,109.0,723.0,2167.0,0.0,6991.0,60.0,99.0,2909.0,275.0,0.0,6266.0,3624.0,6655.0,33831.0,33823.0,72.5
375.0,0.0,0.0,5987.0,3201.0,257.0,0.0,0.0,0.0,575.0,1241.0,2460.0,0.0,4027.0,81.0,67.0,31.0,144.0,0.0,2485.0,71.0,2428.0,20369.0,20774.0,44.29
337.0,0.0,0.0,4064.0,1698.0,316.0,0.0,0.0,0.0,0.0,1616.0,4905.0,0.0,6072.0,10.0,95.0,5582.0,264.0,0.0,4851.0,5637.0,4959.0,31712.0,31369.0,39.94
305.0,0.0,0.0,4134.0,1407.0,327.0,0.0,0.0,0.0,147.0,1804.0,6779.0,0.0,6075.0,65.0,107.0,244.0,301.0,0.0,13895.0,116.0,12900.0,33920.0,34932.0,47.0
280.0,0.0,0.0,3895.0,1225.0,312.0,0.0,0.0,0.0,3334.0,1697.0,3449.0,0.0,6077.0,52.0,97.0,614.0,309.0,0.0,8188.0,398.0,7008.0,23650.0,23412.0,33.3
356.0,890.0,0.0,9518.0,6980.0,291.0,0.0,0.0,0.0,0.0,1008.0,2975.0,0.0,5043.0,60.0,98.0,736.0,215.0,0.0,6345.0,973.0,6500.0,34937.0,34560.0,63.53
362.0,682.0,0.0,8958.0,5240.0,332.0,0.0,0.0,0.0,0.0,571.0,653.0,0.0,6322.0,15.0,96.0,1431.0,311.0,0.0,5858.0,1617.0,5770.0,33280.0,32790.0,48.0
372.0,0.0,0.0,4345.0,2582.0,213.0,0.0,0.0,0.0,257.0,678.0,1018.0,0.0,6985.0,55.0,71.0,61.0,302.0,0.0,3218.0,118.0,3291.0,20545.0,21126.0,39.0
182.0,513.0,0.0,4888.0,3630.0,324.0,0.0,0.0,0.0,202.0,1188.0,1978.0,0.0,7105.0,60.0,100.0,436.0,272.0,0.0,3166.0,367.0,3083.0,26373.0,26746.0,50.63
260.0,0.0,0.0,5463.0,2333.0,330.0,0.0,0.0,0.0,0.0,1248.0,5237.0,0.0,7102.0,67.0,100.0,4011.0,287.0,0.0,1343.0,4644.0,1321.0,30578.0,30998.0,49.01
358.0,273.0,0.0,5737.0,5355.0,249.0,0.0,0.0,0.0,382.0,705.0,466.0,0.0,6010.0,51.0,88.0,148.0,331.0,0.0,5492.0,131.0,5374.0,25304.0,25435.0,43.19
198.0,0.0,0.0,5067.0,2073.0,317.0,0.0,0.0,0.0,0.0,1919.0,5132.0,0.0,5060.0,11.0,99.0,181.0,328.0,0.0,7718.0,106.0,7796.0,31726.0,31489.0,50.87
321.0,887.0,0.0,7595.0,5992.0,329.0,0.0,0.0,0.0,0.0,918.0,7008.0,0.0,6971.0,56.0,80.0,2536.0,326.0,0.0,4937.0,3504.0,5143.0,36628.0,37365.0,44.69
311.0,0.0,0.0,3612.0,1528.0,262.0,0.0,0.0,0.0,1196.0,1237.0,2059.0,0.0,7090.0,38.0,55.0,288.0,159.0,0.0,8770.0,122.0,8677.0,22602.0,22695.0,30.0
335.0,657.0,0.0,5824.0,4338.0,260.0,0.0,0.0,0.0,0.0,587.0,1955.0,0.0,6240.0,13.0,87.0,645.0,333.0,0.0,5072.0,603.0,5031.0,29435.0,29536.0,55.19
349.0,648.0,0.0,3463.0,3329.0,260.0,0.0,0.0,0.0,2002.0,1119.0,1253.0,0.0,7106.0,60.0,80.0,2475.0,271.0,0.0,5410.0,2417.0,5298.0,26504.0,26123.0,40.18
386.0,986.0,0.0,11947.0,7675.0,333.0,0.0,0.0,0.0,0.0,1093.0,3189.0,0.0,7086.0,56.0,100.0,209.0,298.0,0.0,6485.0,292.0,6337.0,37758.0,37405.0,76.44
461.0,650.0,0.0,4215.0,6126.0,253.0,0.0,0.0,0.0,200.0,785.0,1857.0,0.0,5086.0,82.0,67.0,4775.0,272.0,0.0,2048.0,4854.0,2146.0,25946.0,25621.0,53.48
443.0,0.0,0.0,4382.0,3025.0,276.0,0.0,0.0,0.0,1284.0,1088.0,3067.0,0.0,5051.0,84.0,70.0,191.0,161.0,0.0,4067.0,221.0,3990.0,20028.0,20001.0,41.29
382.0,193.0,0.0,4808.0,3549.0,346.0,0.0,0.0,0.0,206.0,1411.0,1729.0,0.0,6079.0,56.0,100.0,114.0,327.0,0.0,10983.0,68.0,10104.0,30269.0,29861.0,44.22
381.0,0.0,0.0,2655.0,1141.0,235.0,0.0,0.0,0.0,3223.0,1225.0,3970.0,0.0,3737.0,91.0,61.0,13.0,140.0,0.0,13710.0,15.0,13704.0,25184.0,24983.0,5.1
532.0,624.0,0.0,6164.0,6940.0,437.0,0.0,0.0,0.0,0.0,593.0,3862.0,0.0,5971.0,88.0,77.0,485.0,284.0,0.0,5011.0,328.0,5049.0,32080.0,31718.0,63.6
504.0,846.0,0.0,4245.0,6262.0,321.0,0.0,0.0,0.0,970.0,564.0,812.0,0.0,6018.0,87.0,70.0,506.0,260.0,0.0,4840.0,630.0,4896.0,24482.0,24543.0,45.6
304.0,559.0,0.0,9597.0,5424.0,334.0,0.0,0.0,0.0,3.0,679.0,2041.0,0.0,7013.0,68.0,109.0,1326.0,310.0,0.0,1805.0,1909.0,1805.0,30558.0,30884.0,70.46
299.0,780.0,0.0,12154.0,4965.0,334.0,0.0,0.0,0.0,0.0,407.0,892.0,0.0,5967.0,57.0,96.0,4201.0,308.0,0.0,3106.0,3946.0,3068.0,32057.0,32832.0,57.94
294.0,831.0,0.0,11998.0,7470.0,332.0,0.0,0.0,0.0,0.0,885.0,1862.0,0.0,6001.0,63.0,91.0,4326.0,307.0,0.0,3511.0,4469.0,3556.0,37189.0,37430.0,54.83
367.0,0.0,0.0,3314.0,842.0,256.0,0.0,0.0,0.0,3037.0,1003.0,2184.0,0.0,6085.0,88.0,66.0,18.0,214.0,0.0,11899.0,0.0,12069.0,21567.0,22105.0,4.0
446.0,939.0,0.0,7523.0,7160.0,409.0,0.0,0.0,0.0,1.0,704.0,5150.0,0.0,5729.0,86.0,80.0,82.0,261.0,0.0,3028.0,64.0,2993.0,32545.0,32852.0,61.12
256.0,439.0,0.0,4619.0,3054.0,273.0,0.0,0.0,0.0,162.0,846.0,1082.0,0.0,6463.0,16.0,98.0,82.0,295.0,0.0,9444.0,78.0,9524.0,28534.0,28483.0,50.95
378.0,488.0,0.0,4085.0,5442.0,298.0,0.0,0.0,0.0,0.0,623.0,1231.0,0.0,6967.0,55.0,97.0,17.0,324.0,0.0,2964.0,166.0,2584.0,24581.0,24679.0,69.9
206.0,0.0,0.0,3882.0,1249.0,237.0,0.0,0.0,0.0,1261.0,1757.0,4528.0,0.0,7103.0,54.0,76.0,285.0,220.0,0.0,1782.0,224.0,1829.0,23410.0,23264.0,21.08
311.0,507.0,0.0,8236.0,5878.0,321.0,0.0,0.0,0.0,0.0,772.0,4888.0,0.0,6975.0,56.0,114.0,433.0,318.0,0.0,3517.0,362.0,4650.0,33874.0,34176.0,76.04
443.0,0.0,0.0,3819.0,3644.0,378.0,0.0,0.0,0.0,0.0,934.0,3576.0,0.0,5060.0,92.0,75.0,4323.0,155.0,0.0,8238.0,4380.0,8244.0,32529.0,32476.0,50.2
366.0,467.0,0.0,3717.0,3159.0,236.0,0.0,0.0,0.0,353.0,1004.0,1143.0,0.0,4923.0,53.0,86.0,2109.0,275.0,0.0,5216.0,2527.0,5323.0,24911.0,25132.0,40.69
383.50645644574445,449.1056179775281,0.0,5628.587979311575,4262.136793294097,298.2900406649069,0.0,0.0,0.0,474.375758008133,970.1253477919669,2602.640841804887,0.0,6269.2257098016835,60.25635812377386,85.6402354200107,1432.255395041912,269.3886708996219,0.0,5455.5796326021045,849.0,9956.0,33938.0,28700.6778372591,63.01
361.0,0.0,0.0,3694.0,2906.0,223.0,0.0,0.0,0.0,1.0,556.0,1242.0,0.0,7035.0,55.0,79.0,520.0,310.0,0.0,5647.0,384.0,5681.0,23817.0,23760.0,40.0
236.0,0.0,0.0,5077.0,2975.0,273.0,0.0,0.0,0.0,2.0,1946.0,7498.0,0.0,5054.0,15.0,88.0,509.0,317.0,0.0,5853.0,689.0,6441.0,30715.0,30344.0,49.97
384.0,386.0,0.0,4048.0,4376.0,289.0,0.0,0.0,0.0,1889.0,939.0,304.0,0.0,7092.0,47.0,90.0,11.0,329.0,0.0,7850.0,3.0,7784.0,23644.0,23423.0,37.68
306.0,632.0,0.0,3474.0,1777.0,254.0,0.0,0.0,0.0,1858.0,674.0,686.0,0.0,7034.0,60.0,89.0,66.0,323.0,0.0,9822.0,131.0,10664.0,21482.0,21443.0,39.5
329.0,725.0,0.0,7583.0,5673.0,309.0,0.0,0.0,0.0,0.0,803.0,3934.0,0.0,6968.0,67.0,88.0,3712.0,298.0,0.0,3028.0,4917.0,3422.0,35152.0,35579.0,67.9
323.0,0.0,0.0,4053.0,845.0,259.0,0.0,0.0,0.0,195.0,1451.0,4016.0,0.0,5843.0,12.0,77.0,516.0,239.0,0.0,3269.0,434.0,3364.0,24116.0,23968.0,26.03
355.0,583.0,0.0,5418.0,3467.0,346.0,0.0,0.0,0.0,0.0,776.0,1010.0,0.0,5768.0,58.0,90.0,673.0,287.0,0.0,6499.0,633.0,6453.0,27339.0,27274.0,44.08
