tag,date,question_count,question_pct,unanswered_count,unanswered_pct
amazon-simpledb,2018-09-25,392,2.38e-5,78,1.63e-5
amazon-data-pipeline,2018-09-25,399,2.42e-5,196,4.09e-5
amazon-ec2,2018-09-25,22755,0.001378865,8499,0.001772089
amazon-ebs,2018-09-25,338,2.05e-5,54,1.13e-5
ios8,2018-09-25,9399,5.69544e-4,3213,6.69929e-4
amazon-kinesis,2018-09-25,766,4.64e-5,380,7.92e-5
cognos,2018-09-25,848,5.14e-5,378,7.88e-5
actionscript,2018-09-25,9101,5.51486e-4,2444,5.09588e-4
amazon,2018-09-25,3636,2.20328e-4,1409,2.93784e-4
osx,2018-09-25,87485,0.005301258,87485,0.018241129
stripe-payments,2018-09-25,4964,3.00797e-4,1799,3.75097e-4
actionscript-3,2018-09-25,41149,0.002493471,11027,0.002299191
amazon-vpc,2018-09-25,719,4.36e-5,215,4.48e-5
applepayjs,2018-09-25,30,1.82e-6,19,3.96e-6
paypal,2018-09-24,18042,0.001093744,8395,0.00175155
stripe-payments,2018-09-24,4960,3.00685e-4,1796,3.7472e-4
amazon-elb,2018-09-24,1450,8.79e-5,559,1.16631e-4
amazon-swf,2018-09-24,232,1.41e-5,77,1.61e-5
osx,2018-09-24,87467,0.005302453,87467,0.01824935
amazon-mws,2018-09-24,706,4.28e-5,278,5.8e-5
android,2018-09-24,1138256,0.069003605,424750,0.088620798
amazon-sns,2018-09-24,1397,8.47e-5,598,1.24768e-4
amazon-cloudfront,2018-09-24,2264,1.37249e-4,886,1.84857e-4
mongodb,2018-09-24,104092,0.006310283,36507,0.007616903
ios8,2018-09-24,9399,5.69789e-4,3213,6.70369e-4
amazon-lambda,2018-09-24,8008,4.85463e-4,8008,0.001670805
amazon-cloudsearch,2018-09-24,318,1.93e-5,134,2.8e-5
amazon,2018-09-24,3635,2.20362e-4,1408,2.93769e-4
excel,2018-09-24,177502,0.010760557,61754,0.012884486
amazon-web-services,2018-09-24,63876,0.003872309,25116,0.005240268
amazon-ebs,2018-09-24,338,2.05e-5,54,1.13e-5
amazon-ec2,2018-09-24,22740,0.001378551,8491,0.001771584
amazon-glacier,2018-09-24,192,1.16e-5,59,1.23e-5
dropbox,2018-09-24,3070,1.8611e-4,1169,2.43903e-4
amazon-simpledb,2018-09-24,392,2.38e-5,78,1.63e-5
sql-server,2018-09-24,242382,0.014693721,60815,0.012688573
azure,2018-09-24,61205,0.003710378,21091,0.00440047
amazon-elasticache,2018-09-24,434,2.63e-5,179,3.73e-5
amazon-ecs,2018-09-24,1072,6.5e-5,507,1.05782e-4
applepayjs,2018-09-24,30,1.82e-6,19,3.96e-6
amazon-cloudwatch,2018-09-24,1163,7.05e-5,494,1.03069e-4
amazon-cognito,2018-09-24,2826,1.71319e-4,1198,2.49954e-4
amazon-redshift,2018-09-24,3495,2.11875e-4,1262,2.63307e-4
ios9,2018-09-24,4184,2.53644e-4,1580,3.29656e-4
amazon-dynamodb,2018-09-24,5979,3.62461e-4,2173,4.5338e-4
applepay,2018-09-24,357,2.16e-5,174,3.63e-5
amazon-sqs,2018-09-24,1582,9.59e-5,558,1.16423e-4
cognos,2018-09-24,848,5.14e-5,379,7.91e-5
amazon-s3,2018-09-24,25426,0.001541382,10013,0.002089138
dropbox-api,2018-09-24,2071,1.25549e-4,830,1.73173e-4
amazon-emr,2018-09-24,3045,1.84595e-4,1241,2.58925e-4
amazon-cloudformation,2018-09-24,2514,1.52404e-4,889,1.85483e-4
amazon-kinesis,2018-09-24,765,4.64e-5,379,7.91e-5
amazon-ses,2018-09-24,932,5.65e-5,353,7.37e-5
google-spreadsheet,2018-09-24,15669,9.49889e-4,5971,0.001245802
citrix,2018-09-24,597,3.62e-5,292,6.09e-5
amazon-vpc,2018-09-24,718,4.35e-5,214,4.46e-5
actionscript-3,2018-09-24,41148,0.002494486,11027,0.002300701
amazon-elastic-beanstalk,2018-09-24,5488,3.32695e-4,2218,4.62769e-4
ios,2018-09-24,577252,0.034994365,189163,0.039467485
amazon-rds,2018-09-24,2536,1.53738e-4,1028,2.14484e-4
amazon-rds-aurora,2018-09-24,323,1.96e-5,149,3.11e-5
amazon-data-pipeline,2018-09-24,399,2.42e-5,196,4.09e-5
actionscript,2018-09-24,9100,5.51663e-4,2443,5.09714e-4
android-pay,2018-09-24,490,2.97e-5,221,4.61e-5
amazon-route53,2018-09-24,1098,6.66e-5,390,8.14e-5
windows,2018-09-24,124719,0.007560735,38948,0.008126193
ios,2018-09-23,577184,0.034998091,189133,0.039474066
amazon-web-services,2018-09-23,63852,0.003871724,25109,0.005240516
amazon-cloudformation,2018-09-23,2513,1.52378e-4,889,1.85544e-4
dropbox-api,2018-09-23,2071,1.25577e-4,830,1.73229e-4
amazon-lambda,2018-09-23,8004,4.85329e-4,8004,0.001670517
ios8,2018-09-23,9400,5.69978e-4,3213,6.70587e-4
amazon-kinesis,2018-09-23,763,4.63e-5,377,7.87e-5
amazon-vpc,2018-09-23,718,4.35e-5,214,4.47e-5
applepay,2018-09-23,357,2.16e-5,174,3.63e-5
amazon-simpledb,2018-09-23,392,2.38e-5,78,1.63e-5
amazon-cloudwatch,2018-09-23,1163,7.05e-5,494,1.03103e-4
amazon-dynamodb,2018-09-23,5974,3.62239e-4,2171,4.5311e-4
amazon-ses,2018-09-23,931,5.65e-5,352,7.35e-5
citrix,2018-09-23,597,3.62e-5,292,6.09e-5
amazon-elastic-beanstalk,2018-09-23,5487,3.32709e-4,2218,4.6292e-4
amazon-rds,2018-09-23,2534,1.53651e-4,1028,2.14554e-4
android-pay,2018-09-23,490,2.97e-5,221,4.61e-5
windows,2018-09-23,124696,0.007561037,38937,0.008126533
amazon-cloudfront,2018-09-23,2263,1.37219e-4,886,1.84917e-4
amazon-cloudsearch,2018-09-23,318,1.93e-5,134,2.8e-5
android,2018-09-23,1137984,0.069002576,424603,0.088618897
amazon-glacier,2018-09-23,192,1.16e-5,59,1.23e-5
amazon-ecs,2018-09-23,1072,6.5e-5,508,1.06025e-4
actionscript,2018-09-23,9100,5.51787e-4,2443,5.0988e-4
amazon,2018-09-23,3637,2.20533e-4,1410,2.94282e-4
amazon-data-pipeline,2018-09-23,399,2.42e-5,196,4.09e-5
actionscript-3,2018-09-23,41148,0.002495047,11029,0.002301871
applepayjs,2018-09-23,30,1.82e-6,19,3.97e-6
paypal,2018-09-23,18040,0.001093869,8393,0.001751701
amazon-mws,2018-09-23,706,4.28e-5,278,5.8e-5
mongodb,2018-09-23,104059,0.006309698,36490,0.007615819
amazon-sns,2018-09-23,1397,8.47e-5,598,1.24809e-4
excel,2018-09-23,177471,0.01076109,61755,0.012888876
amazon-cognito,2018-09-23,2824,1.71236e-4,1196,2.49618e-4
ios9,2018-09-23,4184,2.53701e-4,1580,3.29763e-4
amazon-sqs,2018-09-23,1582,9.59e-5,558,1.1646e-4
amazon-redshift,2018-09-23,3493,2.11801e-4,1262,2.63393e-4
azure,2018-09-23,61179,0.003709635,21073,0.004398143
amazon-swf,2018-09-23,232,1.41e-5,77,1.61e-5
amazon-elb,2018-09-23,1450,8.79e-5,561,1.17087e-4
osx,2018-09-23,87450,0.005302612,87450,0.018251736
cognos,2018-09-23,848,5.14e-5,379,7.91e-5
dropbox,2018-09-23,3070,1.86152e-4,1169,2.43982e-4
amazon-ebs,2018-09-23,338,2.05e-5,54,1.13e-5
amazon-rds-aurora,2018-09-23,323,1.96e-5,149,3.11e-5
amazon-emr,2018-09-23,3045,1.84636e-4,1241,2.5901e-4
sql-server,2018-09-23,242350,0.014695078,60794,0.012688303
stripe-payments,2018-09-23,4958,3.00632e-4,1795,3.74633e-4
amazon-elasticache,2018-09-23,434,2.63e-5,179,3.74e-5
amazon-s3,2018-09-23,25422,0.001541486,10014,0.002090028
amazon-ec2,2018-09-23,22737,0.001378678,8489,0.001771744
amazon-route53,2018-09-23,1096,6.65e-5,388,8.1e-5
google-spreadsheet,2018-09-23,15660,9.49557e-4,5970,0.001245999
amazon-data-pipeline,2018-09-22,399,2.42e-5,196,4.09e-5
applepayjs,2018-09-22,30,1.82e-6,19,3.97e-6
actionscript-3,2018-09-22,41148,0.002495589,11029,0.002302683
applepay,2018-09-22,357,2.17e-5,174,3.63e-5
amazon,2018-09-22,3636,2.2052e-4,1409,2.94177e-4
osx,2018-09-22,87448,0.005303644,87448,0.018257789
amazon-lambda,2018-09-22,8000,4.85192e-4,8000,0.001670271
amazon-vpc,2018-09-22,718,4.35e-5,214,4.47e-5
cognos,2018-09-22,848,5.14e-5,379,7.91e-5
dropbox,2018-09-22,3070,1.86192e-4,1169,2.44068e-4
amazon-ebs,2018-09-22,338,2.05e-5,54,1.13e-5
amazon-route53,2018-09-22,1096,6.65e-5,389,8.12e-5
amazon-kinesis,2018-09-22,763,4.63e-5,377,7.87e-5
amazon-cloudformation,2018-09-22,2513,1.52411e-4,889,1.85609e-4
ios8,2018-09-22,9400,5.70102e-4,3213,6.70825e-4
amazon-s3,2018-09-22,25416,0.001541456,10013,0.002090555
amazon-ecs,2018-09-22,1072,6.5e-5,509,1.06271e-4
amazon-glacier,2018-09-22,192,1.16e-5,59,1.23e-5
android,2018-09-22,1137755,0.069003661,424469,0.08862217
amazon-cloudsearch,2018-09-22,318,1.93e-5,134,2.8e-5
amazon-cloudfront,2018-09-22,2262,1.37188e-4,885,1.84774e-4
windows,2018-09-22,124675,0.007561403,38923,0.008126471
amazon-ec2,2018-09-22,22735,0.001378856,8491,0.001772786
android-pay,2018-09-22,490,2.97e-5,221,4.61e-5
ios,2018-09-22,577106,0.035000968,189082,0.03947742
amazon-rds-aurora,2018-09-22,323,1.96e-5,149,3.11e-5
amazon-rds,2018-09-22,2533,1.53624e-4,1029,2.14839e-4
amazon-elastic-beanstalk,2018-09-22,5485,3.3266e-4,2216,4.62666e-4
citrix,2018-09-22,597,3.62e-5,292,6.1e-5
amazon-elasticache,2018-09-22,434,2.63e-5,179,3.74e-5
stripe-payments,2018-09-22,4957,3.00636e-4,1796,3.74974e-4
amazon-emr,2018-09-22,3044,1.84616e-4,1240,2.58892e-4
amazon-ses,2018-09-22,930,5.64e-5,351,7.33e-5
google-spreadsheet,2018-09-22,15650,9.49156e-4,5966,0.001245602
amazon-sqs,2018-09-22,1580,9.58e-5,556,1.16084e-4
ios9,2018-09-22,4184,2.53756e-4,1580,3.29879e-4
amazon-dynamodb,2018-09-22,5969,3.62014e-4,2168,4.52644e-4
amazon-cognito,2018-09-22,2822,1.71152e-4,1195,2.49497e-4
amazon-redshift,2018-09-22,3492,2.11786e-4,1263,2.63694e-4
azure,2018-09-22,61167,0.00370971,21069,0.004398852
amazon-cloudwatch,2018-09-22,1163,7.05e-5,495,1.03348e-4
dropbox-api,2018-09-22,2071,1.25604e-4,830,1.7329e-4
sql-server,2018-09-22,242319,0.014696384,60788,0.012691517
excel,2018-09-22,177449,0.010762089,61750,0.012892372
amazon-sns,2018-09-22,1397,8.47e-5,598,1.24853e-4
amazon-simpledb,2018-09-22,392,2.38e-5,78,1.63e-5
actionscript,2018-09-22,9100,5.51907e-4,2443,5.1006e-4
mongodb,2018-09-22,104030,0.006309308,36467,0.007613707
amazon-mws,2018-09-22,706,4.28e-5,278,5.8e-5
amazon-swf,2018-09-22,232,1.41e-5,77,1.61e-5
amazon-web-services,2018-09-22,63823,0.003870804,25094,0.005239229
amazon-elb,2018-09-22,1448,8.78e-5,559,1.1671e-4
paypal,2018-09-22,18039,0.001094045,8392,0.001752108
mongodb,2018-09-21,104088,0.00631164,36543,0.007620043
amazon-simpledb,2018-09-21,392,2.38e-5,78,1.63e-5
amazon-ses,2018-09-21,933,5.66e-5,354,7.38e-5
citrix,2018-09-21,598,3.63e-5,293,6.11e-5
amazon-rds,2018-09-21,2533,1.53596e-4,1029,2.14571e-4
amazon-cloudfront,2018-09-21,2262,1.37163e-4,888,1.8517e-4
amazon-cloudsearch,2018-09-21,319,1.93e-5,135,2.82e-5
android,2018-09-21,1138118,0.069012769,424945,0.088610881
paypal,2018-09-21,18059,0.001095051,8414,0.001754505
amazon-mws,2018-09-21,706,4.28e-5,278,5.8e-5
amazon-data-pipeline,2018-09-21,402,2.44e-5,199,4.15e-5
amazon-cognito,2018-09-21,2830,1.71605e-4,1207,2.51689e-4
ios9,2018-09-21,4183,2.53648e-4,1581,3.29678e-4
amazon-sqs,2018-09-21,1579,9.57e-5,556,1.15939e-4
azure,2018-09-21,61151,0.003708042,21081,0.004395861
amazon-swf,2018-09-21,232,1.41e-5,77,1.61e-5
osx,2018-09-21,87463,0.005303574,87463,0.018238196
amazon-ebs,2018-09-21,338,2.05e-5,54,1.13e-5
amazon-elasticache,2018-09-21,434,2.63e-5,179,3.73e-5
amazon-rds-aurora,2018-09-21,322,1.95e-5,148,3.09e-5
amazon-s3,2018-09-21,25416,0.001541171,10024,0.002090248
amazon-ec2,2018-09-21,22738,0.001378783,8498,0.00177204
ios8,2018-09-21,9400,5.69996e-4,3213,6.6999e-4
amazon-route53,2018-09-21,1095,6.64e-5,389,8.11e-5
dropbox-api,2018-09-21,2072,1.25641e-4,831,1.73283e-4
amazon-vpc,2018-09-21,718,4.35e-5,214,4.46e-5
amazon-kinesis,2018-09-21,760,4.61e-5,375,7.82e-5
amazon-web-services,2018-09-21,63824,0.00387015,25125,0.005239175
ios,2018-09-21,577222,0.035001543,189279,0.03946933
google-spreadsheet,2018-09-21,15658,9.49464e-4,5978,0.001246552
sql-server,2018-09-21,242291,0.014691921,60822,0.012682765
amazon-emr,2018-09-21,3045,1.84642e-4,1242,2.58987e-4
dropbox,2018-09-21,3072,1.86279e-4,1172,2.4439e-4
cognos,2018-09-21,850,5.15e-5,381,7.94e-5
amazon-elb,2018-09-21,1451,8.8e-5,562,1.17191e-4
amazon-redshift,2018-09-21,3487,2.11444e-4,1262,2.63158e-4
excel,2018-09-21,177495,0.010762854,61827,0.012892327
actionscript,2018-09-21,9100,5.51805e-4,2443,5.09426e-4
applepayjs,2018-09-21,30,1.82e-6,19,3.96e-6
actionscript-3,2018-09-21,41151,0.002495309,11032,0.002300443
amazon,2018-09-21,3641,2.20782e-4,1414,2.94853e-4
amazon-lambda,2018-09-21,7990,4.84495e-4,7990,0.001666105
amazon-sns,2018-09-21,1397,8.47e-5,599,1.24906e-4
amazon-ecs,2018-09-21,1072,6.5e-5,510,1.06347e-4
amazon-glacier,2018-09-21,192,1.16e-5,59,1.23e-5
windows,2018-09-21,124734,0.007563558,38998,0.008131966
android-pay,2018-09-21,490,2.97e-5,221,4.61e-5
amazon-elastic-beanstalk,2018-09-21,5483,3.32477e-4,2220,4.62923e-4
amazon-dynamodb,2018-09-21,5973,0.00036218999999999997,2175,4.5354e-4
amazon-cloudwatch,2018-09-21,1166,7.07e-5,498,1.03845e-4
applepay,2018-09-21,356,2.16e-5,173,3.61e-5
amazon-cloudformation,2018-09-21,2510,1.52201e-4,888,1.85169e-4
stripe-payments,2018-09-21,4957,3.00585e-4,1794,3.74085e-4
actionscript-3,2018-09-20,41150,0.002496398,11032,0.00230206
amazon,2018-09-20,3639,2.20763e-4,1413,2.94852e-4
amazon-ecs,2018-09-20,1070,6.49e-5,509,1.06213e-4
amazon-glacier,2018-09-20,192,1.16e-5,59,1.23e-5
amazon-lambda,2018-09-20,7974,4.83748e-4,7974,0.001663938
amazon-elasticache,2018-09-20,434,2.63e-5,180,3.76e-5
android,2018-09-20,1137726,0.069020807,424758,0.088633951
mongodb,2018-09-20,104035,0.006311337,36515,0.007619553
amazon-sns,2018-09-20,1397,8.48e-5,599,1.24994e-4
amazon-ebs,2018-09-20,338,2.05e-5,54,1.13e-5
dropbox,2018-09-20,3071,1.86304e-4,1171,2.44353e-4
cognos,2018-09-20,850,5.16e-5,381,7.95e-5
osx,2018-09-20,87439,0.005304561,87439,0.018246021
stripe-payments,2018-09-20,4955,3.00596e-4,1793,3.7414e-4
amazon-kinesis,2018-09-20,758,4.6e-5,373,7.78e-5
ios8,2018-09-20,9400,5.70259e-4,3213,6.70461e-4
amazon-elb,2018-09-20,1449,8.79e-5,561,1.17064e-4
amazon-vpc,2018-09-20,718,4.36e-5,214,4.47e-5
amazon-swf,2018-09-20,232,1.41e-5,77,1.61e-5
amazon-s3,2018-09-20,25387,0.001540122,10002,0.002087129
amazon-web-services,2018-09-20,63751,0.003867505,25081,0.00523368
applepay,2018-09-20,356,2.16e-5,173,3.61e-5
amazon-simpledb,2018-09-20,392,2.38e-5,78,1.63e-5
azure,2018-09-20,61094,0.003706293,21054,0.004393307
amazon-redshift,2018-09-20,3481,2.11178e-4,1257,2.623e-4
sql-server,2018-09-20,242170,0.014691358,60779,0.012682682
amazon-cloudformation,2018-09-20,2505,1.51968e-4,886,1.84883e-4
amazon-cloudwatch,2018-09-20,1165,7.07e-5,498,1.03918e-4
amazon-sqs,2018-09-20,1574,9.55e-5,553,1.15395e-4
amazon-dynamodb,2018-09-20,5963,3.6175e-4,2170,4.52816e-4
ios9,2018-09-20,4183,2.53765e-4,1581,3.2991e-4
amazon-emr,2018-09-20,3041,1.84485e-4,1240,2.58752e-4
amazon-ses,2018-09-20,933,5.66e-5,354,7.39e-5
amazon-cognito,2018-09-20,2822,1.71199e-4,1201,2.50614e-4
google-spreadsheet,2018-09-20,15638,9.48688e-4,5969,0.001245547
amazon-cloudsearch,2018-09-20,319,1.94e-5,135,2.82e-5
amazon-rds-aurora,2018-09-20,321,1.95e-5,147,3.07e-5
amazon-data-pipeline,2018-09-20,402,2.44e-5,199,4.15e-5
dropbox-api,2018-09-20,2072,1.25699e-4,831,1.73405e-4
citrix,2018-09-20,598,3.63e-5,293,6.11e-5
excel,2018-09-20,177394,0.010761695,61782,0.012891985
ios,2018-09-20,577065,0.03500814,189221,0.039484983
amazon-elastic-beanstalk,2018-09-20,5477,3.32266e-4,2217,4.62623e-4
amazon-ec2,2018-09-20,22729,0.001378872,8493,0.001772244
amazon-rds,2018-09-20,2527,1.53302e-4,1024,2.13679e-4
actionscript,2018-09-20,9100,5.52059e-4,2443,5.09784e-4
amazon-mws,2018-09-20,705,4.28e-5,278,5.8e-5
android-pay,2018-09-20,490,2.97e-5,221,4.61e-5
paypal,2018-09-20,18058,0.001095496,8415,0.001755944
amazon-route53,2018-09-20,1095,6.64e-5,387,8.08e-5
windows,2018-09-20,124696,0.007564744,38972,0.008132241
amazon-cloudfront,2018-09-20,2259,1.37044e-4,885,1.84674e-4
applepayjs,2018-09-20,30,1.82e-6,19,3.96e-6
excel,2018-09-19,177297,0.010761023,61745,0.012893996
amazon-s3,2018-09-19,25364,0.001539472,9983,0.002084725
amazon-cloudfront,2018-09-19,2258,1.3705e-4,884,1.84604e-4
amazon,2018-09-19,3638,2.20809e-4,1413,2.95073e-4
amazon-cloudsearch,2018-09-19,319,1.94e-5,135,2.82e-5
amazon-simpledb,2018-09-19,392,2.38e-5,78,1.63e-5
actionscript-3,2018-09-19,41149,0.002497547,11031,0.002303579
amazon-ecs,2018-09-19,1067,6.48e-5,507,1.05875e-4
ios8,2018-09-19,9400,5.70535e-4,3213,6.70964e-4
azure,2018-09-19,61032,0.003704329,21018,0.004389115
sql-server,2018-09-19,242044,0.014690835,60722,0.012680358
amazon-redshift,2018-09-19,3472,2.10734e-4,1254,2.6187e-4
amazon-lambda,2018-09-19,7953,4.82708e-4,7953,0.001660803
amazon-glacier,2018-09-19,192,1.17e-5,59,1.23e-5
applepayjs,2018-09-19,30,1.82e-6,19,3.97e-6
android-pay,2018-09-19,490,2.97e-5,221,4.62e-5
amazon-web-services,2018-09-19,63660,0.003863854,25034,0.005227787
amazon-cloudwatch,2018-09-19,1163,7.06e-5,496,1.03578e-4
citrix,2018-09-19,597,3.62e-5,292,6.1e-5
dropbox,2018-09-19,3071,1.86394e-4,1171,2.44537e-4
amazon-elasticache,2018-09-19,432,2.62e-5,178,3.72e-5
windows,2018-09-19,124649,0.007565558,38945,0.008132749
amazon-sqs,2018-09-19,1573,9.55e-5,552,1.15273e-4
ios9,2018-09-19,4183,2.53888e-4,1581,3.30157e-4
amazon-ec2,2018-09-19,22709,0.001378326,8481,0.001771066
amazon-emr,2018-09-19,3039,1.84453e-4,1239,2.58737e-4
amazon-cloudformation,2018-09-19,2497,1.51556e-4,883,1.84395e-4
amazon-dynamodb,2018-09-19,5956,3.615e-4,2167,4.52529e-4
amazon-sns,2018-09-19,1396,8.47e-5,598,1.24879e-4
amazon-elastic-beanstalk,2018-09-19,5471,3.32063e-4,2213,4.62135e-4
ios,2018-09-19,576836,0.035011209,189101,0.039489566
mongodb,2018-09-19,103983,0.00631124,36498,0.007621756
android,2018-09-19,1137328,0.069030126,424575,0.08866272
amazon-ses,2018-09-19,933,5.66e-5,355,7.41e-5
amazon-cognito,2018-09-19,2816,1.70918e-4,1197,2.49966e-4
amazon-ebs,2018-09-19,338,2.05e-5,55,1.15e-5
applepay,2018-09-19,356,2.16e-5,173,3.61e-5
cognos,2018-09-19,849,5.15e-5,380,7.94e-5
osx,2018-09-19,87408,0.005305249,87408,0.018253226
amazon-data-pipeline,2018-09-19,402,2.44e-5,199,4.16e-5
amazon-route53,2018-09-19,1094,6.64e-5,386,8.06e-5
paypal,2018-09-19,18050,0.001095542,8409,0.00175602
amazon-mws,2018-09-19,703,4.27e-5,276,5.76e-5
amazon-kinesis,2018-09-19,758,4.6e-5,373,7.79e-5
amazon-rds-aurora,2018-09-19,319,1.94e-5,145,3.03e-5
stripe-payments,2018-09-19,4950,3.00442e-4,1790,3.73794e-4
amazon-elb,2018-09-19,1448,8.79e-5,561,1.17152e-4
amazon-vpc,2018-09-19,718,4.36e-5,215,4.49e-5
dropbox-api,2018-09-19,2073,1.25821e-4,831,1.73535e-4
actionscript,2018-09-19,9100,5.52326e-4,2443,5.10166e-4
amazon-swf,2018-09-19,232,1.41e-5,77,1.61e-5
amazon-rds,2018-09-19,2524,1.53195e-4,1021,2.13213e-4
google-spreadsheet,2018-09-19,15620,9.48056e-4,5963,0.001245234
ios8,2018-09-18,9400,5.70802e-4,3213,6.71449e-4
google-spreadsheet,2018-09-18,15605,9.47588e-4,5953,0.00124404
amazon-ec2,2018-09-18,22697,0.001378241,8480,0.001772131
amazon-emr,2018-09-18,3039,1.84539e-4,1240,2.59132e-4
amazon-s3,2018-09-18,25353,0.001539522,9985,0.002086643
sql-server,2018-09-18,241917,0.014689998,60674,0.012679438
amazon-cloudformation,2018-09-18,2491,1.51262e-4,878,1.83482e-4
amazon-rds-aurora,2018-09-18,319,1.94e-5,145,3.03e-5
dropbox,2018-09-18,3070,1.86421e-4,1170,2.44504e-4
amazon-elasticache,2018-09-18,431,2.62e-5,177,3.7e-5
amazon-ebs,2018-09-18,338,2.05e-5,55,1.15e-5
cognos,2018-09-18,849,5.16e-5,380,7.94e-5
osx,2018-09-18,87377,0.005305844,87377,0.018259931
amazon-elb,2018-09-18,1447,8.79e-5,560,1.17028e-4
stripe-payments,2018-09-18,4943,3.00154e-4,1783,3.72602e-4
amazon-swf,2018-09-18,232,1.41e-5,77,1.61e-5
amazon-redshift,2018-09-18,3469,2.1065e-4,1253,2.61849e-4
azure,2018-09-18,60973,0.003702481,20999,0.004388294
amazon-sqs,2018-09-18,1572,9.55e-5,551,1.15147e-4
ios9,2018-09-18,4182,2.53946e-4,1580,3.30186e-4
amazon-data-pipeline,2018-09-18,402,2.44e-5,199,4.16e-5
amazon-cognito,2018-09-18,2811,1.70694e-4,1194,2.49519e-4
actionscript,2018-09-18,9100,5.52584e-4,2443,5.10534e-4
excel,2018-09-18,177181,0.010759019,61697,0.012893242
amazon-mws,2018-09-18,703,4.27e-5,276,5.77e-5
amazon-cloudsearch,2018-09-18,319,1.94e-5,135,2.82e-5
paypal,2018-09-18,18048,0.001095933,8408,0.001757072
applepayjs,2018-09-18,30,1.82e-6,19,3.97e-6
amazon,2018-09-18,3635,2.2073e-4,1410,2.94659e-4
actionscript-3,2018-09-18,41148,0.002498652,11030,0.002305031
amazon-lambda,2018-09-18,7940,4.82144e-4,7940,0.001659281
android,2018-09-18,1136897,0.06903626,424350,0.088679457
amazon-sns,2018-09-18,1395,8.47e-5,598,1.24969e-4
mongodb,2018-09-18,103907,0.006309579,36455,0.007618248
amazon-glacier,2018-09-18,191,1.16e-5,58,1.21e-5
amazon-ecs,2018-09-18,1062,6.45e-5,503,1.05116e-4
amazon-cloudfront,2018-09-18,2255,1.36931e-4,884,1.84736e-4
windows,2018-09-18,124607,0.00756655,38929,0.008135255
android-pay,2018-09-18,490,2.98e-5,221,4.62e-5
amazon-rds,2018-09-18,2517,1.52841e-4,1015,2.12112e-4
amazon-elastic-beanstalk,2018-09-18,5473,3.32339e-4,2217,4.63303e-4
citrix,2018-09-18,595,3.61e-5,290,6.06e-5
amazon-dynamodb,2018-09-18,5948,3.61183e-4,2160,4.51392e-4
amazon-ses,2018-09-18,932,5.66e-5,356,7.44e-5
amazon-simpledb,2018-09-18,392,2.38e-5,78,1.63e-5
amazon-cloudwatch,2018-09-18,1161,7.05e-5,496,1.03653e-4
amazon-route53,2018-09-18,1092,6.63e-5,386,8.07e-5
amazon-kinesis,2018-09-18,758,4.6e-5,374,7.82e-5
