Date,Cumulative_EW,Cumulative_MCap,Cumulative_MSR,Cumulative_GMV
2017-09-07,0.113,0.156,1.225e-02,3.581e-02
2017-09-08,0.104,0.146,2.568e-03,2.941e-02
2017-09-11,0.116,0.159,1.068e-02,3.988e-02
2017-09-12,0.119,0.161,1.596e-02,4.461e-02
2017-09-13,0.124,0.165,2.321e-02,4.806e-02
2017-09-14,0.122,0.162,2.169e-02,4.956e-02
2017-09-15,0.127,0.167,2.565e-02,5.924e-02
2017-09-18,0.130,0.168,3.257e-02,6.572e-02
2017-09-19,0.134,0.172,3.721e-02,7.323e-02
2017-09-20,0.132,0.168,3.959e-02,6.925e-02
2017-09-21,0.127,0.160,3.871e-02,6.199e-02
2017-09-22,0.125,0.158,4.133e-02,6.373e-02
2017-09-25,0.118,0.149,3.508e-02,6.695e-02
2017-09-26,0.118,0.151,3.295e-02,6.337e-02
2017-09-27,0.123,0.157,3.497e-02,6.139e-02
2017-09-28,0.125,0.159,3.952e-02,6.317e-02
2017-09-29,0.130,0.164,4.365e-02,6.677e-02
2017-10-02,0.133,0.166,4.625e-02,7.058e-02
2017-10-03,0.137,0.169,5.235e-02,7.792e-02
2017-10-04,0.135,0.167,4.542e-02,7.868e-02
2017-10-05,0.145,0.179,5.639e-02,8.273e-02
2017-10-06,0.144,0.179,5.280e-02,7.823e-02
2017-10-09,0.140,0.176,3.830e-02,7.348e-02
2017-10-10,0.141,0.177,3.736e-02,7.666e-02
2017-10-11,0.143,0.181,3.573e-02,8.111e-02
2017-10-12,0.136,0.175,2.726e-02,5.744e-02
2017-10-13,0.137,0.177,2.832e-02,5.528e-02
2017-10-16,0.147,0.188,4.082e-02,6.347e-02
2017-10-17,0.152,0.194,4.226e-02,7.664e-02
2017-10-18,0.148,0.190,3.780e-02,6.969e-02
2017-10-19,0.147,0.186,4.361e-02,7.183e-02
2017-10-20,0.152,0.191,5.207e-02,7.284e-02
2017-10-23,0.139,0.180,1.864e-02,6.700e-02
2017-10-24,0.138,0.181,1.163e-02,5.791e-02
2017-10-25,0.129,0.173,-4.785e-03,4.262e-02
2017-10-26,0.131,0.175,-5.536e-03,4.374e-02
2017-10-27,0.163,0.215,1.235e-02,5.513e-02
2017-10-30,0.163,0.218,6.235e-03,4.688e-02
2017-10-31,0.160,0.216,-2.205e-04,4.634e-02
2017-11-01,0.160,0.215,3.466e-03,4.564e-02
2017-11-02,0.157,0.214,-5.710e-03,4.108e-02
2017-11-03,0.164,0.223,-2.335e-03,4.635e-02
2017-11-06,0.166,0.227,1.154e-03,4.208e-02
2017-11-07,0.165,0.226,2.377e-03,4.443e-02
2017-11-08,0.167,0.229,1.281e-03,5.290e-02
2017-11-09,0.167,0.228,1.758e-03,5.616e-02
2017-11-10,0.168,0.228,9.180e-03,5.769e-02
2017-11-13,0.159,0.221,-1.882e-02,5.224e-02
2017-11-14,0.147,0.209,-4.716e-02,4.050e-02
2017-11-15,0.145,0.205,-4.546e-02,4.001e-02
2017-11-16,0.151,0.211,-4.259e-02,4.859e-02
2017-11-17,0.146,0.205,-4.765e-02,4.483e-02
2017-11-20,0.146,0.205,-5.059e-02,4.539e-02
2017-11-21,0.152,0.214,-4.574e-02,4.532e-02
2017-11-22,0.157,0.219,-3.866e-02,5.115e-02
2017-11-24,0.163,0.225,-3.287e-02,5.381e-02
2017-11-27,0.163,0.226,-3.450e-02,5.424e-02
2017-11-28,0.175,0.236,-2.166e-02,6.942e-02
2017-11-29,0.170,0.226,-2.867e-02,7.772e-02
2017-11-30,0.177,0.235,-2.297e-02,7.767e-02
2017-12-01,0.172,0.230,-3.373e-02,7.804e-02
2017-12-04,0.165,0.220,-4.146e-02,8.204e-02
2017-12-05,0.162,0.218,-4.754e-02,7.514e-02
2017-12-06,0.164,0.221,-4.593e-02,7.375e-02
2017-12-07,0.167,0.224,-3.732e-02,7.277e-02
2017-12-08,0.174,0.231,-3.322e-02,8.101e-02
2017-12-11,0.180,0.239,-2.989e-02,8.639e-02
2017-12-12,0.186,0.243,-2.382e-02,1.034e-01
2017-12-13,0.185,0.243,-2.385e-02,1.031e-01
2017-12-14,0.181,0.239,-2.970e-02,9.603e-02
2017-12-15,0.193,0.253,-1.605e-02,1.065e-01
2017-12-18,0.197,0.257,-1.660e-02,1.086e-01
2017-12-19,0.189,0.249,-2.734e-02,1.018e-01
2017-12-20,0.186,0.246,-3.018e-02,1.042e-01
2017-12-21,0.191,0.250,-2.487e-02,1.087e-01
2017-12-22,0.189,0.249,-2.409e-02,1.067e-01
2017-12-26,0.186,0.243,-2.494e-02,1.056e-01
2017-12-27,0.188,0.245,-2.347e-02,1.054e-01
2017-12-28,0.191,0.248,-2.176e-02,1.089e-01
2017-12-29,0.183,0.239,-2.570e-02,1.018e-01
