name,city,state,zipcode,country,cuisines,pickup_enabled,delivery_enabled,weighted_rating_value,aggregated_rating_count
Viva Mexico 406,Palisades Park,NJ,7650,US,"Aguas Frescas, Appetizers, Beef & Pork, Breakfast Platters, Breakfast Sandwiches, Burgers, Burrito Bowls, Burritos, California Tacos, Chicken, Chimichanga, Classic Mexican Quesadilla, Coffee Bar, Cold Drinks, Desserts, Fajitas, Gringas, Healthy Juice Bar, Latin American, Mexican, Quesadillas, Salads, Seafood, Side Order, Smoothies, Soup, Special Tacos, Street Tacos, Taco Clasicos, Tacos, Tortas, Tostadas",TRUE,TRUE,2.0,3
Little Caesars,Texarkana,TX,75503,US,"American, Comfort Food, Fast Food, Italian, Kids Friendly, Pizza, Wings",TRUE,TRUE,3.3,22
Beef 'o' Brady's - Kingsport Tn,Kingsport,TN,37660,US,"American, Burger, Burgers, Chicken, Desserts, Salad, Salads, Sandwich, Sandwiches, Seafood, Tacos, Wings, Wraps",TRUE,TRUE,4.5,548
More Taters Please,Windsor,ON,N8W,CA,"Ailes, American, Américain, Burgers, Canadian, Canadien, Catering, Chicken, Comfort Food, Dessert, Desserts, Dîner, Fall Food Moments, Family Meals, Fast Food, Food & Drinks, Hamburgers, Healthy, Lunch, Nourriture Et Boissons, Offers, Offres, Pitas, Poulet, Prêt-À-Manger, Pub Food, Santé, Saveurs D’Automne, Souper, Southwestern, Sud-Ouest Américain, Traiteur, Vegetarian, Végétarien, Wings",TRUE,TRUE,4.2,38
Franny's Family Restaurant & Pancake House,Stevens Point,WI,54482,US,"American, American Food, Breakfast, Breakfast And Brunch, Coffee & Tea, Dinner, Hamburgers, Sandwiches, Subs & Sandwiches, Wraps",TRUE,TRUE,4.0,3
Famous Greek Salads,Clearwater,FL,33761,US,"Greek, Healthy, Mediterranean, Salad, Salads",TRUE,TRUE,5.0,542
Viva Mexico 406,Palisades Park,NJ,7650,US,"Aguas Frescas, Appetizers, Beef & Pork, Breakfast Platters, Breakfast Sandwiches, Burgers, Burrito Bowls, Burritos, California Tacos, Chicken, Chimichanga, Classic Mexican Quesadilla, Coffee Bar, Cold Drinks, Desserts, Fajitas, Gringas, Healthy Juice Bar, Latin American, Mexican, Quesadillas, Salads, Seafood, Side Order, Smoothies, Soup, Special Tacos, Street Tacos, Taco Clasicos, Tacos, Tortas, Tostadas",TRUE,TRUE,2.0,3
New York Pizza Factory,Fairfax,VA,22030,US,"American, Chicken, Dinner, Gluten Free Pizza, Group Friendly, Gyro, Healthy Pizza, Italian, Late Night, Late Night Food, Lunch, New York Pizza, Pasta, Pizza, Salads, Sandwiches, Seafood Pizza, Subs, Subs & Sandwiches, Thin Crust Pizza, Vegan Pizza, Wings",TRUE,TRUE,2.3,3521
McDonald's,Meraux,LA,70075,US,"American, Breakfast, Burger, Burgers, Cheeseburger, Chicken, Coffee, Desserts, Fast Food, Hamburger, Salad, Sandwiches",FALSE,TRUE,4.1,58
Mcdonald's®,Hammond,IN,46323,US,"American, Burgers, Fast Food",FALSE,TRUE,2.8,10
Mr. Fish & Chicken,Detroit,MI,48205,US,"American, Comfort Food, Fish And Chips, Wings",TRUE,TRUE,3.1,36
7 West Cafe,Toronto,ON,M4Y 1R4,CA,"2Pour1, 2pour1, Alcohol, Alcool, Allergy Friendly, Beau, Bon, Local, Beer, Ben & Jerry's, Bière, Bogo, Breakfast, Breakfast & Brunch, Breakfast &Amp; Brunch, Breakfast And Brunch, Chicken, Comfort Food, Corona, Crèmerie, Desserts, Déjeuner Et Brunch, Dîner, Fait-Maison, Family Meals, Food & Drinks, Fringales Nocturnes, Group Friendly, Holiday Offers, Homemade, Ice Cream & Frozen Treats, Italian, Italien, Labatt, Late Night Cravings, Local Goods, Local Legends, Lunch, Légendes Locales, Nourriture Et Boissons, Offers, Offres, Offres Des Fêtes, Pizza, Poulet, Sandwiches, Sandwiches & Subs, Sandwichs Et Sous-Marins, Spirits, Spiritueux, Stella Artois, Vin, Wine",TRUE,TRUE,4.4,354
Zubu Ramen Bar,Burnaby,BC,V5H 4J5,CA,"Asian, Asiatique, Chicken, Comfort Food, Crèmerie, Fait-Maison, Group Friendly, Homemade, Hot Deal Summer, Ice Cream & Frozen Treats, International, Japanese, Japonais, Noodle Shop, Noodles, Nouilles, Offers, Offres, Poulet, Promos D'été, Ramen, Rice &Amp; Curry, Vegetarian, Végétarien",TRUE,TRUE,4.6,146
Enjoy Cafe 1+1,Richmond,BC,V6X,CA,"Asian, Asian Fusion, Café/Thé, Chicken, Chinese, Chinois, Coffee/Tea, Food & Drinks, Noodle Shop, Nouilles, Nourriture Et Boissons, Poulet, Sandwiches & Subs, Sandwichs Et Sous-Marins",TRUE,TRUE,4.6,123
European Bakery & Deli,Calgary,AB,T2S 0A9,CA,"Allergy Friendly, American, Bakery, Boulangerie/Pâtisserie, Breakfast & Brunch, Breakfast &Amp; Brunch, Breakfast And Brunch, Dessert, Desserts, European, Européen, International, Offers, Offres",TRUE,TRUE,4.8,18
Dirty Burger,New York,NY,10011,US,"American, Burger, Burgers, Fast Food, Vegan Friendly",TRUE,TRUE,3.3,19
902 Restaurant & Catering,Halifax,NS,B3J,CA,"Burgers, Catering, Greek, Group Friendly, Halal, Hamburgers, Mediterranean, Offers, Offres, Soup, Soupe, Traiteur, Vegetarian, Végétarien",TRUE,TRUE,4.7,120
Petro-Canada,Montréal,QC,H4B,CA,"Convenience, Everyday Essentials, Grocery, Home & Personal Care, Home &Amp; Personal Care, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Offers, Offres, Snacks",TRUE,TRUE,4.6,22
Soup Kettle,Pittsburgh,PA,15217,US,"Bagels, Comfort Food, Deli, Jewish, Noodles, Sandwiches, Soup, Vegetarian",TRUE,TRUE,2.3,138
A&w,Chilliwack,BC,V2R 3N4,CA,"American, Américain, Bistro, Breakfast & Brunch, Burgers, Canadian, Canadien, Chicken, Diner, Déjeuner Et Brunch, Fast Food, Hamburgers, Offers, Offres, Poulet, Prêt-À-Manger, Sandwiches & Subs, Sandwichs Et Sous-Marins, Souper, Vegan",TRUE,TRUE,3.9,1
El Pastaman,Montréal,QC,H2X,CA,"Burgers, Comfort Food, Dessert, Desserts, Fall Food Moments, Fringales Nocturnes, Gluten Free, Group Friendly, Hamburgers, Italian, Late Night Cravings, Offers, Offres, Pasta, Pâtes, Saveurs D’Automne, Vegan Friendly, Vegetarian, Végétarien",TRUE,TRUE,4.7,501
Vegetable Garden,Silver Spring,MD,20906,US,"American, Asian, Chinese, Dinner, Hamburgers, Healthy, Lunch Specials, Sushi, Vegan, Vegetarian",TRUE,TRUE,5.0,75
Enjoy Cafe 1+1,Richmond,BC,V6X,CA,"Asian, Asian Fusion, Café/Thé, Chicken, Chinese, Chinois, Coffee/Tea, Food & Drinks, Noodle Shop, Nouilles, Nourriture Et Boissons, Poulet, Sandwiches & Subs, Sandwichs Et Sous-Marins",TRUE,TRUE,4.6,123
Petro-Canada,Coquitlam,BC,V3K,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe",TRUE,TRUE,4.6,1
Erito Sushi,Victoria,BC,V8Z 0B9,CA,"Asian, Asiatique, Fait-Maison, Fusion, Group Friendly, Healthy, Homemade, International, Japanese, Japonais, Noodle Shop, Nouilles, Offers, Offres, Only On Skip, Santé, Seulement Sur Skip, Sushi, Sushis",TRUE,TRUE,4.7,1
First Watch,Tampa,FL,33609,US,"American, Breakfast, Breakfast And Brunch, Desserts, Family Meals, Healthy, Juice And Smoothies, Salad, Sandwiches",TRUE,TRUE,4.7,114
Ruby Thai Kitchen,Happy Valley,OR,97086,US,"A La Carte Side Dishes, Allergy Friendly, Asian, Bubble Tea, Combo, Drinks, Noodle Bar / Soups, Noodle Bowls, Noodles, Salad Roll, Thai",TRUE,TRUE,2.5,4
Montana's,Orillia,ON,L3V 8A2,CA,"Alcohol, Alcool, American, Américain, Bar Food, Barbecue, Bbq, Beer, Bière, Bud Light, Budweiser, Burger, Burgers, Chicken, Fish And Chips, Food & Drinks, Fruits De Mer, Hamburgers, Nourriture Et Boissons, Pepsi, Poisson-Frites, Poulet, Pub Food, Sandwiches & Subs, Sandwichs Et Sous-Marins, Seafood, Souper, Steakhouse, Vin, Wine",TRUE,TRUE,3.7,12
Portland Fried Chicken Cult,Portland,OR,97209,US,"American, Chicken, Comfort Food, Fast Food, Salads, Sandwiches, Wings",TRUE,TRUE,2.5,130
Mak's Pasta & Salad,Nashville,TN,37219,US,"American, Chicken, Comfort Food, Dessert, Desserts, Diner, Dinner, Exclusive To Eats, Family Meals, Fast Food, Gluten Free, Gluten-Free, Italian, Lunch, Only Available Here, Pasta, Pickup, Pizza, Salad, Salads, Sandwich, Sandwiches, Snacks, Takeout, Vegan, Vegetarian, Vegetarian Friendly, Wings",TRUE,TRUE,2.7,177
168 Sushi Buffet,London,ON,N6H 1T9,CA,"Ailes, Asian, Asiatique, Barbecue, Bbq, Beau, Bon, Local, Chicken, Fait-Maison, Fruits De Mer, Healthy, Homemade, International, Japanese, Japonais, Local Goods, Local Legends, Légendes Locales, Offers, Offres, Poulet, Santé, Seafood, Sushi, Sushis, Wings",TRUE,TRUE,4.7,65
Mercy's Bakery - Lansdale,Lansdale,PA,19446,US,"Bakeries, Breakfast & Brunch, Breakfast And Brunch, Burritos, Empanada, Mexican, Salads",TRUE,TRUE,2.5,2
Stoby's Russellville - Russellville,Russellville,AR,72801,US,"American, American (New), American (Traditional), Bakery, Breakfast, Burger, Burgers, Chicken, Lunch, Pasta, Salad, Sandwiches, Soup, Steakhouse",TRUE,TRUE,4.5,679
McDonald's,Woodruff,SC,29388,US,"American, Breakfast, Burger, Burgers, Cheeseburger, Coffee, Fast Food, Hamburger",FALSE,TRUE,3.4,20
A&W,Red Deer,AB,T4R 1H1,CA,"American, Breakfast & Brunch, Burgers, Canadian, Canadien, Chicken, Crèmerie, Déjeuner Et Brunch, Family Meals, Fast Food, Hamburgers, Ice Cream & Frozen Treats, Locally Sourced, Poulet, Prêt-À-Manger, Repas Familial, Sandwiches, Sandwiches & Subs, Sandwichs Et Sous-Marins, Source Locale, Vegetarian, Végétarien",TRUE,TRUE,4.2,1
Dunkin',Trooper,PA,19403,US,"Breakfast And Brunch, Donuts",FALSE,TRUE,3.6,20
280 Marathon,Opelika,AL,36804,US,"Ice Cream, Pizza",FALSE,TRUE,3.6,23
McDonald's,Philadelphia,PA,19122,US,"American, Bakery, Breakfast, Burger, Burgers, Cafe, Cheeseburger, Chicken, Coffee, Coffee And Tea, Dinner, Fast Food, Hamburger, Hamburgers, Ice Cream, Kids Menu, Lunch, Sandwiches",FALSE,TRUE,2.0,949
Rotunda Cafe,Madison,WI,53704,US,"Bakery, Bakery Food, Breakfast, Free Delivery, Hot Drinks, Iced Drinks, Paul's Pelmeni, Sandwiches, Soda, Soups",FALSE,TRUE,4.5,63
Leo's Pizza Italian Restaraunt,Washington,NJ,7882,US,"American, Gluten Free Pizza, Grandma Pizza, Healthy Pizza, Italian, Pan Pizza, Pizza, Sicilian Pizza, Stuffed Pizza, Thick Crust Pizza, Vegan Pizza, Veggie Pizza",FALSE,TRUE,4.2,11
Ancora - Downtown,Madison,WI,53703,US,"Bakery, Bakery Food, Breakfast, Coffee & Tea, Comfort Food, Free Delivery, Healthy Food, Subs & Sandwiches, Vegetarian",TRUE,TRUE,4.2,126
Enjoy Cafe 1+1,Richmond,BC,V6X,CA,"Asian, Asian Fusion, Café/Thé, Chicken, Chinese, Chinois, Coffee/Tea, Food & Drinks, Noodle Shop, Nouilles, Nourriture Et Boissons, Poulet, Sandwiches & Subs, Sandwichs Et Sous-Marins",TRUE,TRUE,4.6,123
Lou's Bar & Grill,Phoenix,AZ,85008,US,"American, American (New), Dinner, Pizza",FALSE,TRUE,2.0,2
Jason's Deli,Melbourne,FL,32904,US,"American, Deli, Family Meals, Pasta, Salad, Salads, Sandwich, Sandwiches",TRUE,TRUE,4.8,148
3 Coins Open Kitchen,Richmond Hill,ON,L4C,CA,"Breakfast & Brunch, Breakfast &Amp; Brunch, Burgers, Canadian, Canadien, Déjeuner Et Brunch, Déjeuners Incontournables, Dîner, Fish And Chips, Group Friendly, Hamburgers, Lunch, Must-Eat Breakfast, Poisson-Frites, Sandwich, Sandwiches & Subs, Sandwichs Et Sous-Marins",TRUE,TRUE,4.9,55
Starbucks,Windsor,ON,N8T 1E6,CA,"Bakery, Breakfast &Amp; Brunch, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Group Friendly, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.7,78
Taco Bell,La Crosse,WI,54601,US,"Bowls, Breakfast, Breakfast And Brunch, Burritos, Chicken, Coffee And Tea, Dessert, Dinner, Donuts, Fast Food, Late Night, Lunch, Mexican, Mexican Food, National Brand, Potato, Steak, Tacos, Tex-Mex, Vegetarian",FALSE,TRUE,2.5,464
Atlas Cafe,New York,NY,10003,US,"American, Breakfast, Coffee And Tea, Dessert, Dinner, Gluten Free Pizza, Gluten-Free, Healthy, Healthy Pizza, Italian, Lunch Specials, Organic, Pasta, Pizza, Soup, Vegan Pizza, Veggie Pizza",FALSE,TRUE,2.0,1285
Sonic,Denton,TX,76205,US,"American, Burgers, Chicken, Comfort Food, Desserts, Fast Food",FALSE,TRUE,3.8,34
Starbucks,St. Catharines,ON,L2N 4H2,CA,"Bakery, Breakfast &Amp; Brunch, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Group Friendly, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.7,100
MomO's Cafe,Newport News,VA,23606,US,"American, Breakfast, Cafe, Healthy Food, Lunch, Salads, Sandwiches, Subs & Sandwiches, Wraps",TRUE,TRUE,3.0,2
Petro-Canada,Spruce Grove,AB,T7X,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe",TRUE,TRUE,5.0,1
Big Deal Burger,Pensacola,FL,32504,US,"American, Burgers, Sandwiches",TRUE,TRUE,2.2,16
Petro-Canada,Vancouver,BC,V5T,CA,"Café/Thé, Coffee/Tea, Convenience, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Grocery, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Snacks, Soup, Soupe",TRUE,TRUE,3.6,1
Petro-Canada,Kitchener,ON,N2E,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe",TRUE,TRUE,4.1,11
Vincent's Pizza,Shirley,NY,11976,US,"American, Calzones, Dinner, Fries, Grandma Pizza, Italian, Pasta, Pizza, Salads, Sicilian Pizza",TRUE,TRUE,3.2,15
A Corner Cafe,Markham,ON,L3R 1N1,CA,"Allergy Friendly, American, Breakfast & Brunch, Breakfast &Amp; Brunch, Fast Food, Offers, Offres",TRUE,TRUE,4.5,62
Petro-Canada,Edmonton,AB,T5M,CA,"Ben & Jerry's, Café/Thé, Canadian, Canadien, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe",FALSE,TRUE,4.4,1
Popeyes,Cincinnati,OH,45211,US,"American, Cajun, Chicken, Dessert, Desserts, Dinner, Fast Food, Lunch, Salads, Sandwiches, Southern",TRUE,TRUE,2.0,318
Dickey's Barbecue Pit,Perrysburg Township,OH,43551,US,"American, Bbq, Chicken",TRUE,TRUE,3.4,15
Outback Steakhouse,Niles,OH,44446,US,"American, Bbq, Burgers, Healthy, Salads, Sandwiches, Seafood, Steak",TRUE,TRUE,3.9,32
Petro-Canada,London,ON,N6E,CA,"Ben & Jerry's, Convenience, Cool Treats, Dépanneur, Everyday Essentials, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Hot Deal Summer, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, New, Nouveau, Offers, Offres, Pepsi, Promos D'été, Snacks",TRUE,TRUE,3.6,1
Lemongrass Asian Fusion,Wausau,WI,54403,US,"Asian, Asian Fusion, Fusion, Korean",FALSE,TRUE,4.2,250
Sonic at 616 W. Pinhook / Oil Center,Lafayette,LA,70503,US,"American, Breakfast, Burger, Chicken, Coffee, Desserts, Fast Food, Hot Dog, Sandwich, Sandwiches",TRUE,TRUE,3.4,14
Chicken Wing Co.,San Francisco,CA,94102,US,"American, Bar Food, Chicken, Desserts, Fast Food, Fried Chicken, Pizza, Salads, Sandwich, Sandwiches, Seafood, Wings",TRUE,TRUE,2.8,222
Petro-Canada,Kitchener,ON,N2E,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe",TRUE,TRUE,4.1,11
Etoile Mirabel,Mirabel,QC,J7J,CA,"American, Beau, Bon, Local, Burgers, Dessert, Desserts, Fruits De Mer, Hamburgers, Italian, Italien, Local Goods, Local Legends, Légendes Locales, Pasta, Pizza, Pâtes, Seafood",TRUE,TRUE,4.6,35
Montana's,Winnipeg,MB,R2M,CA,"Alcohol, Alcool, American, Américain, Barbecue, Bbq, Beer, Bière, Bud Light, Budweiser, Burgers, Chicken, Fish And Chips, Food & Drinks, Fruits De Mer, Hamburgers, Nourriture Et Boissons, Pepsi, Poisson-Frites, Poulet, Pub Food, Sandwiches & Subs, Sandwichs Et Sous-Marins, Seafood, Souper, Steakhouse, Vin, Wine",TRUE,TRUE,3.8,44
Empanadas Monumental,The Bronx,NY,10472,US,"Dinner, Dominican, Empanadas, Latin American, Lunch, Sandwiches, Shakes, Smoothies And Juices",TRUE,TRUE,2.0,46
Super Mega Dilla,Port St. Lucie,FL,34986,US,"Burritos, Late Night, Mexican, New American, Tacos, Tex Mex, Tex-Mex",TRUE,TRUE,2.7,25
A.Bento 饭匠,Vancouver,BC,V5Z 1G1,CA,"Alcohol, Allergy Friendly, Asian, Asian Fusion, Asiatique, Chicken, Chinese, Chinois, Fait-Maison, Food & Drinks, Homemade, International, Japanese, Japonais, Nourriture Et Boissons, Offers, Offres, Poulet, Taiwanese",TRUE,TRUE,4.9,56
McDonald's,Waterloo,IA,50703,US,"American, Breakfast, Burger, Burgers, Cheeseburger, Coffee, Coffee & Tea, Coffee And Tea, Dessert, Dinner, Fast Food, Hamburger, Hamburgers, Healthy Food, Ice Cream & Frozen Yogurt, Lunch, National Brand, Subs & Sandwiches",FALSE,TRUE,2.2,25
NY Bakery and Desserts,New York,NY,10019,US,"American, Bakery, Breakfast, Cakes, Candy, Dessert, Frozen Yogurt, Ice Cream, Italian, Kids Menu, Late Night, Popcorn, Snacks",FALSE,TRUE,2.0,142
Brooklyn Pizza,North Miami Beach,FL,33162,US,"American, Dessert, Hamburgers, Pasta, Pizza, Subs",FALSE,TRUE,2.0,196
