id,card_id,winner_id,win_type,loser_id,match_type_id,duration,title_id,title_change
67,8,43,def. (CO),77,67,06:28,1,0
68,8,135,def.,136,1,,68,0
69,8,107,draw,9,1,,1,0
70,8,139,def. (pin),140,8,09:06,1,0
71,9,60,draw,14,1,,1,0
72,9,10,def.,28,1,,1,0
73,9,71,def. (CO),9,1,,1,0
74,9,78,def.,118,1,,1,0
75,9,77,def. (DQ),43,1,,1,0
76,9,93,def.,152,1,,10,0
77,9,153,def.,107,1,,1,0
78,9,1,def. (DQ),58,1,,1,0
79,9,17,def.,158,1,,9,0
80,10,107,def.,4,1,,1,0
81,10,41,def.,10,1,,1,0
82,10,153,def.,118,1,,1,0
83,10,165,def.,166,1,,1,0
84,10,158,def.,60,1,,1,0
85,10,169,def.,170,1,,1,0
86,10,93,def. (pin),172,1,,10,1
87,10,17,def.,58,1,,9,0
88,11,93,def.,176,88,,1,0
89,11,4,def. (pin),178,1,,1,0
90,11,71,def. (pin),180,1,,1,0
91,11,172,def.,182,88,,10,0
92,11,165,def. (pin),107,1,,1,0
93,11,58,def. (pin),2,1,,1,0
94,11,77,draw (DCO),188,1,,1,0
95,11,17,def. (pin),166,1,,9,0
96,12,165,def.,192,1,,1,0
97,12,2,def.,118,1,,1,0
98,12,172,def.,196,1,,10,0
99,12,58,draw,43,1,,1,0
100,12,178,def.,200,1,,1,0
101,12,166,def.,54,1,,1,0
102,12,17,def.,77,25,,9,0
103,13,27,def. (pin),206,1,,14,0
104,13,207,def. (DQ),208,104,,1,0
105,13,209,def. (pin),10,1,,1,0
106,13,211,def. (DQ),212,1,,1,0
107,13,2,def. (pin),107,1,,1,0
108,13,58,def.,54,1,,1,0
109,13,217,def.,218,8,,1,0
110,13,77,def.,17,1,18:31,9,0
111,14,27,def. (pin),222,1,,14,0
112,14,10,draw (time),4,1,20:00,1,0
113,14,225,def.,226,1,,1,0
114,14,19,def.,228,1,,1,0
115,14,58,def. (CO),41,1,,1,0
116,14,165,def. (pin),232,1,,1,0
117,14,43,def. (pin),234,1,09:06,1,0
118,14,166,def. (CO),2,1,,1,0
119,14,17,def. (pin),77,1,15:51,9,1
120,15,43,def.,192,1,,1,0
121,15,241,def.,242,1,01:51,1,0
122,15,118,draw (time),4,1,20:00,1,0
123,15,245,def.,246,1,04:58,1,0
124,15,58,def. (CO),9,1,11:06,1,0
125,15,166,def. (CO),41,1,05:26,1,0
126,15,251,def.,252,126,,1,0
127,15,27,def.,56,1,11:31,14,0
128,15,77,def. (DQ),165,1,13:19,9,0
129,16,10,draw (time),4,1,15:00,1,0
130,16,9,draw (DCO),192,1,,1,0
131,16,118,def. (pin),262,1,06:04,1,0
132,16,263,def. (CO),264,1,04:35,1,0
133,16,17,def. (pin),232,1,11:40,1,0
134,16,165,def.,77,1,16:24,9,0
135,16,43,def. (pin),107,1,11:22,1,0
136,16,41,def. (DQ),234,1,11:23,1,0
137,16,19,draw (curfew),274,88,,1,0
138,17,166,def.,276,1,12:25,1,0
139,17,107,def. (pin),9,1,15:16,1,0
140,17,10,def.,262,1,10:31,1,0
141,17,43,def.,118,1,06:39,1,0
142,17,165,def. (pin),246,1,11:29,1,0
143,17,285,def.,19,1,,1,0
144,17,77,def. (CO),2,1,,9,0
145,18,289,def.,290,1,,1,0
146,18,60,def.,10,1,,1,0
147,18,54,def.,12,1,,1,0
148,18,118,def.,296,1,,1,0
149,18,246,def.,262,1,,1,0
150,18,1,def. (CO),107,1,,1,0
151,18,165,def.,242,1,,1,0
152,18,285,def.,94,1,,1,0
153,18,77,def. (pin),43,153,09:12,9,0
154,19,307,def.,308,88,09:11,1,0
155,19,234,def. (pin),262,1,10:09,1,0
156,19,10,draw (DCO),242,1,07:29,1,0
157,19,232,def. (pin),296,1,06:19,1,0
158,19,17,def. (pin),246,1,09:04,1,0
159,19,43,def. (CO),77,1,15:55,9,0
160,19,2,def. (CO),158,1,13:19,1,0
161,19,321,def.,322,161,,1,0
162,20,296,def.,324,1,,1,0
163,20,262,def.,326,1,10:51,1,0
164,20,4,def.,242,1,08:19,1,0
165,20,2,def. (CO),107,1,07:35,1,0
166,20,19,def. (pin),332,88,,1,0
167,20,77,def. (CO),1,1,18:01,9,0
168,20,7,def. (pin),166,153,12:13,1,0
169,20,337,def. (pin),338,1,07:10,1,0
170,20,41,draw (curfew),232,1,06:00,1,0
171,21,241,def.,12,1,06:50,1,0
172,21,19,def. (DQ),344,1,,1,0
173,21,1,def.,346,1,,1,0
174,21,285,def. (pin),348,88,,1,0
175,21,2,def.,338,1,16:35,1,0
176,21,166,def. (CO),41,1,07:04,1,0
177,21,7,draw,77,1,13:05,9,0
178,22,355,def. (pin),356,1,09:46,1,0
179,22,54,def. (pin),324,1,07:31,1,0
180,22,60,def. (DQ),158,1,07:28,1,0
181,22,361,def. (pin),362,88,16:25,1,0
182,22,107,def. (pin),296,1,08:21,1,0
183,22,77,draw (DDQ),7,1,18:39,9,0
184,22,1,draw (time),346,1,30:00,1,0
185,22,2,def. (pin),10,1,02:09,1,0
186,22,285,draw (curfew),372,88,,1,0
187,23,373,def.,356,1,,1,0
188,23,375,def.,376,1,,1,0
189,23,10,draw,1,1,,1,0
190,23,166,draw,41,1,,1,0
191,23,381,def.,324,1,,1,0
192,23,19,def.,384,1,,1,0
193,23,7,def.,158,1,,1,0
194,23,77,def. (pin),188,1,,9,0
195,24,188,vs.,390,195,,1,0
196,24,4,def.,12,1,,1,0
197,24,338,def.,356,1,,1,0
198,24,166,def.,222,1,,1,0
199,24,77,def. (pin),7,1,13:43,9,1
200,24,346,draw (time),60,1,30:00,1,0
201,24,381,def.,376,1,,1,0
202,24,54,def.,404,1,,1,0
203,24,41,def.,10,1,,1,0
204,25,373,def.,324,1,,1,0
205,25,54,def.,10,1,,1,0
206,25,381,def.,376,1,,1,0
207,25,1,def.,414,1,,1,0
208,25,188,def.,338,1,,1,0
209,25,41,draw,107,1,,1,0
210,25,166,def. (CO),60,1,,1,0
211,25,17,def.,422,1,,1,0
212,25,7,def.,346,1,,9,0
213,26,356,draw,12,1,,1,0
214,26,355,draw,4,1,,1,0
215,26,373,def.,10,1,,1,0
216,26,41,def.,422,1,,1,0
217,26,433,def.,434,1,,1,0
218,26,7,def. (DQ),346,1,17:35,9,0
219,26,60,def.,376,1,,1,0
220,26,381,def. (DQ),440,1,,1,0
221,26,43,def.,414,1,,1,0
222,26,443,draw,444,1,,1,0
223,27,445,draw,355,1,,1,0
224,27,447,def.,12,1,,1,0
225,27,54,def.,376,1,,1,0
226,27,451,def.,356,1,,1,0
227,27,373,def.,422,1,,1,0
228,27,1,def.,440,1,,1,0
229,27,60,def.,10,1,,1,0
230,27,43,def.,324,1,,1,0
231,27,461,def.,462,1,,10,0
232,27,7,def.,166,232,,9,0
233,28,165,def.,376,1,,1,0
234,28,54,def.,440,1,,1,0
235,28,461,def.,470,1,,10,0
236,28,373,def.,404,1,,1,0
237,28,107,def.,474,1,,1,0
238,28,355,def. (DQ),10,1,,1,0
239,28,12,draw,478,1,,1,0
240,28,7,draw,166,153,,9,0
241,29,355,draw,478,1,,1,0
242,29,376,def.,484,1,,1,0
243,29,485,def.,12,1,,1,0
244,29,470,def.,488,1,,1,0
245,29,489,def.,10,1,,1,0
246,29,451,def. (DQ),107,1,,1,0
247,29,461,def.,494,1,,10,0
248,29,1,draw (DDQ),496,1,06:10,1,0
249,29,166,def. (CO),7,1,,9,0
250,30,451,def.,10,1,,1,0
251,30,355,def.,502,1,,1,0
252,30,381,def.,324,1,,1,0
253,30,496,def.,474,1,,1,0
254,30,376,def.,4,1,,1,0
255,30,509,def.,12,1,,1,0
256,30,41,def.,338,1,,1,0
257,30,513,def.,494,1,,1,0
258,30,1,def.,414,1,,1,0
259,30,7,def.,107,259,17:12,9,0
260,31,519,def. (pin),434,88,,1,0
261,31,135,def. (pin),522,1,04:40,68,0
262,31,381,def.,10,1,,1,0
263,31,376,def.,478,1,,1,0
264,31,14,def.,422,1,,1,0
265,31,41,def. (DQ),440,1,,1,0
266,31,509,def.,324,1,,1,0
267,31,1,def. (DQ),414,1,,1,0
268,31,451,draw (time),496,1,20:00,1,0
269,31,537,draw,188,1,,1,0
270,31,107,def. (CO),7,1,20:44,9,0
271,32,474,def.,12,1,,1,0
272,32,478,draw,544,1,,1,0
273,32,14,def.,10,1,,1,0
274,32,414,def.,355,1,,1,0
275,32,451,def.,376,1,,1,0
276,32,551,def. (pin),552,161,,1,0
277,32,1,def. (DQ),537,1,10:26,1,0
278,32,7,def. (pin),338,1,18:34,9,0
279,33,478,def.,12,1,,1,0
280,33,4,def.,560,1,08:30,1,0
281,33,355,def.,562,1,10:11,1,0
282,33,474,draw,262,1,,1,0
283,33,544,def.,324,1,06:20,1,0
284,33,14,def.,376,1,08:45,1,0
285,33,451,def.,10,1,10:05,1,0
286,33,461,def.,494,88,,1,0
287,33,573,def. (CO),574,1,07:15,1,0
288,33,7,def. (pin),496,153,14:45,9,0
289,34,262,def.,12,1,,1,0
290,34,4,def.,580,1,,1,0
291,34,544,draw,355,1,,1,0
292,34,1,def.,376,1,,1,0
293,34,338,def.,474,1,,1,0
294,34,324,def.,222,1,,1,0
295,34,551,def.,590,161,,1,0
296,34,7,def. (DQ),496,1,16:19,9,0
297,35,4,def.,12,1,,1,0
298,35,451,def.,376,1,,1,0
299,35,496,def.,544,1,,1,0
300,35,461,def.,600,1,,1,0
