home_player_Y3,SJH,away_player_1,BWH,match_api_id,home_player_X7,VCH,away_player_9,id,away_player_Y7,home_player_10,cross,shoton,away_team_api_id,away_player_10,home_player_Y2,LBH,away_player_Y4,home_team_api_id,B365H,VCA,home_player_Y8,home_player_X4,home_player_3,away_player_X7,home_player_X1,BWD,home_player_6,card,goal,away_player_5,away_player_X1,B365D,home_player_Y4,home_player_1,away_player_Y10,away_player_3,away_player_X9,BSD,away_player_X4,home_player_Y9,away_player_X10,WHA,IWD,IWA,LBA,season,home_player_X2,league_id,BSH,date,away_player_Y9,home_player_Y7,away_player_Y6,home_player_Y10,home_player_9,home_player_5,home_player_Y11,away_player_X3,away_player_7,country_id,away_player_6,home_player_X10,shotoff,away_player_Y11,away_player_X11,GBA,home_player_4,home_player_Y1,home_team_goal,PSA,SJA,corner,home_player_11,away_player_X2,B365A,away_player_X5,away_player_Y5,home_player_Y6,BSA,LBD,home_player_X6,home_player_7,home_player_8,GBH,home_player_Y5,WHH,stage,GBD,BWA,WHD,away_player_X8,home_player_X3,possession,home_player_X9,IWH,away_player_Y8,away_player_Y2,home_player_X8,PSD,PSH,away_player_Y3,away_player_11,away_player_X6,home_player_X5,away_team_goal,SJD,foulcommit,home_player_2,away_player_Y1,VCD,home_player_X11,away_player_2,away_player_4,away_player_8
,1.27,,1.25,492565,,1.28,,11,,,,,9986,,,1.29,,9985,1.3,8.5,,,,,,5.0,,,,,,5.25,,,,,,5.0,,,,9.5,4.2,8.0,9.0,2008/2009,,1,1.25,2008-10-31 00:00:00,,,,,,,,,,1,,,,,,10.0,,,1,,10.0,,,,9.5,,,,9.0,4.33,,,,1.25,,1.25,10,5.0,10.0,4.5,,,,,1.3,,,,,,,,,,2,5.0,,,,4.5,,,,
,2.6,,2.6,492566,,2.65,,12,,,,,9991,,,2.5,,10000,2.6,2.3,,,,,,3.2,,,,,,3.2,,,,,,3.2,,,,2.4,3.2,2.4,2.5,2008/2009,,1,2.62,2008-11-02 00:00:00,,,,,,,,,,1,,,,,,2.5,,,0,,2.5,,,,2.5,,,,2.38,3.2,,,,2.6,,2.6,10,3.25,2.4,3.1,,,,,2.4,,,,,,,,,,2,3.25,,,,3.3,,,,
,1.8,,1.85,492567,,2.0,,13,,,,,9998,,,1.8,,9994,1.91,3.4,,,,,,3.35,,,,,,3.4,,,,,,3.3,,,,3.75,3.1,3.8,3.75,2008/2009,,1,1.83,2008-11-01 00:00:00,,,,,,,,,,1,,,,,,4.0,,,0,,4.25,,,,4.0,,,,3.8,3.3,,,,1.85,,1.8,10,3.3,3.8,3.3,,,,,1.8,,,,,,,,,,0,3.3,,,,3.2,,,,
,2.8,,2.75,492568,,2.75,,14,,,,,10001,,,2.6,,7947,2.9,2.3,,,,,,3.3,,,,,,3.3,,,,,,3.2,,,,2.25,3.2,2.3,2.38,2008/2009,,1,2.75,2008-11-01 00:00:00,,,,,,,,,,1,,,,,,2.35,,,2,,2.38,,,,2.38,,,,2.3,3.2,,,,2.75,,2.75,10,3.25,2.25,3.2,,,,,2.5,,,,,,,,,,2,3.2,,,,3.2,,,,
,1.7,,1.75,492569,,1.7,,15,,,,,9999,,,1.67,,8203,1.7,4.35,,,,,,3.45,,,,,,3.3,,,,,,3.4,,,,4.2,3.2,4.2,4.5,2008/2009,,1,1.7,2008-11-01 00:00:00,,,,,,,,,,1,,,,,,4.25,,,1,,4.75,,,,4.5,,,,4.33,3.3,,,,1.75,,1.7,10,3.4,4.0,3.4,,,,,1.7,,,,,,,,,,2,3.4,,,,3.4,,,,
,2.3,,2.35,492570,,2.2,,16,,,,,9984,,,2.2,,9996,2.35,2.9,,,,,,3.25,,,,,,3.3,,,,,,3.2,,,,2.8,3.1,2.8,2.8,2008/2009,,1,2.3,2008-11-01 00:00:00,,,,,,,,,,1,,,,,,2.85,,,0,,2.88,,,,3.0,,,,2.75,3.2,,,,2.3,,2.2,10,3.25,2.7,3.2,,,,,2.2,,,,,,,,,,1,3.25,,,,3.25,,,,
,5.25,,5.1,492571,,5.5,,17,,,,,9987,,,5.5,,4049,6.0,1.55,,,,,,3.6,,,,,,3.75,,,,,,3.6,,,,1.55,3.4,1.6,1.5,2008/2009,,1,6.0,2008-11-01 00:00:00,,,,,,,,,,1,,,,,,1.6,,,1,,1.62,,,,1.57,,,,1.5,3.6,,,,5.25,,5.25,10,3.6,1.55,3.5,,,,,4.6,,,,,,,,,,3,3.5,,,,3.5,,,,
,4.25,,4.3,492572,,3.6,,18,,,,,8635,,,4.0,,9993,4.0,1.9,,,,,,3.5,,,,,,3.25,,,,,,3.3,,,,1.75,3.2,1.8,1.73,2008/2009,,1,3.8,2008-11-02 00:00:00,,,,,,,,,,1,,,,,,1.8,,,1,,1.8,,,,1.83,,,,1.83,3.4,,,,4.1,,4.0,10,3.4,1.68,3.3,,,,,3.7,,,,,,,,,,3,3.3,,,,3.25,,,,
,1.33,,1.25,492573,,1.28,,19,,,,,9994,,,1.36,,8635,1.36,8.5,,,,,,5.0,,,,,,4.75,,,,,,4.5,,,,8.5,4.2,8.0,7.0,2008/2009,,1,1.3,2008-11-08 00:00:00,,,,,,,,,,1,,,,,,7.5,,,2,,9.0,,,,8.5,,,,8.5,4.0,,,,1.3,,1.3,11,4.75,9.0,4.2,,,,,1.3,,,,,,,,,,3,4.5,,,,4.5,,,,
,2.4,,2.25,492574,,2.35,,20,,,,,9996,,,2.5,,9998,2.4,2.65,,,,,,3.2,,,,,,3.3,,,,,,3.25,,,,2.6,3.1,2.8,2.5,2008/2009,,1,2.3,2008-11-08 00:00:00,,,,,,,,,,1,,,,,,2.75,,,0,,2.75,,,,2.9,,,,2.7,3.2,,,,2.3,,2.3,11,3.2,2.8,3.25,,,,,2.2,,,,,,,,,,0,3.3,,,,3.25,,,,
,3.3,,3.25,492575,,3.25,,21,,,,,8342,,,2.75,,9986,3.2,2.0,,,,,,3.2,,,,,,3.3,,,,,,3.25,,,,2.1,3.0,2.1,2.2,2008/2009,,1,3.1,2008-11-09 00:00:00,,,,,,,,,,1,,,,,,2.15,,,2,,2.1,,,,2.25,,,,2.1,3.25,,,,3.1,,3.0,11,3.2,2.1,3.2,,,,,3.1,,,,,,,,,,2,3.3,,,,3.25,,,,
,1.85,,1.85,492576,,1.75,,22,,,,,10000,,,1.73,,9984,1.75,4.35,,,,,,3.35,,,,,,3.75,,,,,,3.3,,,,3.6,3.2,4.0,4.0,2008/2009,,1,1.7,2008-11-07 00:00:00,,,,,,,,,,1,,,,,,4.2,,,2,,4.25,,,,4.33,,,,4.5,3.4,,,,1.8,,1.8,11,3.3,3.65,3.4,,,,,1.75,,,,,,,,,,0,3.5,,,,3.25,,,,
,1.4,,1.38,492577,,1.35,,23,,,,,7947,,,1.33,,9991,1.4,7.5,,,,,,4.0,,,,,,4.33,,,,,,4.2,,,,7.0,3.9,6.0,8.0,2008/2009,,1,1.36,2008-11-08 00:00:00,,,,,,,,,,1,,,,,,7.0,,,1,,7.0,,,,8.0,,,,7.0,4.0,,,,1.4,,1.4,11,4.2,7.2,4.0,,,,,1.4,,,,,,,,,,1,4.33,,,,4.0,,,,
,1.83,,1.8,492578,,1.8,,24,,,,,4049,,,1.73,,9999,1.83,4.0,,,,,,3.35,,,,,,3.5,,,,,,3.3,,,,3.25,3.2,3.5,4.0,2008/2009,,1,1.8,2008-11-08 00:00:00,,,,,,,,,,1,,,,,,4.0,,,1,,4.0,,,,4.2,,,,4.0,3.4,,,,1.85,,1.9,11,3.3,3.9,3.4,,,,,1.85,,,,,,,,,,2,3.4,,,,3.25,,,,
,2.05,,1.95,492579,,2.0,,25,,,,,8203,,,1.91,,8571,2.0,3.25,,,,,,3.25,,,,,,3.5,,,,,,3.25,,,,3.0,3.2,3.1,3.4,2008/2009,,1,2.0,2008-11-08 00:00:00,,,,,,,,,,1,,,,,,3.5,,,0,,3.5,,,,3.6,,,,3.3,3.25,,,,1.95,,2.05,11,3.2,3.4,3.25,,,,,2.0,,,,,,,,,,0,3.25,,,,3.25,,,,
,2.6,,2.5,492580,,2.4,,26,,,,,9987,,,2.5,,10001,2.7,2.6,,,,,,3.3,,,,,,3.25,,,,,,3.2,,,,2.4,3.1,2.45,2.5,2008/2009,,1,2.5,2008-11-08 00:00:00,,,,,,,,,,1,,,,,,2.5,,,1,,2.6,,,,2.6,,,,2.5,3.2,,,,2.5,,2.5,11,3.25,2.45,3.25,,,,,2.45,,,,,,,,,,0,3.2,,,,3.25,,,,
,3.6,,3.4,492581,,3.75,,27,,,,,9985,,,3.75,,9993,3.6,1.85,,,,,,3.25,,,,,,3.3,,,,,,3.3,,,,1.95,3.3,1.75,1.8,2008/2009,,1,3.5,2008-11-09 00:00:00,,,,,,,,,,1,,,,,,1.95,,,1,,1.95,,,,2.05,,,,1.91,3.3,,,,3.6,,3.25,11,3.25,1.95,3.25,,,,,3.9,,,,,,,,,,3,3.3,,,,3.25,,,,
,2.15,,2.2,492582,,2.25,,28,,,,,8635,,,2.2,,8342,2.3,2.8,,,,,,3.15,,,,,,3.25,,,,,,3.2,,,,3.0,3.1,3.2,2.75,2008/2009,,1,2.2,2008-11-16 00:00:00,,,,,,,,,,1,,,,,,3.2,,,1,,3.3,,,,2.9,,,,2.9,3.25,,,,2.1,,2.15,12,3.2,3.0,3.1,,,,,2.0,,,,,,,,,,1,3.2,,,,3.1,,,,
,1.27,,1.23,492583,,1.25,,29,,,,,9999,,,1.25,,9987,1.25,9.0,,,,,,5.0,,,,,,5.25,,,,,,5.0,,,,9.0,4.2,8.0,10.0,2008/2009,,1,1.25,2008-11-15 00:00:00,,,,,,,,,,1,,,,,,8.5,,,1,,10.0,,,,10.0,,,,9.0,4.5,,,,1.27,,1.25,12,5.0,10.0,4.8,,,,,1.3,,,,,,,,,,1,5.5,,,,5.0,,,,
,2.1,,2.1,492584,,2.1,,30,,,,,9993,,,2.0,,10000,2.0,3.1,,,,,,3.2,,,,,,3.25,,,,,,3.25,,,,3.5,3.1,3.2,3.2,2008/2009,,1,2.0,2008-11-15 00:00:00,,,,,,,,,,1,,,,,,3.5,,,2,,3.4,,,,3.5,,,,3.3,3.2,,,,2.0,,1.9,12,3.2,3.2,3.25,,,,,2.0,,,,,,,,,,2,3.3,,,,3.3,,,,
,3.5,,3.4,492585,,3.2,,31,,,,,9985,,,3.0,,9994,3.25,2.1,,,,,,3.2,,,,,,3.25,,,,,,3.2,,,,2.0,3.1,2.2,2.1,2008/2009,,1,3.1,2008-11-16 00:00:00,,,,,,,,,,1,,,,,,2.1,,,1,,2.1,,,,2.1,,,,2.1,3.2,,,,3.2,,3.2,12,3.2,2.0,3.2,,,,,2.8,,,,,,,,,,1,3.25,,,,3.2,,,,
,2.25,,2.25,492586,,2.25,,32,,,,,8571,,,2.2,,7947,2.3,2.8,,,,,,3.1,,,,,,3.25,,,,,,3.1,,,,3.0,3.1,3.0,2.75,2008/2009,,1,2.2,2008-11-15 00:00:00,,,,,,,,,,1,,,,,,3.0,,,1,,3.1,,,,2.8,,,,3.0,3.25,,,,2.2,,2.1,12,3.2,2.95,3.2,,,,,2.1,,,,,,,,,,0,3.25,,,,3.3,,,,
,2.05,,1.95,492587,,2.1,,33,,,,,9998,,,2.1,,8203,2.05,3.1,,,,,,3.2,,,,,,3.25,,,,,,3.2,,,,3.0,3.1,3.2,3.0,2008/2009,,1,2.0,2008-11-15 00:00:00,,,,,,,,,,1,,,,,,3.2,,,0,,3.5,,,,3.4,,,,3.4,3.2,,,,2.1,,2.1,12,3.2,3.6,3.2,,,,,2.0,,,,,,,,,,0,3.3,,,,3.3,,,,
,2.2,,2.1,492588,,2.2,,34,,,,,9986,,,2.2,,9996,2.2,2.8,,,,,,3.25,,,,,,3.25,,,,,,3.25,,,,2.75,3.1,3.0,2.8,2008/2009,,1,2.25,2008-11-15 00:00:00,,,,,,,,,,1,,,,,,3.0,,,2,,3.2,,,,3.0,,,,2.8,3.2,,,,2.2,,2.25,12,3.2,3.1,3.2,,,,,2.1,,,,,,,,,,1,3.25,,,,3.3,,,,
,4.33,,4.6,492589,,4.0,,35,,,,,9984,,,4.0,,4049,4.33,1.75,,,,,,3.4,,,,,,3.4,,,,,,3.3,,,,2.0,3.3,1.85,1.72,2008/2009,,1,4.33,2008-11-15 00:00:00,,,,,,,,,,1,,,,,,1.75,,,3,,1.83,,,,1.75,,,,1.73,3.4,,,,4.25,,3.2,12,3.3,1.7,3.2,,,,,3.4,,,,,,,,,,0,3.4,,,,3.5,,,,
,2.4,,2.3,492590,,2.5,,36,,,,,9991,,,2.4,,10001,2.5,2.6,,,,,,3.2,,,,,,3.3,,,,,,3.2,,,,2.7,3.1,2.6,2.6,2008/2009,,1,2.3,2008-11-14 00:00:00,,,,,,,,,,1,,,,,,2.75,,,3,,2.8,,,,2.75,,,,2.75,3.1,,,,2.45,,2.3,12,3.2,2.75,3.1,,,,,2.3,,,,,,,,,,2,3.3,,,,3.2,,,,
,1.44,,1.4,492591,,1.45,,37,,,,,10001,,,1.5,,8635,1.44,6.0,,,,,,3.85,,,,,,4.33,,,,,,3.75,,,,6.25,3.9,6.0,6.0,2008/2009,,1,1.44,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,7.0,,,2,,7.5,,,,7.0,,,,6.5,3.5,,,,1.45,,1.45,13,3.8,7.75,4.0,,,,,1.4,,,,,,,,,,0,4.0,,,,4.0,,,,
,1.36,,1.35,492592,,1.35,,38,,,,,9996,,,1.36,,9985,1.36,7.5,,,,,,4.25,,,,,,4.5,,,,,,4.2,,,,7.75,4.0,7.0,7.0,2008/2009,,1,1.36,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,8.0,,,3,,8.5,,,,9.0,,,,7.0,4.0,,,,1.37,,1.35,13,4.25,8.0,4.3,,,,,1.35,,,,,,,,,,1,4.5,,,,4.0,,,,
,4.75,,4.85,492622,,4.5,,39,,,,,8342,,,3.75,,9998,4.33,1.7,,,,,,3.4,,,,,,3.4,,,,,,3.4,,,,1.75,3.1,1.8,1.8,2008/2009,,1,4.2,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,1.73,,,1,,1.73,,,,1.85,,,,1.73,3.3,,,,4.6,,4.2,13,3.4,1.65,3.4,,,,,3.8,,,,,,,,,,2,3.5,,,,3.4,,,,
,1.44,,1.55,492623,,1.5,,40,,,,,4049,,,1.44,,9986,1.44,6.0,,,,,,3.45,,,,,,4.33,,,,,,3.6,,,,5.75,3.5,4.8,6.5,2008/2009,,1,1.5,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,6.0,,,3,,7.5,,,,7.0,,,,6.0,3.6,,,,1.53,,1.5,13,3.75,5.9,3.8,,,,,1.55,,,,,,,,,,2,4.0,,,,3.6,,,,
,1.62,,1.55,492624,,1.6,,41,,,,,8203,,,1.57,,9984,1.67,4.5,,,,,,3.5,,,,,,3.75,,,,,,3.5,,,,5.0,3.4,4.6,5.0,2008/2009,,1,1.6,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,5.25,,,2,,5.5,,,,5.5,,,,5.0,3.5,,,,1.62,,1.6,13,3.5,5.85,3.6,,,,,1.6,,,,,,,,,,1,3.6,,,,3.6,,,,
,2.2,,2.05,492628,,2.2,,42,,,,,9987,,,2.2,,9991,2.1,2.8,,,,,,3.3,,,,,,3.3,,,,,,3.25,,,,3.2,3.1,2.8,2.75,2008/2009,,1,2.2,2008-11-23 00:00:00,,,,,,,,,,1,,,,,,3.1,,,2,,3.2,,,,3.2,,,,2.88,3.25,,,,2.2,,2.1,13,3.25,3.2,3.2,,,,,2.2,,,,,,,,,,3,3.25,,,,3.25,,,,
,2.38,,2.3,492631,,2.25,,43,,,,,7947,,,2.2,,9999,2.4,2.75,,,,,,3.2,,,,,,3.3,,,,,,3.2,,,,2.6,3.1,2.8,2.75,2008/2009,,1,2.5,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,2.9,,,2,,2.88,,,,2.88,,,,2.5,3.25,,,,2.3,,2.5,13,3.25,2.8,3.15,,,,,2.2,,,,,,,,,,2,3.25,,,,3.25,,,,
,2.38,,2.25,492636,,2.25,,44,,,,,10000,,,2.2,,8571,2.38,2.8,,,,,,3.1,,,,,,3.4,,,,,,3.2,,,,2.62,3.0,2.7,2.75,2008/2009,,1,2.3,2008-12-16 00:00:00,,,,,,,,,,1,,,,,,2.75,,,1,,3.0,,,,2.88,,,,2.75,3.25,,,,2.3,,2.3,13,3.2,2.9,3.2,,,,,2.3,,,,,,,,,,0,3.2,,,,3.25,,,,
,2.25,,2.25,492638,,2.25,,45,,,,,9994,,,2.2,,9993,2.2,2.8,,,,,,3.0,,,,,,3.3,,,,,,3.2,,,,2.9,3.1,2.6,3.0,2008/2009,,1,2.3,2008-11-22 00:00:00,,,,,,,,,,1,,,,,,3.0,,,0,,3.0,,,,3.3,,,,2.75,3.0,,,,2.25,,2.25,13,3.2,3.0,3.2,,,,,2.3,,,,,,,,,,2,3.25,,,,3.25,,,,
,1.36,,1.32,492649,,1.4,,46,,,,,9993,,,1.33,,8342,1.44,7.0,,,,,,4.5,,,,,,4.2,,,,,,4.2,,,,7.5,4.2,8.0,7.0,2008/2009,,1,1.36,2008-11-30 00:00:00,,,,,,,,,,1,,,,,,7.5,,,3,,8.0,,,,6.0,,,,7.0,4.33,,,,1.33,,1.33,14,4.5,8.25,4.2,,,,,1.3,,,,,,,,,,0,4.5,,,,4.0,,,,
,1.67,,1.65,492651,,1.7,,47,,,,,9984,,,1.72,,9987,1.73,4.5,,,,,,3.45,,,,,,3.4,,,,,,3.4,,,,4.2,3.4,4.2,4.0,2008/2009,,1,1.7,2008-11-29 00:00:00,,,,,,,,,,1,,,,,,4.4,,,3,,5.0,,,,4.5,,,,4.33,3.4,,,,1.7,,1.7,14,3.4,4.9,3.4,,,,,1.65,,,,,,,,,,2,3.5,,,,3.4,,,,
,2.2,,2.2,492658,,2.25,,48,,,,,9986,,,2.25,,10000,2.2,2.75,,,,,,3.2,,,,,,3.25,,,,,,3.2,,,,2.6,3.0,2.9,2.7,2008/2009,,1,2.25,2008-11-29 00:00:00,,,,,,,,,,1,,,,,,3.0,,,4,,3.1,,,,3.0,,,,2.8,3.25,,,,2.15,,2.3,14,3.2,3.0,3.25,,,,,2.2,,,,,,,,,,2,3.25,,,,3.25,,,,
,1.36,,1.3,492662,,1.3,,49,,,,,9999,,,1.33,,9991,1.29,8.0,,,,,,4.7,,,,,,4.75,,,,,,4.5,,,,8.0,3.9,6.0,8.0,2008/2009,,1,1.33,2008-11-29 00:00:00,,,,,,,,,,1,,,,,,7.5,,,4,,8.0,,,,9.5,,,,7.5,4.0,,,,1.33,,1.36,14,4.5,8.5,3.75,,,,,1.4,,,,,,,,,,0,4.5,,,,4.5,,,,
,6.0,,5.35,492664,,5.0,,50,,,,,8635,,,4.5,,7947,5.0,1.6,,,,,,3.5,,,,,,3.75,,,,,,3.5,,,,1.57,3.4,1.6,1.61,2008/2009,,1,4.5,2008-11-28 00:00:00,,,,,,,,,,1,,,,,,1.6,,,0,,1.62,,,,1.67,,,,1.67,3.5,,,,4.75,,5.0,14,3.5,1.6,3.5,,,,,4.6,,,,,,,,,,2,3.5,,,,3.5,,,,
,5.25,,5.25,492666,,4.5,,51,,,,,9985,,,4.33,,8203,4.75,1.65,,,,,,3.5,,,,,,3.5,,,,,,3.4,,,,1.6,3.4,1.65,1.66,2008/2009,,1,5.0,2008-11-30 00:00:00,,,,,,,,,,1,,,,,,1.65,,,0,,1.67,,,,1.67,,,,1.62,3.4,,,,4.75,,5.0,14,3.4,1.6,3.4,,,,,4.2,,,,,,,,,,0,3.4,,,,3.4,,,,
,2.15,,2.1,492670,,2.2,,52,,,,,9994,,,2.2,,9996,2.2,2.9,,,,,,3.1,,,,,,3.25,,,,,,3.2,,,,2.8,3.1,2.8,2.8,2008/2009,,1,2.25,2008-11-29 00:00:00,,,,,,,,,,1,,,,,,3.0,,,2,,3.25,,,,3.0,,,,2.8,3.2,,,,2.15,,2.2,14,3.2,3.3,3.2,,,,,2.2,,,,,,,,,,0,3.2,,,,3.25,,,,
,2.4,,2.15,492674,,2.4,,53,,,,,8571,,,2.3,,4049,2.3,2.65,,,,,,3.25,,,,,,3.2,,,,,,3.2,,,,2.8,3.1,2.8,2.62,2008/2009,,1,2.38,2008-11-29 00:00:00,,,,,,,,,,1,,,,,,2.9,,,3,,2.8,,,,2.88,,,,2.62,3.2,,,,2.2,,2.2,14,3.2,3.05,3.2,,,,,2.2,,,,,,,,,,3,3.2,,,,3.25,,,,
,1.62,,1.55,492677,,1.55,,54,,,,,9998,,,1.57,,10001,1.57,5.0,,,,,,3.45,,,,,,3.6,,,,,,3.4,,,,5.5,3.4,4.6,5.0,2008/2009,,1,1.57,2008-11-29 00:00:00,,,,,,,,,,1,,,,,,5.0,,,2,,5.5,,,,5.25,,,,5.5,3.5,,,,1.6,,1.6,14,3.5,6.0,3.25,,,,,1.6,,,,,,,,,,1,3.5,,,,3.6,,,,
,1.2,,1.2,492683,,1.2,,55,,,,,4049,,,1.17,,8635,1.2,11.0,,,,,,5.1,,,,,,6.0,,,,,,6.0,,,,9.5,5.0,10.0,12.0,2008/2009,,1,1.2,2008-12-06 00:00:00,,,,,,,,,,1,,,,,,11.0,,,5,,13.0,,,,11.0,,,,10.0,5.5,,,,1.2,,1.22,15,5.5,12.0,5.0,,,,,1.2,,,,,,,,,,1,6.5,,,,5.5,,,,
,1.36,,1.28,492686,,1.28,,56,,,,,10000,,,1.29,,9985,1.36,8.5,,,,,,4.5,,,,,,4.5,,,,,,4.5,,,,7.5,4.2,8.0,9.0,2008/2009,,1,1.3,2008-12-06 00:00:00,,,,,,,,,,1,,,,,,8.5,,,1,,9.0,,,,7.5,,,,8.5,4.33,,,,1.3,,1.3,15,4.5,9.0,4.5,,,,,1.3,,,,,,,,,,2,4.5,,,,4.5,,,,
