industry,valuation_avg,company_id,company,city,country,continent,date_joined,year_founded,valuation_standout,funding,select_investors
Health,1600000000.0,168,Abogen,Suzhou,China,Asia,2021-11-29,2019,4000000000,1000000000,"""Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"""
Health,1600000000.0,268,Somatus,McLean,United States,North America,2022-02-23,2016,3000000000,465000000,"""The Blue Venture Fund, Flare Capital Partners, Longitude Capital"""
Health,1600000000.0,329,Carbon Health,San Francisco,United States,North America,2021-07-21,2015,3000000000,523000000,"""Brookfield Asset Management, Blackstone, Data Collective"""
Internet software & services,1893617021.2765958,173,Turing,Palo Alto,United States,North America,2021-12-20,2018,4000000000,128000000,"""Foundation Capital, Frontier Ventures, AltaIR Capital"""
Internet software & services,1893617021.2765958,344,Lucid,South Jordan,United States,North America,2021-06-29,2010,3000000000,170000000,"""Spectrum Equity, ICONIQ Capital, Grayhawk Capital"""
Internet software & services,1893617021.2765958,290,Nextiva,Scottsdale,United States,North America,2021-09-14,2008,3000000000,200000000,Goldman Sachs Asset Management
Internet software & services,1893617021.2765958,282,Sourcegraph,San Francisco,United States,North America,2021-07-13,2013,3000000000,248000000,"""Redpoint Ventures, Goldcrest Capital, Insight Partners"""
Internet software & services,1893617021.2765958,349,Sky Mavis,Ho Chi Minh City,Vietnam,Asia,2021-10-04,2019,3000000000,311000000,"""Fabric Ventures, 500 Global, Standard Crypto"""
Internet software & services,1893617021.2765958,343,LaunchDarkly,Oakland,United States,North America,2021-08-10,2014,3000000000,330000000,"""Uncork Capital, Threshold Ventures, Bloomberg Beta"""
Internet software & services,1893617021.2765958,332,Contentful,Berlin,Germany,Europe,2021-07-28,2013,3000000000,333000000,"""Balderton Capital, General Catalyst, Tiger Global Management"""
Internet software & services,1893617021.2765958,308,Ironclad,Sacramento,United States,North America,2022-01-18,2014,3000000000,334000000,"""Accel, Sequoia Capital, Y Combinator"""
Internet software & services,1893617021.2765958,210,Globalization Partners,Boston,United States,North America,2022-01-24,2012,4000000000,350000000,"""Vista Equity Partners, Wincove, TDR Capital"""
Internet software & services,1893617021.2765958,18,Miro,San Francisco,United States,North America,2022-01-05,2011,18000000000,476000000,"""Accel, AltaIR Capital, Technology Crossover Ventures"""
Internet software & services,1893617021.2765958,181,Commure,San Francisco,United States,North America,2021-09-16,2017,4000000000,542000000,"""General Catalyst, HCA Healthcare"""
Internet software & services,1893617021.2765958,286,Zetwerk,Bengaluru,India,Asia,2021-08-20,2018,3000000000,543000000,"""Sequoia Capital India, Kae Capital, Accel"""
Internet software & services,1893617021.2765958,262,Games24x7,Mumbai,India,Asia,2022-03-30,2006,3000000000,75000000,"""Tiger Global Management, The Raine Group, Malabar Investments"""
Internet software & services,1893617021.2765958,37,GoodLeap,Roseville,United States,North America,2021-10-13,2003,12000000000,800000000,"""New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"""
Mobile & telecommunications,1500000000.0,298,Dream Games,Istanbul,Turkey,Europe,2021-06-30,2019,3000000000,468000000,"""Makers Fund, Index Ventures, Inova Ventures Participacees"""
Other,1666666666.6666667,255,A24 Films,New York,United States,North America,2022-03-09,2012,3000000000,225000000,"""Stripes Group, Neuberger Berman"""
Other,1666666666.6666667,200,Redwood Materials,Carson City,United States,North America,2021-07-28,2017,4000000000,792000000,"""Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"""
Travel,1333333333.3333333,594,Tier,Berlin,Germany,Europe,2021-10-25,2018,2000000000,587000000,"""Northzone Ventures, White Star Capital, Novator Partners"""
