id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults,id
16409,572,585,103914,103916,205,20,22,7264,85,119,1604,1,0,80,0.7518,0.6042,0.4211,0.0103,0.5,0.9412,1.0,2.3117,1.2305,1.3424,0.5789,-0.1928,0.4498,0,0,0,0,0,1,0,16409
9678,434,446,58567,58747,63,10,10,6999,106,127,1360,0,1,40,0.7393,0.2562,0.9,0.0044,0.6,1.0,1.0,1.7993,0.7782,1.0,0.1,-0.0973,0.1892,1,0,0,0,0,0,0,9678
12104,507,519,419384,419405,324,33,46,37200,89,124,1362,0,1,200,0.7467,0.5109,0.5122,0.0154,0.6364,0.913,1.0,2.5106,1.3222,1.6128,0.4878,-0.2359,0.9652,0,0,0,0,0,1,0,12104
9329,776,804,2820612,2820772,265,64,26,26694,82,124,1362,0,1,40,0.8494,0.4063,0.4012,0.0242,0.3542,0.7826,0.0,2.4232,1.5185,1.3424,-0.5978,-0.1875,0.7512,0,0,0,0,0,1,0,9329
17533,39,181,1700480,1700639,12388,578,331,1442027,38,141,1398,0,1,40,0.0556,0.5844,0.9669,0.1077,0.2675,0.4962,0.0,4.0972,2.179,2.1703,-0.0331,-0.0971,1.0,0,0,1,0,0,0,0,17533
13889,1245,1258,2158132,2158152,105,19,20,12705,102,126,1688,1,0,70,0.1418,0.5125,1.0,0.0077,0.6842,0.65,0.5,2.0212,1.1139,1.1139,0.0,-0.1046,0.4729,0,0,0,0,0,0,1,13889
18868,1202,1216,1417276,1417288,169,20,17,18067,84,126,1352,0,1,40,0.1765,0.2323,0.7059,0.0089,0.65,1.0,1.0,2.2279,1.0792,1.2305,0.2941,-0.1582,0.3977,0,0,0,0,0,0,1,18868
18658,41,218,2187237,2187305,6501,247,125,686124,36,126,1402,0,1,40,0.0556,0.4709,0.3829,0.1298,0.6295,0.4925,0.0,3.8241,2.2577,1.8261,-0.6171,-0.1855,1.0,0,0,1,0,0,0,0,18658
10887,1325,1336,1164921,1164931,210,23,22,24783,113,141,1362,0,1,40,0.2872,0.3567,1.0,0.0103,0.8461,0.9546,0.5,2.3222,1.1461,1.3424,0.0,-0.0096,0.4465,0,0,0,0,0,0,1,10887
6244,616,622,106512,106519,52,12,10,5558,109,126,1364,0,1,100,0.9032,0.375,0.5,0.0044,0.4167,1.0,1.0,1.716,0.7782,1.0,0.5,-0.0874,0.1773,0,0,0,0,0,1,0,6244
8763,195,209,2370756,2370772,677,107,12,635678,65,127,1358,0,1,40,0.2661,0.3972,0.4091,0.1059,0.7374,0.5862,0.0,2.8998,2.1584,1.1139,-0.5909,-0.1624,0.9999,0,0,1,0,0,0,0,8763
3588,39,191,1672082,1672228,10913,589,348,1270726,38,141,1402,0,1,40,0.0585,0.4557,0.8835,0.1077,0.2549,0.4379,1.0,4.0609,2.1761,2.1959,0.1165,-0.1059,1.0,0,0,1,0,0,0,0,3588
12482,0,33,4348250,4348321,788,86,105,88425,131,151,1362,1,0,100,0.0,0.6719,0.0843,0.0184,0.5272,0.9,0.0,2.896,1.3979,2.0334,-0.9157,0.0306,0.9999,0,0,0,0,0,0,1,12482
12539,39,193,7300641,7300696,4409,216,82,456908,47,127,1356,0,1,40,0.0575,0.3443,0.3287,0.1059,0.7514,0.5281,0.0,3.6443,2.1584,1.6721,-0.6713,-0.1887,1.0,0,0,1,0,0,0,0,12539
17124,525,534,260124,260136,536,36,11,8140,112,134,1364,1,0,70,0.2587,0.7209,0.9688,0.0169,0.6604,0.9688,0.0,2.7348,1.3617,1.1761,-0.0313,-0.0473,0.7966,0,0,0,0,0,0,1,17124
15148,923,931,1566617,1566638,59,13,9,5966,91,119,1624,0,1,70,0.9083,0.2778,0.8889,0.0049,0.6154,1.0,1.0,1.7708,0.9031,0.9542,0.1111,-0.1762,0.1773,0,0,0,0,0,1,0,15148
3725,1087,1103,7797464,7797516,131,29,17,13662,95,125,1364,1,0,80,0.3835,0.5908,0.2353,0.0147,0.7407,0.7647,0.0,2.1173,1.301,1.1461,-0.7647,-0.1455,0.6574,0,0,0,0,0,1,0,3725
1984,41,218,1473977,1474044,6503,264,135,647965,40,126,1358,0,1,40,0.0604,0.4707,0.3785,0.1303,0.6704,0.4963,0.0,3.8131,2.248,1.8261,-0.6215,-0.1858,1.0,0,0,0,0,0,0,1,1984
7623,749,768,125813,125827,290,30,30,29895,95,119,1360,0,1,40,0.8123,0.5086,0.3,0.0088,0.4,1.0,1.0,2.4624,1.0792,1.4771,0.7,-0.1682,0.7659,1,0,0,0,0,0,0,7623
2435,17,33,10440356,10440367,235,31,39,23207,46,118,1358,1,0,70,0.0325,0.4417,0.2727,0.0111,0.3913,0.8182,1.0,2.3711,1.1761,1.5911,0.7273,-0.2622,0.8355,0,1,0,0,0,0,0,2435
8731,39,212,2829521,2829590,6404,260,120,660910,43,125,1358,0,1,40,0.0574,0.435,0.3757,0.1274,0.6272,0.5,0.0,3.8064,2.238,1.8325,-0.6243,-0.1888,1.0,0,0,1,0,0,0,0,8731
7528,779,804,4758137,4758179,519,94,214,61209,101,134,1666,0,1,40,0.9061,0.6352,0.0448,0.0187,0.1624,0.9829,1.0,2.7694,1.415,2.2553,0.9552,-0.1161,0.9994,0,0,0,0,0,0,1,7528
6787,619,630,2750749,2750765,112,33,23,14912,111,134,1358,0,1,40,0.9081,0.4136,0.3846,0.0257,0.8824,0.6364,0.0,2.0492,1.5185,1.1139,-0.6154,-0.0569,0.5999,0,0,0,0,0,0,1,6787
3769,41,214,5331249,5331309,6357,210,123,637317,38,124,1358,0,1,40,0.0604,0.4441,0.3841,0.1274,0.7476,0.5529,0.0,3.8033,2.238,1.8325,-0.6159,-0.1865,1.0,0,0,1,0,0,0,0,3769
8968,1136,1150,2887460,2887476,110,20,14,13904,128,141,1362,0,1,40,0.3187,0.303,0.7857,0.0103,0.7,1.0,0.0,2.0414,1.1461,1.1461,-0.2143,0.0313,0.2712,0,0,1,0,0,0,0,8968
9934,41,216,2382404,2382472,6503,296,136,676047,41,124,1358,0,1,40,0.0604,0.4556,0.3835,0.1274,0.5836,0.4545,0.0,3.8199,2.238,1.8325,-0.6165,-0.1867,1.0,0,0,1,0,0,0,0,9934
10444,1094,1111,2488529,2488541,265,55,52,30104,107,150,1687,1,0,200,0.4107,0.2988,0.1,0.0065,0.2571,1.0,1.0,2.4232,1.0414,1.716,0.9,-0.0489,0.5951,1,0,0,0,0,0,0,10444
18082,1582,1592,1215744,1215749,91,11,11,9155,82,110,1696,1,0,60,0.1495,0.2727,0.8182,0.0053,0.8182,1.0,1.0,1.959,0.9542,1.0414,0.1818,-0.2529,0.2051,0,0,0,0,0,1,0,18082
6954,1126,1135,1248833,1248844,78,11,12,6235,77,109,1358,1,0,80,0.4569,0.3131,0.9167,0.0081,1.0,1.0,0.0,1.8921,1.0414,1.0792,-0.0833,-0.2939,0.2432,0,0,0,0,0,1,0,6954
14241,1372,1378,949306,949493,181,25,19,20399,93,129,1694,1,0,80,0.2794,0.3492,0.5263,0.0059,0.55,1.0,1.0,2.2577,1.0,1.2787,0.4737,-0.1112,0.3882,0,0,0,0,0,0,1,14241
1280,1261,1273,1810559,1810727,146,23,28,16441,85,124,1353,0,1,70,0.1391,0.4148,0.4286,0.0074,0.4348,1.0,1.0,2.1673,1.0,1.4472,0.5714,-0.1788,0.463,0,0,0,0,0,1,0,1280
8843,1170,1184,5996730,5996739,226,54,13,28906,115,140,1354,0,1,40,0.3353,0.3929,0.0938,0.0236,0.4815,0.6667,0.0,2.3541,1.5051,0.9031,-0.9063,-0.0212,0.5063,0,0,0,0,0,0,1,8843
4528,699,740,2195695,2195707,80,27,17,9155,104,126,1370,1,0,80,0.9231,0.4259,0.5,0.0131,0.6667,0.7059,0.0,1.9031,1.2553,1.0792,-0.5,-0.0965,0.4763,0,0,0,0,0,0,1,4528
5532,1252,1276,4737382,4737394,82,24,12,8949,85,118,1364,1,0,80,0.0131,0.5702,0.4,0.0176,0.8333,0.9167,0.0,1.9138,1.3802,1.0414,-0.6,-0.2037,0.23,0,0,0,0,0,1,0,5532
3857,19,28,735612,735624,110,15,14,11759,71,132,1688,1,0,70,0.0291,0.2889,0.7857,0.0065,0.7333,1.0,1.0,2.0414,1.0414,1.1461,0.2143,-0.2141,0.2712,0,0,0,0,0,0,1,3857
17913,1595,1611,1951256,1951299,350,28,57,37664,106,127,1692,0,1,300,0.1029,0.5529,0.4857,0.0124,0.6071,0.9123,1.0,2.5441,1.3222,1.6233,0.5143,-0.0809,0.8705,0,0,0,0,0,1,0,17913
2813,17,33,5082524,508253,145,35,33,17101,104,133,1354,1,0,70,0.0325,0.3724,0.2813,0.0111,0.3529,0.8,1.0,2.1614,1.1761,1.5051,0.7188,-0.1262,0.4763,0,1,0,0,0,0,0,2813
15105,1152,1166,29657,29792,261,36,29,27037,97,127,1364,0,1,175,0.0369,0.5295,0.5833,0.0082,0.52,0.6111,1.0,2.4669,1.1461,1.3802,0.4167,-0.1397,0.8355,0,0,0,0,0,0,1,15105
536,1176,1208,143523,143544,505,55,49,56864,95,141,1353,0,1,175,0.2183,0.4768,0.7778,0.0266,0.6546,0.5102,0.0,2.7033,1.6532,1.415,-0.2222,-0.0524,0.9998,1,0,0,0,0,0,0,536
3353,1237,1248,123779,123815,313,30,28,30269,115,135,1362,0,1,175,0.0044,0.2926,0.7059,0.0089,0.4,1.0,1.0,2.4955,1.0792,1.4472,0.2941,-0.0666,0.6514,0,0,0,0,0,0,1,3353
3649,623,635,625664,625675,464,57,43,49848,84,126,1362,0,1,40,0.9192,0.3707,0.3636,0.0089,0.4386,1.0,1.0,2.6637,1.0414,1.6128,0.6364,-0.2158,0.9994,0,0,0,0,0,1,0,3649
13651,519,630,4383746,4383803,652,96,61,78470,105,127,1364,0,1,40,0.6785,0.4333,0.8667,0.0147,0.2359,0.9552,1.0,2.8306,1.301,1.7559,0.1333,-0.0955,0.9932,0,0,0,0,0,1,0,13651
259,796,822,1346892,134988,104,28,18,13464,113,141,1362,0,1,40,0.8542,0.5086,1.0,0.0117,0.5714,0.8889,0.5,2.017,1.2041,1.2041,0.0,-0.0148,0.4235,0,0,0,0,0,0,1,259
13864,1321,1339,406616,406673,500,38,57,49038,90,119,1353,1,0,80,0.0337,0.4818,0.9063,0.0236,0.5,0.4839,0.0,2.699,1.5051,1.4624,-0.0938,-0.2045,0.9718,0,0,0,0,0,0,1,13864
4436,15,38,785268,785285,425,59,39,61937,61,124,1372,0,1,40,0.1021,0.4088,0.2353,0.0176,0.2203,0.88,1.0,2.6702,1.3802,1.415,0.7647,-0.2945,0.9755,0,0,0,0,0,0,1,4436
18649,460,588,949856,949669,5632,157,97,626586,73,127,1358,0,1,40,0.6613,0.4121,0.4042,0.0957,0.5601,0.4114,0.0,3.7438,2.1106,1.6721,-0.5958,-0.1463,1.0,0,0,0,0,0,0,1,18649
16624,39,212,1740121,1740188,5957,260,129,679238,43,124,1358,0,1,40,0.0574,0.4233,0.3771,0.1291,0.6364,0.5,0.0,3.7787,2.243,1.8129,-0.6229,-0.1874,1.0,0,0,1,0,0,0,0,16624
6442,1627,1637,1592233,1592247,169,18,23,16645,77,109,1692,1,0,80,0.0627,0.288,0.3913,0.0053,0.5,1.0,1.0,2.2279,0.9542,1.3617,0.6087,-0.294,0.3464,0,0,0,0,0,0,1,6442
3926,1021,1036,2215716,2215730,69,10,19,61966,102,140,1692,1,0,70,0.4595,0.2742,0.5769,0.0065,0.8,1.0,1.0,1.8389,1.0414,1.2787,0.4231,-0.0277,0.2739,1,0,0,0,0,0,0,3926
2003,34,40,126951,126958,63,15,14,7202,102,124,1358,0,1,40,0.0,0.3036,0.4286,0.0044,0.4,1.0,1.0,1.7993,0.7782,1.1461,0.5714,-0.1331,0.1892,1,0,0,0,0,0,0,2003
8310,41,193,743010,743076,5753,209,117,602131,38,127,1358,0,1,40,0.0604,0.436,0.3758,0.1136,0.7512,0.4872,0.0,3.7599,2.1818,1.7559,-0.6242,-0.193,1.0,0,0,1,0,0,0,0,8310
12983,1675,1684,3577116,3577127,87,10,11,7881,71,109,1687,1,0,150,0.0133,0.2424,0.8182,0.0053,0.9,1.0,1.0,1.9395,0.9542,1.0414,0.1818,-0.2947,0.2051,0,0,0,0,0,0,1,12983
640,1610,1622,2412964,2412966,84,13,8,4585,33,82,1690,1,0,70,0.0071,0.2556,0.8,0.0071,0.9231,1.0,0.0,1.9243,1.0792,0.9031,-0.2,-0.5185,0.1852,0,0,0,0,0,0,1,640
617,1682,1688,1874382,1874415,116,18,28,5361,35,86,1692,1,0,70,0.0024,0.4074,0.2069,0.0036,0.3333,1.0,1.0,2.0645,0.7782,1.5051,0.7931,-0.4836,0.2984,0,0,0,0,0,0,1,617
474,1678,1687,929482,929513,148,24,39,14763,71,117,1654,1,0,80,0.0049,0.3952,0.3611,0.0055,0.375,1.0,1.0,2.1703,0.9542,1.5563,0.6389,-0.294,0.4498,0,0,0,0,0,0,1,474
1310,823,844,936743,936828,204,33,18,22478,85,133,1356,1,0,70,0.0354,0.7549,0.3846,0.028,0.6944,0.7308,0.0,2.3096,1.5798,1.1139,-0.6154,-0.1582,0.8355,0,0,0,0,0,0,1,1310
4779,828,832,908650,908650,68,14,14,6857,108,132,1353,0,1,185,0.3632,0.2083,0.5294,0.0035,0.4286,1.0,1.0,1.8325,0.7782,1.1461,0.4706,-0.0949,0.1892,0,0,0,0,0,0,1,4779
14511,41,214,1527208,1527274,6525,238,156,674367,38,127,1358,0,1,40,0.0604,0.4285,0.3918,0.1274,0.7269,0.4295,0.0,3.8146,2.238,1.8261,-0.6082,-0.1926,1.0,0,0,1,0,0,0,0,14511
12350,1152,1162,2315086,2315172,196,24,25,22532,104,133,1627,0,1,40,0.2188,0.3025,0.64,0.0106,0.75,1.0,1.0,2.2923,1.2553,1.3979,0.36,-0.1187,0.6574,0,0,0,0,0,0,1,12350
3643,516,528,2083961,2083975,69,15,11,7882,84,126,1688,1,0,70,0.6026,0.2083,0.8571,0.0071,0.8,1.0,0.0,1.8389,1.0792,1.0792,-0.1429,-0.1652,0.2901,0,0,0,0,0,1,0,3643
10353,1244,1251,236266,236280,57,10,14,6657,90,117,1360,1,0,100,0.1456,0.449,0.5,0.0052,0.7,1.0,1.0,1.7559,0.8451,1.1461,0.5,-0.2031,0.204,0,1,0,0,0,0,0,10353
3528,37,194,1682722,1682891,11505,634,359,1375431,27,141,1402,0,1,40,0.0556,0.4854,0.9483,0.1091,0.2633,0.4471,1.0,4.0609,2.1847,2.2279,0.0517,-0.1077,1.0,0,0,1,0,0,0,0,3528
15401,595,607,398801,398815,279,15,24,32335,105,127,1362,0,1,40,0.7463,0.2431,0.5714,0.0071,0.8,1.0,1.0,2.4456,1.0792,1.3802,0.4286,-0.1063,0.6236,0,0,0,0,0,1,0,15401
4902,825,834,82308,82319,42,10,8,4277,105,126,1360,0,1,40,0.7698,0.625,0.5,0.0066,0.9,1.0,0.0,1.6233,0.9542,0.9031,-0.5,-0.1053,0.1773,0,0,0,0,0,0,1,4902
19173,843,857,612201,612252,415,46,52,53843,89,135,1364,0,1,175,0.0707,0.5255,0.1477,0.0095,0.2857,0.9815,1.0,2.6107,1.1139,1.6335,0.8523,-0.1261,0.9849,0,0,0,0,0,0,1,19173
16178,899,907,1042404,1042410,67,19,13,9944,145,159,1360,1,0,100,0.8485,0.4619,0.8571,0.0101,0.8421,0.9231,0.0,1.8261,1.1461,1.0792,-0.1429,0.1903,0.2901,0,0,0,0,0,1,0,16178
993,1212,1220,12416454,12416473,105,20,14,10702,75,126,1624,1,0,70,0.1952,0.6539,0.9286,0.008,0.65,0.9286,0.0,2.0212,1.1139,1.1139,-0.0714,-0.1686,0.3097,0,0,0,0,0,1,0,993
11340,0,13,471955,472005,110,28,23,9247,73,108,1354,1,0,70,0.0,0.5385,0.4737,0.0118,0.6471,0.8461,1.0,2.0414,1.2041,1.3617,0.5263,-0.2663,0.374,0,1,0,0,0,0,0,11340
10010,621,632,1037445,1037462,145,17,18,14809,84,126,1358,0,1,50,0.9148,0.2,0.7778,0.0081,0.6471,1.0,1.0,2.1614,1.0414,1.2553,0.2222,-0.2043,0.417,0,0,0,0,0,1,0,10010
6505,1393,1401,161984,161995,84,13,11,8091,80,103,1694,1,0,150,0.9669,0.3131,0.9167,0.0083,0.6154,0.9091,0.0,1.9243,1.1461,1.0414,-0.0833,-0.281,0.7933,0,0,0,0,0,0,1,6505
6888,905,916,2032058,2032067,74,12,10,8127,102,127,1356,1,0,70,0.8118,0.1852,0.9,0.0066,0.75,1.0,0.0,1.8692,0.9542,1.0,-0.1,-0.1078,0.1954,0,0,0,0,0,0,1,6888
1866,1268,1285,261033,261064,196,30,24,18986,68,127,1364,0,1,40,0.1389,0.3526,0.625,0.0088,0.5,1.0,1.0,2.2923,1.1761,1.3802,0.375,-0.1986,0.633,0,0,0,0,0,0,1,1866
3242,41,209,4440514,4440576,6484,295,138,666047,43,124,1358,0,1,40,0.0604,0.4325,0.3882,0.1237,0.5944,0.4516,0.0,3.8077,2.2253,1.8389,-0.6118,-0.1739,1.0,0,0,1,0,0,0,0,3242
9347,781,818,73427,735528,1107,709,604,121595,21,141,1396,0,1,50,0.7107,0.4103,0.2105,0.0228,0.0782,0.9884,1.0,4.038,1.4914,2.776,0.7895,-0.0242,1.0,0,0,0,0,0,0,1,9347
9295,39,214,2896951,2897015,6276,265,136,618954,51,127,1356,0,1,40,0.0546,0.4569,0.4,0.1291,0.6604,0.5,0.0,3.7977,2.243,1.8195,-0.6,-0.1861,1.0,0,0,1,0,0,0,0,9295
18132,923,931,28542,28553,84,12,12,8949,77,132,1692,1,0,60,0.8664,0.303,0.9167,0.0065,0.9167,1.0,1.0,1.9243,1.0414,1.0792,0.0833,-0.1923,0.2432,0,0,0,0,0,1,0,18132
14965,1122,1133,507537,507548,192,29,28,24547,97,134,1687,1,0,80,0.6483,0.4115,0.5454,0.0089,0.4828,0.8214,1.0,2.2878,1.1761,1.3424,0.4545,-0.0971,0.4366,0,0,0,0,0,1,0,14965
13101,41,217,294065,294091,5499,262,127,427722,23,126,1358,0,1,40,0.0604,0.4347,0.4627,0.1303,0.5687,0.4355,0.0,3.7646,2.248,1.8751,-0.5373,-0.1865,1.0,0,0,1,0,0,0,0,13101
1121,733,740,4025551,4025564,194,19,23,19202,66,124,1387,0,1,40,0.9277,0.2464,0.3913,0.0065,0.4737,1.0,1.0,2.2833,0.9542,1.3617,0.6087,-0.2252,0.4564,0,0,0,0,0,0,1,1121
2656,507,517,936743,936828,78,12,9,8127,91,132,1690,1,0,70,0.6696,0.3254,0.8125,0.0077,0.8333,1.0,0.0,1.8921,1.1139,0.9542,-0.1875,-0.1394,0.2469,0,0,0,0,0,1,0,2656
9246,647,667,701399,701451,444,66,53,48231,77,124,1356,0,1,40,0.9243,0.5067,0.36,0.0155,0.55,0.9815,1.0,2.6474,1.3222,1.7243,0.64,-0.2037,0.9818,0,0,0,0,0,0,1,9246
14897,1033,1050,1048818,1048832,61,27,12,7446,116,141,1650,1,0,69,0.4047,0.4167,0.8125,0.0124,0.7576,0.75,0.0,1.7853,1.3222,0.9542,-0.1875,0.0043,0.2699,0,0,0,0,0,0,1,14897
11504,1155,1167,2433721,2433660,78,14,11,8757,67,124,1688,1,0,70,0.6505,0.2159,0.9091,0.0081,0.7857,1.0,0.0,1.8976,1.0414,1.0414,-0.0909,-0.2186,0.2173,0,0,0,0,0,0,1,11504
4884,39,212,2896951,2897015,6509,263,135,682403,41,126,1358,0,1,40,0.0574,0.4237,0.3815,0.1274,0.6314,0.4925,0.0,3.8193,2.238,1.8325,-0.6185,-0.1852,1.0,0,0,1,0,0,0,0,4884
11457,1058,1069,1757997,1758011,57,16,17,6685,102,141,1623,1,0,100,0.3621,0.3736,0.7647,0.008,0.8125,0.7647,0.0,1.7559,1.1139,0.9031,-0.2353,-0.0513,0.1934,0,0,0,0,0,1,0,11457
