"name","critic_score","user_score"
"The Last of Us Remastered for PS4",9.5,9.1
"Gran Turismo 4 for PS2",8.7,null
"Animal Crossing: Wild World for DS",8.5,null
"Super Mario Land 2: 6 Golden Coins for GB",9,8.5
"Grand Theft Auto IV for X360",10,null
"Super Mario 64 DS for DS",8.6,null
"God of War (2018) for PS4",9.7,10
"StarCraft for PC",8.7,null
"FIFA 17 for PS4",8.9,4.8
"Gran Turismo for PS",9.5,null
"The Witcher 3: Wild Hunt for PS4",9.2,9.2
"Call of Duty: Modern Warfare 2 for PS3",9.5,null
"Grand Theft Auto IV for PS3",10,9
"Super Mario All-Stars for SNES",9.2,9.5
"Call of Duty: Ghosts for X360",6.9,null
"Just Dance 3 for Wii",7.5,null
"Call of Duty: Ghosts for PS3",7.5,null
"Splatoon 2 for NS",8.2,8.5
"Super Mario Party for NS",7.3,7.5
"Horizon: Zero Dawn for PS4",9.1,8
"RollerCoaster Tycoon 3 for PC",8.3,null
"Halo: Reach for X360",9.3,null
"Portal for PC",9,null
"Halo 4 for X360",9.8,null
"Final Fantasy VII for PS",9.6,9.5
"Mario Kart 64 for N64",8.5,null
"Super Smash Bros. for 3DS for 3DS",8.4,null
"Call of Duty 4: Modern Warfare for X360",9.6,9
"Gran Turismo 2 for PS",9.2,null
"Wii Party for Wii",7,null
"Call of Duty: Black Ops IIII for PS4",8.3,4
"Mario Party DS for DS",7.1,null
"Uncharted 3: Drake's Deception for PS3",9.3,6.3
"Donkey Kong Country for SNES",9,8.8
"Half-Life for PC",9.5,null
"FIFA 19 for PS4",8.3,1.7
"Rust for PC",6.1,6.2
"The Elder Scrolls V: Skyrim for X360",9.3,null
"Mario Party 8 for Wii",6.5,null
"Pokemon: Ultra Sun and Ultra Moon for 3DS",8.1,null
"Super Mario Kart for SNES",10,null
"Grand Theft Auto V for XOne",9,9
"Final Fantasy X for PS2",9,10
"Final Fantasy VIII for PS",9.4,null
"Pokemon Black 2 and White 2 for DS",8,8.3
"Call of Duty: Infinite Warfare for PS4",7.7,3.8
"Fallout 4 for PS4",8.6,6.6
"Mario Kart 8 for WiiU",8.8,8.9
"Tekken 3 for PS",9.6,null
"FIFA 16 for PS4",8.5,4.4
"The Last of Us for PS3",9.5,null
"GoldenEye 007 for N64",9.8,null
"Star Wars Battlefront (2015) for PS4",7.1,null
"Halo 2 for XB",9.6,null
"NBA 2K20 for PS4",7.8,1.2
"The Sims 3 for PC",8.5,null
"Grand Theft Auto: Liberty City Stories for PSP",8.8,null
"Pac-Man for 2600",9,7.4
"Pokemon Platinum Version for DS",8.3,8.9
"The Legend of Zelda: Ocarina of Time for N64",9.9,10
"God of War III for PS3",9.2,9.4
"Crash Bandicoot 2: Cortex Strikes Back for PS",8.6,null
"Call of Duty: Advanced Warfare for PS4",8.5,5.7
"Call of Duty: World at War for X360",8.5,7.8
"Super Mario Bros. 2 for NES",8.5,8.1
"Super Mario Galaxy 2 for Wii",9.7,9.8
"Super Smash Bros. Melee for GC",9.2,null
"Battlefield 3 for X360",8.5,null
"The Legend of Zelda: Twilight Princess for Wii",9.5,9.6
"Battlefield 1 for PS4",9.1,7.9
"Battlefield 3 for PS3",8.5,null
"Need for Speed Underground for PS2",8.6,null
"The Binding of Isaac for PC",8.3,8.4
"FIFA 20 for PS4",7.9,1.1
"Crash Bandicoot 3: Warped for PS",9.3,null
"Pokemon Emerald Version for GBA",7.7,null
"Guild Wars 2 for PC",9,8.1
"Need for Speed Underground 2 for PS2",8.3,null
"Mario Kart: Double Dash!! for GC",8.5,null
"Medal of Honor: Frontline for PS2",9,null
"Crash Bandicoot for PS",7.8,null
"Uncharted 2: Among Thieves for PS3",9.5,9.6
"Call of Duty 4: Modern Warfare for PS3",9.5,9.6
"FIFA Soccer 12 for PS3",9.2,null
"FIFA 14 for PS3",9,null
"New Super Mario Bros. U Deluxe for NS",8,6.6
"Fallout 4 for PC",9,5.5
"Tomodachi Life for 3DS",7.8,7.6
"Red Dead Redemption for PS3",9.5,null
"Donkey Kong Country Returns for Wii",8.6,null
"The Legend of Zelda for NES",8.4,8.8
"Assassin's Creed III for PS3",8.8,null
"Guild Wars for PC",8.7,null
"Red Dead Redemption for X360",9.5,10
"The Elder Scrolls V: Skyrim for PS3",9,null
"Final Fantasy XII for PS2",9.4,9.5
"Pokemon Crystal Version for GBC",8.7,null
"Halo 3: ODST for X360",8.7,null
"Minecraft for PS4",9.4,null
"Luigi's Mansion 3 for NS",8.6,8.5
"FIFA 15 for PS4",8.1,5.7
"Kingdom Hearts for PS2",8.5,null
"Myst for PC",8.9,8
"Driver for PS",8.5,null
"Call of Duty: WWII for XOne",8,4
"Luigi's Mansion: Dark Moon for 3DS",8.6,8.5
"Big Brain Academy for DS",7.7,null
"Minecraft for PS3",9.5,null
"Metal Gear Solid 2: Sons of Liberty for PS2",9.5,7
"The Legend of Zelda: Ocarina of Time 3D for 3DS",9.3,9
"Metal Gear Solid 4: Guns of the Patriots for PS3",9.3,9.8
"Metal Gear Solid for PS",9.3,null
"Cities: Skylines for PC",8.5,8.9
"Euro Truck Simulator 2 for PC",8.5,8.7
"Mario Kart: Super Circuit for GBA",9.3,null
"Super Mario Sunshine for GC",9.2,null
"Super Mario 3D World for WiiU",9.5,8.9
"Age of Empires II: HD Edition for PC",6.8,7.9
"New Super Mario Bros. U for WiiU",8.4,8
"Link's Crossbow Training for Wii",6.9,null
"Red Dead Redemption 2 for XOne",9.7,7.4
"Destiny for PS4",7.6,6.1
"Tekken 2 for PS",9.1,null
"Uncharted: The Nathan Drake Collection for PS4",8.6,8.5
"Super Mario World: Super Mario Advance 2 for GBA",9.4,null
"LEGO Star Wars: The Complete Saga for Wii",8,null
"Cooking Mama for DS",6.6,null
"Super Mario Advance for GBA",8.2,null
"Assassin's Creed II for PS3",9,null
"Assassin's Creed for X360",8.2,8
"Super Smash Bros. for N64",8.4,null
"Batman: Arkham City for PS3",9.6,null
"Forza Motorsport 3 for X360",9.2,9.8
"Dragon Quest IX: Sentinels of the Starry Skies for DS",8.6,null
"Final Fantasy IX for PS",9.2,null
"Final Fantasy X-2 for PS2",8.3,null
"Sid Meier's Civilization VI for PC",8.8,7
"Tomb Raider (2013) for PC",8.8,null
"Super Mario Maker 2 for NS",8.8,8.5
"Pokemon Stadium for N64",7.5,null
"Super Mario Advance 4: Super Mario Bros. 3 for GBA",9.2,null
"Call of Duty: World at War for PS3",8.4,null
"Crash Bandicoot: The Wrath of Cortex for PS2",6.9,null
"Super Smash Bros. for Wii U for WiiU",9.2,8.9
"Final Fantasy XIII for PS3",8,9.2
"Gran Turismo 5 Prologue for PS3",8.3,null
"Pokemon Pinball for GBC",8.7,null
"Assassin's Creed III for X360",8.5,null
"Assassin's Creed II for X360",9.1,null
"The Forest for PC",8.3,7.3
"Donkey Kong 64 for N64",9.3,null
"Just Dance 2 for Wii",7.3,null
"Tomb Raider II for PS",7.6,null
"Madden NFL 2004 for PS2",9.5,null
"Call of Duty: Advanced Warfare for XOne",8.3,5.5
"Fallout: New Vegas for PC",8.3,null
"Kingdom Hearts II for PS2",8.3,null
"Nintendo Land for WiiU",7.8,7.9
"Super Mario Land 3: Wario Land for GB",7.9,null
"Donkey Kong Country 2: Diddy's Kong Quest for SNES",9.3,null
"Medal of Honor: Rising Sun for PS2",5.9,null
"Battlefield 1 for XOne",9.3,7.6
"Microsoft Flight Simulator for PC",7,null
"Guitar Hero II for PS2",9.2,null
"Resident Evil 5 for PS3",8.6,8.8
"Fable III for X360",7.8,null
"Mario & Sonic at the Olympic Games for DS",7,null
"Grand Theft Auto: Vice City Stories for PSP",8.4,null
"FIFA Soccer 11 for PS3",8.7,null
"Final Fantasy XV for PS4",8.1,9.5
"Super Mario Bros. Deluxe for GB",9.7,null
"Fallout 4 for XOne",8.4,6.4
"Tony Hawk's Pro Skater for PS",9.6,null
"Warzone 2100 for PS",7.5,null
"Spyro the Dragon for PS",8.7,null
"Gears of War for X360",9.4,9.4
"Gears of War 2 for X360",9.4,9.5
"Halo 5: Guardians for XOne",8.6,6.4
"Halo: Combat Evolved for XB",9.5,null
"Guitar Hero III: Legends of Rock for PS2",8.2,null
"Uncharted: Drake's Fortune for PS3",8.7,8.6
"Resident Evil 2 for PS",9.3,null
"Fallout 3 for X360",9,8.6
"Splatoon for WiiU",8.4,8.7
"Madden NFL 06 for PS2",9.1,null
"Stardew Valley for PC",9.2,8.7
"Dragon Quest VIII: Journey of the Cursed King for PS2",8.6,null
"Pokemon Mystery Dungeon: Explorers of Time / Darkness for DS",6.4,null
"Diddy Kong Racing for N64",8.3,null
"Crash Bandicoot N. Sane Trilogy for PS4",8,8.5
"Assassin's Creed for PS3",8.2,8.5
"Call of Duty: Infinite Warfare for XOne",7.8,3.6
"Crash Team Racing for PS",9.2,null
"LEGO Star Wars: The Complete Saga for DS",7.8,null
"The Legend of Zelda: Phantom Hourglass for DS",9.1,null
"Batman: Arkham City for X360",9.5,null
"Driver 2 for PS",7,null
"The Simpsons: Hit & Run for PS2",7.7,null
"World of Warcraft: Cataclysm for PC",9,null
"Tony Hawk's Pro Skater 2 for PS",9.3,null
"Gran Turismo for PSP",7.7,9.5
"The Lord of the Rings: The Two Towers for PS2",8.3,null
"Tomb Raider for PS",8.9,null
"God of War for PS2",9.3,null
"The Legend of Zelda: A Link to the Past for SNES",10,null
"Left 4 Dead for PC",8.6,8.5
"Guitar Hero III: Legends of Rock for Wii",8.6,null
"Forza Motorsport 4 for X360",9.1,null
"Nintendogs + cats for 3DS",7.2,null
"""Pokemon: Let's Go, Pikachu! for NS""",8.3,6.1
"BioShock Infinite for PC",9.5,8.6
"Mario & Luigi: Bowser's Inside Story for DS",9.1,null
"FIFA 15 for PS3",6.9,null
"Overwatch for PS4",8.8,6.4
"Mario & Sonic at the Olympic Winter Games for Wii",6.8,null
"Madden NFL 2005 for PS2",9.5,null
"Guitar Hero III: Legends of Rock for X360",8.7,null
"Dead Island for PC",7.1,6.9
"Warcraft III: Reign of Chaos for PC",9.3,null
"StarCraft II: Wings of Liberty for PC",9.3,null
"LittleBigPlanet for PS3",9.4,9.2
"ARK: Survival Evolved for PC",7,5.2
"Professor Layton and the Curious Village for DS",8.7,null
"Madden NFL 07 for PS2",8.5,null
"Spider-Man: The Movie for PS2",8.2,null
"The Elder Scrolls IV: Oblivion for X360",9.2,null
"The Legend of Zelda: The Wind Waker for GC",9.6,null
"Tony Hawk's Pro Skater 3 for PS2",9.1,null
"Winning Eleven: Pro Evolution Soccer 2007 for PS2",8.8,null
"The Legend of Zelda: Link's Awakening for NS",8.7,8.4
"Michael Jackson: The Experience for Wii",5.6,null
"Tom Clancy's The Division for PS4",8,7
"Need for Speed: Most Wanted for PS2",8.6,null
"Resistance: Fall of Man for PS3",8.5,9.1
"Call of Duty: Advanced Warfare for X360",9.1,null
"Animal Crossing: City Folk for Wii",7.1,8.8
"Watch Dogs for PS4",8,6.4
"Starbound for PC",8.1,7.1
"Asteroids for 2600",7.6,7.8
"Dragon Quest VII for PS",8,3
"Monster Hunter Generations for 3DS",8.8,8
"The Witcher 3: Wild Hunt for XOne",9.1,9.2
"Batman: Arkham Asylum for PS3",9,null
"Call of Duty: Advanced Warfare for PS3",9.1,null
"Namco Museum for GBA",8.5,null
"God of War II for PS2",9.3,9.8
"Daxter for PSP",8.6,null
"Super Paper Mario for Wii",8.5,null
"Assassin's Creed: Revelations for PS3",8.8,null
"Metal Gear Solid 3: Snake Eater for PS2",9,null
"Assassin's Creed: Revelations for X360",7.9,null
"FIFA Soccer 06 for PS2",8.4,null
"Counter-Strike for PC",8.9,null
"Monster Hunter 4 Ultimate for 3DS",8.8,8.6
"Mortal Kombat 11 for PS4",8.2,3.6
"Street Fighter IV for PS3",9.3,9
"FIFA Soccer 12 for X360",9.2,null
"Call of Duty: Ghosts for PS4",7.5,3.8
"Teenage Mutant Ninja Turtles for NES",5.9,null
"Just Cause 2 for PC",8.2,null
"Excitebike for NES",8.4,null
"Frogger for PS",2,null
"Star Wars Battlefront (2015) for XOne",6.9,null
"FIFA 14 for X360",9.1,null
"Destiny 2 for PS4",8.5,4.9
"Madden NFL 2003 for PS2",9.4,null
"Super Mario World 2: Yoshi's Island for SNES",9,null
"Batman: Arkham Knight for PS4",8.1,7.8
"FIFA 07 Soccer for PS2",8.4,null
"The Sims 4 for PC",7,4
"Street Fighter II Turbo for SNES",9,null
"Fallout: New Vegas for X360",8.2,null
"The Legend of Zelda: A Link Between Worlds for 3DS",9.3,9
"Far Cry 4 for PS4",8.4,7.7
"Carnival Games for Wii",4.2,null
"World Soccer Winning Eleven 9 for PS2",8.9,null
"Assassin's Creed Origins for PS4",8.1,7.2
"Forza Motorsport 2 for X360",9.1,null
"Tekken Tag Tournament for PS2",8.7,null
"Super Mario Maker for WiiU",8.8,8.7
"Monster Hunter: World for PS4",9.3,9
"Fallout 3 for PS3",8.8,null
"The Last of Us: Part II for PS4",9.4,5.6
"Star Fox 64 for N64",9,null
"World of Warcraft: Wrath of the Lich King for PC",9.3,9.3
"Just Dance for Wii",5.4,null
"Diablo II for PC",8.8,null
"EyeToy Play for PS2",7.5,null
"The Elder Scrolls V: Skyrim for PC",9.2,8.2
"Namco Museum: 50th Anniversary for PS2",5,null
"NBA 2K16 for PS4",8.7,6.7
"Left 4 Dead 2 for X360",9,null
"Far Cry 5 for PS4",7.9,6.8
"Assassin's Creed IV: Black Flag for PS3",8.7,null
"Battlefield 4 for PS4",8.3,7
"EA Sports Active for Wii",8.3,null
"Half-Life 2: Episode One for PC",8.7,null
"Dragon Quest III for NES",null,8
"Tony Hawk's Underground for PS2",8.7,null
"Just Dance 2014 for Wii",7.4,null
"Professor Layton and the Diabolical Box for DS",8.5,null
"Sports Champions for PS3",7.6,null
"World Soccer Winning Eleven 8 International for PS2",9.3,null
"Resident Evil VII: Biohazard for PS4",8.6,null
"Monster Hunter Freedom Unite for PSP",7.7,9.7
"Madden NFL 20 for PS4",7.6,1.5
"Gran Turismo Sport for PS4",7.5,6
"LEGO Indiana Jones: The Original Adventures for X360",7.5,null
"The Sims: Unleashed for PC",7.3,null
"Ratchet & Clank: Size Matters for PSP",8.5,null
"Harry Potter and the Sorcerer's Stone for PS",8,null
"Pokemon Trading Card Game for GB",8.3,null
"FIFA 17 for XOne",8.8,5.1
"Spyro: Year of the Dragon for PS",9.1,null
"FIFA Soccer 2005 for PS2",8.4,null
"Diablo III: Reaper of Souls for PC",8.7,6.6
"The Legend of Zelda: Skyward Sword for Wii",9.4,null
"Tony Hawk's Pro Skater 4 for PS2",9.6,null
"MySims for DS",6.7,null
"Midnight Club 3: DUB Edition for PSP",7.2,null
"Banjo-Kazooie for N64",9.3,9.4
