id,user_type,birth_year,gender,age
28523,Subscriber,1980.0,Unknown,44.0
34065,Subscriber,1946.0,Male,78.0
35572,Subscriber,1943.0,Male,81.0
44239,Subscriber,1973.0,Unknown,51.0
48511,Subscriber,1981.0,Unknown,43.0
49146,Subscriber,1996.0,Male,28.0
52932,Subscriber,1951.0,Female,73.0
54992,Subscriber,1955.0,Female,69.0
57991,Subscriber,1985.0,Unknown,39.0
59202,Subscriber,1953.0,Female,71.0
67584,Subscriber,,Unknown,
78787,Subscriber,1948.0,Female,76.0
81113,Subscriber,1944.0,Female,80.0
88547,Subscriber,1946.0,Female,78.0
91113,Subscriber,1999.0,Female,25.0
94626,Subscriber,2000.0,Male,24.0
100272,Customer,1984.0,Male,40.0
100536,Customer,1987.0,Male,37.0
111750,Customer,1992.0,Male,32.0
112337,Subscriber,1940.0,Male,84.0
113101,Customer,1989.0,Female,35.0
113143,Customer,1985.0,Male,39.0
113150,Customer,1981.0,Female,43.0
115472,Subscriber,1974.0,Unknown,50.0
117223,Customer,1990.0,Male,34.0
117246,Customer,1974.0,Male,50.0
117248,Customer,1979.0,Female,45.0
118508,Customer,1991.0,Female,33.0
118509,Customer,1983.0,Male,41.0
119670,Customer,1988.0,Male,36.0
119826,Customer,1977.0,Male,47.0
120186,Customer,1980.0,Male,44.0
126787,Customer,1983.0,Female,41.0
127540,Customer,1986.0,Female,38.0
128673,Subscriber,1943.0,Female,81.0
135296,,1980.0,Female,44.0
136212,Subscriber,1934.0,Female,90.0
137176,,1998.0,Male,26.0
137178,,1997.0,Male,27.0
137201,,1975.0,Female,49.0
140375,,1962.0,Male,62.0
142238,,1979.0,Male,45.0
142482,,1990.0,Female,34.0
142886,,1992.0,Male,32.0
142939,,1981.0,Female,43.0
142940,,1980.0,Male,44.0
145033,,1990.0,Male,34.0
145157,,1983.0,Male,41.0
145704,,1979.0,Female,45.0
145782,,1982.0,Male,42.0
145784,,1982.0,Female,42.0
146093,,1988.0,Female,36.0
146132,,1969.0,Male,55.0
147437,,1991.0,Female,33.0
147446,,1992.0,Female,32.0
148881,,1989.0,Female,35.0
149804,Subscriber,1940.0,Female,84.0
149923,,1970.0,Female,54.0
149924,,1964.0,Male,60.0
150000,,1972.0,Male,52.0
150002,,1974.0,Female,50.0
150853,,1947.0,Male,77.0
150920,,1984.0,Male,40.0
151091,,1989.0,Male,35.0
151144,,1985.0,Female,39.0
151484,,1988.0,Male,36.0
151488,,1987.0,Female,37.0
151648,,1978.0,Male,46.0
151653,,1971.0,Male,53.0
151687,,1986.0,Female,38.0
151729,Subscriber,1942.0,Male,82.0
151965,,1976.0,Male,48.0
156869,,1995.0,Female,29.0
157758,,1958.0,Male,66.0
158688,Subscriber,1947.0,Female,77.0
158815,,1973.0,Male,51.0
160550,,1994.0,Male,30.0
164275,Subscriber,1937.0,Male,87.0
165424,Subscriber,1968.0,Unknown,56.0
166446,,1974.0,Male,50.0
167216,,1984.0,Female,40.0
170475,,1993.0,Female,31.0
172847,,1961.0,Male,63.0
172849,,1962.0,Female,62.0
174214,,1970.0,Male,54.0
174325,,1981.0,Male,43.0
175878,Subscriber,1976.0,Unknown,48.0
176095,,1985.0,Male,39.0
179917,,1991.0,Male,33.0
188821,,1967.0,Male,57.0
199171,Subscriber,1989.0,Unknown,35.0
201300,,1944.0,Female,80.0
214018,,1969.0,Female,55.0
214143,Customer,1967.0,Male,57.0
214144,Customer,1966.0,Male,58.0
215056,Subscriber,1900.0,Male,124.0
215148,,1995.0,Male,29.0
224554,,1959.0,Male,65.0
225526,,1993.0,Male,31.0
229584,,1963.0,Male,61.0
230309,Customer,1988.0,Female,36.0
230566,,1960.0,Male,64.0
238267,,1978.0,Female,46.0
