date_key,full_date,month,day,month_name,day_name,financial_qtr,weekend
205,2016-07-27,7,27,July,Wednesday,3,False
206,2016-07-28,7,28,July,Thursday,3,False
207,2016-07-29,7,29,July,Friday,3,False
208,2016-07-30,7,30,July,Saturday,3,True
209,2016-07-31,7,31,July,Sunday,3,True
210,2016-08-01,8,1,August,Monday,3,False
211,2016-08-02,8,2,August,Tuesday,3,False
212,2016-08-03,8,3,August,Wednesday,3,False
213,2016-08-04,8,4,August,Thursday,3,False
214,2016-08-05,8,5,August,Friday,3,False
215,2016-08-06,8,6,August,Saturday,3,True
216,2016-08-07,8,7,August,Sunday,3,True
217,2016-08-08,8,8,August,Monday,3,False
218,2016-08-09,8,9,August,Tuesday,3,False
219,2016-08-10,8,10,August,Wednesday,3,False
220,2016-08-11,8,11,August,Thursday,3,False
221,2016-08-12,8,12,August,Friday,3,False
222,2016-08-13,8,13,August,Saturday,3,True
223,2016-08-14,8,14,August,Sunday,3,True
224,2016-08-15,8,15,August,Monday,3,False
225,2016-08-16,8,16,August,Tuesday,3,False
226,2016-08-17,8,17,August,Wednesday,3,False
227,2016-08-18,8,18,August,Thursday,3,False
228,2016-08-19,8,19,August,Friday,3,False
229,2016-08-20,8,20,August,Saturday,3,True
230,2016-08-21,8,21,August,Sunday,3,True
231,2016-08-22,8,22,August,Monday,3,False
232,2016-08-23,8,23,August,Tuesday,3,False
233,2016-08-24,8,24,August,Wednesday,3,False
234,2016-08-25,8,25,August,Thursday,3,False
235,2016-08-26,8,26,August,Friday,3,False
236,2016-08-27,8,27,August,Saturday,3,True
237,2016-08-28,8,28,August,Sunday,3,True
238,2016-08-29,8,29,August,Monday,3,False
239,2016-08-30,8,30,August,Tuesday,3,False
240,2016-08-31,8,31,August,Wednesday,3,False
241,2016-09-01,9,1,September,Thursday,3,False
242,2016-09-02,9,2,September,Friday,3,False
243,2016-09-03,9,3,September,Saturday,3,True
244,2016-09-04,9,4,September,Sunday,3,True
245,2016-09-05,9,5,September,Monday,3,False
246,2016-09-06,9,6,September,Tuesday,3,False
247,2016-09-07,9,7,September,Wednesday,3,False
248,2016-09-08,9,8,September,Thursday,3,False
249,2016-09-09,9,9,September,Friday,3,False
250,2016-09-10,9,10,September,Saturday,3,True
251,2016-09-11,9,11,September,Sunday,3,True
252,2016-09-12,9,12,September,Monday,3,False
253,2016-09-13,9,13,September,Tuesday,3,False
254,2016-09-14,9,14,September,Wednesday,3,False
255,2016-09-15,9,15,September,Thursday,3,False
256,2016-09-16,9,16,September,Friday,3,False
257,2016-09-17,9,17,September,Saturday,3,True
258,2016-09-18,9,18,September,Sunday,3,True
259,2016-09-19,9,19,September,Monday,3,False
260,2016-09-20,9,20,September,Tuesday,3,False
261,2016-09-21,9,21,September,Wednesday,3,False
262,2016-09-22,9,22,September,Thursday,3,False
263,2016-09-23,9,23,September,Friday,3,False
264,2016-09-24,9,24,September,Saturday,3,True
265,2016-09-25,9,25,September,Sunday,3,True
266,2016-09-26,9,26,September,Monday,3,False
267,2016-09-27,9,27,September,Tuesday,3,False
268,2016-09-28,9,28,September,Wednesday,3,False
269,2016-09-29,9,29,September,Thursday,3,False
270,2016-09-30,9,30,September,Friday,3,False
271,2016-10-01,10,1,October,Saturday,4,True
272,2016-10-02,10,2,October,Sunday,4,True
273,2016-10-03,10,3,October,Monday,4,False
274,2016-10-04,10,4,October,Tuesday,4,False
275,2016-10-05,10,5,October,Wednesday,4,False
276,2016-10-06,10,6,October,Thursday,4,False
277,2016-10-07,10,7,October,Friday,4,False
278,2016-10-08,10,8,October,Saturday,4,True
279,2016-10-09,10,9,October,Sunday,4,True
280,2016-10-10,10,10,October,Monday,4,False
281,2016-10-11,10,11,October,Tuesday,4,False
282,2016-10-12,10,12,October,Wednesday,4,False
283,2016-10-13,10,13,October,Thursday,4,False
284,2016-10-14,10,14,October,Friday,4,False
285,2016-10-15,10,15,October,Saturday,4,True
286,2016-10-16,10,16,October,Sunday,4,True
287,2016-10-17,10,17,October,Monday,4,False
288,2016-10-18,10,18,October,Tuesday,4,False
289,2016-10-19,10,19,October,Wednesday,4,False
290,2016-10-20,10,20,October,Thursday,4,False
291,2016-10-21,10,21,October,Friday,4,False
292,2016-10-22,10,22,October,Saturday,4,True
293,2016-10-23,10,23,October,Sunday,4,True
294,2016-10-24,10,24,October,Monday,4,False
295,2016-10-25,10,25,October,Tuesday,4,False
296,2016-10-26,10,26,October,Wednesday,4,False
297,2016-10-27,10,27,October,Thursday,4,False
298,2016-10-28,10,28,October,Friday,4,False
299,2016-10-29,10,29,October,Saturday,4,True
300,2016-10-30,10,30,October,Sunday,4,True
301,2016-10-31,10,31,October,Monday,4,False
302,2016-11-01,11,1,November,Tuesday,4,False
303,2016-11-02,11,2,November,Wednesday,4,False
304,2016-11-03,11,3,November,Thursday,4,False
305,2016-11-04,11,4,November,Friday,4,False
306,2016-11-05,11,5,November,Saturday,4,True
307,2016-11-06,11,6,November,Sunday,4,True
308,2016-11-07,11,7,November,Monday,4,False
309,2016-11-08,11,8,November,Tuesday,4,False
310,2016-11-09,11,9,November,Wednesday,4,False
311,2016-11-10,11,10,November,Thursday,4,False
312,2016-11-11,11,11,November,Friday,4,False
313,2016-11-12,11,12,November,Saturday,4,True
314,2016-11-13,11,13,November,Sunday,4,True
315,2016-11-14,11,14,November,Monday,4,False
316,2016-11-15,11,15,November,Tuesday,4,False
317,2016-11-16,11,16,November,Wednesday,4,False
318,2016-11-17,11,17,November,Thursday,4,False
319,2016-11-18,11,18,November,Friday,4,False
320,2016-11-19,11,19,November,Saturday,4,True
321,2016-11-20,11,20,November,Sunday,4,True
322,2016-11-21,11,21,November,Monday,4,False
323,2016-11-22,11,22,November,Tuesday,4,False
324,2016-11-23,11,23,November,Wednesday,4,False
325,2016-11-24,11,24,November,Thursday,4,False
326,2016-11-25,11,25,November,Friday,4,False
327,2016-11-26,11,26,November,Saturday,4,True
328,2016-11-27,11,27,November,Sunday,4,True
329,2016-11-28,11,28,November,Monday,4,False
330,2016-11-29,11,29,November,Tuesday,4,False
331,2016-11-30,11,30,November,Wednesday,4,False
332,2016-12-01,12,1,December,Thursday,4,False
333,2016-12-02,12,2,December,Friday,4,False
334,2016-12-03,12,3,December,Saturday,4,True
335,2016-12-04,12,4,December,Sunday,4,True
336,2016-12-05,12,5,December,Monday,4,False
337,2016-12-06,12,6,December,Tuesday,4,False
338,2016-12-07,12,7,December,Wednesday,4,False
339,2016-12-08,12,8,December,Thursday,4,False
340,2016-12-09,12,9,December,Friday,4,False
341,2016-12-10,12,10,December,Saturday,4,True
342,2016-12-11,12,11,December,Sunday,4,True
343,2016-12-12,12,12,December,Monday,4,False
344,2016-12-13,12,13,December,Tuesday,4,False
345,2016-12-14,12,14,December,Wednesday,4,False
346,2016-12-15,12,15,December,Thursday,4,False
347,2016-12-16,12,16,December,Friday,4,False
348,2016-12-17,12,17,December,Saturday,4,True
349,2016-12-18,12,18,December,Sunday,4,True
350,2016-12-19,12,19,December,Monday,4,False
351,2016-12-20,12,20,December,Tuesday,4,False
352,2016-12-21,12,21,December,Wednesday,4,False
353,2016-12-22,12,22,December,Thursday,4,False
354,2016-12-23,12,23,December,Friday,4,False
355,2016-12-24,12,24,December,Saturday,4,True
356,2016-12-25,12,25,December,Sunday,4,True
357,2016-12-26,12,26,December,Monday,4,False
358,2016-12-27,12,27,December,Tuesday,4,False
359,2016-12-28,12,28,December,Wednesday,4,False
360,2016-12-29,12,29,December,Thursday,4,False
361,2016-12-30,12,30,December,Friday,4,False
362,2016-12-31,12,31,December,Saturday,4,True
