Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1634,7.8,1.035,0.21,2.3,0.08,30.0,134.0,0.9964,3.23,0.58,9.9,6
1826,7.6,0.56,0.24,2.1,0.077,23.0,147.0,0.9979,3.37,0.54,9.4,5
793,10.5,0.32,0.63,2.4,0.093,5.0,16.0,0.9996,3.16,0.76,11.0,7
1772,7.7,0.6,0.26,2.3,0.07,31.0,145.0,0.99613,3.26,0.48,9.9,5
1203,9.3,0.69,0.28,1.4,0.085,13.0,47.0,0.99652,3.34,0.48,9.7,6
1995,8.3,0.56,0.24,2.4,0.077,5.0,10.0,0.99444,3.34,0.59,11.5,6
268,9.9,0.29,0.4,2.4,0.066,16.0,33.0,0.99572,3.39,0.67,11.7,6
395,7.7,0.59,0.28,2.7,0.0819999999999999,26.0,106.0,0.9963,3.22,0.48,9.5,6
1068,11.5,0.32,0.63,2.6,0.0819999999999999,12.0,29.0,0.9996,3.28,0.78,10.9,8
922,7.1,0.69,0.0,2.2,0.071,27.0,63.0,0.9963,3.48,0.5,9.7,5
1833,7.5,0.84,0.21,2.1,0.083,24.0,66.0,0.99836,3.38,0.56,9.7,5
2022,6.6,0.64,0.21,2.3,0.08,30.0,77.0,0.99534,3.38,0.52,11.0,6
2034,8.6,0.31,0.38,2.2,0.062,26.0,85.0,0.99577,3.17,0.46,10.0,5
2041,7.3,0.6,0.0,2.2,0.118,5.0,11.0,0.99636,3.38,0.62,9.95,6
74,7.0,0.56,0.02,2.0,0.077,31.0,54.0,0.9976,3.56,0.62,10.5,6
96,10.0,0.37,0.42,2.0,0.079,26.0,35.0,0.99528,3.14,0.74,10.1,8
239,7.2,0.52,0.06,1.6,0.062,13.0,45.0,0.9946,3.39,0.79,11.2,7
242,6.6,0.54,0.04,2.2,0.076,16.0,37.0,0.9955,3.6,0.63,10.0,6
1109,8.5,0.6,0.22,2.3,0.081,21.0,119.0,0.9968,3.27,0.56,9.3,5
1223,10.1,0.28,0.55,2.0,0.092,15.0,53.0,0.9994,3.19,0.62,10.0,6
362,7.5,0.58,0.2,1.9,0.073,34.0,151.0,0.9958,3.41,0.52,9.3,5
2027,7.7,0.4,0.16,2.7,0.06,20.0,49.0,0.9959,3.21,0.59,9.7,6
284,8.8,0.32,0.44,2.2,0.106,6.0,13.0,0.99836,3.27,0.57,11.8,6
1050,8.7,0.27,0.53,2.4,0.0819999999999999,7.0,18.0,0.99774,3.6,1.17,9.7,5
844,7.1,0.69,0.0,2.2,0.0969999999999999,36.0,51.0,0.99736,3.52,0.75,11.6,7
1286,7.9,0.53,0.06,2.6,0.076,32.0,54.0,0.99618,3.33,0.83,10.9,7
370,8.0,0.48,0.28,1.7,0.077,19.0,64.0,0.9947,3.26,0.58,9.7,5
1693,6.7,0.78,0.08,1.7,0.111,22.0,41.0,0.99593,3.41,0.66,10.5,6
501,6.7,0.68,0.0,1.6,0.052,7.0,11.0,0.99538,3.45,0.46,9.8,5
1239,7.0,0.735,0.01,2.3,0.08,34.0,68.0,0.99492,3.39,0.56,10.0,6
937,7.2,0.39,0.66,2.0,0.078,17.0,44.0,0.99647,3.21,0.49,9.8,5
1732,9.4,0.36,0.49,2.1,0.086,27.0,85.0,0.9964,3.39,0.71,10.9,5
1762,7.5,0.51,0.06,1.5,0.076,18.0,59.0,0.9948,3.39,0.39,10.6,6
190,6.6,0.48,0.31,2.2,0.086,26.0,46.0,0.9948,3.4,0.83,12.3,7
389,9.4,0.46,0.43,5.5,0.107,10.0,44.0,0.9978,3.28,0.8,11.0,6
1022,7.7,0.64,0.26,2.1,0.076,32.0,44.0,0.99622,3.28,0.56,9.9,6
1144,8.2,0.35,0.32,2.2,0.073,30.0,69.0,0.99242,3.3,0.73,12.6,6
1270,13.4,0.39,0.5,2.0,0.0819999999999999,6.0,19.0,1.0002,2.74,0.51,9.2,6
257,6.1,0.55,0.13,2.5,0.0559999999999999,14.0,20.0,0.99472,3.55,0.59,11.9,6
1399,7.9,0.6,0.26,1.7,0.074,32.0,141.0,0.99622,3.21,0.51,9.9,5
1540,9.8,0.41,0.49,2.3,0.084,35.0,152.0,0.9976,3.21,1.08,9.3,5
1683,11.1,0.62,0.66,2.2,0.084,11.0,40.0,0.9976,3.06,0.58,9.2,5
2019,7.1,0.49,0.2,3.4,0.068,11.0,24.0,0.9973,3.42,0.62,9.4,5
396,11.5,0.36,0.53,2.7,0.095,18.0,34.0,0.99546,3.16,0.82,13.4,7
1707,5.9,0.68,0.05,2.3,0.089,17.0,69.0,0.99252,3.56,0.49,12.5,6
5,9.9,0.51,0.44,2.2,0.111,30.0,134.0,0.9982,3.11,0.54,9.6,5
1661,7.0,0.59,0.01,1.6,0.063,12.0,31.0,0.99538,3.36,0.44,10.0,6
204,7.1,0.96,0.0,1.4,0.079,6.0,12.0,0.99668,3.37,0.56,9.5,5
23,5.9,0.22,0.01,1.8,0.0409999999999999,16.0,29.0,0.99258,3.38,0.71,11.0,6
42,7.8,0.44,0.29,2.8,0.098,19.0,59.0,0.9959,3.33,0.59,9.5,3
1816,11.9,0.57,0.08,2.8,0.092,5.0,28.0,0.9996,3.12,0.73,10.5,6
791,6.6,0.69,0.07,2.4,0.102,12.0,31.0,0.99458,3.5,0.52,10.9,7
1403,7.5,0.57,0.02,1.8,0.076,24.0,94.0,0.9961,3.38,0.52,9.5,5
1861,8.1,0.37,0.21,2.1,0.079,26.0,60.0,0.99656,3.3,0.7,9.5,5
330,6.7,0.88,0.04,2.1,0.061,4.0,10.0,0.9959,3.4,0.56,9.8,5
416,10.2,0.28,0.36,2.6,0.104,6.0,13.0,0.99708,3.27,0.64,10.0333333333333,6
43,8.4,0.48,0.42,2.6,0.106,5.0,19.0,0.9965,3.16,1.06,9.5,5
1496,6.0,0.46,0.24,1.9,0.086,18.0,34.0,0.9948,3.36,0.6,10.6,5
1973,7.5,0.66,0.1,1.7,0.105,9.0,24.0,0.99546,3.29,1.18,10.3,6
624,7.0,0.59,0.0,1.9,0.096,41.0,55.0,0.99627,3.41,0.56,10.8,5
1606,8.0,0.24,0.34,2.1,0.068,10.0,28.0,0.9968,3.3,0.86,10.7,6
1148,9.9,0.49,0.49,2.0,0.084,32.0,141.0,0.9976,3.21,0.54,9.6,5
1363,7.2,0.28,0.32,2.1,0.08,23.0,57.0,0.99629,3.28,0.56,11.2,6
1853,9.1,0.5,0.3,1.8,0.111,7.0,15.0,0.9973,3.28,0.62,9.1,6
1264,10.1,0.35,0.53,2.1,0.071,11.0,18.0,0.99534,3.2,0.77,12.2,6
576,6.9,0.56,0.01,2.7,0.078,26.0,31.0,0.99855,3.57,0.54,10.7,6
887,7.7,0.69,0.0,2.1,0.0579999999999999,16.0,37.0,0.99292,3.35,0.55,12.5,6
126,6.8,0.795,0.0,1.7,0.039,18.0,38.0,0.9952,3.36,0.52,10.9,5
1400,7.7,0.635,0.1,2.0,0.08,25.0,67.0,0.99557,3.37,0.69,9.4,5
798,10.4,0.47,0.44,2.0,0.093,16.0,33.0,0.9986,3.3,0.58,9.3,3
1412,7.8,0.69,0.06,1.8,0.078,31.0,38.0,0.99504,3.39,0.93,11.9,6
1696,8.2,0.38,0.38,2.2,0.044,10.0,86.0,0.99354,3.3,0.87,12.0,7
955,10.8,0.57,0.51,1.8,0.072,6.0,14.0,0.9972,3.05,0.57,9.5,5
865,10.2,0.27,0.53,2.1,0.06,6.0,15.0,0.9972,3.35,0.82,10.2,6
163,7.9,0.37,0.25,2.4,0.012,16.0,86.0,0.99645,3.43,0.73,10.4,6
792,8.8,0.67,0.24,2.6,0.077,22.0,59.0,0.9982,3.17,0.53,9.3,5
1414,8.0,0.22,0.35,1.7,0.067,4.0,8.0,0.99855,3.28,0.77,10.2,8
855,7.9,0.845,0.03,2.0,0.076,13.0,39.0,0.99627,3.32,0.54,10.1,5
676,9.4,0.43,0.14,5.1,0.079,33.0,94.0,0.99939,3.24,0.77,12.0,7
1210,7.7,0.32,0.32,2.8,0.079,51.0,77.0,0.99388,3.36,0.77,12.5,7
553,8.1,0.51,0.14,1.8,0.115,10.0,21.0,0.99572,3.37,0.73,9.3,7
452,7.1,0.84,0.21,1.8,0.059,25.0,48.0,0.99714,3.53,0.55,9.9,7
1570,8.0,0.48,0.68,2.3,0.414,5.0,20.0,0.9966,3.3,1.06,9.1,5
2038,10.4,0.32,0.43,2.4,0.061,25.0,42.0,0.9984,3.08,0.81,10.0,6
17,7.6,0.56,0.28,2.4,0.077,16.0,86.0,0.9969,3.22,0.64,9.8,6
467,8.3,0.38,0.21,2.5,0.0969999999999999,23.0,94.0,0.99694,3.2,0.48,9.3,6
789,7.8,0.68,0.12,1.8,0.114,3.0,9.0,0.99668,3.38,0.54,9.5,5
24,7.9,0.7,0.0,1.9,0.104,15.0,34.0,0.9966,3.31,0.67,9.7,5
1285,6.1,0.84,0.1,1.3,0.077,6.0,28.0,0.9966,3.59,0.57,10.4,5
905,7.1,0.51,0.17,2.1,0.077,25.0,85.0,0.99524,3.46,0.59,10.1,5
1869,7.7,0.45,0.2,1.9,0.102,26.0,35.0,0.9968,3.52,0.68,10.9,7
806,7.1,0.38,0.31,2.1,0.0559999999999999,6.0,14.0,0.99472,3.31,0.68,11.3,5
1706,7.0,0.69,0.1,3.0,0.088,33.0,76.0,0.99842,3.44,0.6,9.9,4
447,11.9,0.69,0.76,3.3,0.077,6.0,47.0,1.0004,3.16,0.61,9.0,5
13,6.7,0.52,0.28,1.8,0.088,23.0,91.0,0.9948,3.38,0.48,9.3,4
101,9.3,0.28,0.49,2.5,0.0819999999999999,17.0,110.0,0.9982,3.24,0.61,9.8,5
760,9.3,0.55,0.21,1.7,0.079,8.0,16.0,0.99448,3.14,0.45,10.3,6
1777,7.2,1.58,0.1,1.7,0.081,8.0,20.0,0.99628,3.3,0.49,10.9,6
852,7.9,0.705,0.01,2.0,0.07,31.0,92.0,0.9972,3.47,0.57,9.9,5
490,12.3,0.41,0.64,2.6,0.091,6.0,20.0,0.9994,3.2,0.66,10.8,6
696,7.7,0.69,0.21,2.6,0.087,68.0,124.0,0.9984,3.78,0.49,9.4,5
1644,7.1,0.43,0.3,2.5,0.07,40.0,55.0,0.9972,3.42,0.85,9.6,6
1276,9.8,0.59,0.23,3.4,0.214,40.0,64.0,0.99738,3.21,0.6,9.4,5
1242,8.7,0.44,0.4,2.2,0.094,6.0,14.0,0.998,3.31,0.93,9.5,6
1735,8.4,0.545,0.22,2.2,0.074,16.0,119.0,0.9967,3.3,0.55,9.1,4
1438,7.6,0.46,0.29,2.1,0.075,10.0,37.0,0.99294,3.31,0.63,12.1,6
29,10.8,0.5,0.55,2.2,0.077,15.0,33.0,0.9988,3.18,0.6,9.4,6
1465,7.9,0.31,0.42,2.1,0.074,24.0,44.0,0.99534,3.3,0.85,11.4,5
1658,7.1,0.68,0.0,2.2,0.085,32.0,52.0,0.9976,3.48,0.6,9.4,6
759,7.2,0.52,0.29,1.9,0.171,18.0,38.0,0.99692,3.35,0.64,10.1,6
1690,6.8,0.66,0.0,3.4,0.076,15.0,33.0,0.9948,3.56,0.52,13.566666666666698,6
660,7.5,0.6,0.03,2.5,0.0969999999999999,26.0,65.0,0.99736,3.38,0.47,9.7,5
1848,8.1,0.39,0.39,1.4,0.055,4.0,9.0,0.99498,3.34,0.62,11.2,5
1983,6.0,0.7,0.0,1.75,0.0409999999999999,6.0,12.0,0.99258,3.61,0.59,9.4,5
252,6.2,0.66,0.02,2.1,0.081,29.0,40.0,0.99534,3.53,0.78,11.8,6
1172,7.9,0.27,0.27,2.2,0.104,17.0,43.0,0.99716,3.52,0.73,10.1,5
1382,9.6,0.59,0.31,2.2,0.077,21.0,92.0,0.9988,3.12,0.48,9.4,5
180,7.4,0.585,0.17,2.7,0.0559999999999999,5.0,14.0,0.9976,3.19,0.48,9.5,6
1394,7.3,0.64,0.19,2.0,0.086,19.0,58.0,0.9974,3.59,0.62,9.8,5
1807,8.7,0.4,0.26,2.0,0.106,29.0,119.0,0.9982,3.26,0.56,9.3,6
1505,9.9,0.3,0.51,2.0,0.072,9.0,22.0,0.9982,3.25,0.76,11.0,6
1503,7.3,0.835,0.0,1.8,0.068,20.0,47.0,0.9956,3.2,0.56,9.2,5
1774,5.4,0.65,0.0,2.2,0.0969999999999999,11.0,65.0,0.99396,3.68,0.62,9.5,7
1638,6.7,0.69,0.08,2.1,0.122,14.0,21.0,0.99552,3.41,0.72,9.5,5
185,6.8,0.43,0.14,1.6,0.08,15.0,34.0,0.9955,3.35,0.44,9.9,5
1928,6.4,0.62,0.2,2.4,0.076,19.0,28.0,0.99489,3.5,0.59,11.6,5
216,7.0,0.955,0.0,2.4,0.0579999999999999,29.0,48.0,0.99362,3.36,0.48,12.4,5
808,9.3,0.61,0.49,2.7,0.1,11.0,65.0,0.9982,3.17,0.57,9.5,5
1946,5.6,0.48,0.02,2.1,0.063,7.0,15.0,0.9958,3.65,0.54,10.3,5
1730,10.9,0.47,0.58,2.2,0.095,15.0,35.0,0.9984,3.08,0.61,9.0,6
1705,8.2,0.54,0.12,1.6,0.066,15.0,33.0,0.9976,3.29,0.56,9.7,6
1800,7.0,0.38,0.25,2.4,0.081,27.0,67.0,0.99622,3.38,0.58,11.3,6
451,8.0,0.58,0.22,2.1,0.093,38.0,76.0,0.99584,3.3,0.55,10.9,6
1226,7.5,0.62,0.2,3.3,0.075,35.0,122.0,0.9978,3.21,0.52,9.2,5
142,7.7,0.6,0.26,2.0,0.079,29.0,53.0,0.99628,3.31,0.55,9.8,4
1185,10.4,0.28,0.48,5.5,0.093,6.0,17.0,0.99738,3.26,0.87,11.9,7
2039,11.5,0.24,0.47,2.6,0.075,6.0,15.0,0.9985,3.07,0.82,10.1,7
732,7.7,0.67,0.24,5.5,0.0819999999999999,11.0,46.0,0.9988,3.16,0.53,9.4,5
1734,6.9,0.46,0.43,1.8,0.073,24.0,94.0,0.9948,3.39,0.57,11.5,5
1810,5.8,0.52,0.04,1.8,0.054,18.0,44.0,0.9942,3.42,0.56,12.9,6
1760,9.3,0.22,0.24,1.6,0.078,10.0,39.0,0.99557,3.34,0.87,10.0,7
1757,8.8,0.24,0.09,2.5,0.077,6.0,20.0,0.99648,3.41,0.7,11.9,7
455,7.1,0.61,0.18,2.7,0.104,11.0,81.0,0.99736,3.52,0.72,9.7,5
851,6.3,0.49,0.2,1.9,0.077,16.0,40.0,0.9956,3.39,0.64,10.1,6
427,6.1,0.4,0.0,1.9,0.062,9.0,17.0,0.99672,3.56,0.56,10.5,5
1046,6.8,0.735,0.08,1.8,0.1,12.0,65.0,0.9964,3.45,0.52,9.5,4
1103,12.4,0.39,0.49,5.8,0.081,9.0,42.0,1.0022,3.03,0.57,9.4,6
2002,8.1,0.38,0.42,2.7,0.096,12.0,49.0,0.9968,3.1,0.73,9.5,6
253,7.0,0.885,0.26,2.2,0.087,32.0,140.0,0.9983,3.49,0.51,9.4,5
1904,7.8,0.6,0.25,2.3,0.075,21.0,102.0,0.99616,3.28,0.53,9.8,5
1149,9.9,0.67,0.21,2.6,0.071,6.0,27.0,0.9982,3.15,0.47,11.9,5
1676,6.7,0.32,0.33,1.8,0.0579999999999999,12.0,19.0,0.99362,3.47,0.65,10.3,6
1290,6.5,0.6,0.08,2.1,0.063,16.0,26.0,0.99538,3.44,0.68,10.2,3
1492,9.4,0.18,0.49,2.5,0.068,6.0,15.0,0.9976,3.25,0.57,10.8,6
368,9.6,0.27,0.35,1.7,0.066,10.0,21.0,0.99478,3.2,0.66,13.1,6
633,7.6,0.41,0.5,2.2,0.079,12.0,44.0,0.9959,3.12,0.7,9.3,6
422,7.6,0.68,0.21,2.1,0.069,9.0,68.0,0.99478,3.2,0.52,9.7,6
618,11.3,0.32,0.52,2.5,0.07,19.0,50.0,0.9983,3.32,0.77,10.5,6
358,8.3,0.64,0.26,1.9,0.089,19.0,122.0,0.99668,3.14,0.54,9.5,5
1913,6.0,0.705,0.1,1.8,0.07,5.0,20.0,0.9968,3.36,0.52,10.1,5
1677,10.8,0.54,0.64,2.8,0.107,11.0,23.0,0.9974,3.09,0.66,10.9,7
404,7.5,0.28,0.34,2.1,0.0819999999999999,28.0,133.0,0.9956,3.36,0.55,10.3,6
226,9.9,0.63,0.49,1.9,0.09,20.0,112.0,0.9991,3.03,0.63,9.6,4
737,7.7,0.61,0.28,1.5,0.074,5.0,35.0,0.9973,3.26,0.53,9.1,5
1860,9.1,0.27,0.34,4.8,0.0559999999999999,15.0,26.0,0.99586,3.28,0.82,12.8,7
1745,7.6,0.34,0.23,2.1,0.0819999999999999,17.0,92.0,0.9964,3.22,0.52,9.5,5
1846,6.1,0.885,0.0,2.6,0.068,6.0,15.0,0.9962,3.56,0.54,9.4,4
1517,9.1,0.36,0.34,2.0,0.073,48.0,82.0,0.99516,3.26,0.85,11.2,7
436,10.0,0.31,0.63,2.5,0.08,5.0,12.0,0.99842,3.31,0.66,9.7,6
146,7.0,0.36,0.3,1.6,0.074,29.0,46.0,0.99438,3.31,0.64,11.2,7
1685,8.0,0.3,0.41,2.3,0.098,4.0,9.0,0.99444,3.3,0.66,11.7,5
440,9.9,0.57,0.24,2.8,0.094,14.0,56.0,0.998,3.28,0.7,9.0,6
514,8.5,0.53,0.09,4.3,0.094,10.0,24.0,0.9976,3.33,0.82,12.0,7
57,7.4,0.6,0.26,1.9,0.08,23.0,71.0,0.99612,3.37,0.52,9.9,5
325,8.2,0.66,0.29,2.1,0.085,21.0,57.0,0.9987,3.41,0.55,9.4,5
841,8.0,0.35,0.52,1.7,0.077,16.0,42.0,0.99522,3.35,0.77,13.6,8
654,7.1,0.39,0.31,1.8,0.081,21.0,51.0,0.99572,3.41,0.72,10.5,5
1020,7.6,0.74,0.21,2.3,0.044,15.0,27.0,0.9947,3.28,0.72,9.7,5
762,9.9,0.43,0.4,2.1,0.092,26.0,52.0,0.9979,3.26,0.74,11.0,7
1534,7.5,0.58,0.02,2.1,0.059,17.0,88.0,0.99717,3.4,0.62,11.0,7
103,8.8,0.725,0.22,2.5,0.086,18.0,37.0,0.9994,3.1,0.55,9.4,6
269,13.8,0.35,0.49,2.8,0.075,15.0,28.0,1.0014,3.04,0.68,11.4,6
1666,7.5,0.49,0.32,2.1,0.072,26.0,60.0,0.9953,3.36,0.72,10.5,6
1566,9.0,0.4,0.49,2.4,0.085,21.0,122.0,0.9988,3.08,0.6,9.6,5
264,11.9,0.58,0.66,1.5,0.071,3.0,15.0,0.99572,3.08,0.57,10.6,6
927,6.5,0.715,0.0,2.1,0.095,6.0,15.0,0.9948,3.58,0.5,11.9,5
982,9.0,0.3,0.39,2.6,0.0819999999999999,19.0,49.0,0.9976,3.3,0.49,9.4,5
796,9.5,0.57,0.24,2.0,0.118,18.0,119.0,0.99901,3.24,0.53,9.4,5
1389,6.2,0.48,0.2,1.7,0.11,11.0,44.0,0.9957,3.61,0.67,9.2,5
379,8.0,0.69,0.32,2.8,0.088,16.0,86.0,0.99732,3.3,0.62,11.0,5
307,9.8,0.84,0.32,2.6,0.074,16.0,82.0,0.99818,3.2,0.52,11.0,8
236,7.3,0.41,0.33,2.5,0.073,17.0,40.0,0.9963,3.34,0.54,10.1,4
94,8.1,0.5,0.29,2.6,0.084,21.0,101.0,0.9972,3.14,0.59,9.5,6
82,7.1,0.65,0.02,2.1,0.066,17.0,91.0,0.9962,3.47,0.59,9.5,5
1076,8.1,0.39,0.39,4.3,0.095,5.0,10.0,0.99408,3.37,0.62,12.0,6
1719,6.1,0.46,0.12,2.1,0.074,16.0,45.0,0.99508,3.5,0.71,10.3,4
1577,6.8,0.69,0.07,2.1,0.067,25.0,48.0,0.9954,3.48,0.75,11.3,7
1862,10.5,1.04,0.25,1.8,0.077,6.0,33.0,0.9976,3.34,0.48,10.0,5
1472,8.4,0.36,0.39,2.4,0.073,38.0,76.0,0.9981,3.39,0.77,10.9,5
990,7.1,0.835,0.0,1.9,0.089,18.0,38.0,0.99693,3.26,0.46,9.6,5
1307,8.7,0.635,0.37,2.8,0.1,12.0,45.0,0.9973,3.24,0.77,10.1,6
1127,6.8,0.3,0.42,2.0,0.071,24.0,64.0,0.9948,3.55,0.77,12.9,7
1206,8.3,0.745,0.11,2.1,0.111,10.0,22.0,0.99668,3.19,0.5,9.5,5
266,7.6,0.49,0.27,2.2,0.079,33.0,141.0,0.99728,3.35,0.57,9.9,5
1786,7.7,0.4,0.31,1.7,0.077,3.0,15.0,0.99532,3.39,0.9,10.0,6
997,8.8,0.39,0.41,2.1,0.053,5.0,13.0,0.991,3.29,0.75,12.7,7
1821,7.7,0.58,0.1,1.6,0.088,23.0,113.0,0.99675,3.29,0.58,9.9,5
862,5.0,0.43,0.24,2.5,0.0579999999999999,11.0,35.0,0.99258,3.22,0.55,12.2,8
1218,7.8,0.53,0.09,2.5,0.123,12.0,19.0,0.99568,3.52,0.69,10.4,6
366,9.9,0.58,0.2,2.5,0.077,29.0,54.0,0.99692,3.26,0.59,10.1,6
1168,8.3,0.96,0.0,2.1,0.086,6.0,19.0,0.9978,3.39,0.52,9.4,5
1847,7.2,0.66,0.03,2.3,0.08,30.0,91.0,0.99743,3.52,0.57,10.7,7
164,9.0,0.48,0.31,3.2,0.078,41.0,55.0,0.9981,3.31,0.89,10.0,5
1511,9.4,0.64,0.22,2.6,0.077,19.0,58.0,0.9991,3.15,0.52,9.5,5
879,9.3,0.39,0.44,4.2,0.079,6.0,15.0,0.99668,3.39,0.68,10.0,6
512,7.2,0.62,0.01,1.4,0.072,15.0,39.0,0.99566,3.32,0.63,10.8,6
1216,7.3,0.31,0.36,2.6,0.054,6.0,15.0,0.99565,3.32,0.81,11.0,6
947,8.3,0.57,0.29,2.0,0.114,5.0,9.0,0.99408,3.28,0.6,11.1,6
