VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"JOLTS:_Job_openings,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Transportation, warehousing, and utilities, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Quits,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Total private, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Total private,All size classes
"JOLTS:_Other_separations,_Professional_and_business_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Other separations, Professional and business services, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Other separations,Professional and business services,All size classes
"JOLTS:_Total_separations,_Leisure_and_hospitality,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Leisure and hospitality, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Leisure and hospitality,All size classes
"JOLTS:_Layoffs_and_discharges,_State_and_local_government_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, State and local government education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Layoffs and discharges,State and local government education,All size classes
"JOLTS:_Layoffs_and_discharges,_Government,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Government, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,Government,All size classes
"JOLTS:_Other_separations,_Wholesale_trade,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Wholesale trade, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,Wholesale trade,All size classes
"JOLTS:_Layoffs_and_discharges,_Information,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Information, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Information,All size classes
"JOLTS:_Hires,_Total_private,_10_to_49_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Total private, 10 to 49 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,Total private,10 to 49 employees
"JOLTS:_Layoffs_and_discharges,_Real_estate_and_rental_and_leasing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, Real estate and rental and leasing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,Real estate and rental and leasing,All size classes
"JOLTS:_Total_separations,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Total separations, Transportation, warehousing, and utilities, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Total separations,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Other_separations,_Total_private,_1,000_to_4,999_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Total private, 1,000 to 4,999 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Other separations,Total private,"1,000 to 4,999 employees"
"JOLTS:_Job_openings,_Leisure_and_hospitality,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Leisure and hospitality, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Leisure and hospitality,All size classes
"JOLTS:_Hires,_State_and_local_government,_excluding_education,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, State and local government, excluding education, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,"State and local government, excluding education",All size classes
"JOLTS:_Hires,_Government,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Government, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,Government,All size classes
"JOLTS:_Quits,_Education_and_health_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Education and health services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,Education and health services,All size classes
"JOLTS:_Job_openings,_Accommodation_and_food_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Accommodation and food services, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Accommodation and food services,All size classes
"JOLTS:_Job_openings,_Government,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Government, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Government,All size classes
"JOLTS:_Other_separations,_Total_private,_250_to_999_employees,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Total private, 250 to 999 employees, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,Total private,250 to 999 employees
"JOLTS:_Layoffs_and_discharges,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Mining and logging, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Layoffs and discharges,Mining and logging,All size classes
"JOLTS:_Hires,_Education_and_health_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Hires, Education and health services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Hires,Education and health services,All size classes
"JOLTS:_Layoffs_and_discharges,_Manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Manufacturing, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,Manufacturing,All size classes
"JOLTS:_Job_openings,_Total_private,_1,000_to_4,999_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Total private, 1,000 to 4,999 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Total private,"1,000 to 4,999 employees"
"JOLTS:_Quits,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Quits, Total private, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Quits,Total private,All size classes
"JOLTS:_Total_separations,_Total_private,_50_to_249_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Total private, 50 to 249 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Total private,50 to 249 employees
"JOLTS:_Job_openings,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Manufacturing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,Manufacturing,All size classes
"Local_Area_Unemployment:_Unemployment,_Not_seasonally_adjusted,_Annual","Local Area Unemployment: Unemployment, Not seasonally adjusted, Annual",false,Annual,Persons,Local Area Unemployment,Unemployment,,
"JOLTS:_Job_openings,_Total_private,_1_to_9_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Total private, 1 to 9 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Total private,1 to 9 employees
"JOLTS:_Hires,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Transportation, warehousing, and utilities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Total_separations,_Wholesale_trade,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Wholesale trade, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Wholesale trade,All size classes
"JOLTS:_Job_openings,_Government,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Government, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Government,All size classes
"JOLTS:_Other_separations,_Mining_and_logging,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Mining and logging, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Mining and logging,All size classes
"JOLTS:_Hires,_Retail_trade,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Hires, Retail trade, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Hires,Retail trade,All size classes
"JOLTS:_Job_openings,_Total_nonfarm,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Total nonfarm, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Total nonfarm,All size classes
"JOLTS:_Total_separations,_Total_nonfarm,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Total nonfarm, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Total nonfarm,All size classes
"JOLTS:_Other_separations,_Arts,_entertainment,_and_recreation,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Arts, entertainment, and recreation, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Hires,_Other_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Hires, Other services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Hires,Other services,All size classes
"JOLTS:_Total_separations,_Retail_trade,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Retail trade, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,Retail trade,All size classes
"JOLTS:_Layoffs_and_discharges,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Federal, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Federal,All size classes
"JOLTS:_Quits,_Educational_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Educational services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,Educational services,All size classes
"JOLTS:_Total_separations,_Total_private,_5,000_or_more_employees,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Total private, 5,000 or more employees, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,Total private,"5,000 or more employees"
"JOLTS:_Layoffs_and_discharges,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, State and local, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,State and local,All size classes
"JOLTS:_Other_separations,_Government,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Government, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Government,All size classes
"JOLTS:_Total_separations,_Retail_trade,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Retail trade, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Total separations,Retail trade,All size classes
"JOLTS:_Other_separations,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Other separations, Mining and logging, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Other separations,Mining and logging,All size classes
"JOLTS:_Quits,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Nondurable goods manufacturing,All size classes
"JOLTS:_Other_separations,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Other separations, Total private, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Other separations,Total private,All size classes
"JOLTS:_Layoffs_and_discharges,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, Mining and logging, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,Mining and logging,All size classes
"JOLTS:_Total_separations,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Nondurable goods manufacturing,All size classes
"JOLTS:_Job_openings,_Educational_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Educational services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,Educational services,All size classes
"JOLTS:_Other_separations,_State_and_local_government,_excluding_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, State and local government, excluding education, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,"State and local government, excluding education",All size classes
"JOLTS:_Quits,_Finance_and_insurance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Finance and insurance, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Finance and insurance,All size classes
"JOLTS:_Total_separations,_Construction,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Construction, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Construction,All size classes
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Professional,_Scientific,_and_Technical_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Professional, Scientific, and Technical Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Professional and Business Services: Professional, Scientific, and Technical Services",
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Management_of_Companies_and_Enterprises,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Management of Companies and Enterprises, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Management of Companies and Enterprises,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Private_Service_Providing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Private Service Providing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Private Service Providing,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Fabricated_Metal_Product_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Fabricated Metal Product Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Fabricated Metal Product Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Semiconductor_and_Related_Device_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Semiconductor and Related Device Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Semiconductor and Related Device Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Basic_Chemical_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Basic Chemical Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Basic Chemical Manufacturing,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Investigation_and_Security_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Investigation and Security Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Investigation and Security Services,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Agencies,_Brokerages,_and_Other_Insurance_Related_Activities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Financial Activities: Agencies, Brokerages, and Other Insurance Related Activities, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Financial Activities: Agencies, Brokerages, and Other Insurance Related Activities",
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Rail_Transportation,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Transportation and Utilities: Rail Transportation, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Rail Transportation,
"State_and_Metro_Employment:_All_Employees,_Wholesale_Trade:_Hardware,_and_Plumbing_and_Heating_Equipment_and_Supplies_Merchant_Whole,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Wholesale Trade: Hardware, and Plumbing and Heating Equipment and Supplies Merchant Whole, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Wholesale Trade: Hardware, and Plumbing and Heating Equipment and Supplies Merchant Whole",
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Education_and_Health_Services:_Nursing_and_Residential_Care_Facilities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Education and Health Services: Nursing and Residential Care Facilities, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Education and Health Services: Nursing and Residential Care Facilities,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Sawmills_and_Wood_Preservation,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Sawmills and Wood Preservation, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Sawmills and Wood Preservation,
"State_and_Metro_Employment:_All_Employees,_Government:_Transportation,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Government: Transportation, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Government: Transportation,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Goods_Producing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Goods Producing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Goods Producing,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Financial_Activities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Financial Activities, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Financial Activities,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Other_Professional,_Scientific,_and_Technical_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Other Professional, Scientific, and Technical Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Professional and Business Services: Other Professional, Scientific, and Technical Services",
"Local_Area_Unemployment:_Labor_Force_Participation_Rate,_Seasonally_adjusted,_Monthly","Local Area Unemployment: Labor Force Participation Rate, Seasonally adjusted, Monthly",true,Monthly,Percent,Local Area Unemployment,Labor Force Participation Rate,,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Financial Activities, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Financial Activities,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Professional_and_Business_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of All Employees, Professional and Business Services, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Professional and Business Services,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Colleges,_Universities,_and_Professional_Schools,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Colleges, Universities, and Professional Schools, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Education and Health Services: Colleges, Universities, and Professional Schools",
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Real_Estate_and_Rental_and_Leasing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Financial Activities: Real Estate and Rental and Leasing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Financial Activities: Real Estate and Rental and Leasing,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Residential_Intellectual_and_Developmental_Disability,_Mental_Health_and_Substance_Abuse_Facilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Education and Health Services: Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities",
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Wholesale_Trade:_Merchant_Wholesalers,_Durable_Goods,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Wholesale Trade: Merchant Wholesalers, Durable Goods, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Wholesale Trade: Merchant Wholesalers, Durable Goods",
"State_and_Metro_Employment:_All_Employees,_Retail_Trade:_Specialty_Food_Stores,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Retail Trade: Specialty Food Stores, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Retail Trade: Specialty Food Stores,
"State_and_Metro_Employment:_All_Employees,_Other_Services:_Personal_Care_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Other Services: Personal Care Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Other Services: Personal Care Services,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Private_Service_Providing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Private Service Providing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Private Service Providing,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Semiconductor_and_Related_Device_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Semiconductor and Related Device Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Semiconductor and Related Device Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Mining_and_Logging,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Mining and Logging, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Mining and Logging,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Durable_Goods:_Computer_and_Electronic_Product_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Durable Goods: Computer and Electronic Product Manufacturing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Durable Goods: Computer and Electronic Product Manufacturing,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Construction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Production or Nonsupervisory Employees, Construction, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Construction,
"State_and_Metro_Employment:_All_Employees,_Information:_Motion_Picture_and_Video_Production,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Information: Motion Picture and Video Production, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Information: Motion Picture and Video Production,
