id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
61341,M,0.445,0.36,0.125,0.499,0.21,0.0885,0.17,9
22461,I,0.525,0.415,0.155,0.8075,0.3305,0.1865,0.285,10
83171,F,0.65,0.515,0.19,1.5725,0.6115,0.3765,0.47,12
66361,I,0.51,0.395,0.125,0.5725,0.2435,0.1245,0.185,8
41330,M,0.735,0.565,0.195,1.907,0.913,0.44,0.5,10
71845,I,0.37,0.28,0.1,0.187,0.076,0.048,0.062,7
20985,I,0.475,0.36,0.12,0.439,0.194,0.099,0.135,8
41727,I,0.28,0.21,0.07,0.1435,0.053,0.0285,0.03,5
7467,I,0.445,0.335,0.11,0.441,0.17,0.086,0.1505,9
30764,F,0.53,0.415,0.13,0.7665,0.2925,0.1725,0.205,13
34164,I,0.315,0.235,0.075,0.1365,0.0625,0.037,0.045,5
26908,M,0.655,0.52,0.2,1.494,0.588,0.309,0.485,18
70440,I,0.465,0.355,0.105,0.434,0.1945,0.0905,0.14,8
76026,F,0.65,0.5,0.155,1.148,0.5985,0.214,0.3045,9
84798,I,0.385,0.3,0.09,0.308,0.1545,0.0625,0.085,8
51505,M,0.585,0.475,0.16,1.16,0.367,0.2485,0.365,15
54881,F,0.46,0.355,0.12,0.537,0.1805,0.1215,0.145,12
46297,M,0.685,0.525,0.18,1.38,0.637,0.3555,0.345,11
34895,F,0.6,0.465,0.15,1.1345,0.492,0.2435,0.295,11
25079,M,0.625,0.485,0.175,1.073,0.416,0.2045,0.345,13
87038,M,0.665,0.575,0.19,1.527,0.7665,0.302,0.405,11
24420,I,0.455,0.355,0.105,0.478,0.1865,0.081,0.1365,8
77781,F,0.57,0.44,0.13,0.868,0.4235,0.1735,0.24,9
27008,I,0.495,0.3,0.125,0.456,0.1825,0.096,0.16,8
10855,I,0.44,0.34,0.1,0.377,0.17,0.0645,0.1,8
88322,I,0.47,0.365,0.115,0.4755,0.2175,0.1235,0.156,11
27451,M,0.625,0.46,0.17,1.1745,0.539,0.2485,0.271,9
26711,F,0.67,0.525,0.185,1.7725,0.821,0.387,0.5,11
11983,I,0.41,0.3,0.11,0.38,0.1805,0.0855,0.089,7
89473,F,0.655,0.515,0.16,1.494,0.7255,0.309,0.3685,12
19183,I,0.475,0.36,0.105,0.4625,0.2,0.0885,0.1045,8
822,F,0.44,0.35,0.11,0.4555,0.1945,0.092,0.13,12
84984,I,0.395,0.295,0.085,0.2845,0.09,0.0645,0.075,6
60174,F,0.625,0.495,0.175,1.254,0.5815,0.3195,0.3185,10
73986,F,0.465,0.36,0.105,0.5285,0.252,0.1005,0.1035,6
85623,I,0.55,0.435,0.145,0.7995,0.2845,0.1775,0.24,10
6288,F,0.61,0.48,0.16,1.242,0.6255,0.2555,0.3055,9
12514,M,0.565,0.49,0.16,1.12,0.559,0.2385,0.295,12
48240,M,0.63,0.525,0.19,1.3135,0.4765,0.3025,0.465,12
15576,M,0.6,0.475,0.185,1.278,0.6145,0.2705,0.3305,10
39751,F,0.53,0.415,0.14,0.8025,0.3495,0.1785,0.24,9
83528,I,0.58,0.43,0.13,0.7635,0.362,0.1635,0.1845,10
65154,M,0.57,0.455,0.15,1.06,0.4275,0.227,0.295,22
34266,F,0.56,0.445,0.155,0.8265,0.3335,0.1715,0.24,10
13974,F,0.545,0.42,0.14,0.8495,0.3145,0.1415,0.2475,12
27847,M,0.605,0.48,0.16,1.09,0.407,0.2315,0.355,15
21743,M,0.56,0.44,0.15,0.972,0.4215,0.1815,0.255,10
54262,I,0.485,0.37,0.115,0.5185,0.1885,0.098,0.175,9
19997,F,0.475,0.385,0.12,0.6275,0.2575,0.1385,0.205,13
161,I,0.47,0.34,0.11,0.4195,0.18,0.0925,0.118,8
49154,I,0.515,0.39,0.125,0.549,0.2595,0.096,0.1675,7
66319,F,0.525,0.415,0.145,0.7535,0.2395,0.142,0.235,19
20683,F,0.475,0.355,0.115,0.501,0.2475,0.084,0.14,6
32900,M,0.57,0.445,0.13,0.8445,0.3445,0.185,0.253,9
86200,I,0.53,0.405,0.135,0.7905,0.3565,0.157,0.192,11
57474,M,0.595,0.465,0.15,1.1155,0.5105,0.2355,0.25,9
14503,M,0.67,0.555,0.19,1.484,0.7285,0.3315,0.4115,12
54394,F,0.595,0.465,0.16,1.2525,0.5825,0.259,0.345,9
27142,M,0.645,0.51,0.17,1.1835,0.5265,0.2705,0.335,9
86682,F,0.605,0.485,0.15,1.2415,0.5305,0.3075,0.39,16
12608,M,0.625,0.525,0.165,1.3725,0.5785,0.2655,0.45,10
55984,I,0.255,0.19,0.065,0.0925,0.024,0.02,0.03,5
48955,I,0.515,0.425,0.14,0.7165,0.3595,0.1595,0.1785,9
15697,I,0.47,0.35,0.11,0.4165,0.1765,0.0915,0.12,8
40215,M,0.585,0.465,0.165,0.9995,0.3895,0.1845,0.35,19
63279,F,0.58,0.435,0.13,1.0195,0.392,0.2195,0.2565,12
85283,M,0.65,0.5,0.185,1.3765,0.5565,0.309,0.331,10
80476,I,0.455,0.33,0.115,0.3685,0.167,0.085,0.11,7
27448,F,0.56,0.43,0.125,0.7455,0.3435,0.1495,0.195,10
17594,I,0.435,0.335,0.11,0.413,0.1735,0.085,0.12,8
83824,I,0.59,0.455,0.145,0.9735,0.4745,0.171,0.255,8
32738,I,0.45,0.34,0.105,0.3535,0.1455,0.092,0.128,7
27824,F,0.615,0.505,0.19,1.2555,0.53,0.3375,0.355,11
73475,I,0.315,0.23,0.08,0.1405,0.05,0.0295,0.05,6
27310,M,0.6,0.465,0.155,1.0165,0.512,0.2355,0.225,10
73582,F,0.645,0.535,0.19,1.756,0.743,0.3725,0.49,14
10474,I,0.375,0.29,0.115,0.234,0.0935,0.056,0.075,7
2563,F,0.585,0.45,0.155,0.9145,0.4055,0.158,0.235,11
71087,I,0.455,0.34,0.11,0.4385,0.21,0.0865,0.1035,8
15777,M,0.535,0.4,0.12,0.6765,0.264,0.1405,0.23,11
79002,F,0.78,0.605,0.22,2.7795,1.1955,0.4665,0.89,12
61732,M,0.505,0.385,0.135,0.6765,0.3195,0.1545,0.18,10
32157,M,0.635,0.51,0.175,1.786,0.675,0.3935,0.45,12
4456,I,0.415,0.31,0.095,0.3245,0.134,0.06,0.093,6
17853,I,0.43,0.34,0.09,0.387,0.2005,0.085,0.0945,6
57420,M,0.68,0.51,0.195,1.929,0.931,0.3715,0.461,12
12582,F,0.515,0.385,0.11,0.5825,0.2655,0.1285,0.175,9
15655,M,0.67,0.535,0.18,1.5175,0.6865,0.3345,0.445,11
30228,I,0.47,0.37,0.125,0.4175,0.1685,0.0735,0.145,8
52741,I,0.215,0.165,0.055,0.0525,0.021,0.011,0.015,5
90293,M,0.53,0.415,0.14,0.732,0.2155,0.1625,0.225,11
19524,M,0.615,0.5,0.235,1.006,0.4815,0.204,0.295,15
44593,F,0.5,0.385,0.13,0.7155,0.3195,0.1625,0.22,14
49350,F,0.665,0.525,0.21,1.644,0.821,0.3395,0.4275,10
16434,I,0.125,0.105,0.025,0.008,0.0055,0.0005,0.008,5
79683,I,0.525,0.395,0.13,0.635,0.3445,0.1295,0.1795,8
62664,M,0.58,0.45,0.15,1.068,0.556,0.2095,0.2575,9
14283,I,0.475,0.365,0.1,0.4195,0.1795,0.078,0.13,7
72604,F,0.67,0.53,0.2,1.463,0.592,0.3035,0.455,13
47047,I,0.265,0.2,0.055,0.096,0.038,0.0185,0.03,6
65014,M,0.58,0.425,0.17,0.949,0.3485,0.2395,0.295,17
34991,I,0.255,0.18,0.065,0.079,0.027,0.018,0.02,5
48979,M,0.54,0.415,0.14,0.7305,0.2835,0.1695,0.185,9
65146,F,0.655,0.515,0.195,1.521,0.4905,0.3365,0.425,19
51252,M,0.53,0.41,0.14,0.702,0.3355,0.1465,0.22,9
9774,F,0.565,0.47,0.145,0.9885,0.387,0.1585,0.31,9
4984,M,0.56,0.43,0.16,0.9455,0.3865,0.2065,0.275,10
55263,M,0.585,0.45,0.165,1.056,0.4825,0.2365,0.29,9
84493,M,0.575,0.45,0.15,0.867,0.3765,0.1835,0.268,11
6279,F,0.59,0.47,0.16,0.9955,0.475,0.232,0.295,11
70019,F,0.59,0.455,0.145,1.073,0.5155,0.2445,0.2845,9
33213,M,0.625,0.47,0.205,1.1735,0.5185,0.2345,0.353,8
14711,M,0.665,0.525,0.19,1.7475,0.895,0.3805,0.386,9
79493,M,0.605,0.485,0.175,1.1485,0.402,0.2575,0.385,22
69303,M,0.6,0.46,0.15,1.012,0.477,0.2345,0.295,9
31868,F,0.58,0.435,0.14,0.939,0.4575,0.196,0.2705,9
45997,M,0.425,0.34,0.13,0.3185,0.1235,0.0905,0.105,8
88011,I,0.435,0.33,0.11,0.38,0.1755,0.079,0.11,7
33735,I,0.39,0.29,0.075,0.271,0.1155,0.049,0.065,6
33716,M,0.35,0.265,0.095,0.2145,0.09,0.0465,0.06,7
30378,I,0.475,0.38,0.145,0.649,0.2615,0.124,0.21,13
52026,I,0.36,0.25,0.075,0.18,0.073,0.034,0.062,6
79349,M,0.595,0.475,0.18,1.086,0.456,0.2325,0.405,12
41851,I,0.415,0.325,0.11,0.3375,0.16,0.0755,0.093,8
9090,F,0.5,0.4,0.155,0.741,0.321,0.1435,0.245,11
37091,I,0.375,0.285,0.1,0.213,0.081,0.0495,0.07,7
67995,M,0.525,0.415,0.13,0.6375,0.3445,0.146,0.175,9
69014,I,0.53,0.405,0.185,0.8395,0.2655,0.153,0.25,21
23598,I,0.385,0.29,0.09,0.2715,0.097,0.057,0.085,8
75525,M,0.55,0.415,0.16,0.9455,0.3675,0.1935,0.28,10
5055,F,0.61,0.48,0.175,1.1,0.4125,0.27,0.36,14
43194,I,0.455,0.35,0.105,0.4665,0.1685,0.0945,0.1325,8
72037,I,0.4,0.31,0.095,0.3265,0.1265,0.0625,0.08,7
48950,F,0.525,0.405,0.13,0.8605,0.3135,0.168,0.235,10
60444,M,0.435,0.335,0.11,0.4305,0.2035,0.096,0.15,8
56990,F,0.725,0.55,0.21,2.14,1.1465,0.396,0.725,12
10078,M,0.59,0.465,0.16,1.1315,0.5265,0.272,0.285,10
26387,F,0.565,0.45,0.15,0.795,0.365,0.1645,0.215,9
39171,I,0.395,0.295,0.095,0.3325,0.1585,0.0625,0.075,6
77349,M,0.75,0.585,0.235,1.978,0.7395,0.318,0.58,21
71100,I,0.525,0.4,0.13,0.6125,0.245,0.1325,0.21,9
29505,F,0.585,0.475,0.16,0.95,0.3835,0.2,0.275,12
89184,I,0.37,0.28,0.1,0.3465,0.14,0.0625,0.0825,7
18352,M,0.46,0.35,0.12,0.4865,0.192,0.1125,0.135,7
12520,F,0.665,0.525,0.175,1.3435,0.5255,0.3045,0.3605,10
36061,M,0.51,0.4,0.125,0.617,0.261,0.1315,0.195,8
9932,F,0.5,0.38,0.16,0.655,0.2705,0.166,0.2,9
53771,F,0.56,0.43,0.155,0.97,0.4435,0.22,0.295,11
45130,F,0.59,0.45,0.145,0.9855,0.4325,0.2235,0.24,9
34258,F,0.665,0.535,0.185,1.5575,0.7035,0.402,0.41,15
90143,M,0.495,0.425,0.145,0.9185,0.2405,0.1825,0.275,15
12724,I,0.485,0.375,0.105,0.5785,0.2325,0.1265,0.142,8
16735,I,0.515,0.385,0.135,0.6295,0.3055,0.1275,0.17,9
41651,I,0.29,0.23,0.075,0.1345,0.0555,0.0365,0.04,5
73710,F,0.55,0.435,0.155,0.897,0.3235,0.174,0.28,11
70901,M,0.59,0.47,0.175,1.065,0.4535,0.2065,0.29,10
9858,M,0.605,0.47,0.16,0.981,0.305,0.207,0.29,14
47389,I,0.37,0.285,0.1,0.2725,0.1165,0.057,0.075,6
17419,M,0.6,0.465,0.145,0.857,0.4335,0.1755,0.245,8
69757,M,0.595,0.46,0.15,0.919,0.4335,0.1765,0.262,9
43363,F,0.525,0.4,0.13,0.7775,0.28,0.1785,0.19,8
64819,I,0.46,0.345,0.12,0.4085,0.19,0.0825,0.131,8
37923,M,0.615,0.5,0.185,1.229,0.4985,0.3175,0.37,15
28683,I,0.515,0.375,0.14,0.5785,0.2125,0.0885,0.22,10
10548,I,0.445,0.34,0.1,0.378,0.152,0.0825,0.12,7
80866,M,0.365,0.265,0.09,0.204,0.0955,0.057,0.043,8
88334,M,0.57,0.45,0.15,0.8685,0.3165,0.1835,0.265,12
59209,I,0.38,0.295,0.115,0.2525,0.097,0.057,0.0715,8
48182,I,0.54,0.42,0.135,0.8035,0.4055,0.16,0.228,10
77307,M,0.595,0.47,0.15,0.9705,0.44,0.2105,0.2575,9
47927,F,0.59,0.465,0.15,1.1005,0.506,0.205,0.295,14
20409,I,0.32,0.25,0.075,0.1385,0.0415,0.0385,0.04,7
19964,M,0.555,0.435,0.155,0.97,0.332,0.1845,0.27,18
8230,M,0.495,0.385,0.125,0.6335,0.2305,0.125,0.235,9
36034,F,0.7,0.575,0.19,2.124,1.1555,0.4485,0.545,11
21109,M,0.72,0.57,0.195,1.7405,0.664,0.2975,0.58,19
48140,M,0.59,0.455,0.165,0.966,0.439,0.1775,0.274,11
37971,I,0.325,0.245,0.07,0.1585,0.065,0.0305,0.045,5
46933,M,0.645,0.5,0.19,1.2415,0.5265,0.307,0.515,15
66148,F,0.585,0.44,0.17,0.983,0.3135,0.1955,0.295,15
41626,I,0.29,0.215,0.075,0.1135,0.0585,0.0255,0.035,5
73431,M,0.41,0.315,0.11,0.379,0.167,0.075,0.106,7
36565,I,0.37,0.29,0.1,0.2225,0.0865,0.0355,0.0765,7
18466,M,0.63,0.505,0.17,1.2705,0.5305,0.27,0.37,10
2780,I,0.48,0.355,0.125,0.4775,0.21,0.0835,0.141,8
41122,I,0.355,0.27,0.095,0.2225,0.102,0.0665,0.07,6
601,F,0.655,0.52,0.165,1.3445,0.539,0.2325,0.38,10
35559,I,0.41,0.315,0.105,0.3715,0.1685,0.061,0.105,8
40974,I,0.51,0.395,0.12,0.5805,0.266,0.0935,0.169,8
87155,I,0.425,0.315,0.095,0.38,0.175,0.068,0.1075,8
34039,M,0.64,0.51,0.16,1.289,0.643,0.287,0.305,11
56981,M,0.59,0.46,0.14,0.927,0.4305,0.22,0.24,9
53278,I,0.36,0.265,0.085,0.1785,0.063,0.0585,0.065,8
42208,F,0.55,0.44,0.165,0.8605,0.312,0.1725,0.265,17
12274,M,0.58,0.46,0.17,1.0145,0.4605,0.2385,0.33,25
13257,F,0.525,0.44,0.14,0.8295,0.3475,0.2005,0.2485,10
78818,M,0.52,0.385,0.12,0.6435,0.2945,0.1355,0.161,8
13688,F,0.65,0.52,0.19,1.4285,0.6465,0.305,0.42,13
23805,F,0.67,0.565,0.18,1.6605,0.6445,0.3365,0.42,15
86264,I,0.535,0.42,0.135,0.6765,0.302,0.15,0.2065,9
74410,I,0.24,0.185,0.06,0.0865,0.027,0.018,0.01,4
89394,I,0.27,0.195,0.06,0.096,0.037,0.0185,0.0215,5
22721,M,0.53,0.43,0.135,0.7665,0.3525,0.1585,0.2185,9
1618,F,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2885,9
82112,F,0.58,0.45,0.17,1.1345,0.4385,0.2465,0.33,15
9403,F,0.52,0.38,0.115,0.474,0.181,0.1065,0.165,11
82581,M,0.59,0.46,0.165,0.9265,0.3925,0.1625,0.295,11
23604,M,0.555,0.425,0.14,0.8105,0.3825,0.1825,0.195,10
38472,F,0.585,0.45,0.13,0.8685,0.3325,0.1475,0.2425,12
29847,M,0.625,0.47,0.16,1.2695,0.5775,0.27,0.3445,9
53660,I,0.22,0.14,0.06,0.0515,0.0125,0.0175,0.018,3
51108,I,0.55,0.44,0.125,0.853,0.4055,0.19,0.17,8
1472,M,0.525,0.4,0.13,0.7235,0.349,0.149,0.2,8
52177,F,0.545,0.42,0.135,0.8425,0.3745,0.1785,0.215,15
18144,F,0.61,0.465,0.135,0.97,0.4535,0.2285,0.2665,9
70364,M,0.595,0.455,0.155,0.966,0.4355,0.1725,0.26,10
61150,I,0.395,0.3,0.095,0.314,0.163,0.061,0.088,6
77286,I,0.425,0.31,0.09,0.2965,0.1215,0.063,0.085,8
90396,M,0.745,0.565,0.19,2.141,1.041,0.4755,0.547,11
19443,I,0.36,0.275,0.09,0.2625,0.0995,0.0595,0.075,7
82388,I,0.47,0.36,0.115,0.4895,0.231,0.0985,0.1565,8
45787,F,0.475,0.395,0.12,0.5795,0.222,0.122,0.185,9
59127,M,0.565,0.44,0.15,0.9415,0.359,0.2405,0.275,11
4065,I,0.455,0.335,0.11,0.4425,0.2,0.0935,0.13,8
20961,I,0.45,0.335,0.135,0.4495,0.1985,0.0965,0.14,8
11757,I,0.515,0.405,0.165,0.8525,0.2895,0.1515,0.275,18
51241,F,0.65,0.51,0.165,1.477,0.5985,0.238,0.44,20
9276,F,0.625,0.495,0.145,1.086,0.4895,0.2365,0.305,9
39274,F,0.59,0.455,0.17,0.927,0.3925,0.2495,0.2645,9
45947,M,0.52,0.41,0.13,0.5965,0.2635,0.141,0.177,8
76491,M,0.645,0.51,0.16,1.144,0.4915,0.289,0.315,8
58313,I,0.255,0.185,0.07,0.074,0.0365,0.0125,0.02,6
49533,M,0.63,0.495,0.195,1.2255,0.408,0.2705,0.385,17
66096,F,0.625,0.49,0.16,1.1865,0.5095,0.2645,0.3685,9
89329,M,0.555,0.44,0.18,0.957,0.348,0.168,0.31,18
87719,M,0.72,0.575,0.195,2.333,0.873,0.396,0.621,17
72628,I,0.255,0.18,0.05,0.073,0.024,0.0225,0.02,4
8106,F,0.57,0.455,0.14,0.952,0.3895,0.2155,0.2745,11
55969,M,0.59,0.465,0.14,0.926,0.4005,0.2325,0.235,10
86500,F,0.61,0.475,0.18,1.0265,0.485,0.2495,0.32,12
77068,I,0.31,0.23,0.07,0.106,0.039,0.0265,0.045,5
70650,F,0.59,0.455,0.145,0.984,0.4915,0.242,0.3263,9
11838,M,0.605,0.475,0.145,0.9605,0.4525,0.2075,0.26,9
29256,I,0.44,0.335,0.12,0.459,0.2055,0.0925,0.1525,8
74432,M,0.605,0.45,0.16,0.6725,0.293,0.1435,0.235,12
41981,M,0.57,0.435,0.145,0.844,0.37,0.1915,0.2215,10
25655,I,0.4,0.31,0.095,0.277,0.1265,0.0395,0.088,7
82739,F,0.65,0.52,0.16,1.281,0.5985,0.2625,0.3825,10
61141,I,0.605,0.475,0.145,0.9885,0.3985,0.1685,0.275,10
32404,M,0.57,0.44,0.135,0.9055,0.3395,0.1975,0.335,17
67611,F,0.515,0.395,0.145,0.7715,0.2925,0.1405,0.26,22
31392,I,0.175,0.105,0.035,0.0235,0.0075,0.0085,0.01,3
81643,F,0.56,0.485,0.18,1.0295,0.414,0.2165,0.34,13
9115,M,0.625,0.505,0.165,1.15,0.6465,0.2395,0.2915,9
37894,F,0.575,0.45,0.1,0.7365,0.336,0.171,0.24,13
24021,I,0.295,0.225,0.07,0.1685,0.0615,0.0365,0.035,6
2273,F,0.59,0.465,0.14,0.97,0.4645,0.1905,0.24,9
89786,M,0.595,0.465,0.15,0.9395,0.4035,0.2225,0.295,10
50563,F,0.595,0.465,0.15,1.063,0.481,0.2045,0.269,11
35019,F,0.61,0.485,0.175,1.0785,0.4635,0.2435,0.31,9
17268,F,0.585,0.45,0.145,0.9585,0.4145,0.195,0.2385,9
74042,I,0.255,0.195,0.08,0.0865,0.0295,0.026,0.025,6
49077,I,0.26,0.19,0.075,0.1275,0.0545,0.0235,0.03,6
14737,M,0.58,0.46,0.155,0.9245,0.3945,0.1915,0.275,9
63863,M,0.675,0.52,0.19,1.56,0.667,0.3465,0.48,10
82187,I,0.535,0.42,0.14,0.6965,0.2965,0.1595,0.225,10
89792,F,0.72,0.57,0.175,1.764,0.6385,0.347,0.45,13
29444,M,0.58,0.465,0.155,0.871,0.3485,0.1755,0.235,12
2441,M,0.61,0.47,0.16,1.1785,0.539,0.2825,0.3665,9
26316,I,0.35,0.26,0.11,0.2225,0.096,0.057,0.0705,6
81777,F,0.58,0.475,0.175,1.098,0.391,0.2065,0.315,13
15692,M,0.44,0.34,0.11,0.33,0.167,0.077,0.1,8
27527,M,0.46,0.35,0.1,0.46,0.1615,0.1085,0.135,6
54772,I,0.55,0.415,0.145,0.7635,0.349,0.153,0.225,9
37543,M,0.65,0.54,0.175,1.3435,0.5415,0.2915,0.39,12
8643,F,0.36,0.27,0.095,0.196,0.0675,0.034,0.08,8
41086,M,0.435,0.345,0.12,0.4225,0.1835,0.087,0.1035,12
61573,I,0.315,0.23,0.075,0.1855,0.075,0.0325,0.0405,5
78195,F,0.43,0.335,0.105,0.4285,0.165,0.083,0.13,10
16672,M,0.59,0.465,0.165,1.0305,0.4205,0.2195,0.285,10
57950,I,0.365,0.295,0.09,0.2505,0.1065,0.0595,0.07,7
15044,I,0.425,0.3,0.105,0.316,0.1275,0.074,0.095,8
73842,M,0.515,0.4,0.13,0.572,0.237,0.1325,0.17,10
87573,M,0.595,0.445,0.155,0.9685,0.4205,0.2475,0.2875,11
24638,M,0.545,0.405,0.14,0.8255,0.3355,0.169,0.1835,10
14486,M,0.585,0.46,0.165,0.9155,0.4555,0.1965,0.25,9
26664,I,0.41,0.3,0.1,0.2845,0.1255,0.0635,0.075,7
65106,F,0.55,0.465,0.15,0.906,0.3295,0.2545,0.25,10
42755,I,0.275,0.22,0.075,0.1425,0.0565,0.0275,0.035,7
1824,I,0.38,0.29,0.095,0.2885,0.118,0.0635,0.08,7
32534,M,0.53,0.415,0.13,0.7305,0.2855,0.168,0.205,15
80197,M,0.58,0.465,0.14,0.9205,0.3845,0.2155,0.27,11
13609,I,0.33,0.23,0.075,0.1145,0.046,0.0265,0.0385,7
86751,M,0.425,0.35,0.105,0.406,0.1645,0.081,0.125,12
38606,M,0.53,0.41,0.125,0.672,0.2905,0.1405,0.225,11
55458,F,0.64,0.515,0.165,1.604,0.5015,0.3575,0.515,19
11047,I,0.34,0.275,0.095,0.2225,0.099,0.0595,0.065,6
4182,M,0.545,0.45,0.14,0.895,0.3615,0.186,0.285,9
55522,M,0.55,0.43,0.135,0.8255,0.3745,0.1725,0.17,8
26669,I,0.45,0.365,0.1,0.3825,0.1635,0.0715,0.175,13
60660,F,0.555,0.425,0.14,0.8705,0.407,0.2115,0.255,8
15662,I,0.505,0.385,0.12,0.6175,0.3285,0.1245,0.18,8
52898,M,0.52,0.39,0.14,0.6845,0.239,0.1395,0.205,15
42490,M,0.555,0.435,0.14,0.8105,0.3165,0.1635,0.24,10
43507,F,0.53,0.435,0.125,0.8115,0.341,0.152,0.28,9
