id,name,gender,age,height,weight
2314,Markel Alberdi Sarobe,M,24,187,76.0
2408,Aurelie Alcindor,F,22,169,47.0
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,31,169,69.0
2467,Eric Javier Alejandro,M,30,180,81.0
2537,Habitam Alemu,F,19,171,52.0
2551,Arnaud Alessandria,M,20,185,92.0
2574,Kineke Alicia Alexander,F,30,178,65.0
2604,Khaido Alexouli,F,25,180,60.0
2663,Ahmed Ali,M,22,173,75.0
2683,Kame Ali,M,32,185,84.0
2688,Mehboob Ali,M,26,160,
2695,Nia Sifaatihii Ali,F,27,170,65.0
2719,Bibiro Ali Taher,F,28,160,44.0
2726,Hamza Ali,M,37,186,130.0
2775,Antonio Alkana,M,26,183,76.0
2779,Jasmine Alkhaldi,F,23,180,60.0
2784,Fatim Alkrmova,F,14,175,60.0
2838,Devon Allen,M,21,185,84.0
2861,Nathon Allen,M,20,178,
2900,Martin Allikvee,M,21,182,77.0
2943,Miguel ngel Almachi Condo,M,31,165,55.0
2952,Rose Mary Almanza Blanco,F,24,165,53.0
2969,Brandonn Pierry Cruz de Almeida,M,19,186,73.0
2976,Kaio Mrcio Ferreira Costa de Almeida,M,31,177,75.0
3001,Alexei Almoukov,M,23,173,73.0
3048,Kseniya Alekseyevna Alopina,F,21,165,60.0
3070,Malin Therse Alshammar,F,38,180,64.0
3081,Tabea Lara Alt,F,16,158,50.0
3139,Alberto lvarez Muoz,M,25,191,78.0
3221,Higor Silva Alves,M,22,183,64.0
3267,Isabella del Carmen Amado Medrano,F,19,155,59.0
3280,Mohammed Aman Geleto,M,22,165,58.0
3284,Alex Amankwah,M,24,160,
3310,Hailemariyam Amare Tegen,M,19,175,64.0
3316,Nauraj Singh Randhawa Amarjit Singh,M,24,193,70.0
3326,Eyawomano Doreen Amata,F,28,191,63.0
3340,Kim Oscar Amb,M,26,180,87.0
3352,Mal Ambonguilat,M,18,170,65.0
3411,Christine Amertil (-Ling),F,36,168,54.0
3464,Mathilde Amivi Petitjean,F,19,163,60.0
3473,Amanda Ammar,F,28,157,54.0
3512,Nijel Carlos Amilfitano Amos,M,22,179,60.0
3515,Paulo Amotun Lokoro,M,24,170,61.0
3527,John Ampomah,M,26,191,100.0
3528,Janet Amponsah,F,23,171,52.0
3560,Oluwatobiloba Ayomide Amusan,F,19,160,55.0
3596,An Se-Hyeon,F,20,168,57.0
3600,An Seul-Ki,F,24,161,46.0
3616,Phara Anacharsis,F,32,177,58.0
3620,Khrysoula Anagnostopoulou,F,24,175,85.0
3640,Mikhailis Anastasakis,M,21,183,92.0
3820,Haley Danita Anderson,F,24,178,68.0
4041,Jordin Andrade,M,24,183,77.0
4048,Rebeca Rodrigues de Andrade,F,17,151,46.0
4054,Mathilde Andraud,F,27,173,70.0
4070,Thiago do Rosario Andr,M,20,163,52.0
4104,Maria Andrejczyk,F,20,174,77.0
4155,"Jessica ""Jess"" Andrews (-Martin)",F,23,168,52.0
4159,"Robert Adrian ""Robby"" Andrews",M,25,178,66.0
4171,Leonid Vladimirovich Andreyev,M,32,198,93.0
4181,Sofya Denisovna Andreyeva,F,18,178,64.0
4183,Viktoriya Olegovna Andreyeva,F,24,190,74.0
4233,Vyacheslav Dmitriyevich Andrusenko,M,24,194,85.0
4247,Daniel Andjar Ponce,M,22,182,78.0
4248,Youndry Andjar de la Cruz,M,26,171,60.0
4257,Krasimir Anev,M,26,174,73.0
4286,Apostolos Angelis,M,20,181,76.0
4310,Tonje Angelsen,F,26,179,62.0
4314,Lucia Anger,F,23,168,60.0
4322,Tobias Angerer,M,36,179,72.0
4379,Rami Anis,M,25,178,78.0
4407,Emilia Ankiewicz,F,25,178,64.0
4420,Mame-Ibra Anne,M,26,184,80.0
4523,Seema Antil,F,33,182,92.0
4540,Jan Antolek,M,23,179,73.0
4605,Maryna Mykolavna Antsybor,F,26,160,52.0
4654,Tomomi Aoki,F,21,164,55.0
4662,Zouhair Aouad,M,27,175,69.0
4674,Eref Apak,M,34,184,120.0
4745,Lusapho Lesly April,M,34,172,50.0
4747,Alice Aprot Nawowuna,F,22,152,54.0
4776,Rababe Arafi,F,25,167,52.0
4782,Hirooki Arai,M,28,180,62.0
4787,Ryohei Arai,M,25,183,96.0
4809,Nada Mohammed Wafa S Arakji,F,21,163,59.0
4844,"Kalliopi ""Kelly"" Araouzou",F,25,169,55.0
4848,Jacob Araptany,M,22,168,58.0
4866,Luiz Alberto Cardoso de Arajo,M,29,188,88.0
4869,Vctor Aravena Pincheira,M,26,167,55.0
4871,Edward Ignacio Araya Corts,M,30,176,62.0
4874,Yerko Ignacio Araya Corts,M,30,178,64.0
4903,Geisa Rafaela Arcanjo,F,24,180,92.0
4937,Isabella Arcila Hurtado,F,22,168,64.0
4938,Francisco Arcilla Aller,M,32,171,58.0
4953,Ingrida Ardiauskait,F,21,178,65.0
4972,Sandra Lorena Arenas Campuzano,F,22,160,50.0
4991,Mareks rents,M,29,190,85.0
5006,ider Orlando Arvalo Truque,M,23,165,60.0
5009,Samantha Michelle Arvalo Salinas,F,21,171,60.0
5050,Kellys Yesenia Arias Figueroa,F,27,150,47.0
5053,Pol Arias Dourdet,M,19,175,80.0
5056,Ferhat Arcan,M,23,178,68.0
5065,Polat Kemboi Arkan,M,25,175,59.0
5103,Yuliya Vladimirovna Arkhipova-Andreyeva,F,32,168,51.0
5127,Alina Armas,F,32,166,53.0
5191,Tsanko Rosenov Arnaudov,M,24,198,155.0
5309,Andrs Arroyo,M,21,177,64.0
5311,Antonio Arroyo Prez,M,22,170,63.0
5335,Heather Ann Arseth,F,22,170,60.0
5340,Andreea Arsine,F,27,159,55.0
5358,Mauricio Jos Arteaga Snchez,M,27,177,68.0
5378,Natalia Artic-Stratulat,F,29,178,83.0
5393,Eleni Artymata,F,30,177,62.0
5431,Skinnar Per Tobias Arwidson,M,25,170,74.0
5443,Marina Aleksandrovna Arzamasova (Katovich-),F,28,173,58.0
5444,Mohammad Arzandeh,M,28,180,77.0
5475,Nataliya Asanova,F,26,177,58.0
5508,Sabina Asenjo lvarez,F,30,178,90.0
5517,Erla sgeirsdttir,F,20,174,
5523,Ronnie Ash,M,28,188,95.0
5528,Bradlee Logan Taylor Ashby,M,20,200,92.0
5542,"Geraldina Rachel ""Dina"" Asher-Smith",F,20,164,55.0
5560,Whitney Jordan Ashley,F,27,178,91.0
5561,Nickel Ashmeade,M,26,183,77.0
5577,Jessica Ashwood,F,23,173,64.0
5677,Jeanine Assani Issouf,F,23,170,53.0
5687,Sofia Assefa Abebe,F,28,167,52.0
5688,Tigist Assefa,F,19,168,53.0
5723,Gloria Asumnu,F,31,168,64.0
5781,Merdan Ataew,M,21,196,80.0
5783,Sarah Atcho,F,21,180,63.0
5801,Soule Soilihi Athoumane,M,25,180,75.0
5808,Teddy H. Atine-Venel,M,31,184,77.0
5817,Alia Shanee Atkinson,F,27,172,71.0
5835,Mert Atl,M,23,191,70.0
5848,Sarah Amer Attar,F,23,165,52.0
5853,Ahmad Mohamed Attellesey,M,21,160,
5886,"Hoi Shun ""Stephanie"" Au",F,24,172,56.0
5901,Felix Aubck,M,19,198,85.0
5933,"Franziska Christine ""Frnzi"" Aufdenblatten",F,32,173,68.0
5947,Jordan Augier,M,21,171,53.0
5948,Axel Louis Augis,M,25,172,71.0
5965,"Dionisio Augustine, II",M,24,153,65.0
5967,Jssica de Barros Augusto,F,34,162,44.0
5975,Rafa Augustyn,M,32,180,82.0
6050,Bastien Auzeil,M,26,195,89.0
6140,Ekaterina Ivanova Avramova,F,24,180,68.0
6196,Derlis Ramn Ayala Snchez,M,26,178,75.0
6202,Hiwot Ayalew Yeder,F,26,173,53.0
6204,Almaz Ayana Eba,F,24,166,47.0
6218,Ventsislav Vasilev Aydarski,M,25,168,60.0
6219,Esma Aydemir,F,24,160,48.0
6224,Kelime Aydn-etinkaya,F,31,160,54.0
6226,Diana Aydosova,F,20,158,50.0
6258,Clia Aymonier,F,22,161,56.0
6309,Ned Justeen Azemia,M,18,177,65.0
6311,Ctia Isabel da Silva Azevedo,F,22,170,50.0
6377,Houleye Ba,F,24,170,55.0
6385,Nooran Ahmed Ali Ba Matraf,F,16,166,60.0
6406,Jaroslav Bba,M,31,199,86.0
6427,Lalita Shivaji Babar,F,27,166,50.0
6433,Nazim Tahir olu Babayev,M,18,187,74.0
6460,Ivan Sergeyevich Babikov,M,33,172,69.0
6579,Axel Erik Bck,M,26,180,82.0
6608,Adrien Backscheider,M,21,178,73.0
6660,Joel Baden,M,20,190,70.0
6663,Ahmed Bader Magour,M,20,190,90.0
6739,Baek Su-Yeon,F,25,173,61.0
6778,Jos Alessandro Bernardo Baggio,M,35,172,63.0
6843,Meraf Bahta Ogbagaber,F,27,176,52.0
6888,Daniel Everton Bailey,M,29,179,68.0
6899,Lowell Conrad Bailey,M,32,185,77.0
6911,Tavis Bailey,M,24,191,125.0
6912,Kemar Bailey-Cole,M,24,193,84.0
6966,Martin Bajik,M,37,169,70.0
6969,Balzs Baji,M,27,192,85.0
7014,"Christopher Edwin ""Chris"" Baker",M,25,194,80.0
7020,Kathleen Baker,F,19,173,68.0
7048,Amina Barsham Bakhit,F,25,175,59.0
7133,Dmitry Igorevich Balandin,M,21,195,85.0
7187,Egl Balinait,F,27,176,63.0
7226,Hugo Balduino de Sousa,M,29,187,74.0
7246,Birhanu Yemataw Balew,M,20,160,
7347,Coralie Balmy,F,29,180,67.0
7348,Michal Balner,M,33,191,80.0
7354,Gbor Balog,M,25,186,80.0
7379,Bernardo Baloyes Navas,M,22,168,66.0
7387,Ksenija Balta,F,29,169,51.0
7433,Emily Bamford,F,21,169,64.0
7435,Margaret Bamgbose,F,22,171,63.0
7439,Abdoullah Bamoussa,M,30,170,59.0
7464,Salom Bncora,F,20,160,
7475,Haris Bandey,M,17,167,79.0
7532,"Konstantinos ""Kostas"" Baniotis",M,29,201,80.0
7536,Ondej Bank,M,33,175,85.0
7593,Ivan Mykolaiyovych Banzeruk,M,26,180,70.0
7604,Kelly-Ann Kaylene Baptiste,F,29,167,54.0
7608,Khader Ghetrich Baqlah,M,17,184,80.0
7609,Talita Baqlah,F,20,172,62.0
7640,Noelle Barahona Neder,F,23,171,65.0
7678,"Katarzyna ""Kasia"" Baranowska",F,28,184,72.0
7707,Azad Al-Barazi,M,28,195,85.0
7715,Anthony John Barbar,M,23,201,100.0
7728,Alana Barber,F,29,163,52.0
7740,"Shawnacy Campbell ""Shawn"" Barber",M,22,187,82.0
7769,Jade Fernandes Barbosa,F,25,151,45.0
7775,Vera Lcia Mendes Barbosa,F,27,168,58.0
7778,Alexandru George Barbu,M,26,177,70.0
7810,Virginia Bardach Martn,F,24,174,57.0
7952,Emre Zafer (Winston-) Barnes,M,27,178,73.0
7962,Lanny L. Barnes,F,31,163,50.0
7989,Tarasue Barnett,F,22,178,81.0
8036,Thomas Barr,M,24,183,73.0
8051,Bronte Amelia Arnold Barratt,F,27,171,59.0
8114,Francisco Carlos Barretto Jnior,M,26,175,72.0
8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,29,166,53.0
8152,Erick Bernab Barrondo Garca,M,25,178,60.0
8198,Trevor George Barry,M,33,190,77.0
8204,Mutaz Essa Barshim,M,25,190,65.0
8274,Anne-Sophie Barthet,F,25,170,71.0
8380,Adam Barwood,M,21,185,82.0
8417,Dimitri David Bascou,M,29,181,80.0
8475,Gina Bass,F,21,160,
8526,Bat-Ochiryn Ser-Od,M,34,169,61.0
8606,Batsaikhanyn Dlgn,M,29,179,72.0
8661,Martin Bau,M,21,182,74.0
8668,Adeline Baud (-Mugnier),F,21,162,56.0
8709,Klemen Bauer,M,28,183,72.0
8712,Luk Bauer,M,36,181,73.0
8750,Ashton Baumann,M,23,191,74.0
8751,Christian Baumann,M,21,163,60.0
8764,Jackie Baumann,F,20,173,58.0
8767,Jonas Baumann,M,23,175,71.0
8771,Romed Baumann,M,28,184,91.0
8775,Anne Sofie Holm Baumeister (Jrgensen-),F,28,168,54.0
8785,Iga Baumgart,F,27,178,58.0
8803,Simona Baumrtov,F,24,176,68.0
8877,Bayartsogtyn Mnkhzayaa,F,22,160,43.0
8878,Bayaryn Yosi,F,16,176,61.0
8945,Hamdan Iqbal Ahmed Bayusuf,M,21,182,64.0
8979,Lorne Dorcas Bazolo,F,33,170,60.0
9048,Jean-Guillaume Batrix,M,25,172,
9099,"Joshua ""Josh"" Beaver",M,23,175,70.0
9176,Leonie Antonia Beck,F,19,184,62.0
9244,Kierre Beckles,F,26,169,54.0
9279,Mariya Andreyevna Bedaryova,F,21,170,70.0
9285,Alex Beddoes,M,21,181,74.0
9310,Sylwester Bednarek,M,27,194,78.0
9392,Kieran Philip Behan,M,27,163,65.0
9460,Elizabeth Lyon Beisel,F,23,168,68.0
9464,Ruth Beita Vila,F,37,191,72.0
9486,Alemu Bekele Gebre,M,26,162,59.0
9497,Maryna Oleksandrivna Bekh,F,21,174,62.0
9537,Teja Belak,F,22,157,48.0
9549,Yekaterina Vladimirovna Belanovich (Artyukh-),F,24,173,64.0
9582,Mimi Belete Gebregeiorges,F,28,169,56.0
9583,Yehualeye Beletew,F,18,165,52.0
9589,Mohammed El-Amine Belferar,M,25,175,65.0
9603,Maria Belimpasaki,F,25,175,64.0
9635,Florence Elizabeth Bell,F,17,156,59.0
9677,Tia-Adana Belle,F,20,178,59.0
9692,Janeil Bellille,F,27,163,59.0
9697,"Phillip ""Phil"" Bellingham",M,22,185,84.0
9749,Dailn Belmonte Torres,F,30,158,52.0
9750,Mireia Belmonte Garca,F,25,170,59.0
9753,Wilhem Belocian,M,21,178,78.0
9773,Marco Belotti,M,27,185,76.0
9785,Yevgeny Nikolayevich Belov,M,23,185,78.0
9829,David Sagitovich Belyavsky,M,24,165,55.0
9931,Amor Ben Yahia,M,31,175,63.0
9953,"Christopher Anthony ""Chris"" Benard",M,26,191,84.0
9994,Martin Bendk,M,20,187,95.0
10017,Giordano Benedetti,M,27,189,67.0
10059,Angelica Therese Bengtsson,F,23,163,52.0
10101,Aleksi Benianidze,M,22,184,80.0
10162,"Christopher ""Chris"" Bennett",M,26,188,115.0
10217,Craig Harry Benson,M,22,183,80.0
10257,"Joseph ""Gunnar"" Bentz",M,20,196,84.0
10324,Anna Berecz,F,25,174,73.0
10351,Katarna Bereov,F,28,162,49.0
10467,Tora Berger (-Tveldal),F,32,166,56.0
10511,Carl Johan Lennart Bergman,M,35,174,69.0
10582,Lemi Berhanu Hayle,M,21,168,53.0
10585,Boris Berian,M,23,183,70.0
10691,Maria Bernard,F,23,165,53.0
10737,Pter Bernek,M,24,193,83.0
10802,Gwen Berry,F,27,175,89.0
10900,Catherine Bertone,F,44,160,45.0
10924,Marion Bertrand,F,29,163,58.0
10962,Anas Bescond,F,26,170,67.0
10969,Anas Beshr,M,23,160,
10980,Jules Yao Bessan,M,37,183,85.0
10994,Aleksandr Andreyevich Bessmertnykh,M,27,182,78.0
11006,Jahvid Andre Best,M,27,178,90.0
11055,Nicholas Kiplagat Bett,M,26,190,75.0
11065,Amina Bettiche,F,28,165,55.0
11106,Brinn John Bevan,M,19,165,62.0
11151,Chala Beyo Techo,M,20,176,58.0
11181,Luke Bezzina,M,21,160,
11203,Saraswati Bhattarai,F,22,163,46.0
11238,Bian Ka,F,23,182,115.0
11254,Ilaria Bianchi,F,26,170,65.0
11295,Olha Anatolivna Bibik,F,26,178,64.0
11351,Paul Biedermann,M,29,193,93.0
11364,Yiech Pur Biel,M,21,178,62.0
11495,Simone Arianne Biles,F,19,143,47.0
11510,Simonas Bilis,M,22,196,84.0
11516,Cindy Billaud,F,30,167,59.0
11538,Mathieu Bilodeau,M,32,185,74.0
11610,Thomas Bing,M,23,177,70.0
11611,Wilfried Bingangoye,M,31,172,80.0
11615,Khamica Bingham,F,22,160,61.0
11673,Dane Alex Bird-Smith,M,24,187,72.0
11677,Svar Birgisson,M,25,175,
11699,Damien Birkinhead,M,23,190,140.0
11705,Jorge Francisco Birkner Ketelhohn,M,23,160,
11715,"Andreas ""Andi"" Birnbacher",M,32,179,72.0
11787,Melissa Corrine Bishop,F,27,173,56.0
11866,Stanley Kipleting Biwott,M,30,152,61.0
11929,Erik Bjornsen,M,22,185,84.0
11930,Sadie Bjornsen,F,24,175,66.0
11943,Marit Bjrgen,F,33,168,64.0
11951,Ole Einar Bjrndalen,M,40,178,65.0
11954,Susann Jakobsen Bjrnsen,F,23,182,72.0
11978,"Elsabeth ""Ellie"" Black",F,20,155,56.0
12086,Yohan Blake,M,26,180,80.0
12164,"Benjamin Floyd ""Ben"" Blankenship",M,27,178,64.0
12225,Marko Blaevski,M,23,183,73.0
12233,Holly Bethan Bleasdale-Bradshaw,F,24,175,67.0
12244,Keston Bledman,M,28,180,88.0
12305,Jason Block,M,26,182,82.0
12378,Olga Yevgenyevna Bludova-Safronova,F,24,171,62.0
12399,Pernille Blume,F,22,170,58.0
12410,"Jennifer ""Jenny"" Blundell",F,22,163,49.0
12435,Adrian Bocki,M,26,174,62.0
12486,Claudia Mihaela Bobocea,F,24,176,53.0
12487,Ancua Bobocel,F,28,167,49.0
12516,Federico Bocchia,M,29,197,93.0
12558,Solomon Bockarie-Bayoh,M,29,171,72.0
12566,Claudio Bckli,M,29,179,76.0
12599,Lauren Boden-Wells,F,28,178,66.0
12646,Ihor Valeriyovych Bodrov,M,29,184,77.0
12662,Melissa Boekelman,F,27,176,87.0
12701,Alexis Boeuf,M,27,172,62.0
12747,Anastasia Katerina Bogdanovski,F,23,174,57.0
12808,Georgia Bohl,F,19,167,54.0
12813,Stefanie Bhler,F,32,170,54.0
12820,Daniel Bhm,M,27,178,72.0
12846,Richrd Bohus,M,23,187,81.0
12909,Aauri Lorena Bokesa Abia,F,27,180,62.0
12925,Peter Bol,M,22,177,63.0
12956,Boldyn Byambadorj,M,22,170,66.0
12972,Cynthia Maduengele Bolingo Mbongo,F,23,165,53.0
12997,Marine Bolliet,F,26,163,52.0
13029,Usain St. Leo Bolt,M,29,196,95.0
13130,Artyom Yuryevich Bondarenko,M,25,187,78.0
13131,Bohdan Viktorovych Bondarenko,M,26,198,77.0
13165,Seraina Boner,F,31,168,55.0
13173,Liemarvin Bonevacia,M,27,185,74.0
13182,Caio Oliveira de Sena Bonfim,M,25,174,60.0
13183,Celma da Graa Soares Bonfim,F,38,165,58.0
13213,Magaly Bonilla Sols,F,24,152,54.0
13240,Daisurami Bonne Rousseau,F,28,171,60.0
13251,Charlotte Bonnet,F,21,175,64.0
13379,Hillary Bor,M,26,168,52.0
13437,Cleopatra Ayesha Borel-Brown,F,37,172,89.0
13445,Pavel Gennadyevich Boreysha,M,25,193,120.0
13496,Konstantin Igorevich Borichevsky,M,26,191,87.0
13541,Dylan Borle,M,23,190,78.0
13543,Jonathan Borle,M,28,180,69.0
13544,Kvin Borle,M,28,180,67.0
13545,Olivia Borle,F,30,172,57.0
13549,Brittany Borman,F,27,183,77.0
13716,Dylan Bosch,M,23,178,75.0
13754,Vanessa Boslak,F,34,170,57.0
13770,Pierre-Ambroise Bosse,M,24,185,68.0
13791,Teona Bostashvili,F,18,159,48.0
13805,"Thomas Stewart ""Tom"" Bosworth",M,26,178,54.0
13855,Christine Botlogetswe,F,20,170,65.0
13883,Esther Bottomley,F,30,167,58.0
13923,Dominique Bouchard,F,25,175,61.0
13947,Hicham Bouchicha,M,27,182,64.0
13981,Marcelle Cecilia Bouele Bondo,F,23,166,60.0
13985,Farah Boufadene,F,17,155,55.0
14022,Kawtar Boulaid,F,26,159,45.0
14077,Soufiyan Bouqantar,M,22,173,54.0
14105,Lorys Bourelly,M,24,184,69.0
14119,Mohamed Abdeldjalil Bourguieg,M,19,164,50.0
14143,Larbi Bourrada,M,28,188,88.0
14159,"Frdric Thierry Roger ""Frd"" Bousquet",M,35,188,86.0
14227,George Richard Lycott Bovell,M,33,196,74.0
14266,"Frentorish ""Tori"" Bowie",F,25,175,58.0
14316,Brendan Boyce,M,29,183,76.0
14325,Alana Boyd,F,32,171,59.0
14359,Marine Clmence Boyer,F,16,162,52.0
14373,Lauren Marie Boyle,F,28,183,67.0
14434,Johannes Thingnes B,M,20,187,80.0
14435,Tarjei B,M,25,185,77.0
14479,Patrick Brachner,M,22,184,82.0
14489,Marvin Bracy,M,22,175,78.0
14547,Pablo Dominic Brgger,M,23,169,64.0
14599,Mario Alfonso Bran Granillo,M,26,168,64.0
14645,David Karl Brandl,M,29,187,82.0
14655,Eirik Brandsdal,M,27,181,
14666,Dorothea Brandt,F,32,178,70.0
14687,"Nathan ""Nate"" Brannen",M,33,174,58.0
14768,Pieter Braun,M,23,186,83.0
14786,Albert Idel Bravo Morales,M,28,199,88.0
14810,Thiago Braz da Silva,M,22,183,75.0
14865,Melissa Breen,F,25,174,65.0
14908,Nils Brembach,M,23,184,70.0
14940,Nery Antonio Brenes Crdenas,M,30,175,70.0
14983,Andreas Bretschneider,M,26,167,60.0
15000,Marine Grace Brevet,F,21,162,52.0
15104,Federica Brignone,F,23,168,57.0
15107,Sebastian Brigovi,M,21,181,81.0
15179,Stefan Brits,M,24,183,72.0
15192,Fionnuala Britton-McCormack,F,31,159,46.0
15210,Sarah Bro,F,20,177,64.0
15220,Elisa Brocard,F,29,162,51.0
15299,Nadine Martina Broersen,F,26,171,62.0
15325,Trayvon Jaquez Bromell,M,21,175,70.0
15326,Viktor Bregner Bromer,M,23,194,87.0
15374,"Christopher Dean ""Chris"" Brooks",M,29,173,75.0
15382,Holly Brooks (-Whitney),F,31,168,61.0
15460,Aaron Brown,M,24,198,79.0
15464,Alicia Brown,F,26,165,57.0
15488,"Christopher Deon ""Chris"" Brown",M,37,178,75.0
15507,Devon Myles William Brown,M,24,188,80.0
15550,Ashani Kemarley Brown,M,24,182,85.0
15570,"Philip ""Phil"" Brown",M,22,182,87.0
15671,"Lucas ""Luc"" Bruchet",M,25,183,69.0
15710,Annika Bruhn,F,23,183,69.0
15717,Henricho Bruintjies,M,23,179,72.0
15729,Ese Brume,F,20,167,58.0
15771,Marie Laure Louise Graldine Brunet,F,25,166,52.0
15788,Rachele Bruni,F,25,170,59.0
15823,Federico Bruno,M,23,185,66.0
15885,Aleksey Sergeyevich Bryansky,M,18,192,82.0
15932,Yelyzaveta Viktorivna Bryzhina,F,26,173,63.0
15944,Maarten Brzoskowski,M,20,185,79.0
15950,Artur Brzozowski,M,31,174,67.0
15962,Matelita Buadromo,F,20,171,56.0
15971,Andreas Hjartbro Bube,M,29,178,65.0
15973,Mat Bubenik,M,26,197,78.0
16031,Selina Christina Bchel,F,25,167,57.0
16054,Nicole Bchler,F,32,162,54.0
16105,Zoe Buckman,F,27,168,50.0
16137,Siri Arun Budcharern,F,14,166,63.0
16167,Serhiy Volodymyrovych Budza,M,31,180,75.0
16237,Matthias Bhler,M,29,189,78.0
16249,Kim Bui,F,27,155,49.0
16258,Marion Buillet,F,23,170,56.0
16279,Cristina Ioana Bujin,F,28,172,56.0
16306,Konrad Bukowiecki,M,19,191,138.0
16331,Ivana Bulatovi,F,19,178,68.0
16399,Michael Bultheel,M,30,189,81.0
16428,Seren Bundy-Davies,F,21,175,63.0
16498,Nataliya Leonidivna Burdyga,F,30,167,58.0
16592,Gelete Burka Bati,F,30,160,43.0
16615,"Timothy John ""Tim"" Burke",M,32,180,73.0
16651,Pedro Luiz Burmann de Oliveira,M,24,180,83.0
